"species","mirna","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_id_network","matching_proteins_labels_network","annotation","protein_name","cc_function","go_p","go_f","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Aedes aegypti","aae-mir-34-5p","GO:0007635","Chemosensory behavior",15,86,0.89,1.21,1.26e-06,"Q17F08","AAEL003592","AAEL003592-PA.",NA,NA,"protein localization","protein kinase binding","GO Biological Process","co2","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0007635","Chemosensory behavior",15,86,0.89,1.21,1.26e-06,"Q17MI1","AAEL001005","Calreticulin.","Calreticulin","Molecular calcium-binding chaperone promoting folding, oligomeric assembly and quality control in the ER via the calreticulin/calnexin cycle. This lectin may interact transiently with almost all of the monoglucosylated glycoproteins that are synthesized in the ER","ERAD pathway; protein folding","calcium ion binding; carbohydrate binding; unfolded protein binding","GO Biological Process","co2","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0007635","Chemosensory behavior",15,86,0.89,1.21,1.26e-06,"Q17PT9","AAEL000242","AAEL000242-PA; Belongs to the potassium channel family.",NA,NA,"action potential; protein homooligomerization","delayed rectifier potassium channel activity","GO Biological Process","co2","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"J9EAN8","J9EAN8_AEDAE","AAEL010145-PC.",NA,"This is the non-catalytic component of the active enzyme, which catalyzes the hydrolysis of ATP coupled with the exchange of Na(+) and K(+) ions across the plasma membrane. The beta subunit regulates, through assembly of alpha/beta heterodimers, the number of sodium pumps transported to the plasma membrane","intracellular potassium ion homeostasis; intracellular sodium ion homeostasis; potassium ion import across plasma membrane; sodium ion export across plasma membrane","ATPase activator activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q0IG29","AAEL003527","AAEL003527-PA.","SET and MYND domain-containing protein 4","Plays a critical role in cardiac development. Acts as a key epigenetic regulator of gene expression during cardiac development via its dual activities as a methyltransferase and negative regulator of HDAC1","compound eye photoreceptor development; methylation","histone deacetylase binding; N-methyltransferase activity; protein methyltransferase activity; S-adenosylmethionine-dependent methyltransferase activity; zinc ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16FK4","AAEL014730","AAEL014730-PA.",NA,NA,"protein localization","protein kinase binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16GL8","AAEL014337","Mitotic protein phosphatase 1 regulator, putative.",NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16HK0","AAEL013997","AAEL013997-PA.",NA,NA,"signal transduction",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16I15","AAEL013830","Bmp-induced factor.",NA,NA,"animal organ development; developmental process involved in reproduction; neuron development; regulation of transcription by RNA polymerase II","zinc ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16I75","AAEL013770","Zinc finger protein.",NA,NA,"cell fate commitment","DNA-binding transcription repressor activity, RNA polymerase II-specific; N-methyltransferase activity; protein methyltransferase activity; RNA polymerase II cis-regulatory region sequence-specific DNA binding; S-adenosylmethionine-dependent methyltransferase activity; zinc ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16I88","AAEL013758","AAEL013758-PA.",NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16IN4","AAEL013602","AAEL013602-PA.",NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16IW8","AAEL013529","AAEL013529-PA.",NA,NA,"neurotransmitter secretion",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16KQ8","AAEL012905","AAEL012905-PA.",NA,NA,NA,"calcium ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16KQ9","AAEL012910","AAEL012910-PA.",NA,NA,NA,"calcium ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16KR0","AAEL012908","AAEL012908-PA.",NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16L96","AAEL012723","AAEL012723-PA; Belongs to the protein kinase superfamily.","mitogen-activated protein kinase kinase",NA,"MAPK cascade","ATP binding; protein serine/threonine kinase activity; protein serine/threonine/tyrosine kinase activity; protein tyrosine kinase activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16LK0","AAEL012627","AAEL012627-PA.",NA,NA,"establishment of mitotic spindle orientation; regulation of establishment of bipolar cell polarity; signal transduction",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16LS6","AAEL012541","AAEL012541-PA.",NA,NA,"neurotransmitter secretion",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16LX7","AAEL012493","AAEL012493-PA.",NA,NA,"animal organ development; system development",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16MK4","AAEL012273","AAEL012273-PA.",NA,NA,"hematopoietic progenitor cell differentiation",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16N85","AAEL012057","Enhancer of polycomb-like protein.","Enhancer of polycomb-like protein",NA,"regulation of transcription by RNA polymerase II",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16PP6","AAEL011565","AAEL011565-PA.",NA,NA,"signal transduction",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16PT5","AAEL011536","Phosphoacetylglucosamine mutase; Catalyzes the conversion of GlcNAc-6-P into GlcNAc-1-P during the synthesis of uridine diphosphate/UDP-GlcNAc, a sugar nucleotide critical to multiple glycosylation pathways including protein N- and O- glycosylation; Belongs to the phosphohexose mutase family.","Phosphoacetylglucosamine mutase","Catalyzes the conversion of GlcNAc-6-P into GlcNAc-1-P during the synthesis of uridine diphosphate/UDP-GlcNAc, a sugar nucleotide critical to multiple glycosylation pathways including protein N- and O-glycosylation","carbohydrate metabolic process; UDP-N-acetylglucosamine biosynthetic process","magnesium ion binding; phosphoacetylglucosamine mutase activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16R23","AAEL011105","AAEL011105-PB.",NA,NA,NA,"actin filament binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16R65","AAEL011058","Lim domain binding protein.",NA,NA,NA,"LIM domain binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16RM1","AAEL010908","AAEL010908-PA.",NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16RU6","AAEL010835","Mitogen-activated protein kinase kinase kinase.","Mitogen-activated protein kinase kinase kinase dlk-1",NA,"response to stress","ATP binding; protein serine/threonine kinase activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16SB0","AAEL010643","AAEL010643-PA.",NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16TR7","AAEL010144","AAEL010144-PA.",NA,NA,"extracellular matrix organization; proteolysis","metalloendopeptidase activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16U10","AAEL010061","AAEL010061-PA.",NA,NA,NA,"actin binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16VM1","AAEL009515","AAEL009515-PA.",NA,NA,NA,"chromatin binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16W03","AAEL009377","AAEL009377-PA.","small monomeric GTPase",NA,"Rap protein signal transduction","GTP binding; GTPase activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16WF1","AAEL009240","AAEL009240-PA.","Carboxylesterase type B domain-containing protein",NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16WM1","AAEL009175","AAEL009175-PA.",NA,NA,"animal organ development; axon guidance; negative chemotaxis","calcium ion binding; heparin binding; Roundabout binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16XT3","AAEL008773","AAEL008773-PA.","Laminin A chain",NA,"animal organ morphogenesis; cell adhesion; system development; tissue development",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16YG3","AAEL008554","AAEL008554-PA.","protein-tyrosine-phosphatase",NA,"cell differentiation; intracellular signal transduction; mitotic cell cycle","non-membrane spanning protein tyrosine phosphatase activity; phosphotyrosine residue binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16YG8","AAEL008528","AAEL008528-PA.","protein-tyrosine-phosphatase",NA,"anatomical structure morphogenesis; intracellular signal transduction; mitotic cell cycle; neuron development","non-membrane spanning protein tyrosine phosphatase activity; phosphotyrosine residue binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16YZ8","AAEL008362","AAEL008362-PA.",NA,NA,NA,"glycosaminoglycan binding; N-acetylglucosamine-6-sulfatase activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16YZ9","AAEL008372","Sulfatase-1, sulf-1.",NA,NA,NA,"glycosaminoglycan binding; N-acetylglucosamine-6-sulfatase activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q16Z01","AAEL008371","AAEL008371-PA.",NA,NA,NA,"GTPase activator activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q170K4","AAEL007888","Protein 4.1 homolog (Coracle protein), putative.","Moesin/ezrin/radixin homolog 1",NA,"actomyosin structure organization; animal organ morphogenesis; neuron differentiation","actin binding; structural molecule activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q170K8","AAEL007876","Tyrosine protein kinase with ig domain; Belongs to the protein kinase superfamily. Tyr protein kinase family.","Tyrosine-protein kinase-like otk","Acts as a calcium-dependent, homophilic cell adhesion molecule that regulates neural recognition during the development of the nervous system. Component of the repulsive Plexin signaling response to regulate motor axon guidance at the embryonic stage. Also component of a receptor complex that is required in the adult visual system to innervate the lamina layer; specific targeting of R1-R6 axons","cell surface receptor protein tyrosine kinase signaling pathway; neurogenesis; positive regulation of neuron projection development; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","ATP binding; metal ion binding; transmembrane receptor protein tyrosine kinase activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q171J8","TOLL1A","Toll-like receptor; Belongs to the Toll-like receptor family.",NA,NA,"toll-like receptor signaling pathway","signaling receptor activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q172L3","AAEL007331","AAEL007331-PA.",NA,NA,"animal organ development; system development",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q173B0","AAEL007217","AAEL007217-PA.",NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q174K3","AAEL006876","AAEL006876-PA.",NA,NA,"mRNA transport; regulation of translation","RNA binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q174W8","GPRFZ2","AAEL006778-PA; Belongs to the G-protein coupled receptor Fz/Smo family.",NA,NA,"canonical Wnt signaling pathway; non-canonical Wnt signaling pathway","Wnt receptor activity; Wnt-protein binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q177R3","AAEL006057","AAEL006057-PA.",NA,NA,"regulation of translation","mRNA binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q17BK4","AAEL004934","AAEL004934-PA.",NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q17BN5","AAEL004900","AAEL004900-PA; Belongs to the FPP/GGPP synthase family.",NA,NA,"isoprenoid biosynthetic process; pheromone biosynthetic process","prenyltransferase activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q17BY7","AAEL004737","Lim domain binding protein.",NA,NA,NA,"LIM domain binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q17C29","AAEL004715","AAEL004715-PA.","Anti-proliferative protein domain-containing protein",NA,"negative regulation of cell population proliferation",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q17C39","AAEL004717","AAEL004717-PA.",NA,NA,"axon guidance","cyclin-dependent protein serine/threonine kinase activator activity; protein kinase binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q17C93","AAEL004651","Multiple ankyrin repeats single kh domain protein.",NA,NA,"innate immune response",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q17CG1","AAEL004549","AAEL004549-PA.",NA,NA,"neurotransmitter secretion",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q17D24","AAEL004351","AAEL004351-PC; Belongs to the protein kinase superfamily.","non-specific serine/threonine protein kinase",NA,"Wnt signaling pathway","ATP binding; protein serine/threonine kinase activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q17DB6","AAEL004255","Zinc finger protein.",NA,NA,"cell fate commitment","DNA-binding transcription repressor activity, RNA polymerase II-specific; N-methyltransferase activity; protein methyltransferase activity; RNA polymerase II cis-regulatory region sequence-specific DNA binding; S-adenosylmethionine-dependent methyltransferase activity; zinc ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q17DL2","AAEL004133","AAEL004133-PA.",NA,NA,"cell-cell adhesion","cell adhesion molecule binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q17DM5","AAEL004088","Aldo-keto reductase.",NA,NA,NA,"oxidoreductase activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q17E44","AAEL003953","Map/microtubule affinity-regulating kinase 2,4.","MAP/microtubule affinity-regulating kinase 3","Serine/threonine-protein kinase. Involved in the specific phosphorylation of microtubule-associated proteins for MAP2 and MAP4. Phosphorylates the microtubule-associated protein MAPT/TAU. Phosphorylates CDC25C on 'Ser-216'. Regulates localization and activity of some histone deacetylases by mediating phosphorylation of HDAC7, promoting subsequent interaction between HDAC7 and 14-3-3 and export from the nucleus. Regulates localization and activity of MITF by mediating its phosphorylation, promoting subsequent interaction between MITF and 14-3-3 and retention in the cytosol. Negatively regulates the Hippo signaling pathway and antagonizes the phosphorylation of LATS1. Cooperates with DLG5 to inhibit the kinase activity of STK3/MST2 toward LATS1. Phosphorylates PKP2 and KSR1","intracellular signal transduction; microtubule cytoskeleton organization","ATP binding; protein serine/threonine kinase activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"Q17EB3","AAEL003861","AAEL003861-PA.",NA,NA,"animal organ development; developmental process involved in reproduction; neuron development; regulation of transcription by RNA polymerase II",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
