"species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_id_network","matching_proteins_labels_network","annotation","protein_name","cc_function","go_p","go_f","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16K82","AAEL013086","AAEL013086-PA.",NA,NA,NA,"DNA-binding transcription activator activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; zinc ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16LF8","AAEL012657","AAEL012657-PA.",NA,NA,"exocytosis; intracellular protein transport; neurotransmitter transport; vesicle docking; vesicle fusion","SNAP receptor activity; SNARE binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16M89","AAEL012381","AAEL012381-PA.",NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16MZ3","AAEL012138","AAEL012138-PB.","Delta(24)-sterol reductase","Catalyzes the reduction of the delta-24 double bond of sterol intermediates during cholesterol biosynthesis. In addition to its cholesterol-synthesizing activity, can protect cells from oxidative stress by reducing caspase 3 activity during apoptosis induced by oxidative stress. Also protects against amyloid-beta peptide-induced apoptosis","cholesterol metabolic process","Delta24(24-1) sterol reductase activity; Delta24-sterol reductase activity; FAD binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16N45","AAEL012092","AAEL012092-PA.",NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16NT2","AAEL011867","AAEL011867-PA.",NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16PA7","AAEL011709","Diacylglycerol kinase.","Diacylglycerol kinase",NA,"phospholipase C-activating G protein-coupled receptor signaling pathway","ATP binding; ATP-dependent diacylglycerol kinase activity; metal ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16PQ3","AAEL011576","AAEL011576-PA.",NA,NA,NA,"mRNA 3'-UTR binding; ribonucleoprotein complex binding; selenocysteine insertion sequence binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16PY9","AAEL011480","AAEL011480-PA.",NA,NA,"regulation of DNA-templated transcription; transcription elongation by RNA polymerase II","RNA polymerase II complex binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16Q37","AAEL011432","AAEL011432-PA.",NA,NA,"motor neuron axon guidance; negative regulation of cell adhesion; positive regulation of axonogenesis; regulation of cell migration; regulation of cell shape; sensory neuron axon guidance","semaphorin receptor activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16QS4","AAEL011191","AAEL011191-PA.",NA,NA,"regulation of glycogen biosynthetic process","glycogen binding; protein phosphatase 1 binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16TH4","AAEL010226","AAEL010226-PA.",NA,NA,NA,"DNA-binding transcription factor activity, RNA polymerase II-specific; protein dimerization activity; RNA polymerase II cis-regulatory region sequence-specific DNA binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16TJ0","AAEL010222","AAEL010222-PA.","GATA-type domain-containing protein",NA,"cell fate commitment; negative regulation of transcription by RNA polymerase II; positive regulation of transcription by RNA polymerase II","DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; zinc ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16TV2","AAEL010124","Phosphoinositide phospholipase C.","Phosphoinositide phospholipase C",NA,"G protein-coupled receptor signaling pathway; lipid catabolic process; phosphatidylinositol metabolic process; phosphatidylinositol-mediated signaling; release of sequestered calcium ion into cytosol","phosphatidylinositol-4,5-bisphosphate phospholipase C activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16U75","AAEL010015","AAEL010015-PA.",NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16U83","GPRFZ7","AAEL009983-PA; Belongs to the G-protein coupled receptor Fz/Smo family.",NA,NA,"canonical Wnt signaling pathway; non-canonical Wnt signaling pathway","Wnt receptor activity; Wnt-protein binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16VE7","AAEL009588","Expressed protein (HR3).","Probable nuclear hormone receptor HR3","Putative receptor whose ligand is not yet known",NA,"nuclear receptor activity; RNA polymerase II cis-regulatory region sequence-specific DNA binding; zinc ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16VT5","AAEL009437","AAEL009437-PA.","CCR4-NOT transcription complex subunit 4","Has E3 ubiquitin ligase activity, promoting ubiquitination and degradation of target proteins. Involved in activation of the JAK/STAT pathway. Catalyzes ubiquitination of methylated RBM15. Plays a role in quality control of translation of mitochondrial outer membrane-localized mRNA. As part of the PINK1-regulated signaling, upon mitochondria damage, ubiquitinates ABCE1 and thereby recruits autophagy receptors to the mitochondrial outer membrane to initiate mitophagy","protein ubiquitination","RNA binding; ubiquitin-protein transferase activity; zinc ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16W25","AAEL009364","AAEL009364-PA; Belongs to the protein kinase superfamily.","Cyclin-dependent kinase 12",NA,"positive regulation of transcription elongation by RNA polymerase II","ATP binding; cyclin binding; RNA polymerase II CTD heptapeptide repeat kinase activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16W86","AAEL009300","AAEL009300-PA.","Novel acetylcholine receptor chaperone",NA,"chaperone-mediated protein complex assembly; positive regulation of protein localization to cell surface",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16WA7","AAEL009304","AAEL009304-PA; Belongs to the syntaxin family.",NA,NA,"exocytosis; intracellular protein transport; neurotransmitter transport; vesicle docking; vesicle fusion","SNAP receptor activity; SNARE binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16WI5","AAEL009212","AAEL009212-PC.",NA,"Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo","axon midline choice point recognition; dendrite morphogenesis; gonad development; larval lymph gland hemopoiesis; larval somatic muscle development; nurse cell apoptotic process; R3/R4 cell fate commitment; R7 cell development; regulation of transcription by RNA polymerase II","zinc ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16WN0","AAEL009171","AAEL009171-PA.",NA,NA,"response to unfolded protein","DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II transcription regulatory region sequence-specific DNA binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16XQ1","AAEL008816","Vesicular monoamine transporter, putative.",NA,NA,"aminergic neurotransmitter loading into synaptic vesicle","serotonin:sodium:chloride symporter activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16YV5","AAEL008421","AAEL008421-PA.",NA,NA,"adherens junction organization; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules; cell migration; cell morphogenesis; cell-cell adhesion mediated by cadherin; cell-cell junction assembly; epithelium development; homophilic cell adhesion via plasma membrane adhesion molecules","beta-catenin binding; cadherin binding; calcium ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16ZQ0","AAEL008122","AAEL008122-PA.",NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q171F2","AAEL007664","Nicotinic acetylcholine receptor subunit.",NA,"After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane",NA,"acetylcholine-gated monoatomic cation-selective channel activity; transmembrane signaling receptor activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q171F9","AAEL007659","AAEL007659-PA.","CTCK domain-containing protein",NA,"animal organ morphogenesis; sequestering of BMP from receptor via BMP binding","BMP binding; receptor ligand activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q173I2","AAEL007144","AAEL007144-PA.","Kelch-like protein diablo","Probable substrate-specific adapter of an E3 ubiquitin-protein ligase complex which mediates the ubiquitination and subsequent proteasomal degradation of target proteins. May have a role in synapse differentiation and growth","protein ubiquitination","actin binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q174F6","AAEL006911","Microtubule-associated protein.",NA,NA,"microtubule cytoskeleton organization",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q174S1","AAEL006783","Histone-lysine N-methyltransferase, H3 lysine-79 specific.","Histone-lysine N-methyltransferase, H3 lysine-79 specific","Histone methyltransferase that specifically trimethylates histone H3 to form H3K79me3. This methylation is required for telomere silencing and for the pachytene checkpoint during the meiotic cell cycle by allowing the recruitment of RAD9 to double strand breaks. Nucleosomes are preferred as substrate compared to free histone","DNA damage checkpoint signaling; DNA repair; methylation","histone H3K79 trimethyltransferase activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q175E6","AAEL006664","AAEL006664-PA.","CCR4-NOT transcription complex subunit 4","Has E3 ubiquitin ligase activity, promoting ubiquitination and degradation of target proteins. Involved in activation of the JAK/STAT pathway. Catalyzes ubiquitination of methylated RBM15. Plays a role in quality control of translation of mitochondrial outer membrane-localized mRNA. As part of the PINK1-regulated signaling, upon mitochondria damage, ubiquitinates ABCE1 and thereby recruits autophagy receptors to the mitochondrial outer membrane to initiate mitophagy","protein ubiquitination","RNA binding; ubiquitin-protein transferase activity; zinc ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q175Q0","AAEL006596","AAEL006596-PA.",NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q175T7","AAEL006555","AAEL006555-PA.",NA,NA,"nervous system development; regulation of alternative mRNA splicing, via spliceosome","mRNA binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q176D4","AAEL006439","Dual specificity protein phosphatase; Dual specificity phosphatase able to dephosphorylate phosphotyrosine, phosphoserine and phosphothreonine residues, with a preference for phosphotyrosine as a substrate. Belongs to the protein-tyrosine phosphatase family. Non- receptor class dual specificity subfamily.","Dual specificity protein phosphatase","Dual specificity phosphatase able to dephosphorylate phosphotyrosine, phosphoserine and phosphothreonine residues, with a preference for phosphotyrosine as a substrate","negative regulation of MAPK cascade","MAP kinase phosphatase activity; protein serine/threonine phosphatase activity; protein tyrosine phosphatase activity; protein tyrosine/serine/threonine phosphatase activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q176R3","fru","FRU non-sex-specific P1 isoform.",NA,NA,"animal organ development; cell development; developmental process involved in reproduction; regulation of transcription by RNA polymerase II","DNA binding; zinc ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q177Z0","AAEL005985","Autophagy-related protein 13; Belongs to the ATG13 family. Metazoan subfamily.","Autophagy-related protein 13",NA,"mitophagy; piecemeal microautophagy of the nucleus; protein localization to phagophore assembly site",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17AN7","AAEL005246","AAEL005246-PA.",NA,NA,NA,"DNA-binding transcription factor activity, RNA polymerase II-specific; sequence-specific double-stranded DNA binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17AN8","AAEL005247","AAEL005247-PA.",NA,NA,NA,"DNA-binding transcription factor activity, RNA polymerase II-specific; sequence-specific double-stranded DNA binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17BB1","AAEL005033","AAEL005033-PA.",NA,NA,"positive regulation of transcription by RNA polymerase II","zinc ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17BL6","AAEL004918","AAEL004918-PA.","B box-type domain-containing protein",NA,NA,"mRNA 3'-UTR binding; zinc ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17C29","AAEL004715","AAEL004715-PA.","Anti-proliferative protein domain-containing protein",NA,"negative regulation of cell population proliferation",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17C40","AAEL004720","Dedicator of cytokinesis protein 9; Belongs to the DOCK family.",NA,NA,"small GTPase-mediated signal transduction","guanyl-nucleotide exchange factor activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17C42","AAEL004731","AAEL004731-PA.",NA,NA,"small GTPase-mediated signal transduction","guanyl-nucleotide exchange factor activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17CH0","AAEL004542","AAEL004542-PA.",NA,NA,"ceramide metabolic process","ceramide kinase activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17CU7","AAEL004420","AAEL004420-PB.",NA,NA,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17CY1","AAEL004391","AAEL004391-PA.","Nuclear protein MDM1","Microtubule-binding protein that negatively regulates centriole duplication. Binds to and stabilizes microtubules","negative regulation of centriole replication","microtubule binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17DB8","AAEL004259","RNA-binding protein lin-28.",NA,NA,"pre-miRNA processing","mRNA binding; zinc ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17E14","AAEL003989","AAEL003989-PA.","Guanine nucleotide-binding protein G(s) subunit alpha","Guanine nucleotide-binding proteins (G proteins) function as transducers in numerous signaling pathways controlled by G protein-coupled receptors (GPCRs)","adenylate cyclase-activating dopamine receptor signaling pathway; sensory perception of chemical stimulus","G protein-coupled receptor binding; G-protein beta/gamma-subunit complex binding; GTP binding; GTPase activity; metal ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17E15","AAEL003979","Deadenylation factor EDEN-BP, putative.",NA,NA,NA,"mRNA binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17E51","AAEL003978","AAEL003978-PA.","Escargot/snail protein homolog",NA,"asymmetric neuroblast division; central nervous system development; epithelial tube morphogenesis; positive regulation of transcription by RNA polymerase II; regulation of neural precursor cell proliferation","RNA polymerase II transcription regulatory region sequence-specific DNA binding; zinc ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17E87","AAEL003901","AAEL003901-PA.",NA,NA,NA,"zinc ion binding","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17EP7","AAEL003731","Nuclear body associated kinase, putative.","non-specific serine/threonine protein kinase",NA,NA,"ATP binding; protein serine/threonine kinase activity; protein tyrosine kinase activity","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
