transcript	miRNAs	numberMiRNAs
AALF012871-RA.1	aae-miR-2945-3p	1
AALF011982-RA.1	aae-miR-2945-3p	1
AALF021137-RA.1	aae-bantam-3p	1
AALF022771-RA.1	aae-miR-305-5p,aae-miR-308-3p,aae-miR-11900,aae-miR-3368-5p,aae-miR-5119-5p,aae-bantam-5p,aae-miR-1175-3p	7
AALF021882-RA.1	aae-miR-11900	1
AALF021651-RA.1	aae-miR-305-5p,aae-miR-4275-5p,aae-miR-11900,aae-miR-3368-5p,aae-miR-5119-5p,aae-bantam-5p,aae-miR-999-3p	7
AALF008407-RA.1	aae-bantam-5p	1
AALF008228-RA.1	aae-miR-999-3p	1
AALF008536-RA.1	aae-miR-11900	1
AALF008767-RA.1	aae-miR-11900,aae-miR-3722-5p	2
AALF007955-RA.1	aae-miR-1175-3p	1
AALF003706-RA.1	aae-miR-11900	1
AALF028309-RA.1	aae-miR-11900	1
AALF006348-RA.1	aae-miR-210-5p,aae-miR-124-3p,aae-miR-1175-3p	3
AALF018436-RA.1	aae-miR-276-3p,aae-bantam-5p,aae-miR-1175-3p	3
AALF009760-RA.1	aae-miR-305-5p	1
AALF008024-RA.1	aae-miR-276-3p	1
AALF007520-RA.1	aae-miR-305-5p,aae-miR-1000-5p,aae-miR-1175-3p,aae-let-7,aae-miR-932-5p,aae-miR-34-5p	6
AALF019454-RA.1	aae-miR-305-5p	1
AALF026429-RA.1	aae-miR-124-3p	1
AALF019198-RA.1	aae-miR-308-3p	1
AALF017035-RA.1	aae-bantam-3p,aae-bantam-5p	2
AALF028388-RA.1	aae-bantam-5p	1
AALF027730-RA.1	aae-miR-4275-5p,aae-miR-932-5p	2
AALF027037-RA.1	aae-miR-305-5p	1
AALF026764-RA.1	aae-miR-2945-3p	1
AALF016583-RA.1	aae-miR-11900	1
AALF001376-RA.1	aae-miR-2945-3p	1
AALF011532-RA.1	aae-bantam-3p,aae-miR-1000-5p,aae-miR-5119-5p,aae-bantam-5p,aae-miR-1175-3p,aae-miR-3722-5p	6
AALF010643-RA.1	aae-miR-11900	1
AALF010566-RA.1	aae-miR-276-3p	1
AALF000385-RA.1	aae-miR-11900	1
AALF013131-RA.1	aae-miR-4275-5p	1
AALF012242-RA.1	aae-miR-308-3p,aae-bantam-3p,aae-miR-999-3p	3
AALF013183-RA.1	aae-bantam-5p	1
AALF020595-RA.1	aae-miR-308-3p,aae-miR-999-3p	2
AALF007403-RA.1	aae-miR-276-3p,aae-miR-305-5p	2
AALF005009-RA.1	aae-miR-210-5p,aae-miR-1000-5p	2
AALF006720-RA.1	aae-miR-1000-5p	1
AALF009285-RA.1	aae-miR-305-5p	1
AALF008473-RA.1	aae-miR-11900,aae-miR-2945-3p	2
AALF006156-RA.1	aae-miR-11900	1
AALF002317-RA.1	aae-miR-308-3p,aae-miR-11900,aae-bantam-3p,aae-miR-999-3p,aae-miR-1175-3p,aae-miR-3722-5p,aae-miR-932-5p	7
AALF018167-RA.1	aae-miR-11900	1
AALF018013-RA.1	aae-miR-11900	1
AALF001505-RA.1	aae-miR-11900,aae-miR-3722-5p	2
AALF004994-RA.1	aae-miR-210-5p	1
AALF013439-RA.1	aae-miR-11900	1
AALF007174-RA.1	aae-miR-5119-5p	1
AALF012319-RA.1	aae-miR-11900,aae-miR-210-5p,aae-miR-1000-5p,aae-miR-3368-5p,aae-miR-124-3p,aae-miR-2945-3p,aae-miR-999-3p,aae-miR-932-5p	8
AALF015500-RA.1	aae-miR-305-5p,aae-miR-11900	2
AALF005473-RA.1	aae-miR-5119-5p	1
AALF014226-RA.1	aae-miR-276-3p,aae-miR-305-5p,aae-miR-124-3p,aae-miR-932-5p	4
AALF025810-RA.1	aae-miR-210-5p	1
AALF025579-RA.1	aae-miR-3722-5p	1
AALF025348-RA.1	aae-miR-305-5p	1
AALF011636-RA.1	aae-miR-11900	1
AALF025015-RA.1	aae-bantam-5p	1
AALF012962-RA.1	aae-bantam-5p,aae-miR-999-3p,aae-miR-1175-3p	3
AALF024434-RA.1	aae-miR-11900	1
AALF023622-RA.1	aae-miR-11900	1
AALF023468-RA.1	aae-miR-1175-3p	1
AALF020801-RA.1	aae-miR-3368-5p	1
AALF022862-RA.1	aae-miR-999-3p	1
AALF009106-RA.1	aae-miR-1000-5p,aae-miR-999-3p	2
AALF006901-RA.1	aae-miR-5108-5p	1
AALF003603-RA.1	aae-miR-1000-5p,aae-miR-5119-5p	2
AALF011827-RA.1	aae-miR-11900	1
AALF002689-RA.1	aae-bantam-5p	1
AALF001107-RA.1	aae-miR-305-5p	1
AALF004750-RA.1	aae-miR-10-5p	1
AALF003245-RA.1	aae-miR-11900	1
AALF003322-RA.1	aae-bantam-5p	1
AALF002202-RA.1	aae-bantam-5p	1
AALF014213-RA.1	aae-let-7	1
AALF023428-RA.1	aae-miR-3722-5p	1
AALF001159-RA.1	aae-miR-305-5p,aae-miR-11900,aae-miR-999-3p	3
AALF014059-RA.1	aae-miR-11900,aae-miR-210-5p,aae-miR-2945-3p	3
AALF022308-RA.1	aae-miR-1000-5p	1
AALF016120-RA.1	aae-bantam-3p	1
AALF010657-RA.1	aae-bantam-3p	1
AALF005050-RA.1	aae-miR-11900	1
AALF012410-RA.1	aae-miR-2945-3p	1
AALF011598-RA.1	aae-bantam-5p,aae-miR-1175-3p	2
AALF020428-RA.1	aae-miR-276-3p,aae-miR-2945-3p,aae-miR-1175-3p,aae-miR-276-5p	4
AALF010555-RA.1	aae-miR-305-5p,aae-miR-11900,aae-miR-999-3p,aae-miR-932-5p	4
AALF014163-RA.1	aae-miR-305-5p,aae-miR-11900,aae-miR-210-5p,aae-miR-5119-5p,aae-miR-3722-5p	5
AALF022874-RA.1	aae-miR-11900	1
AALF013274-RA.1	aae-miR-305-5p	1
AALF025593-RA.1	aae-miR-999-3p	1
AALF025054-RA.1	aae-miR-2945-3p	1
AALF021754-RA.1	aae-miR-305-5p	1
AALF011342-RA.1	aae-miR-276-3p	1
AALF023199-RA.1	aae-bantam-3p,aae-miR-124-3p,aae-miR-5119-5p,aae-miR-3722-5p	4
AALF010453-RA.1	aae-bantam-5p	1
AALF020763-RA.1	aae-miR-11900,aae-miR-932-5p	2
AALF023790-RA.1	aae-miR-10-5p,aae-miR-4275-5p,aae-miR-308-3p,aae-miR-210-5p,aae-miR-1000-5p,aae-miR-3368-5p,aae-bantam-5p,aae-miR-1175-3p	8
AALF007802-RA.1	aae-miR-11900,aae-bantam-3p	2
AALF007777-RA.1	aae-miR-3722-5p	1
AALF027729-RA.1	aae-miR-276-3p	1
AALF026609-RA.1	aae-miR-11900	1
AALF028516-RA.1	aae-bantam-5p	1
AALF009351-RA.1	aae-miR-999-3p	1
AALF005743-RA.1	aae-miR-11900,aae-miR-932-5p	2
AALF018027-RA.1	aae-miR-2945-3p,aae-miR-999-3p,aae-miR-276-5p	3
AALF014727-RA.1	aae-miR-276-3p,aae-miR-305-5p,aae-miR-11900,aae-miR-3368-5p,aae-miR-1175-3p	5
AALF026969-RA.1	aae-miR-308-3p,aae-bantam-3p,aae-miR-1175-3p	3
AALF008231-RA.1	aae-miR-305-5p,aae-miR-11900	2
AALF028645-RA.1	aae-bantam-5p	1
AALF014779-RA.1	aae-let-7	1
AALF027910-RA.1	aae-miR-276-5p	1
AALF017498-RA.1	aae-bantam-3p,aae-miR-2945-3p	2
AALF016378-RA.1	aae-miR-11900	1
AALF016840-RA.1	aae-miR-5119-5p,aae-miR-1175-3p	2
AALF024858-RA.1	aae-miR-932-5p	1
AALF028158-RA.1	aae-miR-11900,aae-miR-3722-5p	2
AALF027115-RA.1	aae-miR-4275-5p,aae-miR-210-5p,aae-bantam-5p,aae-miR-2945-3p,aae-miR-999-3p,aae-miR-5108-5p,aae-miR-3722-5p	7
AALF023738-RA.1	aae-miR-308-3p,aae-bantam-3p,aae-miR-1000-5p,aae-miR-5119-5p,aae-bantam-5p,aae-miR-1175-3p	6
AALF023944-RA.1	aae-miR-124-3p	1
AALF001556-RA.1	aae-miR-276-3p,aae-miR-11900,aae-miR-124-3p,aae-bantam-5p,aae-miR-1175-3p,aae-miR-3722-5p,aae-miR-932-5p	7
AALF000205-RA.1	aae-miR-11900	1
AALF002035-RA.1	aae-miR-11900,aae-miR-3722-5p	2
AALF002266-RA.1	aae-miR-3722-5p	1
AALF013157-RA.1	aae-miR-124-3p	1
AALF003361-RA.1	aae-miR-11900	1
AALF011379-RA.1	aae-let-7	1
AALF011225-RA.1	aae-miR-11900	1
AALF010259-RA.1	aae-miR-276-3p,aae-miR-932-5p	2
AALF000386-RA.1	aae-bantam-5p	1
AALF021458-RA.1	aae-miR-276-3p,aae-miR-305-5p,aae-miR-4275-5p,aae-miR-11900,aae-bantam-3p,aae-miR-1000-5p,aae-miR-5119-5p,aae-miR-999-3p,aae-miR-1175-3p,aae-miR-5108-5p,aae-miR-3722-5p	11
AALF020313-RA.1	aae-miR-3368-5p	1
AALF020159-RA.1	aae-miR-11900	1
AALF010440-RA.1	aae-miR-5119-5p	1
AALF019815-RA.1	aae-miR-2945-3p,aae-miR-3722-5p	2
AALF020750-RA.1	aae-miR-11900	1
AALF020263-RA.1	aae-miR-305-5p	1
AALF020392-RA.1	aae-miR-124-3p,aae-bantam-5p	2
AALF007533-RA.1	aae-miR-932-5p	1
AALF002959-RA.1	aae-miR-4275-5p	1
AALF007585-RA.1	aae-miR-3722-5p	1
AALF004610-RA.1	aae-miR-210-5p	1
AALF004148-RA.1	aae-miR-1175-3p	1
AALF002755-RA.1	aae-miR-11900	1
AALF027127-RA.1	aae-miR-3722-5p	1
AALF013877-RA.1	aae-miR-5108-5p	1
AALF017793-RA.1	aae-miR-276-3p,aae-miR-4275-5p,aae-miR-308-3p,aae-bantam-3p,aae-miR-1000-5p,aae-miR-999-3p,aae-miR-1175-3p,aae-miR-5108-5p,aae-miR-3722-5p,aae-miR-932-5p	10
AALF013415-RA.1	aae-miR-11900,aae-miR-1000-5p,aae-miR-3368-5p,aae-miR-5119-5p,aae-miR-999-3p,aae-miR-5108-5p,aae-miR-3722-5p	7
AALF025349-RA.1	aae-bantam-3p,aae-bantam-5p	2
AALF006184-RA.1	aae-bantam-3p	1
AALF024306-RA.1	aae-miR-11900	1
AALF024922-RA.1	aae-miR-10-5p	1
AALF014202-RA.1	aae-miR-11900,aae-miR-2945-3p	2
AALF027641-RA.1	aae-miR-4275-5p	1
AALF010979-RA.1	aae-miR-276-3p,aae-miR-308-3p	2
AALF014587-RA.1	aae-miR-4275-5p	1
AALF028582-RA.1	aae-miR-3368-5p	1
AALF024512-RA.1	aae-miR-3368-5p	1
AALF011766-RA.1	aae-bantam-3p,aae-miR-3722-5p	2
AALF028043-RA.1	aae-miR-3722-5p	1
AALF011997-RA.1	aae-miR-305-5p,aae-miR-11900	2
AALF028274-RA.1	aae-miR-305-5p	1
AALF024435-RA.1	aae-miR-4275-5p	1
AALF026342-RA.1	aae-miR-305-5p	1
AALF013981-RA.1	aae-miR-1000-5p,aae-miR-3368-5p	2
AALF021922-RA.1	aae-bantam-3p,aae-let-7	2
AALF016161-RA.1	aae-miR-276-3p	1
AALF024872-RA.1	aae-miR-4275-5p	1
AALF023573-RA.1	aae-miR-1000-5p	1
AALF017818-RA.1	aae-miR-3368-5p	1
AALF010273-RA.1	aae-miR-308-3p	1
AALF019956-RA.1	aae-miR-11900	1
AALF009698-RA.1	aae-miR-5119-5p	1
AALF007997-RA.1	aae-miR-308-3p	1
AALF016956-RA.1	aae-miR-308-3p	1
AALF018786-RA.1	aae-miR-4275-5p	1
AALF011905-RA.1	aae-miR-11900	1
AALF001108-RA.1	aae-miR-10-5p,aae-miR-11900	2
AALF004135-RA.1	aae-miR-999-3p	1
AALF004520-RA.1	aae-miR-3722-5p	1
AALF004443-RA.1	aae-miR-305-5p	1
AALF016069-RA.1	aae-miR-124-3p,aae-miR-276-5p	2
AALF011418-RA.1	aae-miR-308-3p	1
AALF014445-RA.1	aae-miR-305-5p,aae-miR-3368-5p,aae-miR-1175-3p,aae-miR-932-5p	4
AALF005153-RA.1	aae-miR-4275-5p,aae-miR-2945-3p	2
AALF017164-RA.1	aae-miR-124-3p,aae-miR-3722-5p	2
AALF004187-RA.1	aae-miR-305-5p,aae-miR-5108-5p	2
AALF000656-RA.1	aae-miR-276-3p	1
AALF025028-RA.1	aae-miR-5108-5p	1
AALF023558-RA.1	aae-miR-1000-5p	1
AALF025311-RA.1	aae-miR-5119-5p	1
AALF024268-RA.1	aae-miR-11900	1
AALF015361-RA.1	aae-miR-11900	1
AALF024499-RA.1	aae-miR-4275-5p,aae-miR-999-3p	2
AALF024730-RA.1	aae-bantam-5p	1
AALF010710-RA.1	aae-miR-5108-5p	1
AALF026098-RA.1	aae-miR-308-3p	1
AALF020712-RA.1	aae-miR-932-5p	1
AALF002282-RA.1	aae-miR-11900	1
AALF024474-RA.1	aae-miR-11900	1
AALF021037-RA.1	aae-miR-2945-3p	1
AALF011472-RA.1	aae-miR-210-5p	1
AALF021397-RA.1	aae-miR-5119-5p	1
AALF020662-RA.1	aae-miR-305-5p	1
AALF009787-RA.1	aae-bantam-3p	1
AALF018617-RA.1	aae-bantam-3p	1
AALF009710-RA.1	aae-miR-5119-5p	1
AALF006119-RA.1	aae-miR-276-3p	1
AALF009300-RA.1	aae-miR-11900	1
AALF009685-RA.1	aae-miR-3722-5p	1
AALF008103-RA.1	aae-miR-11900	1
AALF008334-RA.1	aae-miR-11900,aae-miR-1000-5p	2
AALF016814-RA.1	aae-miR-3722-5p	1
AALF015309-RA.1	aae-miR-932-5p	1
AALF006556-RA.1	aae-miR-11900,aae-miR-1175-3p,aae-miR-5108-5p	3
AALF006710-RA.1	aae-miR-1000-5p	1
AALF006993-RA.1	aae-miR-932-5p	1
AALF027988-RA.1	aae-miR-1000-5p	1
AALF008130-RA.1	aae-miR-11900	1
AALF017499-RA.1	aae-miR-5119-5p	1
AALF024936-RA.1	aae-bantam-3p,aae-miR-3722-5p	2
AALF024628-RA.1	aae-miR-305-5p	1
AALF018286-RA.1	aae-miR-308-3p,aae-miR-3368-5p	2
AALF017397-RA.1	aae-miR-210-5p,aae-bantam-5p,aae-miR-1175-3p,aae-miR-932-5p	4
AALF014961-RA.1	aae-miR-4275-5p,aae-miR-308-3p,aae-miR-210-5p,aae-miR-124-3p,aae-miR-999-3p,aae-miR-3722-5p	6
AALF004045-RA.1	aae-miR-4275-5p,aae-miR-11900,aae-bantam-5p,aae-miR-999-3p,aae-let-7	5
AALF012038-RA.1	aae-miR-5119-5p	1
AALF013133-RA.1	aae-miR-5119-5p	1
AALF002063-RA.1	aae-miR-305-5p,aae-miR-932-5p	2
AALF001790-RA.1	aae-miR-2945-3p	1
AALF010133-RA.1	aae-miR-11900	1
AALF021255-RA.1	aae-miR-1000-5p	1
AALF010493-RA.1	aae-miR-11900,aae-miR-2945-3p	2
AALF022273-RA.1	aae-miR-124-3p	1
AALF009029-RA.1	aae-bantam-3p	1
AALF022171-RA.1	aae-miR-999-3p,aae-miR-1175-3p	2
AALF006876-RA.1	aae-miR-11900	1
AALF006337-RA.1	aae-miR-11900	1
AALF002729-RA.1	aae-miR-4275-5p	1
AALF008321-RA.1	aae-miR-932-5p	1
AALF016416-RA.1	aae-miR-11900	1
AALF003978-RA.1	aae-miR-305-5p,aae-miR-11900,aae-miR-2945-3p,aae-miR-1175-3p,aae-let-7	5
AALF007432-RA.1	aae-miR-305-5p	1
AALF006466-RA.1	aae-miR-11900	1
AALF011919-RA.1	aae-miR-276-3p,aae-miR-4275-5p	2
AALF018169-RA.1	aae-miR-11900	1
AALF001815-RA.1	aae-miR-308-3p	1
AALF005731-RA.1	aae-miR-11900,aae-bantam-3p,aae-bantam-5p,aae-miR-999-3p	4
AALF018452-RA.1	aae-miR-308-3p,aae-bantam-5p	2
AALF025658-RA.1	aae-let-7	1
AALF003697-RA.1	aae-miR-11900	1
AALF025812-RA.1	aae-miR-305-5p,aae-miR-5119-5p	2
AALF015015-RA.1	aae-miR-2945-3p	1
AALF019162-RA.1	aae-bantam-3p,aae-bantam-5p,aae-miR-2945-3p	3
AALF023649-RA.1	aae-miR-11900,aae-miR-3368-5p,aae-miR-124-3p,aae-miR-2945-3p	4
AALF025941-RA.1	aae-miR-3722-5p	1
AALF024898-RA.1	aae-miR-3722-5p	1
AALF026420-RA.1	aae-bantam-3p	1
AALF021923-RA.1	aae-miR-4275-5p	1
AALF027130-RA.1	aae-miR-11900	1
AALF014692-RA.1	aae-miR-34-5p	1
AALF023599-RA.1	aae-miR-3368-5p,aae-miR-999-3p,aae-miR-1175-3p	3
AALF027053-RA.1	aae-miR-124-3p	1
AALF013880-RA.1	aae-bantam-3p	1
AALF025583-RA.1	aae-miR-3722-5p	1
AALF000066-RA.1	aae-miR-210-5p,aae-miR-2945-3p	2
AALF008758-RA.1	aae-miR-3368-5p	1
AALF010480-RA.1	aae-miR-11900	1
AALF009982-RA.1	aae-miR-999-3p	1
AALF009520-RA.1	aae-miR-11900	1
AALF008785-RA.1	aae-miR-305-5p,aae-miR-4275-5p,aae-miR-308-3p,aae-miR-11900,aae-miR-3368-5p,aae-miR-5119-5p,aae-miR-1175-3p,aae-let-7,aae-miR-3722-5p,aae-miR-932-5p	10
AALF016957-RA.1	aae-miR-4275-5p	1
AALF028558-RA.1	aae-miR-305-5p	1
AALF006376-RA.1	aae-miR-932-5p	1
AALF007163-RA.1	aae-miR-11900,aae-miR-3722-5p	2
AALF003555-RA.1	aae-miR-308-3p	1
AALF002435-RA.1	aae-miR-11900	1
AALF002897-RA.1	aae-miR-3722-5p	1
AALF011419-RA.1	aae-miR-1000-5p	1
AALF002743-RA.1	aae-miR-276-3p	1
AALF001315-RA.1	aae-miR-305-5p,aae-miR-11900	2
AALF004881-RA.1	aae-miR-305-5p,aae-miR-11900	2
AALF016199-RA.1	aae-miR-1175-3p	1
AALF002410-RA.1	aae-miR-2945-3p	1
AALF010813-RA.1	aae-miR-305-5p	1
AALF013455-RA.1	aae-miR-932-5p	1
AALF000324-RA.1	aae-miR-5119-5p	1
AALF000555-RA.1	aae-miR-1000-5p	1
AALF011831-RA.1	aae-miR-932-5p	1
AALF010326-RA.1	aae-miR-5119-5p	1
AALF001650-RA.1	aae-miR-276-3p,aae-miR-11900,aae-miR-5119-5p	3
AALF012156-RA.1	aae-miR-3368-5p	1
AALF010378-RA.1	aae-miR-276-3p,aae-bantam-3p	2
AALF025160-RA.1	aae-miR-3722-5p	1
AALF009659-RA.1	aae-miR-308-3p	1
AALF008616-RA.1	aae-miR-124-3p,aae-miR-34-5p	2
AALF022185-RA.1	aae-miR-308-3p,aae-miR-5108-5p	2
AALF007727-RA.1	aae-miR-11900,aae-miR-3722-5p	2
AALF009711-RA.1	aae-miR-11900	1
AALF008668-RA.1	aae-miR-10-5p	1
AALF019713-RA.1	aae-miR-276-3p	1
AALF008335-RA.1	aae-bantam-3p	1
AALF005745-RA.1	aae-miR-308-3p	1
AALF008464-RA.1	aae-miR-5119-5p	1
AALF017679-RA.1	aae-miR-1000-5p	1
AALF006763-RA.1	aae-miR-308-3p	1
AALF019047-RA.1	aae-miR-305-5p,aae-let-7	2
AALF014704-RA.1	aae-miR-308-3p	1
AALF028468-RA.1	aae-miR-3722-5p	1
AALF017552-RA.1	aae-miR-11900	1
AALF026228-RA.1	aae-miR-276-3p,aae-miR-308-3p,aae-bantam-5p,aae-miR-1175-3p,aae-miR-5108-5p,aae-miR-3722-5p	6
AALF000617-RA.1	aae-miR-305-5p,aae-miR-11900,aae-miR-3368-5p,aae-miR-3722-5p	4
AALF028366-RA.1	aae-miR-11900	1
AALF025982-RA.1	aae-miR-305-5p	1
AALF028470-RA.1	aae-miR-1000-5p	1
AALF005091-RA.1	aae-miR-11900,aae-miR-999-3p	2
AALF014152-RA.1	aae-miR-1000-5p	1
AALF000671-RA.1	aae-miR-1000-5p	1
AALF013186-RA.1	aae-miR-1000-5p	1
AALF023342-RA.1	aae-miR-11900,aae-miR-932-5p	2
AALF013392-RA.1	aae-miR-11900	1
AALF022068-RA.1	aae-miR-3722-5p	1
AALF018247-RA.1	aae-miR-11900,aae-bantam-5p,aae-miR-932-5p	3
AALF008220-RA.1	aae-miR-5119-5p	1
AALF003954-RA.1	aae-miR-276-3p	1
AALF016238-RA.1	aae-miR-276-3p,aae-miR-11900	2
AALF016546-RA.1	aae-miR-124-3p,aae-miR-3722-5p	2
AALF016469-RA.1	aae-miR-276-3p,aae-miR-2945-3p,aae-miR-1175-3p,aae-miR-932-5p	4
AALF027668-RA.1	aae-miR-305-5p,aae-miR-124-3p,aae-miR-932-5p	3
AALF005399-RA.1	aae-miR-4275-5p,aae-miR-11900,aae-bantam-5p	3
AALF004202-RA.1	aae-miR-1175-3p,aae-miR-3722-5p	2
AALF026317-RA.1	aae-miR-1175-3p	1
AALF007691-RA.1	aae-miR-11900	1
AALF016213-RA.1	aae-miR-3722-5p	1
AALF004562-RA.1	aae-bantam-3p	1
AALF013777-RA.1	aae-miR-1175-3p	1
AALF025788-RA.1	aae-miR-932-5p	1
AALF016240-RA.1	aae-miR-3722-5p	1
AALF016471-RA.1	aae-miR-1175-3p	1
AALF015582-RA.1	aae-miR-276-3p,aae-miR-305-5p,aae-miR-11900,aae-miR-1175-3p,aae-miR-932-5p,aae-miR-34-5p	6
AALF027285-RA.1	aae-miR-11900	1
AALF027131-RA.1	aae-miR-4275-5p,aae-miR-2945-3p	2
AALF026192-RA.1	aae-miR-210-5p	1
AALF011241-RA.1	aae-miR-305-5p	1
AALF010352-RA.1	aae-miR-308-3p	1
AALF007947-RA.1	aae-miR-1000-5p,aae-miR-999-3p	2
AALF008786-RA.1	aae-miR-276-3p	1
AALF018788-RA.1	aae-miR-1000-5p	1
AALF006146-RA.1	aae-miR-3368-5p,aae-miR-3722-5p	2
AALF016225-RA.1	aae-miR-11900	1
AALF011805-RA.1	aae-miR-11900	1
AALF011728-RA.1	aae-miR-4275-5p	1
AALF001547-RA.1	aae-miR-4275-5p,aae-miR-11900	2
AALF001316-RA.1	aae-bantam-5p	1
AALF011857-RA.1	aae-miR-3368-5p	1
AALF002334-RA.1	aae-bantam-3p	1
AALF002642-RA.1	aae-miR-308-3p	1
AALF001368-RA.1	aae-miR-3368-5p	1
AALF014114-RA.1	aae-miR-11900,aae-miR-1000-5p	2
AALF014730-RA.1	aae-miR-308-3p,aae-miR-2945-3p	2
AALF027014-RA.1	aae-miR-305-5p	1
AALF025159-RA.1	aae-miR-11900	1
AALF015594-RA.1	aae-miR-3368-5p,aae-miR-1175-3p	2
AALF011447-RA.1	aae-miR-305-5p,aae-miR-1175-3p	2
AALF027143-RA.1	aae-miR-3722-5p	1
AALF022338-RA.1	aae-miR-11900,aae-miR-2945-3p	2
AALF022415-RA.1	aae-miR-305-5p	1
AALF021526-RA.1	aae-miR-11900	1
AALF015184-RA.1	aae-miR-276-5p	1
AALF011653-RA.1	aae-miR-4275-5p,aae-miR-932-5p	2
AALF027041-RA.1	aae-miR-308-3p	1
AALF023664-RA.1	aae-miR-305-5p,aae-bantam-5p	2
AALF022698-RA.1	aae-miR-11900	1
AALF021116-RA.1	aae-miR-305-5p,aae-miR-3368-5p	2
AALF024143-RA.1	aae-miR-11900	1
AALF011474-RA.1	aae-miR-11900	1
AALF024066-RA.1	aae-miR-5119-5p	1
AALF022981-RA.1	aae-miR-11900	1
AALF009737-RA.1	aae-miR-11900,aae-bantam-3p,aae-miR-124-3p,aae-miR-5119-5p,aae-miR-999-3p,aae-miR-3722-5p	6
AALF008617-RA.1	aae-miR-308-3p	1
AALF007703-RA.1	aae-miR-308-3p	1
AALF005848-RA.1	aae-bantam-5p	1
AALF006943-RA.1	aae-miR-11900	1
AALF008773-RA.1	aae-miR-276-5p	1
AALF007653-RA.1	aae-miR-11900	1
AALF015517-RA.1	aae-miR-11900	1
AALF028417-RA.1	aae-bantam-5p,aae-miR-2945-3p	2
AALF028469-RA.1	aae-miR-1000-5p,aae-miR-3368-5p,aae-miR-1175-3p,aae-miR-932-5p	4
AALF027349-RA.1	aae-miR-5119-5p	1
AALF017784-RA.1	aae-bantam-5p	1
AALF003029-RA.1	aae-miR-305-5p	1
AALF027786-RA.1	aae-miR-1175-3p	1
AALF025931-RA.1	aae-bantam-3p	1
