"species","mirna","enrichment_fdr","n_genes","pathway_genes","fold_enrichment","pathway","url","gene_id","Description","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","ensembl_id","source"
"Aedes albopictus","aal-miR-193-5p",0.00675596,2,18,54.1203704,"GO:0006665 sphingolipid metabolic proc.","http://amigo.geneontology.org/amigo/term/GO:0006665","CCG012626.1","Putative fatty acid desaturase [Source:UniProtKB/TrEMBL;Acc:A0A023EQQ3]","GO Biological Process","phospholipid","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-252b-5p",0.02618575,2,48,34.7916667,"GO:0101005 deubiquitinase activity","http://amigo.geneontology.org/amigo/term/GO:0101005","CCG007937.2","ubiquitin specific protease [Source:Projected from Aedes aegypti (AAEL010184) VB Community Annotation]","GO Molecular Function","immune","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-252b-5p",0.02618575,2,48,34.7916667,"GO:0101005 deubiquitinase activity","http://amigo.geneontology.org/amigo/term/GO:0101005","CCG020002.2","signalosome subunit [Source:Projected from Aedes aegypti (AAEL014282) VB Community Annotation]","GO Molecular Function","immune","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-252b-5p",0.02618575,2,50,33.4,"GO:0019783 ubiquitin-like protein peptidase activity","http://amigo.geneontology.org/amigo/term/GO:0019783","CCG007937.2","ubiquitin specific protease [Source:Projected from Aedes aegypti (AAEL010184) VB Community Annotation]","GO Molecular Function","immune","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-252b-5p",0.02618575,2,50,33.4,"GO:0019783 ubiquitin-like protein peptidase activity","http://amigo.geneontology.org/amigo/term/GO:0019783","CCG020002.2","signalosome subunit [Source:Projected from Aedes aegypti (AAEL014282) VB Community Annotation]","GO Molecular Function","immune","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-622",0.0106461,3,48,14.8099662,"GO:0101005 deubiquitinase activity","http://amigo.geneontology.org/amigo/term/GO:0101005","CCG007937.2","ubiquitin specific protease [Source:Projected from Aedes aegypti (AAEL010184) VB Community Annotation]","GO Molecular Function","immune","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-622",0.0106461,3,48,14.8099662,"GO:0101005 deubiquitinase activity","http://amigo.geneontology.org/amigo/term/GO:0101005","RP20_CCG008969.2","ubiquitin specific protease 2, [Source:Projected from Aedes aegypti (AAEL010854) VB Community Annotation]","GO Molecular Function","immune","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-622",0.0106461,3,48,14.8099662,"GO:0101005 deubiquitinase activity","http://amigo.geneontology.org/amigo/term/GO:0101005","CCG020002.2","signalosome subunit [Source:Projected from Aedes aegypti (AAEL014282) VB Community Annotation]","GO Molecular Function","immune","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-622",0.01136049,3,50,14.2175676,"GO:0019783 ubiquitin-like protein peptidase activity","http://amigo.geneontology.org/amigo/term/GO:0019783","CCG007937.2","ubiquitin specific protease [Source:Projected from Aedes aegypti (AAEL010184) VB Community Annotation]","GO Molecular Function","immune","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-622",0.01136049,3,50,14.2175676,"GO:0019783 ubiquitin-like protein peptidase activity","http://amigo.geneontology.org/amigo/term/GO:0019783","RP20_CCG008969.2","ubiquitin specific protease 2, [Source:Projected from Aedes aegypti (AAEL010854) VB Community Annotation]","GO Molecular Function","immune","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-622",0.01136049,3,50,14.2175676,"GO:0019783 ubiquitin-like protein peptidase activity","http://amigo.geneontology.org/amigo/term/GO:0019783","CCG020002.2","signalosome subunit [Source:Projected from Aedes aegypti (AAEL014282) VB Community Annotation]","GO Molecular Function","immune","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-993-3p",0.00678162,2,18,64.9444444,"GO:0006665 sphingolipid metabolic proc.","http://amigo.geneontology.org/amigo/term/GO:0006665","CCG001475.1","Non-lysosomal glucosylceramidase [Source:UniProtKB/TrEMBL;Acc:A0A182G2J8]","GO Biological Process","phospholipid","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-993-3p",0.00678162,2,18,64.9444444,"GO:0006665 sphingolipid metabolic proc.","http://amigo.geneontology.org/amigo/term/GO:0006665","CCG012626.1","Putative fatty acid desaturase [Source:UniProtKB/TrEMBL;Acc:A0A023EQQ3]","GO Biological Process","phospholipid","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-998",0.0129886,3,41,27.8923648,"GO:0061919 proc. utilizing autophagic mechanism","http://amigo.geneontology.org/amigo/term/GO:0061919","CCG005424.1","Putative secreted protein [Source:UniProtKB/TrEMBL;Acc:A0A023EFR8]","GO Biological Process","immune","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-998",0.0129886,3,41,27.8923648,"GO:0061919 proc. utilizing autophagic mechanism","http://amigo.geneontology.org/amigo/term/GO:0061919","CCG013738.1","Putative gtp-binding protein [Source:UniProtKB/TrEMBL;Acc:A0A023EJY2]","GO Biological Process","immune","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-998",0.0129886,3,41,27.8923648,"GO:0061919 proc. utilizing autophagic mechanism","http://amigo.geneontology.org/amigo/term/GO:0061919","CCG016318.3","Putative gtp-binding protein [Source:UniProtKB/TrEMBL;Acc:A0A023EJY2]","GO Biological Process","immune","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-998",0.0129886,3,41,27.8923648,"GO:0006914 autophagy","http://amigo.geneontology.org/amigo/term/GO:0006914","CCG005424.1","Putative secreted protein [Source:UniProtKB/TrEMBL;Acc:A0A023EFR8]","GO Biological Process","immune","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-998",0.0129886,3,41,27.8923648,"GO:0006914 autophagy","http://amigo.geneontology.org/amigo/term/GO:0006914","CCG013738.1","Putative gtp-binding protein [Source:UniProtKB/TrEMBL;Acc:A0A023EJY2]","GO Biological Process","immune","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-998",0.0129886,3,41,27.8923648,"GO:0006914 autophagy","http://amigo.geneontology.org/amigo/term/GO:0006914","CCG016318.3","Putative gtp-binding protein [Source:UniProtKB/TrEMBL;Acc:A0A023EJY2]","GO Biological Process","immune","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-1951",0.00869113,2,17,28.6519608,"Path:aalb04144 Endocytosis","http://www.genome.jp/kegg-bin/show_pathway?aalb04144","RP20_CCG008942","Putative vacuolar assembly/sorting protein did2 [Source:UniProtKB/TrEMBL;Acc:A0A023EJE6]","KEGG","other","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-1951",0.00869113,2,17,28.6519608,"Path:aalb04144 Endocytosis","http://www.genome.jp/kegg-bin/show_pathway?aalb04144","CCG007727.1","adaptin, alpha/gamma/epsilon [Source:Projected from Aedes aegypti (AAEL004469) VB Community Annotation]","KEGG","other","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-2943",0.00772479,2,6,94.2741935,"GO:0010506 reg. of autophagy","http://amigo.geneontology.org/amigo/term/GO:0010506","CCG008411.1","myotubularin [Source:Projected from Aedes aegypti lvpagwg (AAEL003083) VB Community Annotation]","GO Biological Process","immune","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus","aal-miR-2943",0.00772479,2,6,94.2741935,"GO:0010506 reg. of autophagy","http://amigo.geneontology.org/amigo/term/GO:0010506","RP20_CCG012046","myotubularin [Source:Projected from Aedes aegypti (AAEL003083) VB Community Annotation]","GO Biological Process","immune","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
