"species","enrichment_fdr","n_genes","pathway_genes","fold_enrichment","pathway","url","gene_id","Description","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","ensembl_id","source"
"Aedes aegypti",0.01294351,12,91,3.20799201,"Path:aag04013 MAPK signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04013","A0A1S4FJZ7","jnk","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.01294351,12,91,3.20799201,"Path:aag04013 MAPK signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04013","A0A1S4FKB3","jnk","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.01294351,12,91,3.20799201,"Path:aag04013 MAPK signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04013","Q16XW4","shc transforming protein","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.01294351,12,91,3.20799201,"Path:aag04013 MAPK signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04013","A0A0P6K0X9",NA,"KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.01294351,12,91,3.20799201,"Path:aag04013 MAPK signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04013","Q17H88","homeobox protein prospero/prox-1","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.01294351,12,91,3.20799201,"Path:aag04013 MAPK signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04013","Q16L96","mitogen activated protein kinase kinase 2, mapkk2, mek2","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.01294351,12,91,3.20799201,"Path:aag04013 MAPK signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04013","Q0IE98",NA,"KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.01294351,12,91,3.20799201,"Path:aag04013 MAPK signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04013","Q17EH0",NA,"KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.01294351,12,91,3.20799201,"Path:aag04013 MAPK signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04013","Q17GI1","dual specificity mitogen-activated protein kinase kinase 4 MAPKK4","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes albopictus",0.00263248,5,17,8.80094359,"Path:aalb04144 Endocytosis","http://www.genome.jp/kegg-bin/show_pathway?aalb04144","RP20_CCG008942","Putative vacuolar assembly/sorting protein did2 [Source:UniProtKB/TrEMBL;Acc:A0A023EJE6]","KEGG","other","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus",0.00263248,5,17,8.80094359,"Path:aalb04144 Endocytosis","http://www.genome.jp/kegg-bin/show_pathway?aalb04144","CCG007727.1","adaptin, alpha/gamma/epsilon [Source:Projected from Aedes aegypti (AAEL004469) VB Community Annotation]","KEGG","other","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus",0.00263248,5,17,8.80094359,"Path:aalb04144 Endocytosis","http://www.genome.jp/kegg-bin/show_pathway?aalb04144","RP20_CCG008844","Putative vacuolar sorting protein vps24 [Source:UniProtKB/TrEMBL;Acc:A0A023EK15]","KEGG","other","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus",0.00263248,5,17,8.80094359,"Path:aalb04144 Endocytosis","http://www.genome.jp/kegg-bin/show_pathway?aalb04144","RP20_CCG004523","charged multivesicular body protein 4b [Source:Projected from Aedes aegypti (AAEL001698) VB Community Annotation]","KEGG","other","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
"Aedes albopictus",0.00263248,5,17,8.80094359,"Path:aalb04144 Endocytosis","http://www.genome.jp/kegg-bin/show_pathway?aalb04144","CCG013202.1","Putative gtpase rab1/ypt1 small g protein superfamily [Source:UniProtKB/TrEMBL;Acc:A0A023EJS4]","KEGG","other","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
