"species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_id_network","matching_proteins_labels_network","annotation","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16JH7","AAEL012339","AAEL012339-PA; Belongs to the protein kinase superfamily.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16JQ3","AAEL013250","AAEL013250-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16JV4","AAEL013203","AAEL013203-PA; Belongs to the peptidase C19 family.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16JZ7","GPRFZ1","GPCR Frizzled/Smoothened Family; Belongs to the G-protein coupled receptor Fz/Smo family.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16K82","AAEL013086","AAEL013086-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16LF8","AAEL012657","AAEL012657-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16M89","AAEL012381","AAEL012381-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16MZ3","AAEL012138","AAEL012138-PB.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16N45","AAEL012092","AAEL012092-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16NT2","AAEL011867","AAEL011867-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16PA7","AAEL011709","Diacylglycerol kinase.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16PQ3","AAEL011576","AAEL011576-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16PY9","AAEL011480","AAEL011480-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16Q37","AAEL011432","AAEL011432-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16QS4","AAEL011191","AAEL011191-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16TH4","AAEL010226","AAEL010226-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16TJ0","AAEL010222","AAEL010222-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16TV2","AAEL010124","Phosphoinositide phospholipase C.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16U75","AAEL010015","AAEL010015-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16U83","GPRFZ7","AAEL009983-PA; Belongs to the G-protein coupled receptor Fz/Smo family.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16VE7","AAEL009588","Expressed protein (HR3).","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16VT5","AAEL009437","AAEL009437-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16W25","AAEL009364","AAEL009364-PA; Belongs to the protein kinase superfamily.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16W86","AAEL009300","AAEL009300-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16WA7","AAEL009304","AAEL009304-PA; Belongs to the syntaxin family.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16WI5","AAEL009212","AAEL009212-PC.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16WN0","AAEL009171","AAEL009171-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16XQ1","AAEL008816","Vesicular monoamine transporter, putative.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16YV5","AAEL008421","AAEL008421-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16ZQ0","AAEL008122","AAEL008122-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q171F2","AAEL007664","Nicotinic acetylcholine receptor subunit.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q171F9","AAEL007659","AAEL007659-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q173I2","AAEL007144","AAEL007144-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q174F6","AAEL006911","Microtubule-associated protein.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q174S1","AAEL006783","Histone-lysine N-methyltransferase, H3 lysine-79 specific.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q175E6","AAEL006664","AAEL006664-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q175Q0","AAEL006596","AAEL006596-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q175T7","AAEL006555","AAEL006555-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q176D4","AAEL006439","Dual specificity protein phosphatase; Dual specificity phosphatase able to dephosphorylate phosphotyrosine, phosphoserine and phosphothreonine residues, with a preference for phosphotyrosine as a substrate. Belongs to the protein-tyrosine phosphatase family. Non- receptor class dual specificity subfamily.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q176R3","fru","FRU non-sex-specific P1 isoform.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q177Z0","AAEL005985","Autophagy-related protein 13; Belongs to the ATG13 family. Metazoan subfamily.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17AN7","AAEL005246","AAEL005246-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17AN8","AAEL005247","AAEL005247-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17BB1","AAEL005033","AAEL005033-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17BL6","AAEL004918","AAEL004918-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17C29","AAEL004715","AAEL004715-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17C40","AAEL004720","Dedicator of cytokinesis protein 9; Belongs to the DOCK family.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17C42","AAEL004731","AAEL004731-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17CH0","AAEL004542","AAEL004542-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17CU7","AAEL004420","AAEL004420-PB.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17CY1","AAEL004391","AAEL004391-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17DB8","AAEL004259","RNA-binding protein lin-28.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17E14","AAEL003989","AAEL003989-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17E15","AAEL003979","Deadenylation factor EDEN-BP, putative.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17E51","AAEL003978","AAEL003978-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17E87","AAEL003901","AAEL003901-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17EP7","AAEL003731","Nuclear body associated kinase, putative.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17ET2","AAEL003688","AAEL003688-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17F60","AAEL003560","POU domain protein.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17FE8","AAEL003407","AAEL003407-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17FE9","AAEL003414","AAEL003414-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17FH2","AAEL003420","AAEL003420-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17FK6","AAEL003375","AAEL003375-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17FK7","AAEL003381","AAEL003381-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17FQ2","AAEL003357","AAEL003357-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17FY6","AAEL003252","AAEL003252-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17G33","AAEL003208","Tubby, putative; Belongs to the TUB family.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17GF1","AAEL003092","AAEL003092-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17GH6","AAEL003014","AAEL003014-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17GN3","AAEL002928","AAEL002928-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17GU4","AAEL002896","AAEL002896-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17ID1","AAEL002369","AAEL002369-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17JX3","AAEL001901","AAEL001901-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17KB4","AAEL001738","AAEL001738-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17KU9","AAEL001571","AAEL001571-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17MT2","AAEL000857","AAEL000857-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17NP6","AAEL000597","AAEL000597-PA; Cadherins are calcium-dependent cell adhesion proteins.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q17NS1","AAEL000623","AAEL000623-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q1DGD9","AAEL015672","AAEL015672-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q1DGJ8","AAEL015603","Ceramide kinase.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q1HR82","AAEL013359","DEAD box ATP-dependent RNA helicase; Belongs to the DEAD box helicase family.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050794","Regulation of cellular process",86,4893,0.22,0.49,0.00014,"J9HTN1","GPRGHP4","GPCR Growth Hormone Releasing Hormone Family; Belongs to the G-protein coupled receptor 1 family.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050794","Regulation of cellular process",86,4893,0.22,0.49,0.00014,"J9HTV7","AAEL801114","AAEL017419-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050794","Regulation of cellular process",86,4893,0.22,0.49,0.00014,"J9HZD6","J9HZD6_AEDAE","Phosphoinositide phospholipase C.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050794","Regulation of cellular process",86,4893,0.22,0.49,0.00014,"J9HZV2","J9HZV2_AEDAE","AAEL017168-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050794","Regulation of cellular process",86,4893,0.22,0.49,0.00014,"Q0IEC2","AAEL011420","AAEL011420-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050794","Regulation of cellular process",86,4893,0.22,0.49,0.00014,"Q0IFQ3","AAEL004167","AAEL004167-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050794","Regulation of cellular process",86,4893,0.22,0.49,0.00014,"Q16G66","AAEL014507","AAEL014507-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050794","Regulation of cellular process",86,4893,0.22,0.49,0.00014,"Q16HG5","AAEL014033","AAEL014033-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050794","Regulation of cellular process",86,4893,0.22,0.49,0.00014,"Q16HZ7","AAEL013847","Diacylglycerol kinase, zeta, iota.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050794","Regulation of cellular process",86,4893,0.22,0.49,0.00014,"Q16HZ8","AAEL013849","Diacylglycerol kinase, zeta, iota.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050794","Regulation of cellular process",86,4893,0.22,0.49,0.00014,"Q16JH7","AAEL012339","AAEL012339-PA; Belongs to the protein kinase superfamily.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050794","Regulation of cellular process",86,4893,0.22,0.49,0.00014,"Q16JQ3","AAEL013250","AAEL013250-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050794","Regulation of cellular process",86,4893,0.22,0.49,0.00014,"Q16JV4","AAEL013203","AAEL013203-PA; Belongs to the peptidase C19 family.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050794","Regulation of cellular process",86,4893,0.22,0.49,0.00014,"Q16JZ7","GPRFZ1","GPCR Frizzled/Smoothened Family; Belongs to the G-protein coupled receptor Fz/Smo family.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050794","Regulation of cellular process",86,4893,0.22,0.49,0.00014,"Q16K82","AAEL013086","AAEL013086-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050794","Regulation of cellular process",86,4893,0.22,0.49,0.00014,"Q16LF8","AAEL012657","AAEL012657-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
