#node	identifier	category	term ID	term description
MED19	7160.A0A182H615	STRING clusters	CL:13841	Cytochrome P450, and Mediator complex
MED19	7160.A0A182H615	STRING clusters	CL:13844	Cytochrome P450, and Mediator complex
MED19	7160.A0A182H615	STRING clusters	CL:13847	Cytochrome P450, and Mediator complex
MED19	7160.A0A182H615	STRING clusters	CL:13850	Cytochrome P450, and Mediator complex
MED19	7160.A0A182H615	STRING clusters	CL:13853	Cytochrome P450, and Mediator complex
MED19	7160.A0A182H615	STRING clusters	CL:13856	Cytochrome P450, and Mediator complex
MED19	7160.A0A182H615	STRING clusters	CL:13858	Cytochrome P450, and Mediator complex
MED19	7160.A0A182H615	STRING clusters	CL:13860	Cytochrome P450, and Mediator complex
MED19	7160.A0A182H615	STRING clusters	CL:13861	Cytochrome P450, and Mediator complex
MED19	7160.A0A182H615	STRING clusters	CL:13864	Mediator complex, and Cytochrome P450
MED19	7160.A0A182H615	STRING clusters	CL:13865	Mixed, incl. Mediator complex, and fatty-acyl-CoA biosynthetic process
MED19	7160.A0A182H615	STRING clusters	CL:13870	Mediator complex, and fatty-acyl-CoA biosynthetic process
MED19	7160.A0A182H615	STRING clusters	CL:13875	Mediator complex, and fatty-acyl-CoA biosynthetic process
MED19	7160.A0A182H615	STRING clusters	CL:13880	Mediator complex, and fatty-acyl-CoA biosynthetic process
MED19	7160.A0A182H615	STRING clusters	CL:13885	Mediator complex, and fatty-acyl-CoA biosynthetic process
MED19	7160.A0A182H615	STRING clusters	CL:13890	Mediator complex, and fatty-acyl-CoA biosynthetic process
MED19	7160.A0A182H615	STRING clusters	CL:13895	Mediator complex, and fatty-acyl-CoA biosynthetic process
MED19	7160.A0A182H615	STRING clusters	CL:13900	Mediator complex, and fatty-acyl-CoA biosynthetic process
MED19	7160.A0A182H615	STRING clusters	CL:13905	Mediator complex, and fatty-acyl-CoA biosynthetic process
MED19	7160.A0A182H615	STRING clusters	CL:13910	Mediator complex, and Vma22/CCDC115
MED19	7160.A0A182H615	STRING clusters	CL:13915	Mediator complex
MED19	7160.A0A182H615	STRING clusters	CL:13919	Mediator complex
MED19	7160.A0A182H615	STRING clusters	CL:13921	Activator, and Core mediator complex
MED19	7160.A0A182H615	STRING clusters	CL:13925	Activator
MED19	7160.A0A182H615	STRING clusters	CL:13929	Activator
MED19	7160.A0A182H615	Reactome	MAP-1266738	Developmental Biology
MED19	7160.A0A182H615	Reactome	MAP-1430728	Metabolism
MED19	7160.A0A182H615	Reactome	MAP-381340	Transcriptional regulation of white adipocyte differentiation
MED19	7160.A0A182H615	Reactome	MAP-400206	Regulation of lipid metabolism by PPARalpha
MED19	7160.A0A182H615	Reactome	MAP-556833	Metabolism of lipids
MED19	7160.A0A182H615	COMPARTMENTS	GOCC:0005622	Intracellular
MED19	7160.A0A182H615	COMPARTMENTS	GOCC:0005634	Nucleus
MED19	7160.A0A182H615	COMPARTMENTS	GOCC:0005654	Nucleoplasm
MED19	7160.A0A182H615	COMPARTMENTS	GOCC:0016592	Mediator complex
MED19	7160.A0A182H615	COMPARTMENTS	GOCC:0031974	Membrane-enclosed lumen
MED19	7160.A0A182H615	COMPARTMENTS	GOCC:0031981	Nuclear lumen
MED19	7160.A0A182H615	COMPARTMENTS	GOCC:0032991	Protein-containing complex
MED19	7160.A0A182H615	COMPARTMENTS	GOCC:0043226	Organelle
MED19	7160.A0A182H615	COMPARTMENTS	GOCC:0043227	Membrane-bounded organelle
MED19	7160.A0A182H615	COMPARTMENTS	GOCC:0043229	Intracellular organelle
MED19	7160.A0A182H615	COMPARTMENTS	GOCC:0043231	Intracellular membrane-bounded organelle
MED19	7160.A0A182H615	COMPARTMENTS	GOCC:0043233	Organelle lumen
MED19	7160.A0A182H615	COMPARTMENTS	GOCC:0070013	Intracellular organelle lumen
MED19	7160.A0A182H615	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
MED19	7160.A0A182H615	UniProt Keywords	KW-0010	Activator
MED19	7160.A0A182H615	UniProt Keywords	KW-0539	Nucleus
MED19	7160.A0A182H615	UniProt Keywords	KW-0804	Transcription
MED19	7160.A0A182H615	UniProt Keywords	KW-0805	Transcription regulation
MED19	7160.A0A182H615	Pfam	PF10278	Mediator of RNA pol II transcription subunit 19 
MED19	7160.A0A182H615	InterPro	IPR019403	Mediator complex, subunit Med19, metazoa
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0000003	Reproduction
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0000768	Syncytium formation by plasma membrane fusion
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0001667	Ameboidal-type cell migration
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0002009	Morphogenesis of an epithelium
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0002064	Epithelial cell development
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0002165	Instar larval or pupal development
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0003006	Developmental process involved in reproduction
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0006810	Transport
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0006897	Endocytosis
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0006909	Phagocytosis
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0006911	Phagocytosis, engulfment
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0006949	Syncytium formation
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0007154	Cell communication
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0007165	Signal transduction
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0007166	Cell surface receptor signaling pathway
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0007167	Enzyme-linked receptor protein signaling pathway
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0007169	Transmembrane receptor protein tyrosine kinase signaling pathway
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0007275	Multicellular organism development
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0007276	Gamete generation
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0007281	Germ cell development
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0007292	Female gamete generation
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0007297	Ovarian follicle cell migration
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0007298	Border follicle cell migration
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0007444	Imaginal disc development
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0007520	Myoblast fusion
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0007552	Metamorphosis
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0007560	Imaginal disc morphogenesis
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0009653	Anatomical structure morphogenesis
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0009791	Post-embryonic development
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0009886	Post-embryonic animal morphogenesis
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0009887	Animal organ morphogenesis
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0009888	Tissue development
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0009966	Regulation of signal transduction
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0009967	Positive regulation of signal transduction
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0009987	Cellular process
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0010324	Membrane invagination
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0010631	Epithelial cell migration
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0010646	Regulation of cell communication
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0010647	Positive regulation of cell communication
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0014902	Myotube differentiation
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0016043	Cellular component organization
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0016192	Vesicle-mediated transport
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0016477	Cell migration
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0019953	Sexual reproduction
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0022412	Cellular process involved in reproduction in multicellular organism
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0022414	Reproductive process
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0023051	Regulation of signaling
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0023052	Signaling
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0023056	Positive regulation of signaling
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0030154	Cell differentiation
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0030707	Ovarian follicle cell development
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0030855	Epithelial cell differentiation
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0032501	Multicellular organismal process
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0032502	Developmental process
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0032504	Multicellular organism reproduction
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0032872	Regulation of stress-activated MAPK cascade
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0032874	Positive regulation of stress-activated MAPK cascade
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0032956	Regulation of actin cytoskeleton organization
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0032970	Regulation of actin filament-based process
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0033043	Regulation of organelle organization
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0035239	Tube morphogenesis
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0035295	Tube development
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0042692	Muscle cell differentiation
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0043087	Regulation of GTPase activity
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0043408	Regulation of MAPK cascade
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0043410	Positive regulation of MAPK cascade
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0046328	Regulation of JNK cascade
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0046330	Positive regulation of JNK cascade
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0048010	Vascular endothelial growth factor receptor signaling pathway
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0048013	Ephrin receptor signaling pathway
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0048468	Cell development
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0048477	Oogenesis
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0048513	Animal organ development
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0048518	Positive regulation of biological process
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0048522	Positive regulation of cellular process
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0048563	Post-embryonic animal organ morphogenesis
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0048569	Post-embryonic animal organ development
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0048583	Regulation of response to stimulus
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0048584	Positive regulation of response to stimulus
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0048609	Multicellular organismal reproductive process
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0048646	Anatomical structure formation involved in morphogenesis
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0048707	Instar larval or pupal morphogenesis
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0048729	Tissue morphogenesis
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0048856	Anatomical structure development
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0048869	Cellular developmental process
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0048870	Cell motility
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0050789	Regulation of biological process
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0050790	Regulation of catalytic activity
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0050794	Regulation of cellular process
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0050896	Response to stimulus
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0051128	Regulation of cellular component organization
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0051146	Striated muscle cell differentiation
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0051179	Localization
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0051234	Establishment of localization
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0051336	Regulation of hydrolase activity
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0051493	Regulation of cytoskeleton organization
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0051716	Cellular response to stimulus
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0060429	Epithelium development
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0060562	Epithelial tube morphogenesis
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0061024	Membrane organization
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0061061	Muscle structure development
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0065007	Biological regulation
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0065009	Regulation of molecular function
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0070302	Regulation of stress-activated protein kinase signaling cascade
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0070304	Positive regulation of stress-activated protein kinase signaling cascade
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0071840	Cellular component organization or biogenesis
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0080134	Regulation of response to stress
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0080135	Regulation of cellular response to stress
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0090130	Tissue migration
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0090132	Epithelium migration
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0099024	Plasma membrane invagination
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:0140253	Cell-cell fusion
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:1902531	Regulation of intracellular signal transduction
RP20_CCG000039	7160.A0A182GSA0	GO Process	GO:1902533	Positive regulation of intracellular signal transduction
RP20_CCG000039	7160.A0A182GSA0	GO Function	GO:0005102	Signaling receptor binding
RP20_CCG000039	7160.A0A182GSA0	GO Function	GO:0005488	Binding
RP20_CCG000039	7160.A0A182GSA0	GO Function	GO:0005515	Protein binding
RP20_CCG000039	7160.A0A182GSA0	GO Function	GO:0019899	Enzyme binding
RP20_CCG000039	7160.A0A182GSA0	GO Function	GO:0019900	Kinase binding
RP20_CCG000039	7160.A0A182GSA0	GO Function	GO:0019901	Protein kinase binding
RP20_CCG000039	7160.A0A182GSA0	GO Function	GO:0030674	Protein-macromolecule adaptor activity
RP20_CCG000039	7160.A0A182GSA0	GO Function	GO:0030971	Receptor tyrosine kinase binding
RP20_CCG000039	7160.A0A182GSA0	GO Function	GO:0035591	Signaling adaptor activity
RP20_CCG000039	7160.A0A182GSA0	GO Function	GO:0060090	Molecular adaptor activity
RP20_CCG000039	7160.A0A182GSA0	GO Function	GO:1990782	Protein tyrosine kinase binding
RP20_CCG000039	7160.A0A182GSA0	GO Component	GO:0005622	Intracellular anatomical structure
RP20_CCG000039	7160.A0A182GSA0	GO Component	GO:0005737	Cytoplasm
RP20_CCG000039	7160.A0A182GSA0	GO Component	GO:0005886	Plasma membrane
RP20_CCG000039	7160.A0A182GSA0	GO Component	GO:0016020	Membrane
RP20_CCG000039	7160.A0A182GSA0	GO Component	GO:0032991	Protein-containing complex
RP20_CCG000039	7160.A0A182GSA0	GO Component	GO:0043226	Organelle
RP20_CCG000039	7160.A0A182GSA0	GO Component	GO:0043229	Intracellular organelle
RP20_CCG000039	7160.A0A182GSA0	GO Component	GO:0071944	Cell periphery
RP20_CCG000039	7160.A0A182GSA0	GO Component	GO:0110165	Cellular anatomical entity
RP20_CCG000039	7160.A0A182GSA0	STRING clusters	CL:4081	Mixed, incl. Small GTPase mediated signal transduction, and CDC42 GTPase cycle
RP20_CCG000039	7160.A0A182GSA0	STRING clusters	CL:4082	Mixed, incl. Small GTPase mediated signal transduction, and CDC42 GTPase cycle
RP20_CCG000039	7160.A0A182GSA0	STRING clusters	CL:4084	Mixed, incl. Small GTPase mediated signal transduction, and Signaling by Receptor Tyrosine Kinases
RP20_CCG000039	7160.A0A182GSA0	STRING clusters	CL:4302	Mixed, incl. Signaling by SCF-KIT, and Protein tyrosine kinase binding
RP20_CCG000039	7160.A0A182GSA0	STRING clusters	CL:4304	Mixed, incl. Signaling by SCF-KIT, and Protein tyrosine kinase binding
RP20_CCG000039	7160.A0A182GSA0	STRING clusters	CL:4305	Mixed, incl. Interleukin-3, Interleukin-5 and GM-CSF signaling, and Signaling by EGFR
RP20_CCG000039	7160.A0A182GSA0	STRING clusters	CL:4306	Mixed, incl. Erythropoietin activates RAS, and Transmembrane receptor protein tyrosine kinase adaptor activity
RP20_CCG000039	7160.A0A182GSA0	STRING clusters	CL:4308	Mixed, incl. SHC1 events in ERBB4 signaling, and Transmembrane receptor protein tyrosine kinase adaptor activity
RP20_CCG000039	7160.A0A182GSA0	STRING clusters	CL:4311	Mixed, incl. SHC-related events triggered by IGF1R, and Transmembrane receptor protein tyrosine kinase adaptor activity
RP20_CCG000039	7160.A0A182GSA0	Reactome	MAP-109582	Hemostasis
RP20_CCG000039	7160.A0A182GSA0	Reactome	MAP-1280215	Cytokine Signaling in Immune system
RP20_CCG000039	7160.A0A182GSA0	Reactome	MAP-162582	Signal Transduction
RP20_CCG000039	7160.A0A182GSA0	Reactome	MAP-168256	Immune System
RP20_CCG000039	7160.A0A182GSA0	Reactome	MAP-186763	Downstream signal transduction
RP20_CCG000039	7160.A0A182GSA0	Reactome	MAP-186797	Signaling by PDGF
RP20_CCG000039	7160.A0A182GSA0	Reactome	MAP-354192	Integrin signaling
RP20_CCG000039	7160.A0A182GSA0	Reactome	MAP-372708	p130Cas linkage to MAPK signaling for integrins
RP20_CCG000039	7160.A0A182GSA0	Reactome	MAP-449147	Signaling by Interleukins
RP20_CCG000039	7160.A0A182GSA0	Reactome	MAP-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling
RP20_CCG000039	7160.A0A182GSA0	Reactome	MAP-76002	Platelet activation, signaling and aggregation
RP20_CCG000039	7160.A0A182GSA0	Reactome	MAP-76009	Platelet Aggregation (Plug Formation)
RP20_CCG000039	7160.A0A182GSA0	Reactome	MAP-8848021	Signaling by PTK6
RP20_CCG000039	7160.A0A182GSA0	Reactome	MAP-8849471	PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases
RP20_CCG000039	7160.A0A182GSA0	Reactome	MAP-9006335	Signaling by Erythropoietin
RP20_CCG000039	7160.A0A182GSA0	Reactome	MAP-9006927	Signaling by Non-Receptor Tyrosine Kinases
RP20_CCG000039	7160.A0A182GSA0	Reactome	MAP-9006934	Signaling by Receptor Tyrosine Kinases
RP20_CCG000039	7160.A0A182GSA0	Reactome	MAP-9027284	Erythropoietin activates RAS
RP20_CCG000039	7160.A0A182GSA0	Reactome	MAP-912631	Regulation of signaling by CBL
RP20_CCG000039	7160.A0A182GSA0	COMPARTMENTS	GOCC:0005886	Plasma membrane
RP20_CCG000039	7160.A0A182GSA0	COMPARTMENTS	GOCC:0016020	Membrane
RP20_CCG000039	7160.A0A182GSA0	COMPARTMENTS	GOCC:0019897	Extrinsic component of plasma membrane
RP20_CCG000039	7160.A0A182GSA0	COMPARTMENTS	GOCC:0019898	Extrinsic component of membrane
RP20_CCG000039	7160.A0A182GSA0	COMPARTMENTS	GOCC:0030054	Cell junction
RP20_CCG000039	7160.A0A182GSA0	COMPARTMENTS	GOCC:0045202	Synapse
RP20_CCG000039	7160.A0A182GSA0	COMPARTMENTS	GOCC:0045211	Postsynaptic membrane
RP20_CCG000039	7160.A0A182GSA0	COMPARTMENTS	GOCC:0071944	Cell periphery
RP20_CCG000039	7160.A0A182GSA0	COMPARTMENTS	GOCC:0097060	Synaptic membrane
RP20_CCG000039	7160.A0A182GSA0	COMPARTMENTS	GOCC:0098590	Plasma membrane region
RP20_CCG000039	7160.A0A182GSA0	COMPARTMENTS	GOCC:0098794	Postsynapse
RP20_CCG000039	7160.A0A182GSA0	COMPARTMENTS	GOCC:0099243	Extrinsic component of synaptic membrane
RP20_CCG000039	7160.A0A182GSA0	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
RP20_CCG000039	7160.A0A182GSA0	UniProt Keywords	KW-0727	SH2 domain
RP20_CCG000039	7160.A0A182GSA0	UniProt Keywords	KW-0728	SH3 domain
RP20_CCG000039	7160.A0A182GSA0	InterPro	IPR000980	SH2 domain
RP20_CCG000039	7160.A0A182GSA0	InterPro	IPR001452	SH3 domain
RP20_CCG000039	7160.A0A182GSA0	InterPro	IPR035457	CRK, N-terminal SH3 domain
RP20_CCG000039	7160.A0A182GSA0	InterPro	IPR035458	CRK, C-terminal SH3 domain
RP20_CCG000039	7160.A0A182GSA0	InterPro	IPR036028	SH3-like domain superfamily
RP20_CCG000039	7160.A0A182GSA0	InterPro	IPR036860	SH2 domain superfamily
RP20_CCG000039	7160.A0A182GSA0	SMART	SM00252	Src homology 2 domains
RP20_CCG000039	7160.A0A182GSA0	SMART	SM00326	Src homology 3 domains
RP20_CCG000070	7160.A0A182G0L9	GO Process	GO:0005975	Carbohydrate metabolic process
RP20_CCG000070	7160.A0A182G0L9	GO Process	GO:0005996	Monosaccharide metabolic process
RP20_CCG000070	7160.A0A182G0L9	GO Process	GO:0008152	Metabolic process
RP20_CCG000070	7160.A0A182G0L9	GO Process	GO:0019321	Pentose metabolic process
RP20_CCG000070	7160.A0A182G0L9	GO Process	GO:0042732	D-xylose metabolic process
RP20_CCG000070	7160.A0A182G0L9	GO Process	GO:0044238	Primary metabolic process
RP20_CCG000070	7160.A0A182G0L9	GO Process	GO:0044281	Small molecule metabolic process
RP20_CCG000070	7160.A0A182G0L9	GO Process	GO:0071704	Organic substance metabolic process
RP20_CCG000070	7160.A0A182G0L9	GO Function	GO:0000166	Nucleotide binding
RP20_CCG000070	7160.A0A182G0L9	GO Function	GO:0003824	Catalytic activity
RP20_CCG000070	7160.A0A182G0L9	GO Function	GO:0005488	Binding
RP20_CCG000070	7160.A0A182G0L9	GO Function	GO:0016829	Lyase activity
RP20_CCG000070	7160.A0A182G0L9	GO Function	GO:0016830	Carbon-carbon lyase activity
RP20_CCG000070	7160.A0A182G0L9	GO Function	GO:0016831	Carboxy-lyase activity
RP20_CCG000070	7160.A0A182G0L9	GO Function	GO:0036094	Small molecule binding
RP20_CCG000070	7160.A0A182G0L9	GO Function	GO:0043167	Ion binding
RP20_CCG000070	7160.A0A182G0L9	GO Function	GO:0043168	Anion binding
RP20_CCG000070	7160.A0A182G0L9	GO Function	GO:0048040	UDP-glucuronate decarboxylase activity
RP20_CCG000070	7160.A0A182G0L9	GO Function	GO:0051287	NAD binding
RP20_CCG000070	7160.A0A182G0L9	GO Function	GO:0070403	NAD+ binding
RP20_CCG000070	7160.A0A182G0L9	GO Function	GO:0097159	Organic cyclic compound binding
RP20_CCG000070	7160.A0A182G0L9	GO Function	GO:1901265	Nucleoside phosphate binding
RP20_CCG000070	7160.A0A182G0L9	GO Function	GO:1901363	Heterocyclic compound binding
RP20_CCG000070	7160.A0A182G0L9	GO Component	GO:0005622	Intracellular anatomical structure
RP20_CCG000070	7160.A0A182G0L9	GO Component	GO:0005737	Cytoplasm
RP20_CCG000070	7160.A0A182G0L9	GO Component	GO:0110165	Cellular anatomical entity
RP20_CCG000070	7160.A0A182G0L9	STRING clusters	CL:15432	Mixed, incl. Protein localization to cell surface, and Optic atrophy 3-like
RP20_CCG000070	7160.A0A182G0L9	STRING clusters	CL:15433	Mixed, incl. Protein localization to cell surface, and Magnesium transporter NIPA
RP20_CCG000070	7160.A0A182G0L9	STRING clusters	CL:15437	Mixed, incl. UNC-50 family, and Magnesium transporter NIPA
RP20_CCG000070	7160.A0A182G0L9	KEGG	aalb00520	Amino sugar and nucleotide sugar metabolism
RP20_CCG000070	7160.A0A182G0L9	KEGG	aalb01100	Metabolic pathways
RP20_CCG000070	7160.A0A182G0L9	COMPARTMENTS	GOCC:0005618	Cell wall
RP20_CCG000070	7160.A0A182G0L9	COMPARTMENTS	GOCC:0005622	Intracellular
RP20_CCG000070	7160.A0A182G0L9	COMPARTMENTS	GOCC:0005737	Cytoplasm
RP20_CCG000070	7160.A0A182G0L9	COMPARTMENTS	GOCC:0009503	Thylakoid light-harvesting complex
RP20_CCG000070	7160.A0A182G0L9	COMPARTMENTS	GOCC:0009505	Plant-type cell wall
