"uniprot_id","protein_name","species","mirna","mirna_expression","common_mirna","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels_network","annotation_stringdb","protein_name_uniprot","cc_function_uniprot","go_p_uniprot","go_f_uniprot","description_eggnog","preferred_name_eggnog","pfams_eggnog","interpro_description_ips","signature_description_ips","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Q16KQ8","Q16KQ8","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL012905",NA,NA,NA,NA,"calcium ion binding","Zona pellucida (ZP) domain",NA,"EGF_CA,Zona_pellucida","Dumpy, DPY module","Dumpy, DPY module","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16KQ9","dp","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL012910",NA,NA,NA,NA,"calcium ion binding","Follistatin-N-terminal domain-like","dp","EGF_CA,Zona_pellucida","Dumpy, DPY module","Dumpy, DPY module","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16KR0","fbn-1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL012908",NA,NA,NA,NA,NA,"EGF domain, unclasssified subfamily","fbn-1","EGF_CA",NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16L96","MAP2K1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL012723","AAEL012723-PA; Belongs to the protein kinase superfamily.","mitogen-activated protein kinase kinase",NA,NA,"ATP binding; MAP kinase kinase activity; protein serine/threonine kinase activity; protein tyrosine kinase activity","protein kinase kinase","MAP2K1","Pkinase","Protein kinase domain","Protein kinase domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16LK0","ANKFN1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL012627",NA,NA,NA,"establishment of mitotic spindle orientation; regulation of establishment of bipolar cell polarity; signal transduction",NA,"Ras association (RalGDS/AF-6) domain","ANKFN1","Ank_4,RA,fn3","Ankyrin repeat","Ankyrin repeats (many copies)","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16LS6","SYN3","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL012541",NA,NA,NA,"neurotransmitter secretion",NA,"It is involved in the biological process described with neurotransmitter secretion","SYN3","Synapsin,Synapsin_C,Synapsin_N","Synapsin, pre-ATP-grasp domain","Synapsin pre-ATP-grasp domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16LX7","ATRN","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL012493",NA,NA,NA,"animal organ development; system development",NA,"Plexin repeat","ATRN","CUB,EGF_2,Kelch_1,Kelch_3,Kelch_4,Kelch_5,Kelch_6,Laminin_EGF,Lectin_C,PSI","Attractin/MKLN-like, beta-propeller domain","Attractin/LZTR1 beta-propeller","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16MK4","ARMC6","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL012273",NA,NA,NA,"hematopoietic progenitor cell differentiation",NA,"Armadillo repeat-containing protein 6","ARMC6","Arm","LRRK2, ARM repeat domain","LRRK2 ARM repeat","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16N85","EPC1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL012057","Enhancer of polycomb-like protein.","Enhancer of polycomb-like protein",NA,"regulation of transcription by RNA polymerase II",NA,"Enhancer of polycomb","EPC1","EPL1,E_Pc_C","Enhancer of polycomb-like, N-terminal","Enhancer of polycomb-like","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16PP6","Q16PP6","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL011565",NA,NA,NA,"signal transduction",NA,"It is involved in the biological process described with signal transduction",NA,"Ank_2,Ank_3,Ank_4,Ank_5,Death,ZU5","Ankyrin repeat","Ankyrin repeat","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16PT5","PGM3","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL011536","Phosphoacetylglucosamine mutase; Catalyzes the conversion of GlcNAc-6-P into GlcNAc-1-P during the synthesis of uridine diphosphate/UDP-GlcNAc, a sugar nucleotide critical to multiple glycosylation pathways including protein N- and O- glycosylation; Belongs to the phosphohexose mutase family.","Phosphoacetylglucosamine mutase","Catalyzes the conversion of GlcNAc-6-P into GlcNAc-1-P during the synthesis of uridine diphosphate/UDP-GlcNAc, a sugar nucleotide critical to multiple glycosylation pathways including protein N- and O-glycosylation","carbohydrate metabolic process; cell wall organization; UDP-N-acetylglucosamine biosynthetic process","magnesium ion binding; phosphoacetylglucosamine mutase activity","Catalyzes the conversion of GlcNAc-6-P into GlcNAc-1-P during the synthesis of uridine diphosphate UDP-GlcNAc, a sugar nucleotide critical to multiple glycosylation pathways including protein N- and O-glycosylation","PGM3","PGM_PMM_I,PGM_PMM_III,PGM_PMM_IV","Phosphoacetylglucosamine mutase AMG1, domain II","Phosphoacetylglucosamine mutase AMG1, domain II","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16R23","add-1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL011105",NA,NA,NA,NA,"actin filament binding","Class II Aldolase and Adducin N-terminal domain","add-1","Aldolase_II","Class II aldolase/adducin N-terminal","Class II Aldolase and Adducin N-terminal domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16R65","LDB2","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL011058","Lim domain binding protein.",NA,NA,NA,"LIM domain binding","Lim domain binding protein","LDB2","LIM_bind","LIM interaction domain","LIM interaction domain (LID)","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16RM1","HECA","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL010908",NA,NA,NA,NA,NA,"Headcase protein","HECA","HECA,Headcase","Headcase, middle domain","Headcase protein","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16RU6","MAP3K13","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL010835","Mitogen-activated protein kinase kinase kinase.","Mitogen-activated protein kinase kinase kinase dlk-1",NA,"intracellular signal transduction; regulation of macromolecule metabolic process; regulation of primary metabolic process; response to stress","ATP binding; protein serine/threonine kinase activity","Mitogen-activated protein kinase kinase kinase","MAP3K13","Pkinase,Pkinase_Tyr","Serine-threonine/tyrosine-protein kinase, catalytic domain","Protein tyrosine and serine/threonine kinase","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16SB0","PAK3","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL010643",NA,NA,NA,NA,NA,"P21-Rho-binding domain","PAK3","PBD,Pkinase","CRIB domain","P21-Rho-binding domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16TR7","ADAMTSL1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL010144",NA,NA,NA,"extracellular matrix organization; proteolysis","metalloendopeptidase activity","Thrombospondin type 1 repeats","ADAMTSL1","ADAM_spacer1,I-set,Ig_3,PLAC,TSP_1","Thrombospondin type-1 (TSP1) repeat","Thrombospondin type 1 domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16U10","FHDC1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL010061",NA,NA,NA,NA,"actin binding","Formin Homology 2 Domain","FHDC1","Drf_FH3,FH2","Formin, FH3 domain","Diaphanous FH3 Domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16VM1","Q16VM1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL009515",NA,NA,NA,NA,"chromatin binding","DNA- binding",NA,"PWWP","PWWP domain","PWWP domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16W03","RAP1A","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL009377",NA,"small monomeric GTPase",NA,"epidermis development; Rap protein signal transduction","GTP binding; GTPase activity","Ras subfamily of RAS small GTPases","RAP1A","Ras","Small GTPase","Ras family","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16WF1","Nrt","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL009240",NA,"Carboxylesterase type B domain-containing protein",NA,NA,"hydrolase activity","alpha/beta hydrolase fold","Nrt","COesterase","Carboxylesterase, type B","Carboxylesterase family","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16WM1","SLIT2","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL009175",NA,NA,NA,"axon guidance; digestive tract development; embryonic morphogenesis; embryonic organ development; epithelial cell migration; formation of animal organ boundary; gland development; glial cell migration; mesoderm development; negative chemotaxis; regulation of cell-cell adhesion; regulation of multicellular organismal process; reproductive structure development; sex differentiation","calcium ion binding; heparin binding; Roundabout binding","C-terminal cystine knot-like domain (CTCK)","SLIT2","EGF,LRRCT,LRRNT,LRR_8,Laminin_G_1,Laminin_G_2,hEGF","Leucine-rich repeat","Leucine Rich Repeat","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16XT3","epi-1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL008773",NA,"Laminin A chain",NA,"animal organ morphogenesis; axon development; basement membrane organization; cell migration; respiratory system development; response to stress; substrate adhesion-dependent cell spreading; tissue development",NA,"Laminin Domain II","epi-1","Laminin_B,Laminin_EGF,Laminin_G_2,Laminin_I,Laminin_II,Laminin_N","Laminin IV","Laminin B (Domain IV)","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16YG3","PTPN11","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL008554",NA,"protein-tyrosine-phosphatase",NA,"cell differentiation; intracellular signal transduction; mitotic cell cycle","non-membrane spanning protein tyrosine phosphatase activity; phosphotyrosine residue binding","Src homology 2 domains","PTPN11","SH2,Y_phosphatase","SH2 domain","SH2 domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16YG8","PTPN11","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL008528",NA,"protein-tyrosine-phosphatase",NA,"anatomical structure morphogenesis; intracellular signal transduction; mitotic cell cycle; neuron development","non-membrane spanning protein tyrosine phosphatase activity; phosphotyrosine residue binding","Protein tyrosine phosphatase n11","PTPN11","SH2,Y_phosphatase","Tyrosine-specific protein phosphatase, PTPase domain","Protein-tyrosine phosphatase","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16YZ8","SULF1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL008362",NA,NA,NA,NA,"glycosaminoglycan binding; N-acetylglucosamine-6-sulfatase activity","Sulfatase protein","SULF1","DUF3740,Sulfatase","Sulfatase, N-terminal","Sulfatase","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16YZ9","SULF1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL008372","Sulfatase-1, sulf-1.",NA,NA,NA,"glycosaminoglycan binding; N-acetylglucosamine-6-sulfatase activity","Sulfatase","SULF1","DUF3740,Sulfatase","Sulfatase, N-terminal","Sulfatase","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16Z01","NF1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL008371",NA,NA,NA,NA,"GTPase activator activity","GTPase-activator protein for Ras-like GTPases","NF1","CRAL_TRIO_2,RasGAP","CRAL-TRIO lipid binding domain","Divergent CRAL/TRIO domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q170K4","EPB41L2","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL007888","Protein 4.1 homolog (Coracle protein), putative.","Moesin/ezrin/radixin homolog 1",NA,"actomyosin structure organization; animal organ morphogenesis; neuron differentiation","actin binding; structural molecule activity","4.1 protein C-terminal domain (CTD)","EPB41L2","4_1_CTD,FA,FERM_C,FERM_M,FERM_N,SAB","FERM, N-terminal","FERM N-terminal domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q170K8","PTK7","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL007876","Tyrosine protein kinase with ig domain; Belongs to the protein kinase superfamily. Tyr protein kinase family.","Tyrosine-protein kinase-like otk","Acts as a calcium-dependent, homophilic cell adhesion molecule that regulates neural recognition during the development of the nervous system. Component of the repulsive Plexin signaling response to regulate motor axon guidance at the embryonic stage. Also component of a receptor complex that is required in the adult visual system to innervate the lamina layer; specific targeting of R1-R6 axons","cell surface receptor protein tyrosine kinase signaling pathway; neurogenesis; positive regulation of neuron projection development; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","ATP binding; metal ion binding; transmembrane receptor protein tyrosine kinase activity","Tyrosine protein kinase with ig domain","PTK7","I-set,Ig_3,Pkinase_Tyr","Immunoglobulin I-set","Immunoglobulin I-set domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q171J8","TOLL1A","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"TOLL1A","Toll-like receptor; Belongs to the Toll-like receptor family.",NA,NA,"toll-like receptor signaling pathway","signaling receptor activity","Toll-like Receptor","Tl","LRRNT,LRR_5,LRR_8,TIR","Toll/interleukin-1 receptor homology (TIR) domain","TIR domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q172L3","ATRN","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL007331",NA,NA,NA,"animal organ development; system development",NA,"Plexin repeat","ATRN","CUB,EGF_2,Kelch_1,Kelch_3,Kelch_4,Kelch_5,Kelch_6,Laminin_EGF,Lectin_C,PSI","Attractin, GBD domain","Attractin GBD-like","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q173B0","Q173B0","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL007217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q174K3","IGF2BP3","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL006876",NA,NA,NA,"mRNA transport; regulation of translation","RNA binding","Igf2 mRNA binding protein","IGF2BP3","KH_1,RRM_1","RNA recognition motif domain","RNA recognition motif","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q174W8","GPRFZ2","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"GPRFZ2","AAEL006778-PA; Belongs to the G-protein coupled receptor Fz/Smo family.",NA,NA,"canonical Wnt signaling pathway; non-canonical Wnt signaling pathway","G protein-coupled receptor activity; Wnt receptor activity; Wnt-protein binding","Belongs to the G-protein coupled receptor Fz Smo family","FZD5","Frizzled,Fz","Frizzled domain","Fz domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q177R3","MSI1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL006057",NA,NA,NA,"regulation of translation","mRNA binding","RNA recognition motif","MSI1","RRM_1","RNA recognition motif domain","RNA recognition motif","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17BK4","SCAPER","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL004934",NA,NA,NA,NA,NA,"S phase cyclin A-associated protein in the endoplasmic reticulum","SCAPER","SCAPER_N,zf-met","S phase cyclin A-associated protein in the endoplasmic reticulum, N-terminal","S phase cyclin A-associated protein in the endoplasmic reticulum","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17BN5","GGPS1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL004900","AAEL004900-PA; Belongs to the FPP/GGPP synthase family.",NA,NA,"isoprenoid biosynthetic process; pheromone biosynthetic process","metal ion binding; prenyl diphosphate synthase activity","Belongs to the FPP GGPP synthase family","GGPS1","polyprenyl_synt","Polyprenyl synthetase-like","Polyprenyl synthetase","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17BY7","LDB2","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL004737","Lim domain binding protein.",NA,NA,NA,"LIM domain binding","LIM-domain binding protein","LDB2","LIM_bind","LIM interaction domain","LIM interaction domain (LID)","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17C29","BTG1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL004715",NA,"Anti-proliferative protein domain-containing protein",NA,"negative regulation of cell population proliferation",NA,"BTG family","BTG1","BTG","Anti-proliferative protein","BTG family","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17C39","CDK5R1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL004717",NA,NA,NA,"axon guidance","cyclin-dependent protein serine/threonine kinase activator activity; protein kinase binding","Cyclin-dependent kinase 5 activator","CDK5R1","CDK5_activator","Cyclin-dependent kinase 5 activator","Cyclin-dependent kinase 5 activator protein","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17C93","Q17C93","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL004651","Multiple ankyrin repeats single kh domain protein.",NA,NA,"innate immune response",NA,"Multiple ankyrin repeats single kh domain protein",NA,"Ank,Ank_2,Ank_3,Ank_4","Ankyrin repeat","Ankyrin repeat","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
