#node	identifier	domain_summary_url	annotation	other_names_and_aliases	kegg_id
AAEL000489	7159.Q17P09	Non-specific serine/threonine protein kinase.	https://smart.embl.de/smart/DDvec.cgi?smart=522:Pfam_PBD(21|78)+S_TKc(244|496)+	2.7.11.1,AAEL000489,Non-specific serine/threonine protein kinase,Q17P09,Q17P09_AEDAE,XM_001656949.1,XP_001656999.1	
AAEL000542	7159.Q17NY9	Amine oxidase.	https://smart.embl.de/smart/DDvec.cgi?smart=487:Pfam_Amino_oxidase(18|351)+	1.4.3.-,1.4.3.4,5563688,AAEL000542,Amine oxidase,Amine oxidase [flavin-containing] A isoform X1,EC 1.4.3.4,Monoamine oxidase,Q17NY9,Q17NY9_AEDAE,XM_001647911.1,XP_001647961,XP_001647961.1,aag:5563688	aag:5563688
AAEL000597	7159.Q17NP6	AAEL000597-PA; Cadherins are calcium-dependent cell adhesion proteins.	https://smart.embl.de/smart/DDvec.cgi?smart=1743:CA(84|160)+CA(186|276)+CA(300|388)+CA(415|507)+CA(531|612)+CA(634|729)+EGF(994|1027)+LamG(1048|1217)+EGF(1240|1277)+LamG(1302|1445)+EGF(1476|1513)+EGF_CA(1514|1552)+TRANS(1565|1587)+Pfam_Cadherin_C(1589|1734)+	5564848,AAEL000597,AAEL000597-PA,Neural-cadherin,Q17NP6,Q17NP6_AEDAE,XM_001649146.1,XP_001649196.1,XP_021703014,aag:5564848	aag:5564848
AAEL000649	7159.Q17NM9	AAEL000649-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=375:TRANS(133|155)+Pfam_SNARE_assoc(187|310)+TRANS(326|348)+	5565417,AAEL000649,AAEL000649-PA,Q17NM9,Q17NM9_AEDAE,Transmembrane protein 64,XM_001649723.1,XP_001649773,XP_001649773.1,aag:5565417	aag:5565417
AAEL000682	7159.Q17NG1	AAEL000682-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=1356:	1.14.11.-,5565916,AAEL000682,AAEL000682-PA,EC 1.14.11.-,Lysine-specific demethylase 9,Q17NG1,Q17NG1_AEDAE,Uncharacterized protein LOC5565916,XM_001650222.1,XP_001650272,XP_001650272.1,aag:5565916	aag:5565916
AAEL000703	7159.Q17NG8	Alpha-1,4 glucan phosphorylase; Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties.	https://smart.embl.de/smart/DDvec.cgi?smart=845:Pfam_Phosphorylase(113|828)+	2.4.1.1,5565921,AAEL000703,Alpha-1,4 glucan phosphorylase,EC 2.4.1.1,Glycogen phosphorylase,Q17NG8,Q17NG8_AEDAE,XM_001650215.1,XP_001650265,XP_001650265.1,aag:5565921	aag:5565921
AAEL000723	7159.Q17NC4	AAEL000723-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=969:TRANS(430|452)+	5566273,AAEL000723,AAEL000723-PA,Q17NC4,Q17NC4_AEDAE,Uncharacterized protein LOC5566273 isoform X1,XM_001650615.1,XP_001650665.1,XP_021696539,aag:5566273	aag:5566273
AAEL000729	7159.Q17NC1	AAEL000729-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=305:	5566288,AAEL000729,AAEL000729-PA,Q17NC1,Q17NC1_AEDAE,RNA-binding protein Musashi,XM_001650618.1,XP_001650668.1,XP_021696532,aag:5566288	aag:5566288
AAEL000741	7159.Q17NE5	Ecdysone-induced protein 74EF (ETS transcription factor E74A).	https://smart.embl.de/smart/DDvec.cgi?smart=825:ETS(671|760)+	5566265,AAEL000741,AAEL000741-PA,E74-like factor 1/2/4,Q17NE5,Q17NE5_AEDAE,XM_001650594.2,XP_001650644.1,XP_021696579,aag:5566265	aag:5566265
AAEL000805	7159.Q17N40	AAEL000805-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=288:Pfam_Hydrolase_4(89|217)+	3.1.2.22,5566852,AAEL000805,AAEL000805-PA,Abhydrolase domain-containing protein 17,EC 3.1.2.22,Protein ABHD17B isoform X2,Q17N40,Q17N40_AEDAE,XM_001651227.1,XP_001651277,XP_001651277.1,aag:5566852	aag:5566852
AAEL000818	7159.Q17N19	Putative G-protein coupled receptor (GPCR).	https://smart.embl.de/smart/DDvec.cgi?smart=791:Pfam_7tm_3(472|716)+	5566873,AAEL000818,AAEL000818-PA,Putative G-protein coupled receptor (GPCR),Q17N19,Q17N19_AEDAE,Uncharacterized protein LOC5566873 isoform X1,XM_001651250.1,XP_001651300.1,XP_021704683,aag:5566873	aag:5566873
AAEL000860	7159.Q17N01	AAEL000860-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=514:TRANS(21|40)+	5567249,AAEL000860,AAEL000860-PA,Protein unzipped,Q17N01,Q17N01_AEDAE,XM_001651552.1,XP_001651602,XP_001651602.1,aag:5567249	aag:5567249
AAEL000868	7159.Q17MX1	AAEL000868-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=156:PDZ(60|140)+	AAEL000868,AAEL000868-PA,Q17MX1,Q17MX1_AEDAE,XM_001651582.1,XP_001651632.1	
AAEL000891	7159.Q17MX7	AAEL000891-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=315:	5567198,AAEL000891,AAEL000891-PA,Q17MX7,Q17MX7_AEDAE,Uncharacterized protein LOC5567198 isoform X1,Whirlin,XM_001651576.1,XP_001651626.1,XP_021709908,aag:5567198	aag:5567198
AAEL000908	7159.Q17MX6	AAEL000908-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=296:PDZ(105|177)+	AAEL000908,AAEL000908-PA,Q17MX6,Q17MX6_AEDAE,XM_001651577.1,XP_001651627.1	
AAEL000951	7159.Q17MM5	AAEL000951-PA; Belongs to the EF-1-beta/EF-1-delta family.	https://smart.embl.de/smart/DDvec.cgi?smart=224:EF-1_beta_acid(102|129)+EF1_GNE(138|224)+	5567491,AAEL000951,AAEL000951-PA,Elongation factor 1-beta,Probable elongation factor 1-beta,Q17MM5,Q17MM5_AEDAE,XM_001657449.1,XP_001657499,XP_001657499.1,aag:5567491	aag:5567491
AAEL001005	7159.Q17MI1	Calreticulin.	https://smart.embl.de/smart/DDvec.cgi?smart=407:SIGNAL(1|19)+Pfam_Calreticulin(23|259)+Pfam_Calreticulin(256|332)+	5567839,AAEL001005,Calreticulin,Q17MI1,Q17MI1_AEDAE,XM_001657698.1,XP_001657748,XP_001657748.1,aag:5567839	aag:5567839
AAEL001031	7159.Q17MG5	AAEL001031-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=300:Tryp_SPc(46|272)+	5579889,AAEL001031,AAEL001031-PA,Q17MG5,Q17MG5_AEDAE,Uncharacterized protein LOC5579889,XM_001657818.1,XP_001657868,XP_001657868.1,aag:5579889	aag:5579889
AAEL001104	7159.Q17M42	AAEL001104-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=393:ADF(7|133)+SH3(338|393)+	5568593,AAEL001104,AAEL001104-PA,Drebrin-like protein,Drebrin-like protein isoform X2,Q17M42,Q17M42_AEDAE,XM_001652375.1,XP_001652425,XP_001652425.1,aag:5568593	aag:5568593
AAEL001116	7159.Q17M41	AAEL001116-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=145:	5568594,AAEL001116,AAEL001116-PA,Q17M41,Q17M41_AEDAE,XM_001652376.1,XP_001652426.1	
AAEL001237	7159.Q17LV1	AAEL001237-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=455:SIGNAL(1|19)+	5569437,AAEL001237,AAEL001237-PA,Q17LV1,Q17LV1_AEDAE,Titin,XM_001658477.1,XP_001658527,XP_001658527.1,aag:5569437	aag:5569437
AAEL001273	7159.Q17LP8	AAEL001273-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1188:Pfam_zf-Sec23_Sec24(522|559)+Pfam_Sec23_trunk(595|832)+Pfam_Sec23_BS(837|921)+Pfam_Sec23_helical(932|1034)+Pfam_Gelsolin(1060|1130)+	5569619,AAEL001273,AAEL001273-PA,Protein transport protein SEC24,Protein transport protein Sec24A,Q17LP8,Q17LP8_AEDAE,XM_001652851.1,XP_001652901,XP_001652901.1,aag:5569619	aag:5569619
AAEL001340	7159.Q17LI9	AAEL001340-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=894:	5570072,AAEL001340,AAEL001340-PA,Coiled-coil domain-containing protein 39,Q17LI9,Q17LI9_AEDAE,XM_001653008.1,XP_001653058.1,XP_021711610,aag:5570072	aag:5570072
AAEL001437	7159.Q17LA6	AAEL001437-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=490:DWB(62|232)+	5570536,AAEL001437,AAEL001437-PA,Q17LA6,Q17LA6_AEDAE,Uncharacterized protein LOC5570536 isoform X1,XM_001659132.1,XP_001659182.1,XP_021696455,aag:5570536	aag:5570536
AAEL001454	7159.Q17L67	AAEL001454-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=784:Pfam_EIF4E-T(202|617)+	5570710,AAEL001454,AAEL001454-PA,Alpha-protein kinase 1,Q17L67,Q17L67_AEDAE,XM_001659253.1,XP_001659303.1,XP_021700856,aag:5570710	aag:5570710
AAEL001468	7159.Q17L66	AAEL001468-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=568:Pfam_EIF4E-T(108|561)+	AAEL001468,AAEL001468-PA,Q17L66,Q17L66_AEDAE,XM_001659255.1,XP_001659305.1	
AAEL001482	7159.Q17L13	AAEL001482-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=942:	AAEL001482,AAEL001482-PA,Q17L13,Q17L13_AEDAE,XM_001653357.1,XP_001653407.1	
AAEL001567	7159.Q17KU1	Myocyte-specific enhancer factor 2d.	https://smart.embl.de/smart/DDvec.cgi?smart=495:MADS(1|60)+Pfam_HJURP_C(87|156)+	AAEL001567,AAEL001567-PA,Myocyte-specific enhancer factor 2d,Q17KU1,Q17KU1_AEDAE,XM_001653528.1,XP_001653578.1	
AAEL001643	7159.Q17KJ5	AAEL001643-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=387:	5571673,AAEL001643,AAEL001643-PA,Q17KJ5,Q17KJ5_AEDAE,XM_001653710.1,XP_001653760.1,XP_021701175,aag:5571673	aag:5571673
AAEL001680	7159.Q17KI5	AAEL001680-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=487:TRANS(429|451)+	5571808,AAEL001680,AAEL001680-PA,Q17KI5,Q17KI5_AEDAE,Uncharacterized protein LOC5571808,XM_001659891.1,XP_001659941.1,XP_021697115,aag:5571808	aag:5571808
AAEL001702	7159.Q17KG8	AAEL001702-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=170:	5571826,AAEL001702,AAEL001702-PA,Q17KG8,Q17KG8_AEDAE,Uncharacterized protein LOC5571826,XM_001659908.1,XP_001659958.1,XP_021697147,aag:5571826	aag:5571826
AAEL001749	7159.Q17K93	Rhomboid-like protein; Belongs to the peptidase S54 family.	https://smart.embl.de/smart/DDvec.cgi?smart=317:TRANS(61|83)+Pfam_Rhomboid(107|262)+TRANS(269|291)+	3.4.21.105,5572280,AAEL001749,AAEL001749-PA,EC 3.4.21.105,Protein rhomboid isoform X2,Q17K93,Q17K93_AEDAE,Rhomboid-like protein,Rhomboid-related protein 1/2/3,XM_001653915.1,XP_001653965,XP_001653965.1,aag:5572280	aag:5572280
AAEL001755	7159.Q17K92	AAEL001755-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=152:	AAEL001755,AAEL001755-PA,Q17K92,Q17K92_AEDAE,XM_001653916.1,XP_001653966.1	
AAEL001760	7159.Q17K95	AAEL001760-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=2133:Pfam_RIC3(29|302)+	5564765,AAEL001760,AAEL001760-PA,Q17K95,Q17K95_AEDAE,Titin isoform X1,XM_001653913.1,XP_001653963.1,XP_021698732,aag:5564765	aag:5564765
AAEL001776	7159.Q17K68	AAEL001776-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=70:	AAEL001776,AAEL001776-PA,Q17K68,Q17K68_AEDAE,XM_001653941.1,XP_001653991.1	
AAEL001780	7159.Q17K67	Homeobox protein distal-less dlx.	https://smart.embl.de/smart/DDvec.cgi?smart=221:HOX(35|97)+	5572304,AAEL001780,AAEL001780-PA,Homeobox protein DLX2,Homeobox protein distal-less dlx,Homeotic protein distal-less isoform X1,Q17K67,Q17K67_AEDAE,XM_001653942.1,XP_001653992.1,XP_021698709,aag:5572304	aag:5572304
AAEL001798	7159.Q17K23	AAEL001798-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=181:Pfam_DSPc(32|164)+	3.1.3.48,5572463,AAEL001798,AAEL001798-PA,EC 3.1.3.48,Protein tyrosine phosphatase type IVA,Q17K23,Q17K23_AEDAE,XM_001660360.1,XP_001660409,XP_001660410.1,aag:5572463	aag:5572463
AAEL001818	7159.Q17K38	AAEL001818-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=473:ANK(52|81)+ANK(85|114)+ANK(127|156)+ANK(189|219)+ANK(226|255)+ANK(263|292)+ANK(296|328)+SOCS_box(431|470)+	5572449,AAEL001818,AAEL001818-PA,Q17K38,Q17K38_AEDAE,Uncharacterized protein LOC5572449 isoform X1,XM_001660344.1,XP_001660394,XP_001660394.1,aag:5572449	aag:5572449
AAEL001819	7159.Q17K58	AAEL001819-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=338:Pfam_TMEM65(201|309)+	5572431,AAEL001819,AAEL001819-PA,Q17K58,Q17K58_AEDAE,Uncharacterized protein LOC5572431 isoform X1,XM_001660324.1,XP_001660374.1,XP_021702419,aag:5572431	aag:5572431
AAEL001832	7159.Q17K20	AAEL001832-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=434:RA(1|94)+RA(95|185)+	5572466,AAEL001832,AAEL001832-PA,Q17K20,Q17K20_AEDAE,Uncharacterized protein LOC5572466,XM_001660362.1,XP_001660412,XP_001660412.1,aag:5572466	aag:5572466
AAEL001861	7159.Q17JY3	AAEL001861-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1381:Pfam_Nucleoporin_N(67|509)+Pfam_Nucleoporin_C(750|1191)+	5572664,AAEL001861,AAEL001861-PA,Nuclear pore complex protein Nup155,Q17JY3,Q17JY3_AEDAE,XM_001654113.1,XP_001654163.1,XP_021700838,aag:5572664	aag:5572664
AAEL001951	7159.Q6QNY2	Pupal-specific flight muscle actin.	https://smart.embl.de/smart/DDvec.cgi?smart=376:ACTIN(6|376)+	5572985,AAEL001951,AAEL001951-PA,Actin, indirect flight muscle,Pupal-specific flight muscle actin,Q6QNY2,Q6QNY2_AEDAE,XM_001654262.1,XP_001654312,XP_001654312.1,aag:5572985	aag:5572985
AAEL001959	7159.Q17JF6	AAEL001959-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=157:	5573190,AAEL001959,AAEL001959-PA,Q17JF6,Q17JF6_AEDAE,Uncharacterized protein LOC5573190,XM_001660755.1,XP_001660805,XP_001660805.1,aag:5573190	aag:5573190
AAEL002162	7159.Q17J25	AAEL002162-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=351:	5580078,AAEL002162,AAEL002162-PA,Q17J25,Q17J25_AEDAE,Uncharacterized protein LOC5580078,XM_001654786.1,XP_001654836.1,XP_021693067,aag:5580078	aag:5580078
AAEL002164	7159.Q17J24	AAEL002164-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=234:	AAEL002164,AAEL002164-PA,Q17J24,Q17J24_AEDAE,XM_001654787.1,XP_001654837.1	
AAEL002168	7159.Q17J26	AAEL002168-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=519:	AAEL002168,AAEL002168-PA,Q17J26,Q17J26_AEDAE,XM_001654785.1,XP_001654835.1	
AAEL002169	7159.Q17J27	AAEL002169-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=525:	AAEL002169,AAEL002169-PA,Q17J27,Q17J27_AEDAE,XM_001654784.1,XP_001654834.1	
AAEL002171	7159.Q17J33	Ubiquitin specific proteinase.	http://smart.embl.de/smart/DDvec.cgi?smart=1556:	AAEL002171,AAEL002171-PA,Q17J33,Q17J33_AEDAE,Ubiquitin specific proteinase,XM_001654778.2,XP_001654828.1	
AAEL002188	7159.Q17J05	AAEL002188-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=68:Pfam_Syntaxin_2(9|65)+	AAEL002188,AAEL002188-PA,Q17J05,Q17J05_AEDAE,XM_001654877.1,XP_001654927.1	
AAEL002219	7159.Q17IU2	Palmitoyltransferase; Belongs to the DHHC palmitoyltransferase family.	https://smart.embl.de/smart/DDvec.cgi?smart=269:TRANS(7|29)+TRANS(44|66)+Pfam_DHHC(92|223)+	2.3.1.225,5573953,AAEL002219,EC 2.3.1.225,Palmitoyltransferase,Palmitoyltransferase ZDHHC3,Palmitoyltransferase ZDHHC3/7/25,Q17IU2,Q17IU2_AEDAE,XM_001654941.1,XP_001654991,XP_001654991.1,aag:5573953	aag:5573953
AAEL002220	7159.Q17J06	AAEL002220-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=162:	5573892,AAEL002220,AAEL002220-PA,Q17J06,Q17J06_AEDAE,Uncharacterized protein LOC5573892,XM_001654876.1,XP_001654926.1,XP_021703330,aag:5573892	aag:5573892
AAEL002287	7159.Q17IL0	Trans-prenyltransferase.	https://smart.embl.de/smart/DDvec.cgi?smart=249:Pfam_polyprenyl_synt(1|201)+	2.5.1.91,5574208,AAEL002287,AAEL002287-PA,Decaprenyl-diphosphate synthase subunit 1,EC 2.5.1.91,Q17IL0,Q17IL0_AEDAE,Trans-prenyltransferase,XM_001661215.1,XP_001661265.1,XP_021694884,aag:5574208	aag:5574208
AAEL002308	7159.Q17IM8	AAEL002308-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=355:ZnF_C3H1(85|112)+ZnF_C3H1(123|150)+	5574190,AAEL002308,AAEL002308-PA,Protein TIS11,Q17IM8,Q17IM8_AEDAE,Tristetraprolin,XM_001661197.1,XP_001661247,XP_001661247.1,aag:5574190	aag:5574190
AAEL002321	7159.Q17IK5	AAEL002321-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=537:PAX(7|131)+HOX(247|309)+	5574322,AAEL002321,AAEL002321-PA,Paired box protein 6,Paired box protein Pax-6 isoform X2,Q17IK5,Q17IK5_AEDAE,XM_001661302.1,XP_001661352,XP_001661352.1,aag:5574322	aag:5574322
AAEL002390	7159.Q17IC7	AAEL002390-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=701:ZnF_C2H2(112|134)+ZnF_C2H2(167|189)+ZnF_C2H2(195|217)+ZnF_C2H2(223|245)+ZnF_C2H2(251|273)+ZnF_C2H2(279|303)+ZnF_C2H2(309|331)+ZnF_C2H2(337|359)+	5574499,AAEL002390,AAEL002390-PA,Krueppel homolog 1 isoform X1,Q17IC7,Q17IC7_AEDAE,XM_001655112.1,XP_001655162,XP_001655162.1,aag:5574499	aag:5574499
AAEL002411	7159.Q17IA0	AAEL002411-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=319:SIGNAL(1|17)+Pfam_Renin_r(228|318)+	5574592,AAEL002411,AAEL002411-PA,AAEL002411-PB,Q17IA0,Q17IA0_AEDAE,Renin receptor,XM_001655165.1,XM_001655166.1,XP_001655215,XP_001655215.1,XP_001655216.1,aag:5574592	aag:5574592
AAEL002451	7159.Q17I67	Zinc finger protein.	https://smart.embl.de/smart/DDvec.cgi?smart=723:ZnF_C2H2(1|22)+ZnF_C2H2(31|53)+ZnF_C2H2(59|79)+ZnF_C2H2(294|314)+HOX(364|426)+ZnF_C2H2(634|656)+ZnF_C2H2(662|684)+ZnF_C2H2(690|711)+	AAEL002451,AAEL002451-PA,Q17I67,Q17I67_AEDAE,XM_001655229.1,XP_001655279.1,Zinc finger protein	
AAEL002487	7159.Q1HRW3	P53 regulated pa26 nuclear protein sestrin.	https://smart.embl.de/smart/DDvec.cgi?smart=349:Pfam_PA26(1|348)+	5574799,AAEL002487,AAEL002487-PA,P53 regulated pa26 nuclear protein sestrin,PA26-T3 nuclear protein-like protein,Q1HRW3,Q1HRW3_AEDAE,Sestrin 1/3,Sestrin homolog,XM_001655304.1,XP_001655354.1,XP_021697010,aag:5574799	aag:5574799
AAEL002594	7159.Q17HS6	AAEL002594-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=592:Pfam_PBD(1|35)+S_TKc(318|569)+	AAEL002594,AAEL002594-PA,Q17HS6,Q17HS6_AEDAE,XM_001655628.1,XP_001655678.1	
AAEL002628	7159.Q17HP2	AAEL002628-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1355:ARID(296|382)+	110678160,AAEL002628,AAEL002628-PA,Putative uncharacterized protein DDB_G0271606,Q17HP2,Q17HP2_AEDAE,XM_001655663.1,XP_001655713.1,XP_021706473,aag:110678160	aag:110678160
AAEL002690	7159.Q17HG6	AAEL002690-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=307:IG(17|118)+Pfam_C2-set_2(125|213)+TRANS(267|289)+	5575663,AAEL002690,AAEL002690-PA,Q17HG6,Q17HG6_AEDAE,Uncharacterized protein LOC5575663,XM_001662072.1,XP_001662122.1,XP_021703962,aag:5575663	aag:5575663
AAEL002754	7159.Q17HA9	AAEL002754-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=854:SIGNAL(1|26)+IG(40|135)+IG_like(152|227)+IG_like(260|320)+IG(340|415)+IG(423|512)+TRANS(520|542)+	5575878,AAEL002754,AAEL002754-PA,Irregular chiasm C-roughest protein,Nephrin,Q17HA9,Q17HA9_AEDAE,XM_001655834.1,XP_001655884.1,XP_021703710,aag:5575878	aag:5575878
AAEL002761	7159.Q17H75	Putative tropomyosin invertebrate; Belongs to the tropomyosin family.	https://smart.embl.de/smart/DDvec.cgi?smart=285:Pfam_Tropomyosin(60|284)+	5575995,AAEL002761,AAEL002761-PC,Putative tropomyosin invertebrate,Q17H75,Q17H75_AEDAE,Tropomyosin 1,Tropomyosin-2 isoform X27,XM_001655904.1,XP_001655954,XP_001655954.1,aag:5575995	aag:5575995
AAEL002813	7159.Q17H51	ATP synthase-coupling factor 6, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain; Belongs to the eukaryotic ATPase subunit F6 family.	https://smart.embl.de/smart/DDvec.cgi?smart=106:Pfam_ATP-synt_F6(1|95)+	5576107,AAEL002813,ATP synthase-coupling factor 6, mitochondrial,ATPase subunit F6,F-type H+-transporting ATPase subunit 6,Q17H51,Q17H51_AEDAE,XM_001662402.1,XP_001662452,XP_001662452.1,aag:5576107	aag:5576107
AAEL002851	7159.Q17GX9	Tubulin beta chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain.	https://smart.embl.de/smart/DDvec.cgi?smart=447:Tubulin(47|244)+Tubulin_C(246|383)+	5576244,AAEL002851,Q17GX9,Q17GX9_AEDAE,Tubulin beta,Tubulin beta chain,Tubulin beta-1 chain,XM_001655975.1,XP_001656025,XP_001656025.1,aag:5576244	aag:5576244
AAEL002876	7159.Q17GV3	AAEL002876-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=779:CUB(84|192)+CUB(214|341)+CUB(356|485)+CUB(494|619)+LDLa(633|674)+TRANS(681|703)+	5576365,AAEL002876,AAEL002876-PA,Q17GV3,Q17GV3_AEDAE,Uncharacterized protein LOC5576365 isoform X1,XM_001656053.1,XP_001656103.1,XP_021693250,aag:5576365	aag:5576365
AAEL002891	7159.Q17GS2	AAEL002891-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=209:Pfam_Acetyltransf_10(86|208)+	2.3.1.257,5576484,AAEL002891,AAEL002891-PA,EC 2.3.1.257,N-alpha-acetyltransferase 40,Q17GS2,Q17GS2_AEDAE,XM_001662627.1,XP_001662677.1,XP_021700664,aag:5576484	aag:5576484
