#node	identifier	domain_summary_url	annotation	other_names_and_aliases
AAEL001901	7159.Q17JX3	AAEL001901-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=218:Pfam_Ras(4|156)+	5572785,AAEL001901,AAEL001901-PA,Q17JX3,Q17JX3_AEDAE,XM_001654134.1,XP_001654184.1,XP_021702671,aag:5572785
AAEL002313	7159.Q17IM9	AAEL002313-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=483:Pfam_MFS_1(18|409)+	5574189,AAEL002313,AAEL002313-PA,Q17IM9,Q17IM9_AEDAE,Sugar transporter ERD6-like 2,XM_001661196.1,XP_001661246,XP_001661246.1,aag:5574189
AAEL002369	7159.Q17ID1	AAEL002369-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1290:ENT(13|85)+	5574508,AAEL002369,AAEL002369-PA,BRCA2-interacting transcriptional repressor EMSY,Q17ID1,Q17ID1_AEDAE,XM_001655108.1,XP_001655158,XP_001655158.1,aag:5574508
AAEL002376	7159.Q17IF7	Carboxylic ester hydrolase; Belongs to the type-B carboxylesterase/lipase family.	https://smart.embl.de/smart/DDvec.cgi?smart=580:Pfam_Abhydrolase_3(134|229)+	3.1.1.-,3.1.1.7,5574466,AAEL002376,Acetylcholinesterase,Carboxylic ester hydrolase,EC 3.1.1.7,Q17IF7,Q17IF7_AEDAE,XM_001655080.2,XP_001655130.2,XP_021699617,aag:5574466
AAEL002436	7159.Q1HRE2	AAEL002436-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=275:Pfam_TRIC(39|231)+	5580129,AAEL002436,AAEL002436-PA,AAEL002436-PB,AAEL002436-PC,Q1HRE2,Q1HRE2_AEDAE,Trimeric intracellular cation channel,Trimeric intracellular cation channel type 1B.1,XM_001655215.1,XM_001655216.1,XM_001655217.1,XP_001655265,XP_001655265.1,XP_001655266.1,XP_001655267.1,aag:5580129
AAEL002896	7159.Q17GU4	AAEL002896-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1896:SET(582|708)+ZnF_C2H2(709|732)+ZnF_C2H2(743|766)+ZnF_C2H2(772|792)+ZnF_C2H2(804|827)+ZnF_C2H2(837|860)+ZnF_C2H2(867|889)+ZnF_C2H2(895|920)+	5576462,AAEL002896,AAEL002896-PA,Q17GU4,Q17GU4_AEDAE,Uncharacterized protein LOC5576462 isoform X1,XM_001662605.1,XP_001662655.1,XP_021700291,aag:5576462
AAEL002925	7159.Q17GN1	AAEL002925-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1033:zf-AD(15|91)+MADF(213|294)+MADF(345|434)+MADF(754|843)+MADF(887|977)+	5576600,AAEL002925,AAEL002925-PA,Q17GN1,Q17GN1_AEDAE,Uncharacterized protein LOC5576600 isoform X1,XM_001656134.1,XP_001656184,XP_001656184.1,aag:5576600
AAEL002928	7159.Q17GN3	AAEL002928-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=296:ZnF_C2H2(116|137)+ZnF_C2H2(143|168)+ZnF_C2H2(175|198)+ZnF_C2H2(203|225)+ZnF_C2H2(229|251)+ZnF_C2H2(257|280)+	AAEL002928,AAEL002928-PA,Q17GN3,Q17GN3_AEDAE,XM_001656133.1,XP_001656183.1
AAEL003014	7159.Q17GH6	AAEL003014-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=396:SIGNAL(1|17)+ZnF_C2H2(47|72)+c-clamp(366|396)+	5580311,AAEL003014,AAEL003014-PA,Q17GH6,Q17GH6_AEDAE,XM_001662857.1,XP_001662907.1,XP_021709149,Zinc finger protein 704 isoform X1,aag:5580311
AAEL003046	7159.Q0IGB5	AAEL003046-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1017:SIGNAL(1|20)+SAPA(32|65)+SapB(75|151)+SapB(188|261)+SapB(290|364)+SapB(438|513)+SapB(541|616)+SapB(669|743)+SapB(788|862)+SapB(877|952)+SAPA(980|1013)+	5576894,AAEL003046,AAEL003046-PA,Q0IGB5,Q0IGB5_AEDAE,Saposin,Uncharacterized protein LOC5576894,XM_001662944.1,XP_001662994.1,XP_021703285,aag:5576894
AAEL003092	7159.Q17GF1	AAEL003092-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1520:TY(42|92)+Pfam_Antistasin(95|121)+FOLN(124|146)+WR1(162|209)+WAP(216|266)+TY(292|341)+FOLN(359|384)+FOLN(388|409)+FOLN(732|752)+WAP(766|815)+TY(843|889)+FOLN(920|940)+WR1(956|1001)+TY(1098|1160)+TY(1268|1314)+TRANS(1431|1453)+	5577062,AAEL003092,AAEL003092-PA,Q17GF1,Q17GF1_AEDAE,Uncharacterized protein LOC5577062,XM_001663108.1,XP_001663158.1,XP_021713221,aag:5577062
AAEL003118	7159.Q17GC9	AAEL003118-PB.	https://smart.embl.de/smart/DDvec.cgi?smart=215:PDZ(19|91)+	AAEL003118,AAEL003118-PB,Q17GC9,Q17GC9_AEDAE,XM_001663180.1,XP_001663230.1
AAEL003122	7159.Q17GD1	AAEL003122-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=167:	AAEL003122,AAEL003122-PA,Q17GD1,Q17GD1_AEDAE,XM_001663179.1,XP_001663229.1
AAEL003208	7159.Q17G33	Tubby, putative; Belongs to the TUB family.	https://smart.embl.de/smart/DDvec.cgi?smart=1389:WD40(49|88)+WD40(92|131)+SOCS_box(343|380)+Pfam_Tub(1241|1386)+	AAEL003208,AAEL003208-PA,Q17G33,Q17G33_AEDAE,Tubby, putative,XM_001656493.1,XP_001656543.1
AAEL003252	7159.Q17FY6	AAEL003252-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=3192:PH(400|500)+	5577636,AAEL003252,AAEL003252-PA,Q17FY6,Q17FY6_AEDAE,XM_001656584.1,XP_001656634.1,XP_021693854,aag:5577636
AAEL003357	7159.Q17FQ2	AAEL003357-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=922:uDENN(7|102)+DENN(105|290)+dDENN(324|388)+TRANS(898|920)+	5577902,AAEL003357,AAEL003357-PA,DENN domain-containing protein 1,Q17FQ2,Q17FQ2_AEDAE,Uncharacterized protein LOC5577902 isoform X1,XM_001656640.1,XP_001656690.1,XP_021702842,aag:5577902
AAEL003375	7159.Q17FK6	AAEL003375-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=358:Pfam_Senescence(104|291)+	5578005,AAEL003375,AAEL003375-PA,Protein spartin,Q17FK6,Q17FK6_AEDAE,Spartin,XM_001656694.1,XP_001656743,XP_001656744.1,aag:5578005
AAEL003381	7159.Q17FK7	AAEL003381-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=208:	5578005,AAEL003381,AAEL003381-PA,Q17FK7,Q17FK7_AEDAE,XM_001656693.1,XP_001656743.1
AAEL003407	7159.Q17FE8	AAEL003407-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=142:RRM(35|107)+	5578107,AAEL003407,AAEL003407-PA,Q17FE8,Q17FE8_AEDAE,RNA-binding protein 24-A,XM_001656754.1,XP_001656804,XP_001656804.1,aag:5578107
AAEL003414	7159.Q17FE9	AAEL003414-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=201:	AAEL003414,AAEL003414-PA,Q17FE9,Q17FE9_AEDAE,XM_001656753.1,XP_001656803.1
AAEL003420	7159.Q17FH2	AAEL003420-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=541:Pfam_DUF2369(179|273)+	5578086,AAEL003420,AAEL003420-PA,Q17FH2,Q17FH2_AEDAE,Uncharacterized protein LOC5578086,XM_001656730.1,XP_001656780,XP_001656780.1,aag:5578086
AAEL003428	7159.Q17FF2	AAEL003428-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=228:	5578104,AAEL003428,AAEL003428-PA,Q17FF2,Q17FF2_AEDAE,Regulator of microtubule dynamics protein 1,XM_001656750.1,XP_001656800,XP_001656800.1,aag:5578104
AAEL003548	7159.Q0IG40	AAEL003548-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=650:Pfam_Sulfate_transp(34|166)+Pfam_Sulfate_transp(157|461)+Pfam_STAS(512|639)+	5578348,AAEL003548,AAEL003548-PA,Q0IG40,Q0IG40_AEDAE,Solute carrier family 26 member 6,Solute carrier family 26, other,XM_001656867.1,XP_001656917.1,XP_021710741,aag:5578348
AAEL003560	7159.Q17F60	POU domain protein.	https://smart.embl.de/smart/DDvec.cgi?smart=408:POU(193|267)+HOX(285|347)+	5578493,AAEL003560,POU domain protein,POU domain protein CF1A,POU domain transcription factor, class 3,Q17F60,Q17F60_AEDAE,XM_001663833.1,XP_001663883.1,XP_021699519,aag:5578493
AAEL003623	7159.Q17EX1	AAEL003623-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=986:Pfam_Pacs-1(556|978)+	5578696,AAEL003623,AAEL003623-PA,AAEL003623-PB,Phosphofurin acidic cluster sorting protein 2,Q17EX1,Q17EX1_AEDAE,XM_001657045.1,XM_001657046.1,XP_001657095,XP_001657095.1,XP_001657096.1,aag:5578696
AAEL003642	7159.Q17EX5	Serine protease; Belongs to the peptidase S1 family.	https://smart.embl.de/smart/DDvec.cgi?smart=714:Tryp_SPc(94|342)+Pfam_CLIP(360|411)+Tryp_SPc(459|708)+	5578693,AAEL003642,AAEL003642-PA,Q17EX5,Q17EX5_AEDAE,Serine protease,Serine protease 7,XM_001657041.1,XP_001657091.1,XP_021711058,aag:5578693
AAEL003688	7159.Q17ET2	AAEL003688-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1072:DUF4210(863|921)+Pfam_Chromosome_seg(1003|1068)+	5578768,AAEL003688,AAEL003688-PA,Q17ET2,Q17ET2_AEDAE,Uncharacterized protein LOC5578768,XM_001657088.1,XP_001657138.1,XP_021701446,aag:5578768
AAEL003731	7159.Q17EP7	Nuclear body associated kinase, putative.	https://smart.embl.de/smart/DDvec.cgi?smart=978:Pfam_Pkinase_Tyr(3|125)+	AAEL003731,AAEL003731-PA,Nuclear body associated kinase, putative,Q17EP7,Q17EP7_AEDAE,XM_001664002.1,XP_001664052.1
AAEL003901	7159.Q17E87	AAEL003901-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1122:UBQ(9|80)+ZnF_AN1(1062|1100)+	5579183,AAEL003901,AAEL003901-PA,Q17E87,Q17E87_AEDAE,Uncharacterized protein LOC5579183,XM_001664228.1,XP_001664278.1,XP_021709131,aag:5579183
AAEL003930	7159.Q0IFW6	AAEL003930-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=296:	AAEL003930,AAEL003930-PA,Q0IFW6,Q0IFW6_AEDAE,XM_001648015.1,XP_001648065.1
AAEL003978	7159.Q17E51	AAEL003978-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=580:ZnF_C2H2(291|313)+ZnF_C2H2(322|344)+ZnF_C2H2(348|370)+ZnF_C2H2(376|398)+ZnF_C2H2(404|424)+	5579646,AAEL003978,AAEL003978-PA,Q17E51,Q17E51_AEDAE,XM_001648055.1,XP_001648105,XP_001648105.1,Zinc finger protein 329,aag:5579646
AAEL003979	7159.Q17E15	Deadenylation factor EDEN-BP, putative.	https://smart.embl.de/smart/DDvec.cgi?smart=285:RRM(201|274)+	AAEL003979,AAEL003979-PA,Deadenylation factor EDEN-BP, putative,Q17E15,Q17E15_AEDAE,XM_001648130.1,XP_001648180.1
AAEL003989	7159.Q17E14	AAEL003989-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=383:G_alpha(24|382)+	5563900,AAEL003989,AAEL003989-PA,Q17E14,Q17E14_AEDAE,XM_001648162.1,XP_001648212.1,XP_021708791,aag:5563900
AAEL004167	7159.Q0IFQ3	AAEL004167-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=699:Pfam_SF1-HH(196|307)+KH(311|404)+ZnF_C2HC(438|454)+ZnF_C2HC(463|479)+	5564257,AAEL004167,AAEL004167-PA,Q0IFQ3,Q0IFQ3_AEDAE,Splicing factor 1,XM_001648559.1,XP_001648609,XP_001648609.1,aag:5564257
AAEL004259	7159.Q17DB8	RNA-binding protein lin-28.	https://smart.embl.de/smart/DDvec.cgi?smart=157:CSP(2|66)+ZnF_C2HC(88|105)+ZnF_C2HC(111|127)+	5564462,AAEL004259,AAEL004259-PA,Protein lin-28,Protein lin-28 homolog isoform X1,Q17DB8,Q17DB8_AEDAE,RNA-binding protein lin-28,XM_001648753.1,XP_001648803.1,XP_021697781,aag:5564462
AAEL004338	7159.Q17D51	Pyruvate dehydrogenase E1 component subunit beta; The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO2.	https://smart.embl.de/smart/DDvec.cgi?smart=354:Transket_pyr(27|202)+Pfam_Transketolase_C(220|343)+	1.2.4.1,5564584,AAEL004338,EC 1.2.4.1,Pyruvate dehydrogenase E1 component beta subunit,Pyruvate dehydrogenase E1 component subunit beta,Q17D51,Q17D51_AEDAE,XM_001648872.1,XP_001648922,XP_001648922.1,aag:5564584
AAEL004389	7159.Q17CX9	Alpha-mannosidase.	https://smart.embl.de/smart/DDvec.cgi?smart=1174:Pfam_Glyco_hydro_38(149|475)+Alpha-mann_mid(484|572)+Pfam_Glyco_hydro_38C(627|1169)+	3.2.1.-,3.2.1.24,5564678,AAEL004389,Alpha-mannosidase,Alpha-mannosidase 2,EC 3.2.1.24,Q17CX9,Q17CX9_AEDAE,XM_001648987.1,XP_001649037.1,XP_021693010,aag:5564678
AAEL004391	7159.Q17CY1	AAEL004391-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=700:Pfam_MDM1(5|313)+	5564690,AAEL004391,AAEL004391-PA,Proteoglycan 4 isoform X3,Q17CY1,Q17CY1_AEDAE,XM_001648985.1,XP_001649035,XP_001649035.1,aag:5564690
AAEL004420	7159.Q17CU7	AAEL004420-PB.	http://smart.embl.de/smart/DDvec.cgi?smart=421:	5564770,AAEL004420,AAEL004420-PB,Protein SMG9,Protein SMG9 isoform X1,Q17CU7,Q17CU7_AEDAE,XM_001649071.1,XP_001649121,XP_001649121.1,aag:5564770
AAEL004542	7159.Q17CH0	AAEL004542-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=480:Pfam_DAGK_cat(36|179)+	AAEL004542,AAEL004542-PA,Q17CH0,Q17CH0_AEDAE,XM_001649357.1,XP_001649407.1
AAEL004715	7159.Q17C29	AAEL004715-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=268:Pfam_BTG(1|116)+	5565301,AAEL004715,AAEL004715-PA,Protein BTG1,Protein Tob/BTG,Q17C29,Q17C29_AEDAE,XM_001649617.1,XP_001649667.1,XP_021702494,aag:5565301
AAEL004720	7159.Q17C40	Dedicator of cytokinesis protein 9; Belongs to the DOCK family.	https://smart.embl.de/smart/DDvec.cgi?smart=1494:Pfam_DOCK-C2(276|467)+Pfam_DHR-2(1201|1494)+	5565314,AAEL004720,AAEL004720-PA,Dedicator of cytokinesis protein 9,Dedicator of cytokinesis protein 9 isoform X1,Dedicator of cytokinesis protein 9/10/11,Q17C40,Q17C40_AEDAE,XM_001649606.1,XP_001649656.1,XP_021702525,aag:5565314
AAEL004731	7159.Q17C42	AAEL004731-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=255:PH(33|146)+	AAEL004731,AAEL004731-PA,Q17C42,Q17C42_AEDAE,XM_001649604.1,XP_001649654.1
AAEL004918	7159.Q17BL6	AAEL004918-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=904:BBOX(73|121)+BBOX(239|282)+Pfam_NHL(647|674)+Pfam_NHL(694|723)+Pfam_NHL(738|765)+Pfam_NHL(781|808)+	5565690,AAEL004918,AAEL004918-PA,Brain tumor protein,Q17BL6,Q17BL6_AEDAE,Tripartite motif-containing protein 2/3,XM_001649994.1,XP_001650044,XP_001650044.1,aag:5565690
AAEL004946	7159.Q17BH7	AAEL004946-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=701:	5565730,AAEL004946,AAEL004946-PA,Q17BH7,Q17BH7_AEDAE,Uncharacterized protein LOC5565730 isoform X2,XM_001650051.1,XP_001650101,XP_001650101.1,aag:5565730
AAEL005014	7159.Q17B94	AAEL005014-PA; Belongs to the transient receptor (TC 1.A.4) family.	https://smart.embl.de/smart/DDvec.cgi?smart=1185:ANK(57|86)+ANK(131|160)+TRP_2(166|228)+TRANS(323|345)+Pfam_PKD_channel(391|550)+	5565862,AAEL005014,AAEL005014-PA,Q17B94,Q17B94_AEDAE,XM_001650171.1,XP_001650221,XP_001650221.1,aag:5565862
AAEL005033	7159.Q17BB1	AAEL005033-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=534:Pfam_zf-AD(6|82)+ZnF_C2H2(190|212)+ZnF_C2H2(357|379)+	5565844,AAEL005033,AAEL005033-PA,Q17BB1,Q17BB1_AEDAE,Uncharacterized protein LOC5565844 isoform X1,XM_001650154.1,XP_001650204,XP_001650204.1,aag:5565844
AAEL005134	7159.Q17B03	AAEL005134-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=675:SIGNAL(1|24)+Pfam_Phosphodiest(34|318)+TRANS(585|607)+	3.1.6.12,5566067,AAEL005134,AAEL005134-PA,Arylsulfatase B,Arylsulfatase B isoform X1,EC 3.1.6.12,Q17B03,Q17B03_AEDAE,XM_001650359.1,XP_001650409,XP_001650409.1,aag:5566067
AAEL005246	7159.Q17AN7	AAEL005246-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=265:	5566189,AAEL005246,AAEL005246-PA,Homeobox protein B-H2 isoform X1,Q17AN7,Q17AN7_AEDAE,XM_001650514.1,XP_001650563,XP_001650564.1,aag:5566189
AAEL005247	7159.Q17AN8	AAEL005247-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=127:HOX(25|87)+	5566189,AAEL005247,AAEL005247-PA,Q17AN8,Q17AN8_AEDAE,XM_001650513.1,XP_001650563.1
AAEL005314	7159.Q17AE0	AAEL005314-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=94:TRANS(70|92)+	5566341,AAEL005314,AAEL005314-PA,Q17AE0,Q17AE0_AEDAE,Uncharacterized protein LOC5566341,XM_001650681.1,XP_001650731.1,XP_021696745,aag:5566341
AAEL005581	7159.Q179N7	Transporter; Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family.	https://smart.embl.de/smart/DDvec.cgi?smart=680:Pfam_SNF(90|648)+	5566685,AAEL005581,Q179N7,Q179N7_AEDAE,Sodium-dependent serotonin transporter,Transporter,XM_001651042.1,XP_001651092,XP_001651092.1,aag:5566685
AAEL005824	7159.Q178M8	AAEL005824-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=116:	5567102,AAEL005824,AAEL005824-PA,Q178M8,Q178M8_AEDAE,Uncharacterized protein LOC5567102,XM_001651446.1,XP_001651496.1,XP_021701592,aag:5567102
AAEL005836	7159.Q178M9	AAEL005836-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=210:	AAEL005836,AAEL005836-PA,Q178M9,Q178M9_AEDAE,XM_001651445.1,XP_001651495.1
AAEL005957	7159.Q178B3	AAEL005957-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=418:SIGNAL(1|28)+Pfam_Lipase_GDSL(107|380)+	5567302,AAEL005957,AAEL005957-PA,Phospholipase B1, membrane-associated,Q178B3,Q178B3_AEDAE,XM_001651691.1,XP_001651741,XP_001651741.1,aag:5567302
AAEL005985	7159.Q177Z0	Autophagy-related protein 13; Belongs to the ATG13 family. Metazoan subfamily.	https://smart.embl.de/smart/DDvec.cgi?smart=512:Pfam_ATG13(92|201)+	5579871,AAEL005985,Autophagy-related protein 13,Autophagy-related protein 13 homolog isoform X2,Q177Z0,Q177Z0_AEDAE,XM_001664283.1,XP_001664333,XP_001664333.1,aag:5579871
AAEL006074	7159.Q177N4	alpha-1,2-Mannosidase; Belongs to the glycosyl hydrolase 47 family.	https://smart.embl.de/smart/DDvec.cgi?smart=602:Pfam_Glyco_hydro_47(161|599)+	3.2.1.-,3.2.1.209,5567412,AAEL006074,EC 3.2.1.209,Q177N4,Q177N4_AEDAE,XM_001657362.1,XP_001657412,XP_001657412.1,aag:5567412,alpha-1,2-Mannosidase
