"uniprot_id","species","mirna","mirna_expression","common_mirna","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels_network","annotation_stringdb","protein_name_uniprot","cc_function_uniprot","go_p_uniprot","go_f_uniprot","description_eggnog","preferred_name_eggnog","pfams_eggnog","interpro_description_ips","signature_description_ips","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id","log10_fdr","term_wrapped"
"Q17MT6","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0032502","Developmental process",135,3062,0.3,0.88,1.16e-12,"ARK","Apaf-1 Related Killer.",NA,NA,"apoptotic process","ADP binding","WD40 repeats",NA,"ANAPC4_WD40,CARD,NB-ARC,WD40","NB-ARC","NB-ARC domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.9355420107731,"Developmental process"
"Q17NJ1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0032502","Developmental process",135,3062,0.3,0.88,1.16e-12,"TOLL8",NA,NA,NA,"signal transduction",NA,"Toll - interleukin 1 - resistance",NA,"LRR_5,LRR_8,TIR,TIR_2","Leucine-rich repeat","Leucine rich repeat","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.9355420107731,"Developmental process"
"Q16GL8","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048856","Anatomical structure development",130,2924,0.3,0.88,2.06e-12,"AAEL014337","Mitotic protein phosphatase 1 regulator, putative.",NA,NA,NA,NA,"Toll-like Receptor","Tl","LRRNT,LRR_5,LRR_8,TIR","Leucine-rich repeat","Leucine rich repeat","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Anatomical structure
development"
"Q16I88","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048856","Anatomical structure development",130,2924,0.3,0.88,2.06e-12,"AAEL013758",NA,NA,NA,NA,NA,"CD80-like C2-set immunoglobulin domain",NA,"C2-set_2,Ig_3,V-set,ig","CD80-like, immunoglobulin C2-set","CD80-like C2-set immunoglobulin domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Anatomical structure
development"
"Q16MK4","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048856","Anatomical structure development",130,2924,0.3,0.88,2.06e-12,"AAEL012273",NA,NA,NA,"hematopoietic progenitor cell differentiation",NA,"Armadillo repeat-containing protein 6","ARMC6","Arm","LRRK2, ARM repeat domain","LRRK2 ARM repeat","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Anatomical structure
development"
"Q170K8","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048856","Anatomical structure development",130,2924,0.3,0.88,2.06e-12,"AAEL007876","Tyrosine protein kinase with ig domain; Belongs to the protein kinase superfamily. Tyr protein kinase family.","Tyrosine-protein kinase-like otk","Acts as a calcium-dependent, homophilic cell adhesion molecule that regulates neural recognition during the development of the nervous system. Component of the repulsive Plexin signaling response to regulate motor axon guidance at the embryonic stage. Also component of a receptor complex that is required in the adult visual system to innervate the lamina layer; specific targeting of R1-R6 axons","cell surface receptor protein tyrosine kinase signaling pathway; neurogenesis; positive regulation of neuron projection development; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","ATP binding; metal ion binding; transmembrane receptor protein tyrosine kinase activity","Tyrosine protein kinase with ig domain","PTK7","I-set,Ig_3,Pkinase_Tyr","Immunoglobulin I-set","Immunoglobulin I-set domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Anatomical structure
development"
"Q171J8","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048856","Anatomical structure development",130,2924,0.3,0.88,2.06e-12,"TOLL1A","Toll-like receptor; Belongs to the Toll-like receptor family.",NA,NA,"toll-like receptor signaling pathway","signaling receptor activity","Toll-like Receptor","Tl","LRRNT,LRR_5,LRR_8,TIR","Toll/interleukin-1 receptor homology (TIR) domain","TIR domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Anatomical structure
development"
"Q178N5","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048856","Anatomical structure development",130,2924,0.3,0.88,2.06e-12,"AAEL005832",NA,"Programmed cell death protein 4",NA,"negative regulation of DNA-templated transcription",NA,"Programmed cell death","PDCD4","MA3","Initiation factor eIF-4 gamma, MA3","MA3 domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Anatomical structure
development"
"Q17DL2","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048856","Anatomical structure development",130,2924,0.3,0.88,2.06e-12,"AAEL004133",NA,NA,NA,"cell-cell adhesion","cell adhesion molecule binding","Echinoid","igcm-1","C2-set_2,I-set,Ig_3,V-set,fn3,ig","Immunoglobulin V-set domain","Immunoglobulin V-set domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Anatomical structure
development"
"Q17G69","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048856","Anatomical structure development",130,2924,0.3,0.88,2.06e-12,"AAEL003169",NA,NA,NA,"cell-cell adhesion","cell adhesion molecule binding","Immunoglobulin C-2 Type","igcm-1","C2-set_2,I-set,Ig_3,V-set,fn3",NA,"Immunoglobulin domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Anatomical structure
development"
"Q17G70","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048856","Anatomical structure development",130,2924,0.3,0.88,2.06e-12,"AAEL003167",NA,NA,NA,"cell-cell adhesion","cell adhesion molecule binding","CD80-like C2-set immunoglobulin domain","igcm-1","C2-set_2,I-set,Ig_3,V-set,fn3","Immunoglobulin V-set domain","Immunoglobulin V-set domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Anatomical structure
development"
"Q17MT6","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048856","Anatomical structure development",130,2924,0.3,0.88,2.06e-12,"ARK","Apaf-1 Related Killer.",NA,NA,"apoptotic process","ADP binding","WD40 repeats",NA,"ANAPC4_WD40,CARD,NB-ARC,WD40","NB-ARC","NB-ARC domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Anatomical structure
development"
"Q17NJ1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048856","Anatomical structure development",130,2924,0.3,0.88,2.06e-12,"TOLL8",NA,NA,NA,"signal transduction",NA,"Toll - interleukin 1 - resistance",NA,"LRR_5,LRR_8,TIR,TIR_2","Leucine-rich repeat","Leucine rich repeat","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Anatomical structure
development"
"Q16GL8","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0030154","Cell differentiation",94,1751,0.38,1,2.06e-12,"AAEL014337","Mitotic protein phosphatase 1 regulator, putative.",NA,NA,NA,NA,"Toll-like Receptor","Tl","LRRNT,LRR_5,LRR_8,TIR","Leucine-rich repeat","Leucine rich repeat","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Cell differentiation"
"Q16I88","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0030154","Cell differentiation",94,1751,0.38,1,2.06e-12,"AAEL013758",NA,NA,NA,NA,NA,"CD80-like C2-set immunoglobulin domain",NA,"C2-set_2,Ig_3,V-set,ig","CD80-like, immunoglobulin C2-set","CD80-like C2-set immunoglobulin domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Cell differentiation"
"Q16MK4","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0030154","Cell differentiation",94,1751,0.38,1,2.06e-12,"AAEL012273",NA,NA,NA,"hematopoietic progenitor cell differentiation",NA,"Armadillo repeat-containing protein 6","ARMC6","Arm","LRRK2, ARM repeat domain","LRRK2 ARM repeat","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Cell differentiation"
"Q170K8","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0030154","Cell differentiation",94,1751,0.38,1,2.06e-12,"AAEL007876","Tyrosine protein kinase with ig domain; Belongs to the protein kinase superfamily. Tyr protein kinase family.","Tyrosine-protein kinase-like otk","Acts as a calcium-dependent, homophilic cell adhesion molecule that regulates neural recognition during the development of the nervous system. Component of the repulsive Plexin signaling response to regulate motor axon guidance at the embryonic stage. Also component of a receptor complex that is required in the adult visual system to innervate the lamina layer; specific targeting of R1-R6 axons","cell surface receptor protein tyrosine kinase signaling pathway; neurogenesis; positive regulation of neuron projection development; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","ATP binding; metal ion binding; transmembrane receptor protein tyrosine kinase activity","Tyrosine protein kinase with ig domain","PTK7","I-set,Ig_3,Pkinase_Tyr","Immunoglobulin I-set","Immunoglobulin I-set domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Cell differentiation"
"Q171J8","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0030154","Cell differentiation",94,1751,0.38,1,2.06e-12,"TOLL1A","Toll-like receptor; Belongs to the Toll-like receptor family.",NA,NA,"toll-like receptor signaling pathway","signaling receptor activity","Toll-like Receptor","Tl","LRRNT,LRR_5,LRR_8,TIR","Toll/interleukin-1 receptor homology (TIR) domain","TIR domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Cell differentiation"
"Q178N5","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0030154","Cell differentiation",94,1751,0.38,1,2.06e-12,"AAEL005832",NA,"Programmed cell death protein 4",NA,"negative regulation of DNA-templated transcription",NA,"Programmed cell death","PDCD4","MA3","Initiation factor eIF-4 gamma, MA3","MA3 domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Cell differentiation"
"Q17DL2","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0030154","Cell differentiation",94,1751,0.38,1,2.06e-12,"AAEL004133",NA,NA,NA,"cell-cell adhesion","cell adhesion molecule binding","Echinoid","igcm-1","C2-set_2,I-set,Ig_3,V-set,fn3,ig","Immunoglobulin V-set domain","Immunoglobulin V-set domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Cell differentiation"
"Q17G69","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0030154","Cell differentiation",94,1751,0.38,1,2.06e-12,"AAEL003169",NA,NA,NA,"cell-cell adhesion","cell adhesion molecule binding","Immunoglobulin C-2 Type","igcm-1","C2-set_2,I-set,Ig_3,V-set,fn3",NA,"Immunoglobulin domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Cell differentiation"
"Q17MT6","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0030154","Cell differentiation",94,1751,0.38,1,2.06e-12,"ARK","Apaf-1 Related Killer.",NA,NA,"apoptotic process","ADP binding","WD40 repeats",NA,"ANAPC4_WD40,CARD,NB-ARC,WD40","NB-ARC","NB-ARC domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Cell differentiation"
"Q17NJ1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0030154","Cell differentiation",94,1751,0.38,1,2.06e-12,"TOLL8",NA,NA,NA,"signal transduction",NA,"Toll - interleukin 1 - resistance",NA,"LRR_5,LRR_8,TIR,TIR_2","Leucine-rich repeat","Leucine rich repeat","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",11.6861327796308,"Cell differentiation"
"Q16GL8","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0007275","Multicellular organism development",115,2519,0.31,0.87,1.97e-11,"AAEL014337","Mitotic protein phosphatase 1 regulator, putative.",NA,NA,NA,NA,"Toll-like Receptor","Tl","LRRNT,LRR_5,LRR_8,TIR","Leucine-rich repeat","Leucine rich repeat","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",10.7055337738384,"Multicellular organism
development"
"Q16I88","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0007275","Multicellular organism development",115,2519,0.31,0.87,1.97e-11,"AAEL013758",NA,NA,NA,NA,NA,"CD80-like C2-set immunoglobulin domain",NA,"C2-set_2,Ig_3,V-set,ig","CD80-like, immunoglobulin C2-set","CD80-like C2-set immunoglobulin domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",10.7055337738384,"Multicellular organism
development"
"Q16MK4","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0007275","Multicellular organism development",115,2519,0.31,0.87,1.97e-11,"AAEL012273",NA,NA,NA,"hematopoietic progenitor cell differentiation",NA,"Armadillo repeat-containing protein 6","ARMC6","Arm","LRRK2, ARM repeat domain","LRRK2 ARM repeat","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",10.7055337738384,"Multicellular organism
development"
"Q170K8","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0007275","Multicellular organism development",115,2519,0.31,0.87,1.97e-11,"AAEL007876","Tyrosine protein kinase with ig domain; Belongs to the protein kinase superfamily. Tyr protein kinase family.","Tyrosine-protein kinase-like otk","Acts as a calcium-dependent, homophilic cell adhesion molecule that regulates neural recognition during the development of the nervous system. Component of the repulsive Plexin signaling response to regulate motor axon guidance at the embryonic stage. Also component of a receptor complex that is required in the adult visual system to innervate the lamina layer; specific targeting of R1-R6 axons","cell surface receptor protein tyrosine kinase signaling pathway; neurogenesis; positive regulation of neuron projection development; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","ATP binding; metal ion binding; transmembrane receptor protein tyrosine kinase activity","Tyrosine protein kinase with ig domain","PTK7","I-set,Ig_3,Pkinase_Tyr","Immunoglobulin I-set","Immunoglobulin I-set domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",10.7055337738384,"Multicellular organism
development"
"Q171J8","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0007275","Multicellular organism development",115,2519,0.31,0.87,1.97e-11,"TOLL1A","Toll-like receptor; Belongs to the Toll-like receptor family.",NA,NA,"toll-like receptor signaling pathway","signaling receptor activity","Toll-like Receptor","Tl","LRRNT,LRR_5,LRR_8,TIR","Toll/interleukin-1 receptor homology (TIR) domain","TIR domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",10.7055337738384,"Multicellular organism
development"
"Q17DL2","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0007275","Multicellular organism development",115,2519,0.31,0.87,1.97e-11,"AAEL004133",NA,NA,NA,"cell-cell adhesion","cell adhesion molecule binding","Echinoid","igcm-1","C2-set_2,I-set,Ig_3,V-set,fn3,ig","Immunoglobulin V-set domain","Immunoglobulin V-set domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",10.7055337738384,"Multicellular organism
development"
"Q17G69","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0007275","Multicellular organism development",115,2519,0.31,0.87,1.97e-11,"AAEL003169",NA,NA,NA,"cell-cell adhesion","cell adhesion molecule binding","Immunoglobulin C-2 Type","igcm-1","C2-set_2,I-set,Ig_3,V-set,fn3",NA,"Immunoglobulin domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",10.7055337738384,"Multicellular organism
development"
"Q17MT6","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0007275","Multicellular organism development",115,2519,0.31,0.87,1.97e-11,"ARK","Apaf-1 Related Killer.",NA,NA,"apoptotic process","ADP binding","WD40 repeats",NA,"ANAPC4_WD40,CARD,NB-ARC,WD40","NB-ARC","NB-ARC domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",10.7055337738384,"Multicellular organism
development"
"Q17NJ1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0007275","Multicellular organism development",115,2519,0.31,0.87,1.97e-11,"TOLL8",NA,NA,NA,"signal transduction",NA,"Toll - interleukin 1 - resistance",NA,"LRR_5,LRR_8,TIR,TIR_2","Leucine-rich repeat","Leucine rich repeat","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",10.7055337738384,"Multicellular organism
development"
