"species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_id_network","matching_proteins_labels_network","annotation","protein_name","cc_function","go_p","go_f","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182H373","RP20_CCG010842","Uncharacterized protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182H3K8","RP20_CCG020989","Integrase catalytic domain-containing protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182H3T1","RP20_CCG021137","Reverse transcriptase domain-containing protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182H637","RP20_CCG022500","Integrase catalytic domain-containing protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182H681","RP20_CCG022561","Reverse transcriptase domain-containing protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182HA07","RP20_CCG025029","Uncharacterized protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182HB25","RP20_CCG025658","Uncharacterized protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182HB39","RP20_CCG025689","Integrase catalytic domain-containing protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182HDC0","RP20_CCG027114","Reverse transcriptase domain-containing protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182HDJ1","RP20_CCG027237","Uncharacterized protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182HE13","RP20_CCG027595","Integrase catalytic domain-containing protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182HEI5","RP20_CCG015806","Uncharacterized protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023EBS4","RP20_CCG021402","Uncharacterized protein; Belongs to the complex I LYR family.","Complex 1 LYR protein domain-containing protein",NA,"iron-sulfur cluster assembly",NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023ECJ9","RP20_CCG026969","HIG1 domain-containing protein.","HIG1 domain-containing protein",NA,"mitochondrial respirasome assembly",NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023ED66","RP20_CCG004030","60S ribosomal protein L36; Belongs to the eukaryotic ribosomal protein eL36 family.","60S ribosomal protein L36",NA,"translation","structural constituent of ribosome","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023EDY3","RP20_CCG017449","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023EE18","RP20_CCG009017","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023EFH1","RP20_CCG013111","MICOS complex subunit MIC13; Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane.","MICOS complex subunit MIC13","Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane","cristae formation",NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023EFS1","RP20_CCG010314","Putative fatty acid-binding protein fabp; Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family.","Fatty acid-binding protein, muscle","Binds fatty acids in a 1:1 molar ratio",NA,"fatty acid binding","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023EGI5","RP20_CCG012262","Putative secreted protein.","Protein MIX23",NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023EIB6","RP20_CCG003697","Putative gtp-binding protein.",NA,NA,"protein transport","GTP binding; GTPase activity","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023EID3","RP20_CCG023467","Putative gtp-binding adp-ribosylation factor arf6 darf3; Belongs to the small GTPase superfamily. Arf family.","ADP-ribosylation factor-like protein 1",NA,"establishment of localization in cell; system development; vesicle-mediated transport","GTP binding; GTPase activity","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023EIL7","RP20_CCG007410","Glucosamine 6-phosphate N-acetyltransferase; Belongs to the acetyltransferase family. GNA1 subfamily.","Glucosamine 6-phosphate N-acetyltransferase",NA,"UDP-N-acetylglucosamine biosynthetic process","glucosamine 6-phosphate N-acetyltransferase activity","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023EJK9","RP20_CCG026399","Putative gtpase.",NA,NA,NA,"GTP binding; GTPase activity","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023EJP8","RP20_CCG003534","ER lumen protein-retaining receptor.","ER lumen protein-retaining receptor",NA,"protein retention in ER lumen; protein transport; vesicle-mediated transport","ER retention sequence binding","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023EJQ3","RP20_CCG003410","Putative secreted protein.","DNA replication complex GINS protein PSF3","Required for correct functioning of the GINS complex, a complex that plays an essential role in the initiation of DNA replication, and progression of DNA replication forks. GINS complex is a core component of CDC45-MCM-GINS (CMG) helicase, the molecular machine that unwinds template DNA during replication, and around which the replisome is built","mitotic DNA replication initiation",NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023EK43","RP20_CCG011742","Ferritin; Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation. Belongs to the ferritin family.","Ferritin","Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation","intracellular iron ion homeostasis; iron ion transport","ferric iron binding; ferrous iron binding; ferroxidase activity","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023EKS2","RP20_CCG016093","Putative u2 snrnp splicing factor small subunit.",NA,NA,"mRNA splicing, via spliceosome","RNA binding; zinc ion binding","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023EMA3","RP20_CCG026959","Putative heat shock protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023EPY3","RP20_CCG025494","Glyceraldehyde-3-phosphate dehydrogenase.","Glyceraldehyde-3-phosphate dehydrogenase",NA,"glucose metabolic process; glyceraldehyde-3-phosphate metabolic process; glycolytic process","glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity; NAD binding; NADP binding","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023EQ67","RP20_CCG014756","Hydrolase_4 domain-containing protein.","Serine aminopeptidase S33 domain-containing protein",NA,NA,"palmitoyl-(protein) hydrolase activity","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023EQE1","RP20_CCG020920","Serine/threonine-protein phosphatase.","Serine/threonine-protein phosphatase",NA,NA,"metal ion binding; protein serine/threonine phosphatase activity","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023EQV8","RP20_CCG011874","J domain-containing protein.","J domain-containing protein",NA,"protein folding","protein-folding chaperone binding; unfolded protein binding","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023ER33","RP20_CCG009155","Putative 26s proteasome regulatory complex subunit.","26S proteasome non-ATPase regulatory subunit 13","Component of the 26S proteasome, a multiprotein complex involved in the ATP-dependent degradation of ubiquitinated proteins. This complex plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins, which could impair cellular functions, and by removing proteins whose functions are no longer required. Therefore, the proteasome participates in numerous cellular processes, including cell cycle progression, apoptosis, or DNA damage repair","ubiquitin-dependent protein catabolic process","structural molecule activity","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A023ETF7","RP20_CCG028645","Fam20C domain-containing protein.","FAM20 C-terminal domain-containing protein",NA,NA,"ATP binding; metal ion binding; protein serine/threonine kinase activity","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G0L9","RP20_CCG000070","NAD(P)-bd_dom domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G0N5","RP20_CCG000101","GAR domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G0Q0","RP20_CCG000121","Cytidine deaminase; This enzyme scavenges exogenous and endogenous cytidine and 2'-deoxycytidine for UMP synthesis; Belongs to the cytidine and deoxycytidylate deaminase family.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G0T6","RP20_CCG000220","CRAL-TRIO domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G131","RP20_CCG000405","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G134","RP20_CCG000408","zf_UBZ domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G151","RP20_CCG000437","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G1E4","RP20_CCG000613","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G1E7","RP20_CCG000617","Exonuclease domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G2A3","RP20_CCG001269","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G2C1","RP20_CCG001321","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G2J8","RP20_CCG001475","Non-lysosomal glucosylceramidase; Non-lysosomal glucosylceramidase that catalyzes the hydrolysis of glucosylceramide (GlcCer) to free glucose and ceramide.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G2M7","RP20_CCG001521","HSA domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G2N5","RP20_CCG001549","t-SNARE coiled-coil homology domain-containing protein; Belongs to the syntaxin family.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G2Q0","RP20_CCG001575","E3 ubiquitin-protein ligase parkin; Functions within a multiprotein E3 ubiquitin ligase complex, catalyzing the covalent attachment of ubiquitin moieties onto substrate proteins; Belongs to the RBR family. Parkin subfamily.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G2Q1","RP20_CCG001576","Cleavage and polyadenylation specificity factor subunit 5; Component of the cleavage factor Im (CFIm) complex that functions as an activator of the pre-mRNA 3'-end cleavage and polyadenylation processing required for the maturation of pre-mRNA into functional mRNAs. CFIm contributes to the recruitment of multiprotein complexes on specific sequences on the pre-mRNA 3'-end, so called cleavage and polyadenylation signals (pA signals). Most pre-mRNAs contain multiple pA signals, resulting in alternative cleavage and polyadenylation (APA) producing mRNAs with variable 3'-end formation. The  [...]",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G2Y4","RP20_CCG001707","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G364","RP20_CCG001937","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G3D4","RP20_CCG002053","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G3H4","RP20_CCG002124","Reverse transcriptase Ty1/copia-type domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G3H6","RP20_CCG002131","Transcription elongation factor SPT5.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G3H7","RP20_CCG002133","ANK_REP_REGION domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G3J1","RP20_CCG002156","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G3N4","RP20_CCG002230","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G3N7","RP20_CCG002233","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G3U2","RP20_CCG002318","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G473","RP20_CCG002568","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G484","RP20_CCG002589","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G4I0","RP20_CCG002743","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G4J4","RP20_CCG002759","Acetyl-coenzyme A synthetase.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G4S7","RP20_CCG002936","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G4S8","RP20_CCG002937","Exocyst complex component; Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G4U6","RP20_CCG002972","BTB domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
