"uniprot_id","species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels_network","annotation_stringdb","protein_name_uniprot","cc_function_uniprot","go_p_uniprot","go_f_uniprot","description_eggnog","preferred_name_eggnog","pfams_eggnog","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Q16FK4","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL014730","AAEL014730-PA.",NA,NA,"protein localization","protein kinase binding","Neurobeachin","LRBA","Beach,DUF1088,DUF4704,Laminin_G_3,PH_BEACH,WD40","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16G14","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL014557","AAEL014557-PA.",NA,NA,"animal organ morphogenesis; anterior/posterior axis specification; cell differentiation","DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II transcription regulatory region sequence-specific DNA binding","Homeobox protein CDX","cad","Homeobox","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16GK5","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL014347","AAEL014347-PA.",NA,NA,"animal organ development; system development","calcium ion binding","Plexin repeat","MEGF8","CUB,EGF_3,EGF_CA,Kelch_1,Kelch_3,Kelch_4,Laminin_EGF,PSI","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16GL8","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL014337","Mitotic protein phosphatase 1 regulator, putative.",NA,NA,NA,NA,"Toll-like Receptor","Tl","LRRNT,LRR_5,LRR_8,TIR","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16HK0","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL013997","AAEL013997-PA.",NA,NA,"signal transduction",NA,"Guanine nucleotide-binding protein","GNB4","WD40","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16I15","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL013830","Bmp-induced factor.",NA,NA,"animal organ development; developmental process involved in reproduction; neuron development; regulation of transcription by RNA polymerase II","zinc ion binding","Broad-Complex, Tramtrack and Bric a brac","chinmo","BTB,zf-C2H2,zf-C2H2_4","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16I75","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL013770","Zinc finger protein.",NA,NA,"adaptive immune response; cell fate commitment; innate immune response","DNA-binding transcription repressor activity, RNA polymerase II-specific; N-methyltransferase activity; protein methyltransferase activity; RNA polymerase II cis-regulatory region sequence-specific DNA binding; S-adenosylmethionine-dependent methyltransferase activity; zinc ion binding","SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain","PRDM1","SET,zf-C2H2","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16I88","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL013758","AAEL013758-PA.",NA,NA,NA,NA,"CD80-like C2-set immunoglobulin domain",NA,"C2-set_2,Ig_3,V-set,ig","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16IN4","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL013602","AAEL013602-PA.",NA,NA,NA,NA,"Laminin G domain","EGFLAM","EGF,Laminin_G_1,Laminin_G_2,fn3,hEGF","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16IW8","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL013529","AAEL013529-PA.",NA,NA,"neurotransmitter secretion",NA,"It is involved in the biological process described with neurotransmitter secretion","SYN3","Synapsin,Synapsin_C,Synapsin_N","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16JC3","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL013380","AAEL013380-PA.",NA,NA,NA,"structural constituent of cuticle","Insect cuticle protein",NA,"Chitin_bind_4","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16JN7","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL013268","AAEL013268-PA.",NA,NA,NA,NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16KQ8","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL012905","AAEL012905-PA.",NA,NA,NA,"calcium ion binding","Zona pellucida (ZP) domain",NA,"EGF_CA,Zona_pellucida","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16KQ9","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL012910","AAEL012910-PA.",NA,NA,NA,"calcium ion binding","Follistatin-N-terminal domain-like","dp","EGF_CA,Zona_pellucida","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16KR0","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL012908","AAEL012908-PA.",NA,NA,NA,NA,"EGF domain, unclasssified subfamily","fbn-1","EGF_CA","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16KR1","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL012909","AAEL012909-PA.",NA,NA,NA,"calcium ion binding","Calcium-binding EGF-like domain",NA,"EGF_CA,Zona_pellucida","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16L96","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL012723","AAEL012723-PA; Belongs to the protein kinase superfamily.","mitogen-activated protein kinase kinase",NA,NA,"ATP binding; MAP kinase kinase activity; protein serine/threonine kinase activity; protein tyrosine kinase activity","protein kinase kinase","MAP2K1","Pkinase","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16LK0","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL012627","AAEL012627-PA.",NA,NA,"establishment of mitotic spindle orientation; regulation of establishment of bipolar cell polarity; signal transduction",NA,"Ras association (RalGDS/AF-6) domain","ANKFN1","Ank_4,RA,fn3","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16LS6","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL012541","AAEL012541-PA.",NA,NA,"neurotransmitter secretion",NA,"It is involved in the biological process described with neurotransmitter secretion","SYN3","Synapsin,Synapsin_C,Synapsin_N","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16LU2","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL012517","AAEL012517-PA.",NA,NA,NA,NA,"pro-neuregulin-2, membrane-bound","NRG2","EGF,I-set,Neuregulin","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16LX7","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL012493","AAEL012493-PA.",NA,NA,"animal organ development; system development",NA,"Plexin repeat","ATRN","CUB,EGF_2,Kelch_1,Kelch_3,Kelch_4,Kelch_5,Kelch_6,Laminin_EGF,Lectin_C,PSI","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16M45","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL012429","AAEL012429-PA.",NA,NA,NA,NA,"Smoothelin cytoskeleton protein","SMTN","CH,Smoothelin","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16M53","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL012420","AAEL012420-PA.",NA,NA,"post-transcriptional regulation of gene expression","mRNA 3'-UTR binding","Pumilio-family RNA binding repeat","PUM2","PUF","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16M54","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL012416","AAEL012416-PA.",NA,NA,NA,NA,"mRNA binding",NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16MK4","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL012273","AAEL012273-PA.",NA,NA,"hematopoietic progenitor cell differentiation",NA,"Armadillo repeat-containing protein 6","ARMC6","Arm","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16N83","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL012065","Cytoplasmic polyadenylation element binding protein (cpeb).",NA,NA,"negative regulation of cytoplasmic translation; spermatogenesis","mRNA 3'-UTR binding; mRNA regulatory element binding translation repressor activity; ribosome binding; translation factor activity, RNA binding","Cytoplasmic polyadenylation element binding protein","CPEB2","CEBP_ZZ,RRM_7","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16N85","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL012057","Enhancer of polycomb-like protein.","Enhancer of polycomb-like protein",NA,"regulation of transcription by RNA polymerase II",NA,"Enhancer of polycomb","EPC1","EPL1,E_Pc_C","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16NB0","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL012031","AAEL012031-PA.",NA,NA,NA,NA,"Centrosomal protein","CEP152",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16NC7","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL012019","AAEL012019-PA.","F5/8 type C domain-containing protein",NA,NA,NA,"Muskelin N-terminus","MKLN1","Kelch_1,Kelch_3,Muskelin_N","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16PP6","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL011565","AAEL011565-PA.",NA,NA,"signal transduction",NA,"It is involved in the biological process described with signal transduction",NA,"Ank_2,Ank_3,Ank_4,Ank_5,Death,ZU5","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16PT5","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL011536","Phosphoacetylglucosamine mutase; Catalyzes the conversion of GlcNAc-6-P into GlcNAc-1-P during the synthesis of uridine diphosphate/UDP-GlcNAc, a sugar nucleotide critical to multiple glycosylation pathways including protein N- and O- glycosylation; Belongs to the phosphohexose mutase family.","Phosphoacetylglucosamine mutase","Catalyzes the conversion of GlcNAc-6-P into GlcNAc-1-P during the synthesis of uridine diphosphate/UDP-GlcNAc, a sugar nucleotide critical to multiple glycosylation pathways including protein N- and O-glycosylation","carbohydrate metabolic process; cell wall organization; UDP-N-acetylglucosamine biosynthetic process","magnesium ion binding; phosphoacetylglucosamine mutase activity","Catalyzes the conversion of GlcNAc-6-P into GlcNAc-1-P during the synthesis of uridine diphosphate UDP-GlcNAc, a sugar nucleotide critical to multiple glycosylation pathways including protein N- and O-glycosylation","PGM3","PGM_PMM_I,PGM_PMM_III,PGM_PMM_IV","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16R23","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL011105","AAEL011105-PB.",NA,NA,NA,"actin filament binding","Class II Aldolase and Adducin N-terminal domain","add-1","Aldolase_II","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16R65","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL011058","Lim domain binding protein.",NA,NA,NA,"LIM domain binding","Lim domain binding protein","LDB2","LIM_bind","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16R88","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL011037","AAEL011037-PA.",NA,NA,NA,"structural constituent of cuticle","Insect cuticle protein",NA,"Chitin_bind_4","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16RM1","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL010908","AAEL010908-PA.",NA,NA,NA,NA,"Headcase protein","HECA","HECA,Headcase","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16RU6","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL010835","Mitogen-activated protein kinase kinase kinase.","Mitogen-activated protein kinase kinase kinase dlk-1",NA,"intracellular signal transduction; regulation of macromolecule metabolic process; regulation of primary metabolic process; response to stress","ATP binding; protein serine/threonine kinase activity","Mitogen-activated protein kinase kinase kinase","MAP3K13","Pkinase,Pkinase_Tyr","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16S36","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL010716","AAEL010716-PA.","Translocon Sec61/SecY plug domain-containing protein",NA,"protein transport",NA,"Plug domain of Sec61p","Sec61alpha","Plug_translocon,SecY","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16SB0","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL010643","AAEL010643-PA.",NA,NA,NA,NA,"P21-Rho-binding domain","PAK3","PBD,Pkinase","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16SL7","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL010555","AAEL010555-PA.",NA,NA,NA,"DNA-binding transcription factor activity, RNA polymerase II-specific; protein dimerization activity; RNA polymerase II cis-regulatory region sequence-specific DNA binding","Sterol regulatory element-binding","SREBF2","HLH","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16TM2","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL010198","AAEL010198-PA.",NA,NA,NA,NA,"Domain present in PSD-95, Dlg, and ZO-1/2.","IL16","PDZ","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16TR7","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL010144","AAEL010144-PA.",NA,NA,"extracellular matrix organization; proteolysis","metalloendopeptidase activity","Thrombospondin type 1 repeats","ADAMTSL1","ADAM_spacer1,I-set,Ig_3,PLAC,TSP_1","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16U10","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL010061","AAEL010061-PA.",NA,NA,NA,"actin binding","Formin Homology 2 Domain","FHDC1","Drf_FH3,FH2","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16U87","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL009988","AAEL009988-PA.",NA,NA,NA,NA,"Domain present in PSD-95, Dlg, and ZO-1/2.","IL16","PDZ","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16U90","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL009987","AAEL009987-PA.",NA,NA,NA,"zinc ion binding","Tudor domain",NA,"TUDOR","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16UC4","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL009947","Homeotic antennapedia protein, putative.","Homeotic protein antennapedia","Sequence-specific transcription factor which is part of a developmental regulatory system that regulates segmental identity in the mesothorax. Provides cells with specific positional identities on the anterior-posterior axis","anterior/posterior pattern specification; negative regulation of transcription by RNA polymerase II","DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding","Homeotic antennapedia protein","HOXB7","Homeobox","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16VM1","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL009515","AAEL009515-PA.",NA,NA,NA,"chromatin binding","DNA- binding",NA,"PWWP","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16VP6","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL009484","AAEL009484-PA.",NA,NA,"chitin-based cuticle development","structural constituent of chitin-based larval cuticle","Domain of unknown function, currently peculiar to Drosophila.",NA,"DUF243","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16W03","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL009377","AAEL009377-PA.","small monomeric GTPase",NA,"epidermis development; Rap protein signal transduction","GTP binding; GTPase activity","Ras subfamily of RAS small GTPases","RAP1A","Ras","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16WF1","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL009240","AAEL009240-PA.","Carboxylesterase type B domain-containing protein",NA,NA,"hydrolase activity","alpha/beta hydrolase fold","Nrt","COesterase","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16WM1","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL009175","AAEL009175-PA.",NA,NA,"axon guidance; digestive tract development; embryonic morphogenesis; embryonic organ development; epithelial cell migration; formation of animal organ boundary; gland development; glial cell migration; mesoderm development; negative chemotaxis; regulation of cell-cell adhesion; regulation of multicellular organismal process; reproductive structure development; sex differentiation","calcium ion binding; heparin binding; Roundabout binding","C-terminal cystine knot-like domain (CTCK)","SLIT2","EGF,LRRCT,LRRNT,LRR_8,Laminin_G_1,Laminin_G_2,hEGF","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16WV5","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL009085","AAEL009085-PA.",NA,NA,"negative regulation of endocytic recycling; small GTPase-mediated signal transduction","GTPase activator activity","It is involved in the biological process described with signal transduction","ARHGAP1","CRAL_TRIO_2,HbrB,RhoGAP","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16XA3","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL008948","AAEL008948-PA.",NA,NA,NA,"acyltransferase activity, transferring groups other than amino-acyl groups","Conserved hypothetical protein",NA,"Acyl_transf_3","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16XT3","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL008773","AAEL008773-PA.","Laminin A chain",NA,"animal organ morphogenesis; axon development; basement membrane organization; cell migration; respiratory system development; response to stress; substrate adhesion-dependent cell spreading; tissue development",NA,"Laminin Domain II","epi-1","Laminin_B,Laminin_EGF,Laminin_G_2,Laminin_I,Laminin_II,Laminin_N","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16Y82","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL008622","AAEL008622-PA.","Stress-activated protein kinase JNK","Responds to activation by environmental stress and pro-inflammatory cytokines by phosphorylating a number of transcription factors, and thus regulates transcriptional activity",NA,"ATP binding; MAP kinase activity; protein serine kinase activity","Mitogen-activated protein kinase",NA,"Pkinase","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
