"species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_id_network","matching_proteins_labels_network","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Aedes aegypti","GO:0007613","Memory",18,118,0.78,1.12,1.38e-06,"7159.Q0IFC5,7159.Q16FK4,7159.Q16IW8,7159.Q16LS6,7159.Q16M53,7159.Q16M54,7159.Q16N83,7159.Q16PP6,7159.Q16RU6,7159.Q16Y82,7159.Q16Z01,7159.Q170V1,7159.Q17B43,7159.Q17B44,7159.Q17CG1,7159.Q17F07,7159.Q17F08,7159.Q17IA0","AAEL005895,AAEL014730,AAEL013529,AAEL012541,AAEL012420,AAEL012416,AAEL012065,AAEL011565,AAEL010835,AAEL008622,AAEL008371,AAEL007791,AAEL005099,AAEL005089,AAEL004549,AAEL003609,AAEL003592,AAEL002411","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0051963","Regulation of synapse assembly",16,129,0.69,0.83,6.23e-05,"7159.Q16M53,7159.Q16M54,7159.Q16PP6,7159.Q16RU6,7159.Q16SB0,7159.Q16WV5,7159.Q16XT3,7159.Q16Z01,7159.Q17GF2,7159.Q17HS6,7159.Q17L66,7159.Q17L67,7159.Q17M42,7159.Q17MX6,7159.Q17MX7,7159.Q17P09","AAEL012420,AAEL012416,AAEL011565,AAEL010835,AAEL010643,AAEL009085,AAEL008773,AAEL008371,AAEL003109,AAEL002594,AAEL001468,AAEL001454,AAEL001104,AAEL000908,AAEL000891,AAEL000489","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0008582","Regulation of synaptic assembly at neuromuscular junction",15,119,0.69,0.8,0.00011,"7159.Q16M53,7159.Q16M54,7159.Q16PP6,7159.Q16RU6,7159.Q16SB0,7159.Q16WV5,7159.Q16XT3,7159.Q16Z01,7159.Q17GF2,7159.Q17HS6,7159.Q17L66,7159.Q17L67,7159.Q17M42,7159.Q17MX6,7159.Q17MX7","AAEL012420,AAEL012416,AAEL011565,AAEL010835,AAEL010643,AAEL009085,AAEL008773,AAEL008371,AAEL003109,AAEL002594,AAEL001468,AAEL001454,AAEL001104,AAEL000908,AAEL000891","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0031175","Neuron projection development",33,504,0.41,0.63,0.00015,"7159.Q0IFC5,7159.Q16I88,7159.Q16M53,7159.Q16M54,7159.Q16N85,7159.Q16PP6,7159.Q16R23,7159.Q16R65,7159.Q16RU6,7159.Q16SB0,7159.Q16WF1,7159.Q16WM1,7159.Q16XT3,7159.Q16Y82,7159.Q16YZ8,7159.Q16YZ9,7159.Q170K8,7159.Q174W8,7159.Q17BY7,7159.Q17C29,7159.Q17C39,7159.Q17HG6,7159.Q17HS6,7159.Q17I67,7159.Q17M42,7159.Q17MT6,7159.Q17MX1,7159.Q17MX6,7159.Q17MX7,7159.Q17N01,7159.Q17NP6,7159.Q17PG3,7159.Q17PT9","AAEL005895,AAEL013758,AAEL012420,AAEL012416,AAEL012057,AAEL011565,AAEL011105,AAEL011058,AAEL010835,AAEL010643,AAEL009240,AAEL009175,AAEL008773,AAEL008622,AAEL008362,AAEL008372,AAEL007876,GPRFZ2,AAEL004737,AAEL004715,AAEL004717,AAEL002690,AAEL002594,AAEL002451,AAEL001104,ARK,AAEL000868,AAEL000908,AAEL000891,AAEL000860,AAEL000597,AAEL000324,AAEL000242","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048667","Cell morphogenesis involved in neuron differentiation",31,456,0.42,0.64,0.00015,"7159.Q0IFC5,7159.Q16I88,7159.Q16M53,7159.Q16M54,7159.Q16N85,7159.Q16PP6,7159.Q16R23,7159.Q16R65,7159.Q16RU6,7159.Q16SB0,7159.Q16WF1,7159.Q16WM1,7159.Q16XT3,7159.Q16Y82,7159.Q16YZ8,7159.Q16YZ9,7159.Q170K8,7159.Q174W8,7159.Q17BY7,7159.Q17C39,7159.Q17HG6,7159.Q17HS6,7159.Q17I67,7159.Q17MT6,7159.Q17MX1,7159.Q17MX6,7159.Q17MX7,7159.Q17N01,7159.Q17NP6,7159.Q17PG3,7159.Q17PT9","AAEL005895,AAEL013758,AAEL012420,AAEL012416,AAEL012057,AAEL011565,AAEL011105,AAEL011058,AAEL010835,AAEL010643,AAEL009240,AAEL009175,AAEL008773,AAEL008622,AAEL008362,AAEL008372,AAEL007876,GPRFZ2,AAEL004737,AAEL004717,AAEL002690,AAEL002594,AAEL002451,ARK,AAEL000868,AAEL000908,AAEL000891,AAEL000860,AAEL000597,AAEL000324,AAEL000242","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0042058","Regulation of epidermal growth factor receptor signaling pathway",10,51,0.88,0.85,0.00018,"7159.Q0C7B1,7159.Q16M53,7159.Q16M54,7159.Q16U30,7159.Q16YZ8,7159.Q16YZ9,7159.Q17DL2,7159.Q17G69,7159.Q17GP3,7159.Q17K20","AAEL000093,AAEL012420,AAEL012416,AAEL010041,AAEL008362,AAEL008372,AAEL004133,AAEL003169,AAEL002938,AAEL001832","GO Biological Process","other","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050877","Nervous system process",38,636,0.37,0.6,0.00018,"7159.J9EAN8,7159.Q0IE98,7159.Q0IE99,7159.Q0IFC5,7159.Q16EP6,7159.Q16FK4,7159.Q16IW8,7159.Q16JU1,7159.Q16LS6,7159.Q16LU2,7159.Q16M53,7159.Q16M54,7159.Q16N83,7159.Q16NP6,7159.Q16PP6,7159.Q16QU1,7159.Q16RU6,7159.Q16RY8,7159.Q16TX6,7159.Q16UG5,7159.Q16UU9,7159.Q16Y82,7159.Q16Z01,7159.Q170V1,7159.Q17B43,7159.Q17B44,7159.Q17C29,7159.Q17CG1,7159.Q17D24,7159.Q17F07,7159.Q17F08,7159.Q17G54,7159.Q17IA0,7159.Q17MX1,7159.Q17MX6,7159.Q17MX7,7159.Q17PT9,7159.Q17PU2","J9EAN8_AEDAE,AAEL012979,AAEL012977,AAEL005895,AAEL015071,AAEL014730,AAEL013529,AAEL013216,AAEL012541,AAEL012517,AAEL012420,AAEL012416,AAEL012065,AAEL011910,AAEL011565,GPRgr11,AAEL010835,AAEL010783,AAEL010093,AAEL009915,AAEL009786,AAEL008622,AAEL008371,AAEL007791,AAEL005099,AAEL005089,AAEL004715,AAEL004549,AAEL004351,AAEL003609,AAEL003592,AAEL003199,AAEL002411,AAEL000868,AAEL000908,AAEL000891,AAEL000242,AAEL000247","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048812","Neuron projection morphogenesis",31,466,0.42,0.62,2e-04,"7159.Q0IFC5,7159.Q16I88,7159.Q16M53,7159.Q16M54,7159.Q16N85,7159.Q16PP6,7159.Q16R23,7159.Q16R65,7159.Q16RU6,7159.Q16SB0,7159.Q16WF1,7159.Q16WM1,7159.Q16XT3,7159.Q16Y82,7159.Q16YZ8,7159.Q16YZ9,7159.Q170K8,7159.Q174W8,7159.Q17BY7,7159.Q17C39,7159.Q17HG6,7159.Q17HS6,7159.Q17I67,7159.Q17M42,7159.Q17MT6,7159.Q17MX6,7159.Q17MX7,7159.Q17N01,7159.Q17NP6,7159.Q17PG3,7159.Q17PT9","AAEL005895,AAEL013758,AAEL012420,AAEL012416,AAEL012057,AAEL011565,AAEL011105,AAEL011058,AAEL010835,AAEL010643,AAEL009240,AAEL009175,AAEL008773,AAEL008622,AAEL008362,AAEL008372,AAEL007876,GPRFZ2,AAEL004737,AAEL004717,AAEL002690,AAEL002594,AAEL002451,AAEL001104,ARK,AAEL000908,AAEL000891,AAEL000860,AAEL000597,AAEL000324,AAEL000242","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0007417","Central nervous system development",24,314,0.48,0.64,0.00027,"7159.J9EAN8,7159.Q0IE98,7159.Q0IE99,7159.Q0IFC5,7159.Q16FK4,7159.Q16I15,7159.Q16LU2,7159.Q16TR7,7159.Q16UC4,7159.Q16WF1,7159.Q16Y82,7159.Q16YG3,7159.Q16YG8,7159.Q170K4,7159.Q17C29,7159.Q17DM5,7159.Q17EB3,7159.Q17F07,7159.Q17F08,7159.Q17F71,7159.Q17K67,7159.Q17K68,7159.Q17MT6,7159.Q17MX1","J9EAN8_AEDAE,AAEL012979,AAEL012977,AAEL005895,AAEL014730,AAEL013830,AAEL012517,AAEL010144,AAEL009947,AAEL009240,AAEL008622,AAEL008554,AAEL008528,AAEL007888,AAEL004715,AAEL004088,AAEL003861,AAEL003609,AAEL003592,AAEL003506,AAEL001780,AAEL001776,ARK,AAEL000868","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0007409","Axonogenesis",26,367,0.44,0.61,0.00037,"7159.Q0IFC5,7159.Q16I88,7159.Q16PP6,7159.Q16R23,7159.Q16R65,7159.Q16RU6,7159.Q16SB0,7159.Q16WF1,7159.Q16WM1,7159.Q16XT3,7159.Q16Y82,7159.Q16YZ8,7159.Q16YZ9,7159.Q170K8,7159.Q174W8,7159.Q17BY7,7159.Q17C39,7159.Q17HG6,7159.Q17HS6,7159.Q17I67,7159.Q17MX6,7159.Q17MX7,7159.Q17N01,7159.Q17NP6,7159.Q17PG3,7159.Q17PT9","AAEL005895,AAEL013758,AAEL011565,AAEL011105,AAEL011058,AAEL010835,AAEL010643,AAEL009240,AAEL009175,AAEL008773,AAEL008622,AAEL008362,AAEL008372,AAEL007876,GPRFZ2,AAEL004737,AAEL004717,AAEL002690,AAEL002594,AAEL002451,AAEL000908,AAEL000891,AAEL000860,AAEL000597,AAEL000324,AAEL000242","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0007420","Brain development",16,156,0.6,0.68,0.00037,"7159.Q0IE98,7159.Q0IE99,7159.Q0IFC5,7159.Q16FK4,7159.Q16I15,7159.Q16LU2,7159.Q16Y82,7159.Q17C29,7159.Q17DM5,7159.Q17EB3,7159.Q17F07,7159.Q17F08,7159.Q17F71,7159.Q17K67,7159.Q17K68,7159.Q17MX1","AAEL012979,AAEL012977,AAEL005895,AAEL014730,AAEL013830,AAEL012517,AAEL008622,AAEL004715,AAEL004088,AAEL003861,AAEL003609,AAEL003592,AAEL003506,AAEL001780,AAEL001776,AAEL000868","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0042059","Negative regulation of epidermal growth factor receptor signaling pathway",8,33,0.98,0.81,0.00037,"7159.Q0C7B1,7159.Q16M53,7159.Q16M54,7159.Q16U30,7159.Q16YZ8,7159.Q16YZ9,7159.Q17DL2,7159.Q17G69","AAEL000093,AAEL012420,AAEL012416,AAEL010041,AAEL008362,AAEL008372,AAEL004133,AAEL003169","GO Biological Process","other","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
