"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"A0A1S4FNS8"," ","AAEL009869",5572546,"protein_coding","Aedes aegypti LVP_AGWG","1",92.424271,"low-density lipoprotein receptor (ldl)",39.65,4,155056,13850,16044,251,1614,16
"A0A1S4FMH0"," ","AAEL009484",5571996,"protein_coding","Aedes aegypti LVP_AGWG","1",98.328899,"",40.07,2,16366,878,1602,131,593,4
"Q17I67"," ","AAEL002451",5580130,"protein_coding","Aedes aegypti LVP_AGWG","1",99.082345,"zinc finger protein",40.39,1,111512,3384,7682,1087,3211,5
"A0A0P6IUZ8"," ","AAEL027078",5580054,"protein_coding","Aedes aegypti LVP_AGWG","1",101.79661,"",38.24,3,260798,5794,7171,469,834,7
"Q17GS2"," ","AAEL002891",5576484,"protein_coding","Aedes aegypti LVP_AGWG","1",108.680455,"",44.36,1,1393,630,887,86,86,3
"A0A1S4F361"," ","AAEL002913",5576486,"protein_coding","Aedes aegypti LVP_AGWG","1",108.683838,"peroxisomal membrane protein 70 abcd3",39.2,1,51021,1980,3124,829,315,10
"A0A0P6IVE7"," ","AAEL018235",5570710,"protein_coding","Aedes aegypti LVP_AGWG","1",111.377015,"",41.12,3,27582,4566,8946,190,4001,5
"A0A1S4FD07"," PIWI7","AAEL006287",5567714,"protein_coding","Aedes aegypti LVP_AGWG","1",121.679216,"PIWI",43.56,1,3512,2829,3322,216,277,4
"Q17HA9"," ","AAEL002754",5575878,"protein_coding","Aedes aegypti LVP_AGWG","1",133.992089,"nephrin",38.04,1,158072,2586,4641,812,432,9
"Q16RK1"," ","AAEL010941",5580108,"protein_coding","Aedes aegypti LVP_AGWG","1",140.197184,"Protein tweety homolog [Source:UniProtKB/TrEMBL;Acc:Q16RK1]",39.75,2,41355,1614,6133,641,3878,6
"A0A0P6IWH8"," ","AAEL009515",5572102,"protein_coding","Aedes aegypti LVP_AGWG","1",140.821341,"",36.62,5,130758,4921,7688,256,1959,11
"Q16IW8"," ","AAEL004544",5565053,"protein_coding","Aedes aegypti LVP_AGWG","1",144.222049,"proteophosphoglycan, putative",37.91,1,169063,1638,4187,242,1338,12
"A0A1S4FVW5"," ","AAEL012237",5576008,"protein_coding","Aedes aegypti LVP_AGWG","1",146.515801,"bhlhzip transcription factor max/bigmax",40.15,1,17132,588,1342,292,462,5
"A0A1S4FXB1"," ","AAEL020403",5579261,"protein_coding","Aedes aegypti LVP_AGWG","1",161.535137,"",36.56,7,241587,800,7153,289,5714,11
"Q175B9"," ","AAEL022413",5568274,"protein_coding","Aedes aegypti LVP_AGWG","1",167.730089,"",41.53,1,34940,1353,3630,444,1388,5
"Q17AX2"," ","AAEL005160",5566091,"protein_coding","Aedes aegypti LVP_AGWG","1",168.266851,"sulphate transporter",37.1,3,148064,1963,3455,328,1027,9
"A0A1S4FJE7"," ","AAEL008414",5570610,"protein_coding","Aedes aegypti LVP_AGWG","1",173.712125,"",37.8,3,190538,4128,6178,280,1120,3
"Q17IA0"," ","AAEL002411",5574592,"protein_coding","Aedes aegypti LVP_AGWG","1",176.81555,"",38.72,2,26009,960,1472,119,427,6
"Q16RM1"," ","AAEL020016",110674011,"protein_coding","Aedes aegypti LVP_AGWG","1",187.954382,"",41.31,1,241101,591,5199,102,4506,5
"Q16RM1"," ","AAEL020017",5574070,"protein_coding","Aedes aegypti LVP_AGWG","1",187.957904,"",53.93,1,840,840,840,NA,NA,1
"A0A0P6J0D7"," ","AAEL022637",5577501,"protein_coding","Aedes aegypti LVP_AGWG","1",190.51826,"",39.14,1,833563,3297,5950,1202,250,19
"A0A1S4F445"," ","AAEL003194",5577498,"protein_coding","Aedes aegypti LVP_AGWG","1",192.085833,"xaa-pro aminopeptidase",38.66,1,36620,2118,2948,481,349,9
"Q171W2"," ","AAEL007508",5569262,"protein_coding","Aedes aegypti LVP_AGWG","1",199.094367,"oviductin",37.08,1,58774,864,1456,332,260,5
"A0A1S4FNQ4"," ","AAEL009915",5572577,"protein_coding","Aedes aegypti LVP_AGWG","1",206.733181,"centrosomal protein",38.37,3,159910,6310,8591,117,2025,11
"A0A1S4EXL5"," ","AAEL001005",5567839,"protein_coding","Aedes aegypti LVP_AGWG","1",210.061034,"calreticulin",39.63,1,8098,1224,2177,193,760,3
"Q17GF2"," ","AAEL003109",5577060,"protein_coding","Aedes aegypti LVP_AGWG","1",215.04117,"atlastin",37.45,3,69082,1647,4926,239,2800,8
"Q171Z5"," ","AAEL007483",5569220,"protein_coding","Aedes aegypti LVP_AGWG","1",216.28925,"",40.41,1,35062,3240,3889,NA,649,4
"A0A1S4FRK8"," ","AAEL010892",5574056,"protein_coding","Aedes aegypti LVP_AGWG","1",217.952947,"",38.87,1,42218,3402,4354,144,404,7
"Q177A9"," ","AAEL006189",5567614,"protein_coding","Aedes aegypti LVP_AGWG","1",224.666994,"",37.48,1,51101,1020,2864,1177,334,5
"A0A1S4FYY2"," Or76","AAEL013418",5577942,"protein_coding","Aedes aegypti LVP_AGWG","1",225.820345,"odorant receptor",49.8,1,1245,519,1190,46,312,2
"A0A1S4F4V4"," ","AAEL003506",5578275,"protein_coding","Aedes aegypti LVP_AGWG","1",230.148114,"emx homeobox protein",40,1,27485,1062,2546,493,991,3
"Q17J24"," ","AAEL002169",5580078,"protein_coding","Aedes aegypti LVP_AGWG","1",243.082837,"",42.48,1,70496,9177,9999,315,507,9
"A0A1S4F315"," ","AAEL002876",5576365,"protein_coding","Aedes aegypti LVP_AGWG","1",254.494021,"",38.15,15,540800,3921,7040,351,1903,17
"Q17GK3"," ","AAEL002967",5576739,"protein_coding","Aedes aegypti LVP_AGWG","1",261.307417,"",43.05,1,2618,867,2020,755,398,4
"Q173B0"," ","AAEL007217",5568906,"protein_coding","Aedes aegypti LVP_AGWG","1",267.74933,"",34.02,1,10523,363,1100,161,576,3
"Q16N83"," ","AAEL019844",5575787,"protein_coding","Aedes aegypti LVP_AGWG","1",269.214188,"",38.76,2,1148023,2622,5875,782,2210,10
"Q16LX7"," ","AAEL023169",5569057,"protein_coding","Aedes aegypti LVP_AGWG","1",271.659398,"",41.63,2,89012,3900,6545,515,2130,6
"A0A1S4G248"," ","AAEL013846",5578805,"protein_coding","Aedes aegypti LVP_AGWG","1",274.485027,"",38.3,8,543013,4433,4974,246,197,8
"A0A1S4G0B0"," ","AAEL013758",5578571,"protein_coding","Aedes aegypti LVP_AGWG","1",276.915182,"",38.5,1,185967,1119,2397,143,1135,6
"Q16LK0"," ","AAEL026260",5576566,"protein_coding","Aedes aegypti LVP_AGWG","1",279.453762,"",38.31,3,680673,4954,9275,344,3633,13
"A0A1S4G6M0"," ","AAEL023321",110674153,"protein_coding","Aedes aegypti LVP_AGWG","1",280.191649,"",49.98,1,2355,1911,2260,201,148,2
"Q0IEV0"," ","AAEL019983",5566210,"protein_coding","Aedes aegypti LVP_AGWG","1",283.256278,"",38.6,1,784828,5106,9976,953,2011,12
"A0A1S4F452"," ","AAEL003267",5577649,"protein_coding","Aedes aegypti LVP_AGWG","1",291.147786,"",37.32,2,85584,2324,4406,508,1067,14
"Q17FY6"," ","AAEL025295",5577636,"protein_coding","Aedes aegypti LVP_AGWG","1",291.777938,"",39.69,19,100078,6571,7319,180,367,7
"Q17B63"," ","AAEL005076",5565932,"protein_coding","Aedes aegypti LVP_AGWG","1",295.287276,"alanyl aminopeptidase",37.06,3,66415,3282,6823,582,2235,11
"Q16SI7"," ","AAEL010584",5573534,"protein_coding","Aedes aegypti LVP_AGWG","1",301.331796,"vesicular mannose-binding lectin",38.88,6,21234,1017,2024,50,857,7
"A0A1S4F2T8"," ","AAEL002813",5576107,"protein_coding","Aedes aegypti LVP_AGWG","1",304.488319,"coupling factor, putative",40.58,1,21722,321,567,161,85,3
"Q17C93"," ","AAEL023895",5565160,"protein_coding","Aedes aegypti LVP_AGWG","1",306.517538,"",39.5,7,146853,11856,14910,452,2602,19
"Q16UC4"," ","AAEL022179",5572676,"protein_coding","Aedes aegypti LVP_AGWG","1",310.102918,"",38.29,5,248158,925,4251,447,1871,6
"A0A1S4FK39"," CTL12","AAEL008681",5570943,"protein_coding","Aedes aegypti LVP_AGWG","2",1.610747,"C-Type Lectin (CTL).",43.36,2,1792,459,1370,139,1112,2
"Q16WV5"," ","AAEL009085",5571449,"protein_coding","Aedes aegypti LVP_AGWG","2",4.022386,"rho/rac/cdc GTPase-activating protein",37.09,1,87259,1476,3619,506,1131,8
"Q16PW9"," ","AAEL019416",5574895,"protein_coding","Aedes aegypti LVP_AGWG","2",4.660163,"",37.01,1,349048,3024,7236,638,2299,11
"A0A1S4G685"," ","AAEL017462",23687882,"protein_coding","Aedes aegypti LVP_AGWG","2",6.203164,"",36.16,12,109736,2112,6297,471,2829,12
"Q16LQ3"," ","AAEL015593",5579310,"protein_coding","Aedes aegypti LVP_AGWG","2",6.520241,"",37.13,11,198086,3181,5727,274,1481,15
"Q16EE7"," ","AAEL025017",5566722,"protein_coding","Aedes aegypti LVP_AGWG","2",16.825953,"",37.59,2,75837,1286,3248,197,1766,8
"A0A0P6J4J0"," ","AAEL019597",5576631,"protein_coding","Aedes aegypti LVP_AGWG","2",18.821735,"",37.98,1,51999,1599,3754,538,1079,5
"A0A0P6K0X9"," ","AAEL019617",5571277,"protein_coding","Aedes aegypti LVP_AGWG","2",21.751861,"",36.82,15,296538,1579,6291,454,3162,10
"Q174H3"," ","AAEL006884",5568483,"protein_coding","Aedes aegypti LVP_AGWG","2",24.320317,"",36.3,2,45945,1251,2648,247,656,5
"Q16TV9"," ","AAEL024732",5572892,"protein_coding","Aedes aegypti LVP_AGWG","2",35.830717,"",37.25,9,116246,1954,3597,210,1325,10
"A0A1S4FJ60"," ","AAEL008354",5570466,"protein_coding","Aedes aegypti LVP_AGWG","2",41.628484,"gaba receptor invertebrate",38.19,12,233463,1651,5056,496,2444,10
"Q17LA6"," ","AAEL001437",5570536,"protein_coding","Aedes aegypti LVP_AGWG","2",47.004237,"",37.86,6,640253,1502,5334,350,2857,11
"Q176Y4"," ","AAEL006219",5567622,"protein_coding","Aedes aegypti LVP_AGWG","2",49.334809,"heparan sulphate 2-o-sulfotransferase",37.15,1,740869,1206,2392,404,377,6
"Q17NC1"," ","AAEL000729",5566288,"protein_coding","Aedes aegypti LVP_AGWG","2",53.198484,"",37.88,5,1418593,974,4849,44,3831,12
"Q17NC4"," ","AAEL000723",5566273,"protein_coding","Aedes aegypti LVP_AGWG","2",54.942465,"",37.82,10,139367,3007,4087,362,356,11
"Q17NE5"," ","AAEL023348",5566265,"protein_coding","Aedes aegypti LVP_AGWG","2",56.000555,"",43.95,1,67308,2484,5844,1668,1692,4
"A0A1S4G7M5"," ","AAEL018119",5568120,"protein_coding","Aedes aegypti LVP_AGWG","2",59.538843,"",37.29,3,165951,975,3182,435,1559,5
"Q16JN7"," ","AAEL021945",5577554,"protein_coding","Aedes aegypti LVP_AGWG","2",61.987474,"",37.36,9,194547,1653,2429,308,330,7
"A0A1S4FA68"," ","AAEL005315",5566351,"protein_coding","Aedes aegypti LVP_AGWG","2",64.991552,"",36.93,1,59751,804,3608,458,1889,5
"A0A1S4FJ63"," GPRDIH1","AAEL008292",5570395,"protein_coding","Aedes aegypti LVP_AGWG","2",66.972837,"GPCR Diuretic Insect Hormone/Kinin/CRF Family",37.87,7,193024,1378,2656,424,684,12
"Q17BN5"," ","AAEL004900",5565667,"protein_coding","Aedes aegypti LVP_AGWG","2",71.408522,"geranylgeranyl pyrophosphate synthase",37.28,4,14070,966,1807,110,620,7
"A0A0P6K0W1"," ","AAEL002487",5574799,"protein_coding","Aedes aegypti LVP_AGWG","2",78.004127,"P53 regulated pa26 nuclear protein sestrin",37.2,1,166922,1323,5414,770,2552,8
"Q17KI5"," ","AAEL001680",5571808,"protein_coding","Aedes aegypti LVP_AGWG","2",85.412755,"",36.44,1,191995,1413,3570,662,833,5
"Q17KG8"," ","AAEL022154",5571826,"protein_coding","Aedes aegypti LVP_AGWG","2",86.822883,"",35.75,4,17573,333,1479,366,415,4
"Q16YK1"," ","AAEL008507",5570733,"protein_coding","Aedes aegypti LVP_AGWG","2",99.198287,"srpk",37.48,3,25933,1941,4398,271,928,3
"J9HFE1"," ","AAEL008517",5570735,"protein_coding","Aedes aegypti LVP_AGWG","2",99.41891,"elongation factor tu (ef-tu)",37.61,1,8942,1392,1684,142,150,3
"Q16HK0"," ","AAEL013997",5579061,"protein_coding","Aedes aegypti LVP_AGWG","2",101.824684,"guanine nucleotide-binding protein beta 3 (g protein beta3)",41.94,1,6130,1023,6130,1130,3977,1
"Q170B1"," ","AAEL026130",5563733,"protein_coding","Aedes aegypti LVP_AGWG","2",102.140518,"",35.38,1,15374,1323,1503,144,36,6
"A0A1S4FVX0"," ","AAEL012307",5576076,"protein_coding","Aedes aegypti LVP_AGWG","2",102.948522,"",38.71,1,33815,2124,3994,136,1598,5
"Q16KY3"," ","AAEL012837",5576854,"protein_coding","Aedes aegypti LVP_AGWG","2",105.324434,"",40,1,5820,195,935,124,616,2
"Q16IF7"," ","AAEL013687",5572768,"protein_coding","Aedes aegypti LVP_AGWG","2",111.256241,"",45.6,1,1511,873,1451,134,444,2
"A0A0P6J4C6"," ","AAEL020110",110675957,"protein_coding","Aedes aegypti LVP_AGWG","2",115.678031,"",40.38,7,29275,2368,4799,132,2167,10
"Q16I75"," ","AAEL013770",5578584,"protein_coding","Aedes aegypti LVP_AGWG","2",117.112441,"zinc finger protein",37.84,5,188797,3104,4722,304,966,6
"Q16PT5"," ","AAEL011536",5574930,"protein_coding","Aedes aegypti LVP_AGWG","2",123.167405,"phosphoglucomutase",39.98,1,19267,1650,2161,236,275,4
"Q0IE94"," ","AAEL012974",5575143,"protein_coding","Aedes aegypti LVP_AGWG","2",124.739629,"Glycine cleavage system H protein [Source:UniProtKB/TrEMBL;Acc:Q0IE94]",36.97,1,14452,492,1120,438,190,4
"Q0IE98"," ","AAEL019712",5577077,"protein_coding","Aedes aegypti LVP_AGWG","2",124.988553,"",37.74,1,245040,1932,4616,1144,395,7
"A0A0P6ITG8"," ","AAEL010835",5573997,"protein_coding","Aedes aegypti LVP_AGWG","2",127.923464,"mitogen-activated protein kinase kinase kinase",37.4,3,113656,3283,6182,564,1868,7
"A0A0P6IU09"," ","AAEL016992",23687412,"protein_coding","Aedes aegypti LVP_AGWG","2",133.740815,"",38.27,2,429552,2247,4728,714,1766,9
"A0A1S4FGH1"," SRPN25","AAEL007420",5569171,"protein_coding","Aedes aegypti LVP_AGWG","2",134.993302,"Serine Protease Inhibitor (serpin) homologue - unlikely to be inhibitory",38.44,1,2266,1248,2140,5,887,3
"Q16S81"," ","AAEL010659",5577708,"protein_coding","Aedes aegypti LVP_AGWG","2",135.777711,"lethal(2)essential for life protein, l2efl",36.22,3,16065,567,1504,177,584,4
"Q16S94"," ","AAEL019604",5573673,"protein_coding","Aedes aegypti LVP_AGWG","2",136.168392,"",36.85,3,164294,1497,3532,202,1429,9
"A0A1S4G017"," ","AAEL023810",5578284,"protein_coding","Aedes aegypti LVP_AGWG","2",139.976965,"",38,1,783038,4044,7803,1111,1537,18
"Q16MK4"," ","AAEL012273",5576044,"protein_coding","Aedes aegypti LVP_AGWG","2",145.044459,"",37.65,1,23342,1398,1805,76,179,6
"A0A1S4FVM5"," ","AAEL012272",5576045,"protein_coding","Aedes aegypti LVP_AGWG","2",145.084234,"fk506 binding protein",39.81,4,10879,1173,1854,68,639,6
"Q173D8"," ","AAEL020233",5568875,"protein_coding","Aedes aegypti LVP_AGWG","2",149.707051,"",35.93,12,121138,633,2241,355,898,5
"Q17LP8"," sec24","AAEL001273",5569619,"protein_coding","Aedes aegypti LVP_AGWG","2",151.998677,"Sec24B protein, putative",36.95,1,52490,3567,5232,176,1314,15
"Q17K67"," ","AAEL001776",5572304,"protein_coding","Aedes aegypti LVP_AGWG","2",164.997369,"",38.62,5,206985,953,4465,1648,1864,8
"Q17K92"," ","AAEL001749",5572280,"protein_coding","Aedes aegypti LVP_AGWG","2",165.87398,"ventrhoid transmembrane protein, putative",38.5,2,313031,1206,3771,657,1661,8
"A0A1S4EZP1"," ","AAEL025977",5564765,"protein_coding","Aedes aegypti LVP_AGWG","2",166.397984,"",36.96,14,117706,3174,4368,357,481,9
"A0A1S4FRX2"," ","AAEL010883",5574043,"protein_coding","Aedes aegypti LVP_AGWG","2",168.222125,"sodium/chloride dependent transporter",37.36,3,400663,2630,4198,382,805,9
"Q16WF1"," ","AAEL009240",5571711,"protein_coding","Aedes aegypti LVP_AGWG","2",170.933236,"neurotactin",38.36,1,166753,2583,4950,218,1495,5
"A0A1S4FZC4"," ","AAEL013380",5577796,"protein_coding","Aedes aegypti LVP_AGWG","2",177.281098,"Adult cuticle protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1S4FZC4]",38.15,1,23795,441,1785,120,1224,3
"A0A1S4G3G5"," Gr11","AAEL011174",5574457,"protein_coding","Aedes aegypti LVP_AGWG","2",182.341652,"gustatory receptor Gr11",38.52,1,10291,1416,1610,55,139,4
"Q16T61"," ","AAEL024680",5573282,"protein_coding","Aedes aegypti LVP_AGWG","2",182.707725,"",38.97,1,26921,3858,4034,69,54,9
"A0A1S4FQ25"," ","AAEL010373",5573291,"protein_coding","Aedes aegypti LVP_AGWG","2",182.865896,"dullard protein",37.18,12,39606,737,4743,246,1758,6
"A0A1S4G149"," ","AAEL022674",5579630,"protein_coding","Aedes aegypti LVP_AGWG","2",186.178742,"",36.03,1,10293,1173,1646,72,401,2
"Q16NC7"," ","AAEL012019",5575704,"protein_coding","Aedes aegypti LVP_AGWG","2",186.569197,"",39.88,3,21201,2444,3099,56,599,6
"Q16NS4"," ","AAEL011870",5575495,"protein_coding","Aedes aegypti LVP_AGWG","2",187.231262,"rap55",38.38,3,45980,1532,5369,354,3255,9
"A0A1S4FF96"," ","AAEL020073",5578126,"protein_coding","Aedes aegypti LVP_AGWG","2",189.962748,"",38.49,2,55131,3756,7944,646,2896,6
"A0A0P6JSH8"," ","AAEL003731",5578843,"protein_coding","Aedes aegypti LVP_AGWG","2",196.112492,"nuclear body associated kinase, putative",38.38,10,312570,4613,7885,454,2115,12
"A0A1S4F5P4"," ","AAEL022689",5578851,"protein_coding","Aedes aegypti LVP_AGWG","2",197.32161,"",38.73,5,60957,5172,7984,890,1668,9
"Q16XT5"," ","AAEL023600",5571041,"protein_coding","Aedes aegypti LVP_AGWG","2",198.33156,"",38,2,360327,1650,4199,1041,1508,6
"A0A1S4FKJ6"," ","AAEL008773",5571044,"protein_coding","Aedes aegypti LVP_AGWG","2",198.768206,"laminin A chain, putative",40.45,1,27944,11106,13326,128,1963,11
"Q16JU1"," ","AAEL013216",5577472,"protein_coding","Aedes aegypti LVP_AGWG","2",199.772209,"",37.65,6,131805,1267,1908,63,282,6
"Q170B1"," ","AAEL025585",5575202,"protein_coding","Aedes aegypti LVP_AGWG","2",200.971966,"",39.77,1,6831,1335,2121,786,NA,7
"Q16HG5"," ","AAEL020488",5579195,"protein_coding","Aedes aegypti LVP_AGWG","2",201.412841,"",39.15,6,599629,1104,7903,728,2636,12
"Q1HQG4"," ","AAEL012169",5575920,"protein_coding","Aedes aegypti LVP_AGWG","2",204.26695,"",35.41,1,5916,447,2200,245,1508,4
"A0A1S4G7M0"," ","AAEL018114",5567692,"protein_coding","Aedes aegypti LVP_AGWG","2",221.374767,"",36.09,2,309374,1743,3863,608,1093,8
"A0A1S4FSU8"," ","AAEL011281",5574644,"protein_coding","Aedes aegypti LVP_AGWG","2",226.773737,"cytochrome B561",36.41,10,74932,836,2188,189,960,6
"A0A1S4FS85"," ","AAEL011105",5574388,"protein_coding","Aedes aegypti LVP_AGWG","2",232.036761,"adducin",37.7,2,52580,1845,3904,64,482,12
"A0A1S4FGJ8"," ","AAEL007374",5569110,"protein_coding","Aedes aegypti LVP_AGWG","2",233.852132,"yellow protein precursor, putative",37.65,2,30979,1287,2196,237,777,4
"A0A1S4G219"," ","AAEL014347",5564197,"protein_coding","Aedes aegypti LVP_AGWG","2",238.531278,"",38.83,2,42879,8688,9676,228,532,5
"A0A0P6IVB5"," ","AAEL013537",5578151,"protein_coding","Aedes aegypti LVP_AGWG","2",246.089022,"Transcription elongation factor SPT5 [Source:UniProtKB/TrEMBL;Acc:A0A1S4FZD5]",43.82,1,10001,3267,4522,149,276,4
"Q16IV3"," ","AAEL013532",5578154,"protein_coding","Aedes aegypti LVP_AGWG","2",246.175348,"",38.93,2,4128,855,1060,35,170,7
"A0A0P6J5D2"," ","AAEL019658",5576948,"protein_coding","Aedes aegypti LVP_AGWG","2",251.905545,"",43.08,1,109741,48804,51222,260,1899,71
"A0A0P6J5D2"," ","AAEL024015",110676534,"protein_coding","Aedes aegypti LVP_AGWG","2",252.056975,"",38.62,1,227311,660,1376,623,93,5
"Q17G69"," ","AAEL019702",5577413,"protein_coding","Aedes aegypti LVP_AGWG","2",253.860196,"",38.27,1,619947,3276,7232,277,2849,8
"Q17DL2"," ","AAEL024144",5564164,"protein_coding","Aedes aegypti LVP_AGWG","2",255.371768,"",38.36,1,269484,3813,7226,1405,1004,9
"A0A1S4F4W1"," ","AAEL003527",5578359,"protein_coding","Aedes aegypti LVP_AGWG","2",256.835108,"",43.97,1,9093,651,1791,82,264,6
"A0A0P6ISZ2"," ","AAEL021782",5565618,"protein_coding","Aedes aegypti LVP_AGWG","2",257.060734,"",36.91,1,354294,1959,4820,403,844,13
"A0A0P6IY67"," ","AAEL019916",5570926,"protein_coding","Aedes aegypti LVP_AGWG","2",260.952609,"",37.42,1,231975,4818,7131,505,1808,14
"J9EAN8"," ","AAEL010145",5572931,"protein_coding","Aedes aegypti LVP_AGWG","2",265.093814,"sodium/potassium-dependent ATPase beta-2 subunit",36.62,3,71243,975,2651,156,1363,7
"Q16TR7"," ","AAEL022782",5572932,"protein_coding","Aedes aegypti LVP_AGWG","2",265.186572,"",38.92,3,844534,3802,7985,668,2846,19
"A0A0P6ITZ1"," ","AAEL026104",5572664,"protein_coding","Aedes aegypti LVP_AGWG","2",276.62512,"",42.27,1,41268,4230,4931,216,485,9
"Q17BE2"," ","AAEL004974",5565758,"protein_coding","Aedes aegypti LVP_AGWG","2",282.054464,"beta-1,3-glucuronyltransferase s, p",37.96,15,103394,1101,2753,290,1080,6
"Q172D9"," ","AAEL007452",5569178,"protein_coding","Aedes aegypti LVP_AGWG","2",291.235239,"",39.2,12,41374,1480,2786,184,940,10
"Q1HRN7"," ","AAEL007441",5569181,"protein_coding","Aedes aegypti LVP_AGWG","2",291.354864,"translocon-associated protein, gamma subunit",44.45,1,1199,555,1061,82,342,3
"Q17D93"," ","AAEL004292",5564514,"protein_coding","Aedes aegypti LVP_AGWG","2",293.325027,"",39.03,1,8673,624,1142,142,376,3
"A0A1S4G7G9"," ","AAEL018341",5566523,"protein_coding","Aedes aegypti LVP_AGWG","2",295.133823,"",37.16,19,429787,2552,4720,268,1146,24
"Q17A00"," ","AAEL019553",5566516,"protein_coding","Aedes aegypti LVP_AGWG","2",295.887555,"",37.75,3,466690,1854,7337,691,4100,4
"Q17KJ5"," ","AAEL019524",5571673,"protein_coding","Aedes aegypti LVP_AGWG","2",298.357328,"",39.44,4,87655,2222,2790,305,241,9
"A0A1S4F1I8"," ","AAEL002390",5574499,"protein_coding","Aedes aegypti LVP_AGWG","2",303.297369,"zinc finger protein",37.67,2,77848,2156,5713,508,2572,4
