"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"A0A182HEI5"," RP20_CCG027910","AALF027910",NA,"protein_coding","Aedes albopictus","JXUM01S007646",4.2e-05,"",47.06,1,1993,786,1993,222,985,1
"A0A182H373"," RP20_CCG010842","AALF010842",NA,"protein_coding","Aedes albopictus","JXUM01S076454",4.4e-05,"",46.45,1,3012,783,3012,786,1443,1
"A0A182G6A9"," CCG003891.1","AALF003891",NA,"protein_coding","Aedes albopictus","JXUM01S010314",6.6e-05,"",47.67,1,4271,1818,4271,1042,1411,1
"A0A182GXQ2"," CCG002789.1","AALF002789",NA,"protein_coding","Aedes albopictus","JXUM01S109778",0.000162,"",47.17,1,600,330,600,30,240,1
"A0A182HF73"," CCG028398.1","AALF028398",NA,"protein_coding","Aedes albopictus","JXUM01S007946",0.00018,"",47.6,1,3771,2865,3771,205,701,1
"A0A1W7R6K0"," RP20_CCG020479","AALF020479",NA,"protein_coding","Aedes albopictus","JXUM01S085927",0.000196,"",47.34,1,1354,1047,1354,283,24,1
"A0A182G7L0"," RP20_CCG004693","AALF004693",NA,"protein_coding","Aedes albopictus","JXUM01S010913",0.000218,"",48.39,1,1771,1176,1771,NA,595,1
"A0A182H9T9"," RP20_CCG024906","AALF024906",NA,"protein_coding","Aedes albopictus","JXUM01S006416",0.000325,"",46.2,1,855,447,781,19,315,2
"A0A182HFA2"," CCG028433.1","AALF028433",NA,"protein_coding","Aedes albopictus","JXUM01S007933",0.000329,"",41.33,1,39474,813,1722,98,811,3
"A0A182GXQ2"," CCG017736.1","AALF017736",NA,"protein_coding","Aedes albopictus","JXUM01S082025",0.00042,"",47.85,1,767,330,767,152,285,1
"A0A182GPT4"," CCG013590.1","AALF013590",NA,"protein_coding","Aedes albopictus","JXUM01S003009",0.000498,"Glutathione synthetase [Source:UniProtKB/TrEMBL;Acc:A0A182GPT4]",39.64,1,26608,1488,2808,371,949,6
"A0A182GDL1"," CCG008080.1","AALF008080",NA,"protein_coding","Aedes albopictus","JXUM01S013935",0.000521,"",49.7,1,1690,867,1690,350,473,1
"A0A182HEI5"," RP20_CCG015806","AALF015806",NA,"protein_coding","Aedes albopictus","JXUM01S080547",0.000568,"",47.48,1,1470,786,1470,425,259,1
"A0A182GJ49"," RP20_CCG018178","AALF018178",NA,"protein_coding","Aedes albopictus","JXUM01S082618",0.000614,"",52.32,1,948,720,948,8,220,1
"A0A182G8M4"," RP20_CCG005251","AALF005251",NA,"protein_coding","Aedes albopictus","JXUM01S001443",0.000717,"",42.77,1,27240,3300,25469,21865,304,4
"A0A182H432"," RP20_CCG021305","AALF021305",NA,"protein_coding","Aedes albopictus","JXUM01S087542",0.000755,"",49.49,1,588,405,588,129,54,1
"A0A182GER1"," RP20_CCG022150","AALF022150",NA,"protein_coding","Aedes albopictus","JXUM01S089134",0.000793,"Histone H2B [Source:UniProtKB/TrEMBL;Acc:A0A182GER1]",58.3,1,482,390,482,34,58,1
"A0A182GN18"," CCG012762.1","AALF012762",NA,"protein_coding","Aedes albopictus","JXUM01S077544",0.000901,"",48.77,1,892,450,892,207,235,1
"A0A182GXI4"," RP20_CCG017612","AALF017612",NA,"protein_coding","Aedes albopictus","JXUM01S023495",0.000903,"",51.38,1,726,309,726,64,353,1
"A0A182GFK3"," RP20_CCG009046","AALF009046",NA,"protein_coding","Aedes albopictus","JXUM01S001968",0.001199,"",40.37,1,13118,936,1274,155,183,2
"A0A182G1U3"," CCG000983.1","AALF000983",NA,"protein_coding","Aedes albopictus","JXUM01S008543",0.001249,"",37.55,1,38343,957,18455,581,16917,3
"A0A182G3H4"," CCG002124.1","AALF002124",NA,"protein_coding","Aedes albopictus","JXUM01S009157",0.001269,"",48.56,1,2846,831,2846,632,1383,1
"A0A182H0V3"," CCG019454.1","AALF019454",NA,"protein_coding","Aedes albopictus","JXUM01S004604",0.001447,"",42.21,1,26380,6345,8531,90,2096,9
"A0A182GPM8"," CCG013514.1","AALF013514",NA,"protein_coding","Aedes albopictus","JXUM01S078155",0.001466,"",46.09,1,627,273,627,163,191,1
"A0A023EQ28"," RP20_CCG011773","AALF011773",NA,"protein_coding","Aedes albopictus","JXUM01S000279",0.001517,"",50.43,1,934,756,934,3,175,1
"A0A182GA62"," CCG006184.1","AALF006184",NA,"protein_coding","Aedes albopictus","JXUM01S012155",0.00154,"",49.79,1,2370,309,2370,1193,868,1
"A0A182GF70"," RP20_CCG008879","AALF008879",NA,"protein_coding","Aedes albopictus","JXUM01S001950",0.001651,"type IV inositol 5-phosphatase [Source:Projected from Aedes aegypti (AAEL001367) VB Community Annotation]",41.27,1,6175,1968,2568,39,561,3
"A0A023EWL3"," CCG004385.1","AALF004385",NA,"protein_coding","Aedes albopictus","JXUM01S010687",0.00166,"",45.55,1,1236,306,1236,498,432,1
"A0A182GLR2"," CCG012103.1","AALF012103",NA,"protein_coding","Aedes albopictus","JXUM01S002639",0.001989,"",41.37,1,452,156,382,125,101,2
"A0A182G131"," RP20_CCG000405","AALF000405",NA,"protein_coding","Aedes albopictus","JXUM01S008236",0.002045,"",43.91,1,22440,1182,1955,300,473,3
"A0A182H6J3"," CCG022771.1","AALF022771",NA,"protein_coding","Aedes albopictus","JXUM01S005666",0.002156,"",46.55,1,27442,5712,27312,141,21459,3
"A0A182G9F1"," CCG005712.1","AALF005712",NA,"protein_coding","Aedes albopictus","JXUM01S011768",0.002167,"",46.31,1,18481,3285,5521,99,2137,7
"A0A023EQ16"," CCG008406.1","AALF008406",NA,"protein_coding","Aedes albopictus","JXUM01S014303",0.002221,"",46.66,1,1601,822,1601,81,698,1
"A0A182GIV3"," CCG010658.1","AALF010658",NA,"protein_coding","Aedes albopictus","JXUM01S016374",0.002348,"",44.05,1,1755,1161,1632,375,96,3
"A0A1W7R5W0"," RP20_CCG022391.3","AALF022391",NA,"protein_coding","Aedes albopictus","JXUM01S005539",0.002418,"",50.96,1,3073,1914,3073,267,892,1
"A0A182H742"," RP20_CCG023148","AALF023148",NA,"protein_coding","Aedes albopictus","JXUM01S005796",0.002442,"",46.92,1,1963,1107,1899,535,257,2
"A0A182H9Z6"," RP20_CCG025013","AALF025013",NA,"protein_coding","Aedes albopictus","JXUM01S006437",0.002563,"",50.47,1,1605,840,1605,14,751,1
"A0A182GBE2"," CCG006899.1","AALF006899",NA,"protein_coding","Aedes albopictus","JXUM01S075212",0.002673,"",42.18,1,8776,2247,4362,166,1949,5
"A0A182GEQ8"," CCG008643.1","AALF008643",NA,"protein_coding","Aedes albopictus","JXUM01S014517",0.002676,"",45.8,1,1439,528,1376,469,379,2
"A0A023EX67"," CCG008536.1","AALF008536",NA,"protein_coding","Aedes albopictus","JXUM01S014417",0.002726,"",44.56,1,1508,387,1508,460,661,1
"A0A182GJ96"," RP20_CCG010898","AALF010898",NA,"protein_coding","Aedes albopictus","JXUM01S002363",0.002752,"",45.22,1,4334,1221,4265,2398,646,2
"A0A182GCB3"," RP20_CCG007416","AALF007416",NA,"protein_coding","Aedes albopictus","JXUM01S000176",0.002953,"",48.71,1,1359,942,1359,190,227,1
"A0A023EHB0"," CCG026399.1","AALF026399",NA,"protein_coding","Aedes albopictus","JXUM01S006995",0.002958,"Putative gtpase [Source:UniProtKB/TrEMBL;Acc:A0A023EJK9]",39.29,1,67371,630,2100,689,781,6
"A0A182GJ49"," CCG010799.1","AALF010799",NA,"protein_coding","Aedes albopictus","JXUM01S016503",0.00306,"",52.22,1,992,720,992,43,229,1
"A0A182GA53"," RP20_CCG006156.2","AALF006156",NA,"protein_coding","Aedes albopictus","JXUM01S000165",0.003093,"",43.38,1,3817,1290,3559,784,1485,2
"A0A182G335"," CCG001813.1","AALF001813",NA,"protein_coding","Aedes albopictus","JXUM01S008999",0.003245,"",46.6,1,970,549,970,145,276,1
"A0A182G8Y8"," RP20_CCG005431","AALF005431",NA,"protein_coding","Aedes albopictus","JXUM01S011498",0.003444,"",50.56,1,886,435,886,185,266,1
"A0A182GI96"," CCG010372.1","AALF010372",NA,"protein_coding","Aedes albopictus","JXUM01S002266",0.003675,"",54.77,1,703,336,703,115,252,1
"A0A182GHZ4"," RP20_CCG010242","AALF010242",NA,"protein_coding","Aedes albopictus","JXUM01S002227",0.003701,"",45.29,1,13959,2226,13556,34,11296,3
"A0A182HCT5"," RP20_CCG026764.2","AALF026764",NA,"protein_coding","Aedes albopictus","JXUM01S007171",0.003943,"",49,1,28747,2460,17708,3345,11903,8
"A0A182G3M2"," CCG002202.2","AALF002202",NA,"protein_coding","Aedes albopictus","JXUM01S009427",0.00404,"",44.55,1,1522,855,1522,31,636,1
"A0A182G7R3"," RP20_CCG004768","AALF004768",NA,"protein_coding","Aedes albopictus","JXUM01S010962",0.004137,"",46.98,1,1392,675,1392,56,661,1
"A0A023ETQ3"," CCG000070.1","AALF000070",NA,"protein_coding","Aedes albopictus","JXUM01S008059",0.00416,"dtdp-glucose 4-6-dehydratase [Source:Projected from Aedes aegypti (AAEL006236) VB Community Annotation]",40.76,1,24227,999,2584,265,1320,3
"A0A182G6V0"," RP20_CCG004235","AALF004235",NA,"protein_coding","Aedes albopictus","JXUM01S075115",0.004218,"",53.97,1,958,441,958,204,313,1
"A0A182H3W3"," RP20_CCG021186","AALF021186",NA,"protein_coding","Aedes albopictus","JXUM01S005112",0.004402,"",37.79,1,31881,666,11720,10862,192,3
"A0A182H2J8"," RP20_CCG020428","AALF020428",NA,"protein_coding","Aedes albopictus","JXUM01S004873",0.004404,"",42.8,1,37929,2283,19874,2242,15349,6
"A0A182GFF2"," RP20_CCG008978","AALF008978",NA,"protein_coding","Aedes albopictus","JXUM01S014762",0.004438,"",49.83,1,1162,327,1162,373,462,1
"A0A023EVU3"," RP20_CCG021651","AALF021651",NA,"protein_coding","Aedes albopictus","JXUM01S000066",0.004516,"Serine Protease Inhibitor (serpin)  likely cleavage at I/S. Transcript A. [Source:Projected from Aedes aegypti (AAEL013936) VB Community Annotation]",42.4,1,13993,1509,13993,335,12149,1
"A0A182G2Q0"," RP20_CCG001575","AALF001575",NA,"protein_coding","Aedes albopictus","JXUM01S001125",0.004776,"E3 ubiquitin-protein ligase parkin [Source:UniProtKB/TrEMBL;Acc:A0A182G2Q0]",49.19,1,1911,1452,1716,105,159,4
"A0A182H3K8"," RP20_CCG020989","AALF020989",NA,"protein_coding","Aedes albopictus","JXUM01S005061",0.00483,"",45.09,1,1590,1281,1590,87,222,1
"A0A182GEC6"," CCG008456.1","AALF008456",NA,"protein_coding","Aedes albopictus","JXUM01S075480",0.004915,"",48.79,1,906,402,906,134,370,1
"A0A182GL68"," RP20_CCG011827","AALF011827",NA,"protein_coding","Aedes albopictus","JXUM01S002561",0.005062,"",41.62,1,21184,1473,3057,221,1363,4
"A0A182HEW6"," RP20_CCG028181","AALF028181",NA,"protein_coding","Aedes albopictus","JXUM01S007792",0.00507,"ubiquitin-conjugating enzyme E2-230k [Source:Projected from Aedes aegypti (AAEL006073) VB Community Annotation]",40.48,1,7925,3738,4957,24,1195,7
"A0A182GBV7"," CCG007174.1","AALF007174",NA,"protein_coding","Aedes albopictus","JXUM01S013112",0.005071,"",47.47,1,9752,2388,2654,56,210,4
"A0A182GCE9"," CCG007463.1","AALF007463",NA,"protein_coding","Aedes albopictus","JXUM01S013355",0.005211,"",49.04,1,1868,786,1868,211,871,1
"A0A182GSA0"," RP20_CCG014850","AALF014850",NA,"protein_coding","Aedes albopictus","JXUM01S003326",0.005256,"",39.64,1,31008,843,31008,29220,945,1
"A0A023EIZ6"," RP20_CCG002219","AALF002219",NA,"protein_coding","Aedes albopictus","JXUM01S009222",0.005263,"Putative splicing factor [Source:UniProtKB/TrEMBL;Acc:A0A023EIZ6]",41.02,1,14850,540,13870,204,13126,3
"A0A182GER1"," RP20_CCG008646","AALF008646",NA,"protein_coding","Aedes albopictus","JXUM01S014526",0.005517,"Histone H2B [Source:UniProtKB/TrEMBL;Acc:A0A182GER1]",58.22,1,450,390,450,34,26,1
"A0A182GUV3"," RP20_CCG016160","AALF016160",NA,"protein_coding","Aedes albopictus","JXUM01S003697",0.00568,"activating signal cointegrator 1 complex subunit 3, helc1 [Source:Projected from Aedes aegypti lvpagwg (AAEL014063) VB Community Annotation]",42.18,1,22797,6540,7047,281,226,11
"A0A182G4J4"," CCG002759.1","AALF002759",NA,"protein_coding","Aedes albopictus","JXUM01S009575",0.005714,"Acetyl-coenzyme A synthetase [Source:UniProtKB/TrEMBL;Acc:A0A182G4J4]",43.22,1,8135,1572,2887,111,1204,6
"A0A182H6R2"," RP20_CCG022878","AALF022878",NA,"protein_coding","Aedes albopictus","JXUM01S005718",0.005765,"",39.73,1,33222,2052,3177,158,967,5
"A0A023EVG1"," RP20_CCG000617","AALF000617",NA,"protein_coding","Aedes albopictus","JXUM01S001064",0.006048,"exonuclease nef-sp [Source:Projected from Aedes aegypti (AAEL006744) VB Community Annotation]",44.25,1,14945,1995,5314,346,2973,2
"A0A023EQ28"," CCG026396.1","AALF026396",NA,"protein_coding","Aedes albopictus","JXUM01S000872",0.006061,"taxilin [Source:Projected from Aedes aegypti (AAEL002374) VB Community Annotation]",46.75,1,7699,1575,2108,406,127,5
"A0A023EVD7"," RP20_CCG003480","AALF003480",NA,"protein_coding","Aedes albopictus","JXUM01S010038",0.006075,"",53.49,1,4433,4128,4128,NA,NA,2
"A0A023EKB1"," RP20_CCG022468.2","AALF022468",NA,"protein_coding","Aedes albopictus","JXUM01S005570",0.006128,"Mediator of RNA polymerase II transcription subunit [Source:Projected from Aedes aegypti (AAEL006934) VB Community Annotation]",39.02,1,2112,513,1877,40,1324,3
"A0A182H100"," CCG019543.1","AALF019543",NA,"protein_coding","Aedes albopictus","JXUM01S004623",0.006327,"",45.29,1,956,819,956,50,87,1
"A0A023EVB3"," RP20_CCG020703","AALF020703",NA,"protein_coding","Aedes albopictus","JXUM01S004963",0.006372,"Replication protein A subunit [Source:UniProtKB/TrEMBL;Acc:A0A182H338]",46.74,1,20127,1122,2744,1108,514,2
"A0A023EUF7"," RP20_CCG006265","AALF006265",NA,"protein_coding","Aedes albopictus","JXUM01S012260",0.00639,"Methionine aminopeptidase 2 [Source:UniProtKB/TrEMBL;Acc:A0A182GAB6]",48.52,1,1863,1026,1456,366,64,2
"A0A182H657"," RP20_CCG022524","AALF022524",NA,"protein_coding","Aedes albopictus","JXUM01S000669",0.00657,"",46.38,1,8153,4884,8153,838,2431,1
"A0A182H8Q6"," CCG024211.1","AALF024211",NA,"protein_coding","Aedes albopictus","JXUM01S000748",0.006574,"",40.78,1,136225,3537,120333,113609,3187,6
"A0A182HCF0"," CCG026525.1","AALF026525",NA,"protein_coding","Aedes albopictus","JXUM01S007071",0.006716,"",40.31,1,33617,2307,7620,1859,3454,5
"A0A182G948"," CCG003160.1","AALF003160",NA,"protein_coding","Aedes albopictus","JXUM01S009813",0.006865,"",50.82,1,490,315,425,39,71,2
"A0A182GNY6"," CCG013178.1","AALF013178",NA,"protein_coding","Aedes albopictus","JXUM01S002908",0.006942,"",49.1,1,1224,624,1224,68,532,1
"A0A023EUW6"," RP20_CCG006965","AALF006965",NA,"protein_coding","Aedes albopictus","JXUM01S012880",0.006945,"glycerol-3-phosphate acyltransferase [Source:Projected from Aedes aegypti (AAEL012743) VB Community Annotation]",45.7,1,3809,2115,2951,394,442,5
"A0A182GY58"," CCG017991.1","AALF017991",NA,"protein_coding","Aedes albopictus","JXUM01S004209",0.007045,"",41.08,1,24264,429,1678,1183,66,3
"A0A182H691"," CCG007915.1","AALF007915",NA,"protein_coding","Aedes albopictus","JXUM01S013779",0.007061,"",43.75,1,1511,936,1511,73,502,1
"A0A023EJP8"," CCG003534.1","AALF003534",109417765,"protein_coding","Aedes albopictus","JXUM01S001278",0.007065,"ER lumen protein-retaining receptor [Source:UniProtKB/TrEMBL;Acc:A0A023EJP8]",42.23,1,3374,639,3374,230,2505,1
"A0A182GGV5"," CCG009682.3","AALF009682",NA,"protein_coding","Aedes albopictus","JXUM01S000232",0.007528,"",46.59,1,1232,786,1232,30,416,1
"A0A182G7Q7"," RP20_CCG004754","AALF004754",NA,"protein_coding","Aedes albopictus","JXUM01S010960",0.00774,"",39.76,1,13211,1689,13211,293,11229,1
"A0A182HEH2"," RP20_CCG027878","AALF027878",NA,"protein_coding","Aedes albopictus","JXUM01S007625",0.00792,"",42.66,1,16670,3963,4571,418,190,4
"A0A182G5Z9"," RP20_CCG003706","AALF003706",NA,"protein_coding","Aedes albopictus","JXUM01S010189",0.007929,"",44.36,1,20026,1440,3034,595,999,6
"A0A023EVH8"," CCG018958.1","AALF018958",NA,"protein_coding","Aedes albopictus","JXUM01S004473",0.00795,"",38.18,1,12500,3099,4673,82,1492,2
"A0A023EDA0"," RP20_CCG007976","AALF007976",NA,"protein_coding","Aedes albopictus","JXUM01S013864",0.008181,"",47.05,1,2674,1221,2612,267,1124,2
"A0A182H6Y9"," CCG023047.1","AALF023047",NA,"protein_coding","Aedes albopictus","JXUM01S005763",0.008184,"",39.36,1,9572,6777,9572,87,2708,1
"A0A182GJV2"," RP20_CCG011195","AALF011195",NA,"protein_coding","Aedes albopictus","JXUM01S002426",0.008715,"",47.1,1,2066,258,2066,973,835,1
"A0A182GAZ9"," RP20_CCG006673","AALF006673",NA,"protein_coding","Aedes albopictus","JXUM01S012590",0.008915,"",47.92,1,4593,2487,4593,71,2035,1
"A0A023EVR1"," RP20_CCG015580","AALF015580",NA,"protein_coding","Aedes albopictus","JXUM01S003558",0.009179,"cyclophilin-6 [Source:Projected from Aedes aegypti (AAEL005690) VB Community Annotation]",51.65,1,2968,1986,2968,234,748,1
"A0A023EQQ3"," CCG012626.1","AALF012626",109424709,"protein_coding","Aedes albopictus","JXUM01S002772",0.009472,"Putative fatty acid desaturase [Source:UniProtKB/TrEMBL;Acc:A0A023EQQ3]",40.11,1,27517,966,27517,405,26146,1
"A0A182GR17"," CCG014226.1","AALF014226",NA,"protein_coding","Aedes albopictus","JXUM01S003238",0.009704,"",44.37,1,10276,1965,10046,86,7995,3
"A0A023EU44"," CCG023352.2","AALF023352",NA,"protein_coding","Aedes albopictus","JXUM01S000070",0.009754,"",39.14,1,101062,1932,23736,21784,20,6
"A0A182GUI2"," RP20_CCG015997","AALF015997",NA,"protein_coding","Aedes albopictus","JXUM01S003656",0.009793,"uracil phosphoribosyltransferase [Source:Projected from Aedes aegypti (AAEL012973) VB Community Annotation]",38.96,1,27569,678,1738,648,412,4
"A0A182GB50"," RP20_CCG006763","AALF006763",NA,"protein_coding","Aedes albopictus","JXUM01S012694",0.009927,"",44.95,1,2872,1359,2872,174,1339,1
"A0A182G2C1"," CCG001321.1","AALF001321",NA,"protein_coding","Aedes albopictus","JXUM01S008732",0.010126,"ezrin-binding protein pace-1 [Source:Projected from Aedes aegypti (AAEL003282) VB Community Annotation]",48.22,1,2758,2067,2393,154,172,2
"A0A182G2N8"," RP20_CCG001556","AALF001556",NA,"protein_coding","Aedes albopictus","JXUM01S008863",0.01021,"",41.66,1,7966,1917,6012,9,4086,9
"A0A182GKK8"," CCG011530.1","AALF011530",NA,"protein_coding","Aedes albopictus","JXUM01S002485",0.010274,"",44.25,1,5720,1509,5720,119,4092,1
"A0A023ETI6"," RP20_CCG021835","AALF021835",109413675,"protein_coding","Aedes albopictus","JXUM01S005326",0.010357,"BiP/GRP78 [Source:UniProtKB/TrEMBL;Acc:A0A023EUP2]",47.28,1,6417,1971,6417,3882,564,1
"A0A182GD72"," CCG016282.1","AALF016282",NA,"protein_coding","Aedes albopictus","JXUM01S003728",0.010545,"protein cactus (TOLL pathway signalling)",42.84,1,19511,1182,2945,788,975,5
"A0A182H9L9"," RP20_CCG024773","AALF024773",NA,"protein_coding","Aedes albopictus","JXUM01S006365",0.010695,"",43.05,1,28108,2127,3594,253,1214,5
"A0A023EWL3"," RP20_CCG007466","AALF007466",NA,"protein_coding","Aedes albopictus","JXUM01S013355",0.010865,"",50.44,1,1465,1062,1465,29,374,1
"A0A023EUA3"," CCG025714.1","AALF025714",109411870,"protein_coding","Aedes albopictus","JXUM01S006698",0.010901,"",53.16,1,2421,2151,2421,20,250,1
"A0A182HET5"," CCG028119.1","AALF028119",NA,"protein_coding","Aedes albopictus","JXUM01S007759",0.011247,"Apaf-1 Related Killer [Source:Projected from Aedes aegypti (AAEL000874) VB Community Annotation]",39.25,1,21611,4224,5089,12,853,5
"A0A182G2Y4"," RP20_CCG001707","AALF001707",NA,"protein_coding","Aedes albopictus","JXUM01S008948",0.011367,"",42.54,1,12452,1320,9325,93,7912,2
"A0A182GHU9"," RP20_CCG010187.2","AALF010187",NA,"protein_coding","Aedes albopictus","JXUM01S002224",0.011435,"",48.32,1,17664,7833,9057,381,843,10
"A0A182H127"," CCG019577.1","AALF019577",NA,"protein_coding","Aedes albopictus","JXUM01S004624",0.01163,"",39.98,1,25680,642,16870,15050,1178,2
"A0A182GVQ8"," CCG016632.1","AALF016632",NA,"protein_coding","Aedes albopictus","JXUM01S003842",0.0117,"",43.17,1,1193,480,1193,241,472,1
"A0A182GSH8"," CCG014961.1","AALF014961",NA,"protein_coding","Aedes albopictus","JXUM01S003350",0.012008,"",38.74,1,56072,1716,15096,43,13337,3
"A0A182GY39"," CCG017953.2","AALF017953",NA,"protein_coding","Aedes albopictus","JXUM01S004197",0.01219,"",50.83,1,5029,1314,5029,1384,2331,1
"A0A182H9R1"," CCG024856.1","AALF024856",NA,"protein_coding","Aedes albopictus","JXUM01S006388",0.012344,"",48.29,1,1317,171,1317,582,564,1
"A0A023EKU4"," RP20_CCG022906","AALF022906",109417716,"protein_coding","Aedes albopictus","JXUM01S005720",0.012546,"",40.43,1,26058,882,2265,534,849,6
"A0A023EI86"," RP20_CCG019897","AALF019897",NA,"protein_coding","Aedes albopictus","JXUM01S004724",0.012625,"",41.65,1,51816,8505,29638,20634,499,8
"A0A023EH14"," RP20_CCG000613","AALF000613",NA,"protein_coding","Aedes albopictus","JXUM01S008354",0.012721,"",47.33,1,972,471,972,81,420,1
"A0A182H443"," CCG021323.2","AALF021323",NA,"protein_coding","Aedes albopictus","JXUM01S005166",0.012806,"",49.41,1,14879,4434,8572,83,4055,2
"A0A023EKS2"," CCG016093.1","AALF016093",109397301,"protein_coding","Aedes albopictus","JXUM01S003684",0.012829,"Putative u2 snrnp splicing factor small subunit [Source:UniProtKB/TrEMBL;Acc:A0A023EKS2]",40.94,1,2096,723,1136,119,294,3
"A0A182G7F5"," CCG004603.1","AALF004603",NA,"protein_coding","Aedes albopictus","JXUM01S001384",0.012883,"brefeldin a-inhibited guanine nucleotide-exchange protein [Source:Projected from Aedes aegypti (AAEL013012) VB Community Annotation]",45.72,1,10700,4767,7551,325,2459,2
"A0A182G473"," CCG002568.1","AALF002568",NA,"protein_coding","Aedes albopictus","JXUM01S009459",0.013003,"",41.93,1,16936,744,1067,204,119,3
"A0A182GBI8"," CCG006980.1","AALF006980",NA,"protein_coding","Aedes albopictus","JXUM01S001647",0.013145,"",39.49,1,33347,5040,18332,12424,868,8
"A0A182G8P0"," CCG005275.1","AALF005275",NA,"protein_coding","Aedes albopictus","JXUM01S011353",0.013236,"",53.54,1,3237,1458,3237,184,1595,1
"A0A023EWM4"," CCG024488.1","AALF024488",NA,"protein_coding","Aedes albopictus","JXUM01S006255",0.013461,"",39.25,1,17249,2394,3832,120,1318,4
"A0A182HBA1"," RP20_CCG025807","AALF025807",NA,"protein_coding","Aedes albopictus","JXUM01S006747",0.013717,"",42.74,1,964,276,884,338,270,2
"A0A182G151"," CCG000437.1","AALF000437",NA,"protein_coding","Aedes albopictus","JXUM01S000106",0.013785,"",38.47,1,10509,339,673,166,168,3
"A0A182H9R2"," CCG024857.1","AALF024857",NA,"protein_coding","Aedes albopictus","JXUM01S006388",0.013821,"",48.36,1,4049,2469,4049,841,739,1
"A0A023EVH6"," RP20_CCG001347","AALF001347",NA,"protein_coding","Aedes albopictus","JXUM01S008758",0.013932,"Serine Protease Inhibitor (serpin)  likely cleavage at S/M. [Source:Projected from Aedes aegypti (AAEL014141) VB Community Annotation]",44.8,1,2165,1392,1519,25,102,2
"A0A023ERV3"," RP20_CCG010480","AALF010480",109405207,"protein_coding","Aedes albopictus","JXUM01S002282",0.014092,"adiponectin receptor [Source:Projected from Aedes aegypti (AAEL014717) VB Community Annotation]",39.39,1,33018,1260,29624,27258,1106,4
"A0A182HBL3"," CCG026001.1","AALF026001",NA,"protein_coding","Aedes albopictus","JXUM01S006826",0.014941,"",51.23,1,691,330,691,51,310,1
"A0A182GGA9"," CCG009412.1","AALF009412",NA,"protein_coding","Aedes albopictus","JXUM01S000023",0.014996,"",45.44,1,559,228,495,29,238,2
"A0A182HCS9"," RP20_CCG026758","AALF026758",NA,"protein_coding","Aedes albopictus","JXUM01S007169",0.016235,"",44.24,1,2308,1473,2308,68,767,1
"A0A182H480"," RP20_CCG021374","AALF021374",NA,"protein_coding","Aedes albopictus","JXUM01S005187",0.016432,"rhoGTPase [Source:Projected from Aedes aegypti (AAEL014636) VB Community Annotation]",42,1,52149,2250,13447,176,11021,12
"A0A182H6R0"," RP20_CCG022874","AALF022874",NA,"protein_coding","Aedes albopictus","JXUM01S005715",0.016527,"",51.26,1,1711,153,1711,709,849,1
"A0A182HF62"," RP20_CCG028378","AALF028378",NA,"protein_coding","Aedes albopictus","JXUM01S001066",0.016718,"",46.94,1,1078,183,1078,472,423,1
