#queryIndex	queryItem	stringId	identity	bitscore	preferredName	annotation
35	tr|Q17CU7|Q17CU7_AEDAE	7159.Q17CU7	100.0	818.1	AAEL004420	AAEL004420-PB.
36	tr|Q16VT5|Q16VT5_AEDAE	7159.Q16VT5	100.0	1307.7	AAEL009437	AAEL009437-PA.
37	tr|A0A1S4F4I9|A0A1S4F4I9_AEDAE	7159.Q17FE8	100.0	288.5	AAEL003407	AAEL003407-PA.
38	tr|Q174K4|Q174K4_AEDAE	7159.Q174K4	100.0	650.6	AAEL006855	UDP-galactose transporter.
39	tr|Q16KJ5|Q16KJ5_AEDAE	7159.Q16KJ5	100.0	1236.1	AAEL012972	Polypeptide N-acetylgalactosaminyltransferase.
40	UPI000B7898B8	7159.Q16HL0	65.0	282.3	AAEL013986	AAEL013986-PA.
41	UPI00043B9C2E	7159.Q16XV3	99.4	208.0	AAEL008765	AAEL008765-PA.
42	UPI00043BA5F5	7159.Q17CH0	100.0	979.9	AAEL004542	AAEL004542-PA.
43	tr|Q16KZ4|Q16KZ4_AEDAE	7159.Q16KZ4	100.0	1235.7	AAEL012823	Polypeptide N-acetylgalactosaminyltransferase.
44	tr|Q16NT2|Q16NT2_AEDAE	7159.Q16NT2	100.0	2212.6	AAEL011867	AAEL011867-PA.
45	UPI000B76E7C5	7159.Q17CY1	99.0	923.7	AAEL004391	AAEL004391-PA.
46	UPI000B76DFD8	7159.Q17GU4	95.4	2751.9	AAEL002896	AAEL002896-PA.
47	UPI000B7997E2	7159.Q17CY1	99.0	923.7	AAEL004391	AAEL004391-PA.
48	tr|Q7Z0L7|Q7Z0L7_AEDAE	7159.Q17L17	98.9	2160.6	AAEL001503	Sodium/hydrogen exchanger; Belongs to the monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family.
49	UPI000B783423	7159.Q16K82	39.4	62.4	AAEL013086	AAEL013086-PA.
50	tr|A0A1S4F1G7|A0A1S4F1G7_AEDAE	7159.Q17ID1	99.3	1946.0	AAEL002369	AAEL002369-PA.
51	UPI000B77DC29	7159.Q17MT2	98.8	811.6	AAEL000857	AAEL000857-PA.
53	tr|Q16QJ6|Q16QJ6_AEDAE	7159.Q16QJ6	100.0	1397.5	AAEL011261	AAEL011261-PA.
54	tr|Q17GD0|Q17GD0_AEDAE	7159.Q17GC9	99.4	308.1	AAEL003118	AAEL003118-PB.
55	UPI000B774F9D	7159.Q16HG5	91.3	632.5	AAEL014033	AAEL014033-PA.
56	tr|A0A0P6JRU7|A0A0P6JRU7_AEDAE	7159.Q16VT5	99.5	1299.6	AAEL009437	AAEL009437-PA.
58	UPI000B76BD26	7159.Q17L17	94.2	2128.6	AAEL001503	Sodium/hydrogen exchanger; Belongs to the monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family.
59	tr|A0A1S4FE21|A0A1S4FE21_AEDAE	7159.Q175U4	100.0	865.5	AAEL006553	AAEL006553-PA.
60	tr|Q5IED5|Q5IED5_AEDAE	7159.Q16TJ0	99.2	1262.7	AAEL010222	AAEL010222-PA.
62	UPI00043BCD87	7159.Q17GH6	100.0	564.7	AAEL003014	AAEL003014-PA.
63	UPI000B77DA12	7159.Q16U75	97.0	473.8	AAEL010015	AAEL010015-PA.
64	tr|Q16TJ1|Q16TJ1_AEDAE	7159.Q16TJ0	93.8	1101.3	AAEL010222	AAEL010222-PA.
65	UPI000B78BF0E	7159.Q17DB8	100.0	289.3	AAEL004259	RNA-binding protein lin-28.
66	tr|Q16G66|Q16G66_AEDAE	7159.Q16G66	100.0	1271.5	AAEL014507	AAEL014507-PA.
67	tr|Q17E51|Q17E51_AEDAE	7159.Q17E51	100.0	848.6	AAEL003978	AAEL003978-PA.
68	UPI000B793ECD	7159.Q174F6	70.7	442.2	AAEL006911	Microtubule-associated protein.
69	UPI000B784BE4	7159.Q16HJ7	80.0	748.4	AAEL014003	AAEL014003-PA.
70	UPI000B76C582	7159.Q16VT5	97.7	1268.8	AAEL009437	AAEL009437-PA.
71	tr|Q16WN0|Q16WN0_AEDAE	7159.Q16WN0	100.0	1373.6	AAEL009171	AAEL009171-PA.
72	tr|Q17KB4|Q17KB4_AEDAE	7159.Q17KB4	100.0	468.0	AAEL001738	AAEL001738-PA.
73	tr|Q17BB1|Q17BB1_AEDAE	7159.Q17BB1	100.0	1060.4	AAEL005033	AAEL005033-PA.
74	tr|Q16YB0|Q16YB0_AEDAE	7159.Q16YB0	100.0	822.4	AAEL008590	AAEL008590-PA.
75	tr|Q16LF8|Q16LF8_AEDAE	7159.Q16LF8	100.0	371.7	AAEL012657	AAEL012657-PA.
76	UPI000B770CE4	7159.Q16HL0	65.0	282.3	AAEL013986	AAEL013986-PA.
77	UPI00043BCB3B	7159.Q17GU4	96.6	2763.4	AAEL002896	AAEL002896-PA.
78	UPI000B7737BA	7159.Q16WA7	100.0	464.5	AAEL009304	AAEL009304-PA; Belongs to the syntaxin family.
79	UPI000B76F2B3	7159.Q16U75	99.6	490.7	AAEL010015	AAEL010015-PA.
80	UPI000B78D40D	7159.Q17KR6	95.5	1479.9	AAEL001543	AAEL001543-PA.
81	tr|Q17MK0|Q17MK0_AEDAE	7159.Q17MK0	100.0	1053.9	AAEL000981	AAEL000981-PA.
82	tr|Q17D51|Q17D51_AEDAE	7159.Q17D51	100.0	709.1	AAEL004338	Pyruvate dehydrogenase E1 component subunit beta; The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO2.
83	tr|Q16UG6|Q16UG6_AEDAE	7159.Q16UG6	100.0	357.8	AAEL009901	AAEL009901-PA.
84	tr|A0A1S4F6K5|A0A1S4F6K5_AEDAE	7159.Q17E51	99.1	837.4	AAEL003978	AAEL003978-PA.
85	UPI000B77C745	7159.Q17EX5	99.7	726.1	AAEL003642	Serine protease; Belongs to the peptidase S1 family.
86	tr|Q16TV2|Q16TV2_AEDAE	7159.Q16TV2	100.0	1408.7	AAEL010124	Phosphoinositide phospholipase C.
87	UPI000B776F51	7159.Q174S1	91.5	2556.2	AAEL006783	Histone-lysine N-methyltransferase, H3 lysine-79 specific.
88	tr|Q1DGR7|Q1DGR7_AEDAE	7159.Q1DGR7	100.0	171.0	AAEL015521	AAEL015521-PA.
89	tr|A0A0P6JS73|A0A0P6JS73_AEDAE	7159.Q17GN1	99.9	2051.9	AAEL002925	AAEL002925-PA.
90	UPI000B77D2E1	7159.Q0IEC2	99.5	1099.3	AAEL011420	AAEL011420-PA.
91	tr|A0A1S4FWG2|A0A1S4FWG2_AEDAE	7159.Q16M76	99.8	743.4	AAEL012388	AAEL012388-PA.
92	tr|Q177N4|Q177N4_AEDAE	7159.Q177N4	100.0	1232.6	AAEL006074	alpha-1,2-Mannosidase; Belongs to the glycosyl hydrolase 47 family.
93	tr|Q17AN7|Q17AN7_AEDAE	7159.Q17AN7	100.0	278.5	AAEL005246	AAEL005246-PA.
94	tr|A0A1S4FAZ9|A0A1S4FAZ9_AEDAE	7159.Q179N7	99.9	1323.5	AAEL005581	Transporter; Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family.
95	UPI000B76EF48	7159.Q174F6	70.7	442.6	AAEL006911	Microtubule-associated protein.
96	tr|Q16PZ1|Q16PZ1_AEDAE	7159.Q16PZ1	100.0	529.6	AAEL011469	AAEL011469-PA.
97	tr|Q17E14|Q17E14_AEDAE	7159.Q17E14	100.0	778.1	AAEL003989	AAEL003989-PA.
98	tr|Q16NV1|Q16NV1_AEDAE	7159.Q16NV1	100.0	950.7	CYP315A1	AAEL011850-PA.
99	tr|A0A0N8ES87|A0A0N8ES87_AEDAE	7159.Q17DB8	100.0	321.2	AAEL004259	RNA-binding protein lin-28.
100	tr|Q17AE0|Q17AE0_AEDAE	7159.Q17AE0	100.0	197.6	AAEL005314	AAEL005314-PA.
101	UPI00043BC503	7159.J9HZV2	99.5	203.0	J9HZV2_AEDAE	AAEL017168-PA.
102	UPI000B784E3C	7159.Q17B94	99.9	2116.3	AAEL005014	AAEL005014-PA; Belongs to the transient receptor (TC 1.A.4) family.
103	tr|A0A1S4FT60|A0A1S4FT60_AEDAE	7159.Q16QJ6	99.7	1390.9	AAEL011261	AAEL011261-PA.
104	tr|Q175T7|Q175T7_AEDAE	7159.Q175T7	100.0	163.3	AAEL006555	AAEL006555-PA.
105	tr|Q176D4|Q176D4_AEDAE	7159.Q176D4	100.0	433.7	AAEL006439	Dual specificity protein phosphatase; Dual specificity phosphatase able to dephosphorylate phosphotyrosine, phosphoserine and phosphothreonine residues, with a preference for phosphotyrosine as a substrate. Belongs to the protein-tyrosine phosphatase family. Non- receptor class dual specificity subfamily.
106	tr|Q17FK6|Q17FK6_AEDAE	7159.Q17FK6	100.0	701.8	AAEL003375	AAEL003375-PA.
107	UPI000B78BA47	7159.Q16PA7	37.4	229.2	AAEL011709	Diacylglycerol kinase.
108	tr|A0A1S4FVR0|A0A1S4FVR0_AEDAE	7159.Q16MZ3	99.2	1028.9	AAEL012138	AAEL012138-PB.
109	UPI000B77B515	7159.Q0IEC2	99.5	1099.3	AAEL011420	AAEL011420-PA.
110	tr|A0A1S4FUF5|A0A1S4FUF5_AEDAE	7159.Q16NT2	98.4	2165.6	AAEL011867	AAEL011867-PA.
111	tr|A0A1S4F9E4|A0A1S4F9E4_AEDAE	7159.Q17B94	100.0	2122.4	AAEL005014	AAEL005014-PA; Belongs to the transient receptor (TC 1.A.4) family.
112	UPI000B7706AF	7159.Q16HG5	98.6	696.0	AAEL014033	AAEL014033-PA.
113	tr|Q173I2|Q173I2_AEDAE	7159.Q173I2	100.0	765.0	AAEL007144	AAEL007144-PA.
114	UPI000B78EB19	7159.Q16TH4	69.6	610.5	AAEL010226	AAEL010226-PA.
115	tr|Q17BL6|Q17BL6_AEDAE	7159.Q17BL6	100.0	1508.8	AAEL004918	AAEL004918-PA.
116	UPI000B793090	7159.Q16LV3	96.8	251.5	AAEL012513	Calcium-binding protein E63-1.
118	UPI000B78A868	7159.Q16WF9	97.8	1308.5	AAEL009232	AAEL009232-PA.
120	tr|A0A1S4EW06|A0A1S4EW06_AEDAE	7159.Q17PB0	100.0	813.9	AAEL000469	AAEL000469-PA.
121	UPI000B76E6D6	7159.Q16VT5	91.2	1186.4	AAEL009437	AAEL009437-PA.
122	tr|Q17KS1|Q17KS1_AEDAE	7159.Q17KS1	100.0	306.6	AAEL001556	AAEL001556-PA.
123	UPI000B796D38	7159.Q17L17	87.7	2091.2	AAEL001503	Sodium/hydrogen exchanger; Belongs to the monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family.
124	tr|Q17FF2|Q17FF2_AEDAE	7159.Q17FF2	100.0	448.7	AAEL003428	AAEL003428-PA.
125	tr|Q17FK7|Q17FK7_AEDAE	7159.Q17FK7	100.0	411.8	AAEL003381	AAEL003381-PA.
126	tr|Q16N45|Q16N45_AEDAE	7159.Q16N45	100.0	1273.8	AAEL012092	AAEL012092-PA.
127	UPI000B76D731	7159.Q16WF9	99.7	1410.6	AAEL009232	AAEL009232-PA.
128	UPI0000DAB543	7159.Q16KN5	100.0	1331.6	retm	Protein real-time.
129	tr|Q16HZ7|Q16HZ7_AEDAE	7159.Q16HZ7	100.0	584.3	AAEL013847	Diacylglycerol kinase, zeta, iota.
130	tr|A0A1S4G2F7|A0A1S4G2F7_AEDAE	7159.Q16G66	99.1	1262.3	AAEL014507	AAEL014507-PA.
131	UPI000B773AAC	7159.Q17BB1	100.0	850.5	AAEL005033	AAEL005033-PA.
132	UPI000B78566F	7159.Q174F6	70.7	442.2	AAEL006911	Microtubule-associated protein.
133	UPI00043B99F7	7159.Q17NP6	96.0	3216.0	AAEL000597	AAEL000597-PA; Cadherins are calcium-dependent cell adhesion proteins.
134	tr|A0A0P6IVP9|A0A0P6IVP9_AEDAE	7159.Q17ET2	81.2	1748.8	AAEL003688	AAEL003688-PA.
135	tr|Q17NW2|Q17NW2_AEDAE	7159.Q17NW2	100.0	1201.8	AAEL000534	AAEL000534-PA; Belongs to the amiloride-sensitive sodium channel (TC 1.A.6) family.
136	tr|Q17DB8|Q17DB8_AEDAE	7159.Q17DB8	100.0	334.3	AAEL004259	RNA-binding protein lin-28.
137	UPI00043BB700	7159.Q16YB0	97.9	793.5	AAEL008590	AAEL008590-PA.
138	tr|Q17CY1|Q17CY1_AEDAE	7159.Q17CY1	100.0	952.6	AAEL004391	AAEL004391-PA.
139	tr|Q5VJ78|Q5VJ78_AEDAE	7159.Q16TJ0	93.0	1087.0	AAEL010222	AAEL010222-PA.
140	UPI000B778208	7159.Q16TJ0	100.0	1275.0	AAEL010222	AAEL010222-PA.
141	tr|Q17KK3|Q17KK3_AEDAE	7159.Q17KK3	100.0	772.3	AAEL001639	AAEL001639-PA.
142	UPI00043BBA92	7159.Q173I2	100.0	765.0	AAEL007144	AAEL007144-PA.
143	tr|A0A0P6J1F7|A0A0P6J1F7_AEDAE	7159.J9HZV2	99.1	239.2	J9HZV2_AEDAE	AAEL017168-PA.
144	UPI000B798980	7159.Q174F6	70.7	442.2	AAEL006911	Microtubule-associated protein.
145	tr|Q16MZ2|Q16MZ2_AEDAE	7159.Q16MZ3	100.0	894.8	AAEL012138	AAEL012138-PB.
146	tr|Q16XV3|Q16XV3_AEDAE	7159.Q16XV3	100.0	216.9	AAEL008765	AAEL008765-PA.
147	UPI000B777613	7159.Q16PA7	37.4	229.2	AAEL011709	Diacylglycerol kinase.
148	UPI000B777111	7159.Q17CY1	99.0	923.7	AAEL004391	AAEL004391-PA.
149	tr|Q16M76|Q16M76_AEDAE	7159.Q16M76	100.0	743.8	AAEL012388	AAEL012388-PA.
150	tr|A0A1S4EWW8|A0A1S4EWW8_AEDAE	7159.Q17N59	99.6	842.8	AAEL000807	AAEL000807-PA.
151	tr|Q17K45|Q17K45_AEDAE	7159.Q17K45	100.0	639.4	AAEL001823	AAEL001823-PA.
152	tr|Q17MX4|Q17MX4_AEDAE	7159.Q17MX4	100.0	978.8	AAEL000917	AAEL000917-PA; Belongs to the amiloride-sensitive sodium channel (TC 1.A.6) family.
153	tr|Q17MV9|Q17MV9_AEDAE	7159.Q17MV9	100.0	970.3	AAEL000863	AAEL000863-PA; Belongs to the amiloride-sensitive sodium channel (TC 1.A.6) family.
154	UPI000B77FF3D	7159.Q176R3	60.1	538.9	fru	FRU non-sex-specific P1 isoform.
155	tr|Q17NS1|Q17NS1_AEDAE	7159.Q17NS1	100.0	1118.2	AAEL000623	AAEL000623-PA.
156	UPI00043BC0CA	7159.Q17JX3	99.5	407.9	AAEL001901	AAEL001901-PA.
157	tr|A0A1S4F6C7|A0A1S4F6C7_AEDAE	7159.Q17E87	92.4	1965.3	AAEL003901	AAEL003901-PA.
158	UPI000B785B32	7159.Q17C40	98.4	2939.8	AAEL004720	Dedicator of cytokinesis protein 9; Belongs to the DOCK family.
159	tr|Q16TJ0|Q16TJ0_AEDAE	7159.Q16TJ0	100.0	1278.1	AAEL010222	AAEL010222-PA.
160	tr|A0A1S4EZY5|A0A1S4EZY5_AEDAE	7159.Q17K00	99.0	2501.9	AAEL001847	DNA-directed RNA polymerase; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Belongs to the phage and mitochondrial RNA polymerase family.
161	UPI000B78820B	7159.Q17L17	88.3	2095.9	AAEL001503	Sodium/hydrogen exchanger; Belongs to the monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family.
162	tr|Q16UG8|Q16UG8_AEDAE	7159.Q16UG8	100.0	1045.8	AAEL009905	AAEL009905-PA.
163	UPI000B76D7C1	7159.Q176R3	60.1	538.9	fru	FRU non-sex-specific P1 isoform.
164	UPI000B784CF3	7159.Q16PF2	96.0	1446.4	AAEL011654	AAEL011654-PA.
165	UPI000937E4E8	7159.Q16HG5	98.4	614.8	AAEL014033	AAEL014033-PA.
166	tr|A0A0P6IXM9|A0A0P6IXM9_AEDAE	7159.Q16TH4	75.2	666.8	AAEL010226	AAEL010226-PA.
167	UPI00043BBDB1	7159.Q16WF9	99.9	1411.7	AAEL009232	AAEL009232-PA.
168	UPI000B79476F	7159.Q17CY1	99.0	923.7	AAEL004391	AAEL004391-PA.
169	UPI00043B980B	7159.Q177N4	100.0	1232.2	AAEL006074	alpha-1,2-Mannosidase; Belongs to the glycosyl hydrolase 47 family.
170	tr|Q16EA9|Q16EA9_AEDAE	7159.Q16EA9	100.0	1571.2	AAEL015297	DNA-directed RNA polymerase; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Belongs to the phage and mitochondrial RNA polymerase family.
171	UPI000B76FB52	7159.Q17L17	85.3	2044.6	AAEL001503	Sodium/hydrogen exchanger; Belongs to the monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family.
172	tr|Q17GC9|Q17GC9_AEDAE	7159.Q17GC9	100.0	387.1	AAEL003118	AAEL003118-PB.
173	tr|Q17C40|Q17C40_AEDAE	7159.Q17C40	100.0	2973.7	AAEL004720	Dedicator of cytokinesis protein 9; Belongs to the DOCK family.
174	tr|Q17AN8|Q17AN8_AEDAE	7159.Q17AN8	100.0	251.9	AAEL005247	AAEL005247-PA.
176	tr|Q175U4|Q175U4_AEDAE	7159.Q175U4	100.0	883.2	AAEL006553	AAEL006553-PA.
177	tr|Q174F6|Q174F6_AEDAE	7159.Q174F6	100.0	691.0	AAEL006911	Microtubule-associated protein.
178	UPI000B797644	7159.Q174F6	70.7	442.2	AAEL006911	Microtubule-associated protein.
179	tr|Q16VE7|Q16VE7_AEDAE	7159.Q16VE7	100.0	921.0	AAEL009588	Expressed protein (HR3).
180	tr|Q16JE7|Q16JE7_AEDAE	7159.Q1HR82	100.0	672.5	AAEL013359	DEAD box ATP-dependent RNA helicase; Belongs to the DEAD box helicase family.
181	tr|Q17EX1|Q17EX1_AEDAE	7159.Q17EX1	100.0	1763.4	AAEL003623	AAEL003623-PA.
182	UPI000B78FE74	7159.Q16WN0	99.3	1367.4	AAEL009171	AAEL009171-PA.
183	tr|Q16TH4|Q16TH4_AEDAE	7159.Q16TH4	100.0	751.1	AAEL010226	AAEL010226-PA.
184	tr|Q178B3|Q178B3_AEDAE	7159.Q178B3	100.0	872.1	AAEL005957	AAEL005957-PA.
185	UPI000B77BEFB	7159.Q16TH4	100.0	189.5	AAEL010226	AAEL010226-PA.
186	tr|Q173S6|Q173S6_AEDAE	7159.Q173S6	100.0	357.1	AAEL007034	AAEL007034-PA.
187	UPI000B78BE05	7159.Q17FY6	98.1	1723.4	AAEL003252	AAEL003252-PA.
187	UPI000B78BE05	7159.Q17FY6	99.7	1654.8	AAEL003252	AAEL003252-PA.
188	UPI000B77AA48	7159.Q16HG5	92.6	641.3	AAEL014033	AAEL014033-PA.
189	tr|Q17IM9|Q17IM9_AEDAE	7159.Q17IM9	100.0	910.6	AAEL002313	AAEL002313-PA.
190	UPI000B78B18C	7159.Q16EP2	98.4	718.0	AAEL015076	AAEL015076-PA.
191	tr|A0A0P6J490|A0A0P6J490_AEDAE	7159.Q17G33	91.7	2284.2	AAEL003208	Tubby, putative; Belongs to the TUB family.
192	UPI000B78322C	7159.Q16Q37	99.9	2123.6	AAEL011432	AAEL011432-PA.
193	tr|Q178M8|Q178M8_AEDAE	7159.Q178M8	100.0	237.7	AAEL005824	AAEL005824-PA.
194	tr|Q16JH7|Q16JH7_AEDAE	7159.Q16JH7	100.0	631.3	AAEL012339	AAEL012339-PA; Belongs to the protein kinase superfamily.
195	UPI000B785A31	7159.Q17L17	87.8	2088.5	AAEL001503	Sodium/hydrogen exchanger; Belongs to the monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family.
196	UPI000B7879BA	7159.Q17EP7	85.7	977.2	AAEL003731	Nuclear body associated kinase, putative.
197	tr|Q16PY9|Q16PY9_AEDAE	7159.Q16PY9	100.0	1755.3	AAEL011480	AAEL011480-PA.
198	tr|Q17C29|Q17C29_AEDAE	7159.Q17C29	100.0	396.0	AAEL004715	AAEL004715-PA.
199	tr|Q16TH3|Q16TH3_AEDAE	7159.Q16TH4	100.0	725.7	AAEL010226	AAEL010226-PA.
200	tr|Q16RM3|Q16RM3_AEDAE	7159.Q16RM3	100.0	704.9	AAEL010902	Cation efflux protein/ zinc transporter.
201	UPI000B77A4FF	7159.Q17KK3	100.0	760.0	AAEL001639	AAEL001639-PA.
203	tr|Q17MT2|Q17MT2_AEDAE	7159.Q17MT2	100.0	921.4	AAEL000857	AAEL000857-PA.
204	tr|Q16YV5|Q16YV5_AEDAE	7159.Q16YV5	100.0	3246.8	AAEL008421	AAEL008421-PA.
206	tr|Q16F45|Q16F45_AEDAE	7159.Q16F45	100.0	736.5	AAEL014902	Cation efflux protein/ zinc transporter.
207	UPI000B79591D	7159.Q16VE7	74.9	815.8	AAEL009588	Expressed protein (HR3).
208	tr|Q16PQ3|Q16PQ3_AEDAE	7159.Q16PQ3	100.0	300.1	AAEL011576	AAEL011576-PA.
209	UPI000B79AEE0	7159.Q17G33	91.7	2285.0	AAEL003208	Tubby, putative; Belongs to the TUB family.
210	UPI000B77BB9C	7159.Q174F6	62.4	322.8	AAEL006911	Microtubule-associated protein.
211	tr|A0A1S4F4L9|A0A1S4F4L9_AEDAE	7159.Q17FH2	99.0	1008.8	AAEL003420	AAEL003420-PA.
212	UPI000B796C96	7159.Q16TJ0	99.6	1261.1	AAEL010222	AAEL010222-PA.
214	tr|Q1DGD9|Q1DGD9_AEDAE	7159.Q1DGD9	100.0	158.3	AAEL015672	AAEL015672-PA.
215	UPI000B77159C	7159.Q176R3	66.1	572.4	fru	FRU non-sex-specific P1 isoform.
216	UPI000B772DCA	7159.Q16JV4	99.6	2428.7	AAEL013203	AAEL013203-PA; Belongs to the peptidase C19 family.
217	tr|Q16WF9|Q16WF9_AEDAE	7159.Q16WF9	100.0	1419.1	AAEL009232	AAEL009232-PA.
218	tr|A0A1S4FR20|A0A1S4FR20_AEDAE	7159.Q16S85	97.9	372.9	AAEL010664	AAEL010664-PA; Belongs to the small heat shock protein (HSP20) family.
219	UPI000B78CD64	7159.Q16VT5	98.5	1287.3	AAEL009437	AAEL009437-PA.
220	UPI000B7806C3	7159.Q16VE7	66.2	786.2	AAEL009588	Expressed protein (HR3).
221	tr|Q0IGB5|Q0IGB5_AEDAE	7159.Q0IGB5	100.0	1969.5	AAEL003046	AAEL003046-PA.
222	UPI00093618E9	7159.Q176D4	98.0	389.4	AAEL006439	Dual specificity protein phosphatase; Dual specificity phosphatase able to dephosphorylate phosphotyrosine, phosphoserine and phosphothreonine residues, with a preference for phosphotyrosine as a substrate. Belongs to the protein-tyrosine phosphatase family. Non- receptor class dual specificity subfamily.
223	tr|Q16ZQ0|Q16ZQ0_AEDAE	7159.Q16ZQ0	100.0	488.8	AAEL008122	AAEL008122-PA.
224	tr|Q17ID1|Q17ID1_AEDAE	7159.Q17ID1	100.0	1964.1	AAEL002369	AAEL002369-PA.
225	UPI000B780811	7159.Q16VE7	99.3	877.9	AAEL009588	Expressed protein (HR3).
226	tr|Q16JZ7|Q16JZ7_AEDAE	7159.Q16JZ7	100.0	791.6	GPRFZ1	GPCR Frizzled/Smoothened Family; Belongs to the G-protein coupled receptor Fz/Smo family.
227	UPI000B789723	7159.Q17L17	88.8	2104.3	AAEL001503	Sodium/hydrogen exchanger; Belongs to the monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family.
