#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
tr|A0A182GLV4|A0A182GLV4_AEDAL	7159.AAEL014508-PA	0	1163	"COG0457@1|root,KOG1126@2759|Eukaryota,38DG8@33154|Opisthokonta,3BENB@33208|Metazoa,3CWDT@33213|Bilateria,41TXT@6656|Arthropoda,3SFUT@50557|Insecta,44XXJ@7147|Diptera,45FU2@7148|Nematocera"	33208|Metazoa	D	"Anaphase-promoting complex, cyclosome, subunit 3"	CDC27	"GO:0000003,GO:0000151,GO:0000152,GO:0000209,GO:0000278,GO:0000375,GO:0000377,GO:0000398,GO:0001775,GO:0003002,GO:0003674,GO:0003824,GO:0004842,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005680,GO:0005737,GO:0005813,GO:0005815,GO:0005819,GO:0005829,GO:0005856,GO:0006139,GO:0006396,GO:0006397,GO:0006464,GO:0006508,GO:0006511,GO:0006725,GO:0006807,GO:0006810,GO:0006887,GO:0007049,GO:0007088,GO:0007091,GO:0007275,GO:0007338,GO:0007343,GO:0007346,GO:0007389,GO:0008150,GO:0008152,GO:0008283,GO:0008356,GO:0008380,GO:0009056,GO:0009057,GO:0009566,GO:0009798,GO:0009948,GO:0009949,GO:0009952,GO:0009987,GO:0010467,GO:0010498,GO:0010564,GO:0010965,GO:0015630,GO:0016070,GO:0016071,GO:0016192,GO:0016567,GO:0016740,GO:0017156,GO:0019538,GO:0019787,GO:0019899,GO:0019902,GO:0019903,GO:0019941,GO:0019953,GO:0022402,GO:0022414,GO:0030163,GO:0031145,GO:0031461,GO:0031974,GO:0031981,GO:0032446,GO:0032501,GO:0032502,GO:0032940,GO:0032991,GO:0033043,GO:0033044,GO:0033045,GO:0033047,GO:0034641,GO:0036211,GO:0043161,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043632,GO:0043900,GO:0043901,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0044770,GO:0044772,GO:0044784,GO:0045055,GO:0046483,GO:0046903,GO:0048519,GO:0048856,GO:0050789,GO:0050794,GO:0051128,GO:0051179,GO:0051234,GO:0051301,GO:0051603,GO:0051704,GO:0051726,GO:0051783,GO:0051983,GO:0060467,GO:0060468,GO:0060471,GO:0061630,GO:0061659,GO:0065001,GO:0065007,GO:0070013,GO:0070647,GO:0070979,GO:0071704,GO:0080154,GO:0090304,GO:0140096,GO:1901360,GO:1901564,GO:1901565,GO:1901575,GO:1902494,GO:1903047,GO:1905818,GO:1990234,GO:2000241,GO:2000242"	-	ko:K03350	"ko04110,ko04111,ko04113,ko04114,ko04120,ko04914,ko05166,map04110,map04111,map04113,map04114,map04120,map04914,map05166"	M00389	-	-	"ko00000,ko00001,ko00002,ko01009,ko03036,ko04121"	-	-	-	"ANAPC3,TPR_1,TPR_16,TPR_6,TPR_8"
tr|A0A182HC86|A0A182HC86_AEDAL	7176.CPIJ009795-PA	1.4e-198	580	"KOG2483@1|root,KOG2483@2759|Eukaryota,3AAAZ@33154|Opisthokonta,3BUAI@33208|Metazoa,3DB3F@33213|Bilateria,420ZW@6656|Arthropoda,3SZTH@50557|Insecta"	33208|Metazoa	K	helix loop helix domain	MYC	"GO:0000165,GO:0000976,GO:0000977,GO:0000978,GO:0000981,GO:0000987,GO:0001012,GO:0001067,GO:0001932,GO:0001933,GO:0002682,GO:0002683,GO:0002761,GO:0002762,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005730,GO:0005819,GO:0005856,GO:0006325,GO:0006338,GO:0006355,GO:0006357,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006873,GO:0006875,GO:0006879,GO:0006915,GO:0006919,GO:0006950,GO:0006974,GO:0006996,GO:0007154,GO:0007165,GO:0007166,GO:0007267,GO:0008150,GO:0008152,GO:0008219,GO:0008284,GO:0009314,GO:0009628,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009966,GO:0009968,GO:0009987,GO:0010212,GO:0010332,GO:0010468,GO:0010556,GO:0010557,GO:0010563,GO:0010604,GO:0010605,GO:0010628,GO:0010646,GO:0010648,GO:0010941,GO:0010942,GO:0010950,GO:0010952,GO:0012501,GO:0015630,GO:0016043,GO:0016055,GO:0016310,GO:0016604,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019725,GO:0023014,GO:0023051,GO:0023052,GO:0023057,GO:0030003,GO:0030162,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031399,GO:0031400,GO:0031974,GO:0031981,GO:0032204,GO:0032268,GO:0032269,GO:0032270,GO:0032872,GO:0032873,GO:0033043,GO:0033044,GO:0033554,GO:0035556,GO:0036211,GO:0042127,GO:0042221,GO:0042325,GO:0042326,GO:0042493,GO:0042592,GO:0042981,GO:0043065,GO:0043066,GO:0043067,GO:0043068,GO:0043069,GO:0043085,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043280,GO:0043281,GO:0043408,GO:0043409,GO:0043412,GO:0043565,GO:0044093,GO:0044212,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044446,GO:0044451,GO:0044464,GO:0044877,GO:0045595,GO:0045596,GO:0045637,GO:0045638,GO:0045655,GO:0045656,GO:0045862,GO:0045893,GO:0045935,GO:0045936,GO:0045944,GO:0046916,GO:0048145,GO:0048146,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0048878,GO:0050678,GO:0050679,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050801,GO:0050896,GO:0051052,GO:0051054,GO:0051093,GO:0051128,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051239,GO:0051241,GO:0051246,GO:0051247,GO:0051248,GO:0051252,GO:0051254,GO:0051276,GO:0051302,GO:0051336,GO:0051345,GO:0051716,GO:0051782,GO:0052547,GO:0052548,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0060070,GO:0060255,GO:0060548,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070302,GO:0070303,GO:0070888,GO:0071704,GO:0071840,GO:0080090,GO:0080134,GO:0080135,GO:0097159,GO:0097190,GO:0097193,GO:0098771,GO:0140110,GO:0198738,GO:1901363,GO:1901564,GO:1902105,GO:1902106,GO:1902531,GO:1902532,GO:1902680,GO:1903506,GO:1903508,GO:1903706,GO:1903707,GO:1905114,GO:1990837,GO:2000026,GO:2000112,GO:2000116,GO:2000278,GO:2000573,GO:2001020,GO:2001022,GO:2001056,GO:2001141"	-	ko:K04377	"ko04010,ko04012,ko04110,ko04151,ko04218,ko04310,ko04350,ko04390,ko04391,ko04550,ko04630,ko04919,ko05161,ko05166,ko05167,ko05169,ko05200,ko05202,ko05205,ko05206,ko05210,ko05213,ko05216,ko05219,ko05220,ko05221,ko05222,ko05224,ko05225,ko05226,ko05230,map04010,map04012,map04110,map04151,map04218,map04310,map04350,map04390,map04391,map04550,map04630,map04919,map05161,map05166,map05167,map05169,map05200,map05202,map05205,map05206,map05210,map05213,map05216,map05219,map05220,map05221,map05222,map05224,map05225,map05226,map05230"	-	-	-	"ko00000,ko00001,ko03000,ko03019"	-	-	-	"HLH,Myc-LZ,Myc_N"
tr|A0A182G6N9|A0A182G6N9_AEDAL	5059.CADAFLAP00013483	2.86e-69	223	"KOG1075@1|root,KOG1075@2759|Eukaryota,39SG3@33154|Opisthokonta,3P4RB@4751|Fungi"	4751|Fungi	S	Reverse transcriptase (RNA-dependent DNA polymerase)	-	-	-	-	-	-	-	-	-	-	-	-	RVT_1
UPI0007D62237	7176.CPIJ017423-PA	5.97e-37	140	"2D0YH@1|root,2SG10@2759|Eukaryota,3ABTP@33154|Opisthokonta,3BWI4@33208|Metazoa,3E5WC@33213|Bilateria,42AZB@6656|Arthropoda,3T0D7@50557|Insecta,459BK@7147|Diptera"	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
tr|A0A182H0X1|A0A182H0X1_AEDAL	7159.AAEL000589-PA	0	927	"KOG0201@1|root,KOG0201@2759|Eukaryota,38G1B@33154|Opisthokonta,3BA42@33208|Metazoa,3CTF2@33213|Bilateria,41US0@6656|Arthropoda,3SIQW@50557|Insecta,44YS9@7147|Diptera,45GVI@7148|Nematocera"	33208|Metazoa	T	"Serine/Threonine protein kinases, catalytic domain"	STK24	"GO:0000139,GO:0000165,GO:0000166,GO:0000185,GO:0000287,GO:0000302,GO:0000902,GO:0001932,GO:0001933,GO:0001934,GO:0002009,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0005794,GO:0005798,GO:0005829,GO:0005886,GO:0006464,GO:0006468,GO:0006469,GO:0006793,GO:0006796,GO:0006807,GO:0006915,GO:0006950,GO:0006979,GO:0006996,GO:0007030,GO:0007043,GO:0007154,GO:0007163,GO:0007165,GO:0007275,GO:0007346,GO:0007399,GO:0008144,GO:0008150,GO:0008152,GO:0008219,GO:0008349,GO:0008631,GO:0009267,GO:0009605,GO:0009636,GO:0009653,GO:0009887,GO:0009888,GO:0009892,GO:0009893,GO:0009898,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0009991,GO:0010035,GO:0010256,GO:0010421,GO:0010562,GO:0010563,GO:0010604,GO:0010605,GO:0010646,GO:0010647,GO:0010648,GO:0010720,GO:0010769,GO:0010770,GO:0010941,GO:0010975,GO:0010976,GO:0012501,GO:0012505,GO:0012506,GO:0016020,GO:0016043,GO:0016301,GO:0016310,GO:0016324,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019220,GO:0019222,GO:0019538,GO:0019899,GO:0019900,GO:0019901,GO:0019991,GO:0022008,GO:0022603,GO:0022604,GO:0022607,GO:0023014,GO:0023051,GO:0023052,GO:0023056,GO:0023057,GO:0030030,GO:0030031,GO:0030033,GO:0030154,GO:0030182,GO:0030334,GO:0030336,GO:0030554,GO:0031090,GO:0031098,GO:0031175,GO:0031323,GO:0031324,GO:0031325,GO:0031344,GO:0031346,GO:0031399,GO:0031400,GO:0031401,GO:0031410,GO:0031667,GO:0031668,GO:0031669,GO:0031974,GO:0031981,GO:0031982,GO:0031984,GO:0032101,GO:0032103,GO:0032147,GO:0032268,GO:0032269,GO:0032270,GO:0032386,GO:0032388,GO:0032501,GO:0032502,GO:0032528,GO:0032553,GO:0032555,GO:0032559,GO:0032872,GO:0032874,GO:0032879,GO:0032989,GO:0032990,GO:0033043,GO:0033554,GO:0033673,GO:0033674,GO:0034329,GO:0034330,GO:0034599,GO:0034614,GO:0035239,GO:0035295,GO:0035556,GO:0035639,GO:0035690,GO:0036094,GO:0036211,GO:0036473,GO:0036474,GO:0036481,GO:0040012,GO:0040013,GO:0042221,GO:0042325,GO:0042326,GO:0042327,GO:0042493,GO:0042542,GO:0042594,GO:0042802,GO:0042803,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0043085,GO:0043086,GO:0043087,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043297,GO:0043405,GO:0043406,GO:0043407,GO:0043408,GO:0043409,GO:0043410,GO:0043412,GO:0043547,GO:0043549,GO:0043900,GO:0044085,GO:0044092,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044431,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0045177,GO:0045216,GO:0045595,GO:0045597,GO:0045664,GO:0045666,GO:0045859,GO:0045860,GO:0045936,GO:0045937,GO:0046677,GO:0046777,GO:0046872,GO:0046983,GO:0048308,GO:0048313,GO:0048468,GO:0048471,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0048666,GO:0048679,GO:0048680,GO:0048699,GO:0048729,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050767,GO:0050769,GO:0050770,GO:0050772,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050896,GO:0051019,GO:0051049,GO:0051050,GO:0051094,GO:0051128,GO:0051130,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051246,GO:0051247,GO:0051248,GO:0051270,GO:0051271,GO:0051336,GO:0051338,GO:0051345,GO:0051347,GO:0051348,GO:0051640,GO:0051641,GO:0051645,GO:0051649,GO:0051656,GO:0051683,GO:0051716,GO:0051726,GO:0051960,GO:0051962,GO:0060255,GO:0060281,GO:0060284,GO:0060341,GO:0060429,GO:0060438,GO:0060439,GO:0060541,GO:0060548,GO:0060562,GO:0060627,GO:0065007,GO:0065009,GO:0070013,GO:0070301,GO:0070302,GO:0070304,GO:0070570,GO:0070572,GO:0070887,GO:0071236,GO:0071496,GO:0071704,GO:0071840,GO:0071900,GO:0071901,GO:0071902,GO:0071944,GO:0080090,GO:0080134,GO:0080135,GO:0090168,GO:0097159,GO:0097190,GO:0097193,GO:0097194,GO:0097237,GO:0097367,GO:0097468,GO:0097708,GO:0098552,GO:0098562,GO:0098588,GO:0098590,GO:0098592,GO:0098791,GO:0120031,GO:0120035,GO:0120036,GO:0120039,GO:0140096,GO:1900407,GO:1901031,GO:1901265,GO:1901363,GO:1901564,GO:1901700,GO:1901701,GO:1902531,GO:1902532,GO:1902533,GO:1902882,GO:1903034,GO:1903036,GO:1903201,GO:1903205,GO:1903358,GO:1905879,GO:2000026,GO:2000145,GO:2000146,GO:2000241,GO:2001023,GO:2001038,GO:2001135,GO:2001137"	2.7.11.1	ko:K08838	-	-	-	-	"ko00000,ko01000,ko01001,ko04131"	-	-	-	"DUF1241,Pkinase"
tr|A0A182H4G7|A0A182H4G7_AEDAL	7159.AAEL018061-PA	0	1196	"COG0443@1|root,KOG0100@2759|Eukaryota,38BPF@33154|Opisthokonta,3B99M@33208|Metazoa,3CZ71@33213|Bilateria,41XMW@6656|Arthropoda,3SGNG@50557|Insecta,450Y6@7147|Diptera,45BRK@7148|Nematocera"	33208|Metazoa	O	MreB/Mbl protein	HSPA5	"GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005509,GO:0005515,GO:0005524,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005739,GO:0005783,GO:0005788,GO:0005789,GO:0005790,GO:0005793,GO:0005886,GO:0006355,GO:0006357,GO:0006457,GO:0006508,GO:0006511,GO:0006807,GO:0006810,GO:0006915,GO:0006950,GO:0006983,GO:0006984,GO:0006986,GO:0007154,GO:0007165,GO:0007275,GO:0007399,GO:0007417,GO:0007420,GO:0008104,GO:0008144,GO:0008150,GO:0008152,GO:0008219,GO:0009056,GO:0009057,GO:0009267,GO:0009314,GO:0009410,GO:0009605,GO:0009607,GO:0009628,GO:0009653,GO:0009719,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009966,GO:0009968,GO:0009986,GO:0009987,GO:0009991,GO:0010033,GO:0010035,GO:0010038,GO:0010042,GO:0010212,GO:0010243,GO:0010332,GO:0010466,GO:0010468,GO:0010498,GO:0010556,GO:0010557,GO:0010604,GO:0010605,GO:0010608,GO:0010628,GO:0010629,GO:0010646,GO:0010648,GO:0010720,GO:0010941,GO:0010951,GO:0010975,GO:0010976,GO:0012501,GO:0012505,GO:0014070,GO:0014074,GO:0016020,GO:0016021,GO:0016246,GO:0016441,GO:0016458,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017015,GO:0017076,GO:0017111,GO:0019219,GO:0019222,GO:0019538,GO:0019899,GO:0019904,GO:0019941,GO:0021549,GO:0021575,GO:0021577,GO:0021587,GO:0021589,GO:0021680,GO:0021695,GO:0022008,GO:0022037,GO:0023051,GO:0023052,GO:0023057,GO:0030154,GO:0030162,GO:0030163,GO:0030176,GO:0030182,GO:0030334,GO:0030335,GO:0030431,GO:0030433,GO:0030496,GO:0030512,GO:0030554,GO:0030902,GO:0030968,GO:0031047,GO:0031224,GO:0031227,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031344,GO:0031346,GO:0031396,GO:0031398,GO:0031399,GO:0031401,GO:0031625,GO:0031667,GO:0031668,GO:0031669,GO:0031974,GO:0031984,GO:0032091,GO:0032268,GO:0032269,GO:0032270,GO:0032501,GO:0032502,GO:0032507,GO:0032553,GO:0032555,GO:0032559,GO:0032879,GO:0032991,GO:0033036,GO:0033365,GO:0033554,GO:0034097,GO:0034613,GO:0034620,GO:0034663,GO:0034975,GO:0034976,GO:0035194,GO:0035437,GO:0035639,GO:0035690,GO:0035966,GO:0035967,GO:0036003,GO:0036094,GO:0036335,GO:0036498,GO:0036499,GO:0036500,GO:0036503,GO:0040012,GO:0040017,GO:0040019,GO:0040029,GO:0042149,GO:0042175,GO:0042220,GO:0042221,GO:0042493,GO:0042592,GO:0042594,GO:0042981,GO:0043021,GO:0043022,GO:0043066,GO:0043067,GO:0043069,GO:0043086,GO:0043154,GO:0043161,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043209,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043279,GO:0043281,GO:0043393,GO:0043496,GO:0043618,GO:0043620,GO:0043632,GO:0044092,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044389,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044877,GO:0045185,GO:0045595,GO:0045597,GO:0045664,GO:0045666,GO:0045861,GO:0045893,GO:0045935,GO:0045944,GO:0045995,GO:0046677,GO:0046683,GO:0046872,GO:0048471,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048532,GO:0048583,GO:0048585,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0048872,GO:0050767,GO:0050769,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050896,GO:0051082,GO:0051087,GO:0051094,GO:0051098,GO:0051100,GO:0051128,GO:0051130,GO:0051171,GO:0051172,GO:0051173,GO:0051179,GO:0051234,GO:0051235,GO:0051239,GO:0051240,GO:0051246,GO:0051247,GO:0051248,GO:0051252,GO:0051254,GO:0051270,GO:0051272,GO:0051336,GO:0051346,GO:0051402,GO:0051591,GO:0051592,GO:0051603,GO:0051641,GO:0051651,GO:0051716,GO:0051787,GO:0051960,GO:0051962,GO:0052547,GO:0052548,GO:0060255,GO:0060284,GO:0060322,GO:0060359,GO:0060548,GO:0060904,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070670,GO:0070727,GO:0070848,GO:0070887,GO:0070972,GO:0070997,GO:0071214,GO:0071216,GO:0071236,GO:0071241,GO:0071248,GO:0071277,GO:0071287,GO:0071310,GO:0071320,GO:0071345,GO:0071353,GO:0071363,GO:0071407,GO:0071417,GO:0071478,GO:0071479,GO:0071480,GO:0071495,GO:0071496,GO:0071704,GO:0071944,GO:0072347,GO:0072595,GO:0080090,GO:0080134,GO:0080135,GO:0090074,GO:0090092,GO:0090101,GO:0090287,GO:0090288,GO:0097159,GO:0097367,GO:0097501,GO:0098827,GO:0104004,GO:0120035,GO:1900101,GO:1900102,GO:1901265,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1901998,GO:1902074,GO:1902680,GO:1903320,GO:1903322,GO:1903332,GO:1903506,GO:1903508,GO:1903573,GO:1903844,GO:1903845,GO:1903891,GO:1903894,GO:1903895,GO:1903897,GO:1904313,GO:1905897,GO:1990089,GO:1990090,GO:1990440,GO:2000026,GO:2000112,GO:2000116,GO:2000117,GO:2000145,GO:2000147,GO:2001141"	-	ko:K09490	"ko03060,ko04141,ko04918,ko05020,map03060,map04141,map04918,map05020"	-	-	-	"ko00000,ko00001,ko03110,ko04131,ko04147"	1.A.33	-	-	HSP70
tr|A0A182H373|A0A182H373_AEDAL	7668.SPU_020388-tr	2.31e-31	129	"COG2801@1|root,KOG0017@2759|Eukaryota,38F42@33154|Opisthokonta,3BA5H@33208|Metazoa"	33208|Metazoa	OU	K02A2.6-like	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,rve,zf-H2C2"
UPI0007D300FE	7159.AAEL001304-PA	2.09e-165	484	"KOG3575@1|root,KOG3575@2759|Eukaryota,39XIE@33154|Opisthokonta,3BBR6@33208|Metazoa,3CUUH@33213|Bilateria,41U8D@6656|Arthropoda,3SFYK@50557|Insecta,44ZPI@7147|Diptera,45BH5@7148|Nematocera"	33208|Metazoa	K	Nuclear hormone receptor ftz-f1 beta	Hr39	"GO:0000003,GO:0000976,GO:0000977,GO:0000978,GO:0000981,GO:0000987,GO:0001012,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0003690,GO:0003700,GO:0004879,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005667,GO:0006355,GO:0006357,GO:0007154,GO:0007165,GO:0007275,GO:0007610,GO:0007617,GO:0007618,GO:0007619,GO:0008049,GO:0008150,GO:0009653,GO:0009719,GO:0009725,GO:0009755,GO:0009887,GO:0009888,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010033,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016545,GO:0019098,GO:0019219,GO:0019222,GO:0019953,GO:0022414,GO:0023052,GO:0030522,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032501,GO:0032502,GO:0032504,GO:0032870,GO:0032991,GO:0035211,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044212,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0044703,GO:0044798,GO:0045433,GO:0045893,GO:0045935,GO:0045944,GO:0048065,GO:0048513,GO:0048518,GO:0048522,GO:0048609,GO:0048731,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051704,GO:0051716,GO:0060179,GO:0060255,GO:0060968,GO:0065007,GO:0070887,GO:0071310,GO:0071495,GO:0080090,GO:0090575,GO:0097159,GO:0098531,GO:0140110,GO:1901363,GO:1902680,GO:1903506,GO:1903508,GO:1990837,GO:2000112,GO:2001141"	-	ko:K08705	-	-	-	-	"ko00000,ko03000,ko03310"	-	-	-	"Hormone_recep,zf-C4"
UPI0007D6942F	7159.AAEL007219-PA	4.44e-165	474	"KOG4421@1|root,KOG4421@2759|Eukaryota,39V3E@33154|Opisthokonta,3B97C@33208|Metazoa,3CVQV@33213|Bilateria,420AB@6656|Arthropoda,3SNKZ@50557|Insecta,44ZYP@7147|Diptera,45FBU@7148|Nematocera"	33208|Metazoa	S	Predicted coiled-coil domain-containing protein	PPP1R21	"GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0007154,GO:0007165,GO:0007264,GO:0007265,GO:0008150,GO:0009987,GO:0012505,GO:0017016,GO:0017137,GO:0019899,GO:0023052,GO:0031267,GO:0031410,GO:0031982,GO:0032482,GO:0035556,GO:0043226,GO:0043227,GO:0043229,GO:0044424,GO:0044444,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051020,GO:0051716,GO:0065007,GO:0097708"	-	ko:K17562	-	-	-	-	"ko00000,ko01009"	-	-	-	"KLRAQ,TTKRSYEDQ"
UPI0007D1C732	7159.AAEL009405-PA	0	1120	"KOG1721@1|root,KOG1721@2759|Eukaryota,39MUZ@33154|Opisthokonta,3CPEF@33208|Metazoa,3E5JG@33213|Bilateria,42AKZ@6656|Arthropoda,3T0AM@50557|Insecta,4598X@7147|Diptera,45G61@7148|Nematocera"	33208|Metazoa	S	zinc finger	-	-	-	-	-	-	-	-	-	-	-	-	-
UPI0007D6AF2B	7159.AAEL009154-PA	0	944	"KOG0021@1|root,KOG0021@2759|Eukaryota,38D2F@33154|Opisthokonta,3B9ND@33208|Metazoa,3CU0T@33213|Bilateria,41V7C@6656|Arthropoda,3SFTH@50557|Insecta,4517S@7147|Diptera,45F88@7148|Nematocera"	33208|Metazoa	Q	Eukaryotic glutathione synthase	GSS	"GO:0000166,GO:0000287,GO:0001101,GO:0003674,GO:0003824,GO:0004363,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006518,GO:0006520,GO:0006575,GO:0006749,GO:0006750,GO:0006790,GO:0006807,GO:0006950,GO:0006974,GO:0006979,GO:0007275,GO:0007399,GO:0007568,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009410,GO:0009605,GO:0009636,GO:0009987,GO:0009991,GO:0010033,GO:0010035,GO:0010038,GO:0010243,GO:0016594,GO:0016597,GO:0016874,GO:0016879,GO:0016881,GO:0017076,GO:0019184,GO:0019752,GO:0030554,GO:0031406,GO:0031667,GO:0032501,GO:0032502,GO:0032553,GO:0032555,GO:0032559,GO:0033218,GO:0033554,GO:0034097,GO:0034612,GO:0034641,GO:0035639,GO:0036094,GO:0042165,GO:0042221,GO:0042277,GO:0042398,GO:0042493,GO:0042802,GO:0042803,GO:0043043,GO:0043167,GO:0043168,GO:0043169,GO:0043177,GO:0043200,GO:0043295,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0045471,GO:0046677,GO:0046685,GO:0046686,GO:0046872,GO:0046983,GO:0048037,GO:0048731,GO:0048856,GO:0050896,GO:0051186,GO:0051188,GO:0051716,GO:0071704,GO:0071722,GO:0072341,GO:0097159,GO:0097305,GO:0097367,GO:0098754,GO:1900750,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901681,GO:1901698,GO:1901700"	6.3.2.3	ko:K21456	"ko00270,ko00480,ko01100,ko04216,map00270,map00480,map01100,map04216"	M00118	"R00497,R10994"	"RC00096,RC00141"	"ko00000,ko00001,ko00002,ko01000,ko04147"	-	-	-	GSH_synth_ATP
