"Gene ID","source_id","Organism","Gene Name or Symbol","Transcript Product Description","UniProt ID(s)"
"AAEL000055","AAEL000055-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q0C746"
"AAEL000057","AAEL000057-RB","Aedes aegypti LVP_AGWG","TOLL5B","Toll-like receptor","A0A1S4EUT8,Q0C765"
"AAEL000058","AAEL000058-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUT7,Q0C771"
"AAEL000063","AAEL000063-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUU1,Q0C762"
"AAEL000064","AAEL000064-RA","Aedes aegypti LVP_AGWG","N/A","dopachrome-conversion enzyme (DCE) isoenzyme, putative","Q8T4S1,Q8T4S2,Q8T4S3,Q8T4S4,Q8T4S5,Q8T4S6,Q9GSZ4"
"AAEL000065","AAEL000065-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUV1"
"AAEL000065","AAEL000065-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUV1,Q0C745"
"AAEL000065","AAEL000065-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUV1"
"AAEL000066","AAEL000066-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q0C751,Q0C756"
"AAEL000069","AAEL000069-RA","Aedes aegypti LVP_AGWG","N/A","gustatory receptor 64a, putative","A0A1S4EUV7,Q0C790"
"AAEL000071","AAEL000071-RA","Aedes aegypti LVP_AGWG","OBP2","odorant binding protein OBP2","Q0C749"
"AAEL000073","AAEL000073-RA","Aedes aegypti LVP_AGWG","OBP4","odorant binding protein OBP4","Q0C747"
"AAEL000074","AAEL000074-RA","Aedes aegypti LVP_AGWG","CLIPB1","Clip-Domain Serine Protease  family B.","A0A1S4EUW4,Q0C797"
"AAEL000075","AAEL000075-RA","Aedes aegypti LVP_AGWG","Gr9","gustatory receptor Gr9","A0A1S4EUW0,Q0C792"
"AAEL000076","AAEL000076-RB","Aedes aegypti LVP_AGWG","N/A","dimethyladenosine transferase","A2I894,Q16SG3"
"AAEL000077","AAEL000077-RA","Aedes aegypti LVP_AGWG","N/A","cation efflux protein/ zinc transporter","Q0C782"
"AAEL000077","AAEL000077-RB","Aedes aegypti LVP_AGWG","N/A","cation efflux protein/ zinc transporter","Q0C782"
"AAEL000077","AAEL000077-RC","Aedes aegypti LVP_AGWG","N/A","cation efflux protein/ zinc transporter","Q0C782"
"AAEL000079","AAEL000079-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUW8"
"AAEL000079","AAEL000079-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q0C7C1"
"AAEL000079","AAEL000079-RD","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000080","AAEL000080-RA","Aedes aegypti LVP_AGWG","N/A","phosphoenolpyruvate carboxykinase","A0A1S4EUW3,Q0C735"
"AAEL000081","AAEL000081-RB","Aedes aegypti LVP_AGWG","N/A","peroxisome assembly factor-2 (peroxisomal-type ATPase 1)","Q0C7B7"
"AAEL000084","AAEL000084-RA","Aedes aegypti LVP_AGWG","N/A","elongin b","Q0C7C3"
"AAEL000084","AAEL000084-RB","Aedes aegypti LVP_AGWG","N/A","elongin b","Q0C7C3"
"AAEL000085","AAEL000085-RA","Aedes aegypti LVP_AGWG","N/A","pupal cuticle protein, putative","A0A1S4EUW9,Q0C774"
"AAEL000087","AAEL000087-RB","Aedes aegypti LVP_AGWG","N/A","macroglobulin/complement","A0A1S4EUW6,Q0C7A6"
"AAEL000088","AAEL000088-RA","Aedes aegypti LVP_AGWG","N/A","brefeldin A-sensitive peripheral Golgi protein, putative","Q0C728"
"AAEL000089","AAEL000089-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUX8,Q0C753"
"AAEL000090","AAEL000090-RA","Aedes aegypti LVP_AGWG","N/A","secretory carrier-associated membrane protein (scamp)","Q0C739"
"AAEL000090","AAEL000090-RB","Aedes aegypti LVP_AGWG","N/A","secretory carrier-associated membrane protein (scamp)","N/A"
"AAEL000090","AAEL000090-RC","Aedes aegypti LVP_AGWG","N/A","secretory carrier-associated membrane protein (scamp)","N/A"
"AAEL000091","AAEL000091-RA","Aedes aegypti LVP_AGWG","N/A","sumo-1-activating enzyme E1a","Q0C785"
"AAEL000092","AAEL000092-RA","Aedes aegypti LVP_AGWG","GSTX1","glutathione transferase","A0A1S4EUX1,Q0C791"
"AAEL000094","AAEL000094-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000094","AAEL000094-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q0C772"
"AAEL000095","AAEL000095-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUX9,Q0C760"
"AAEL000095","AAEL000095-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000097","AAEL000097-RD","Aedes aegypti LVP_AGWG","N/A","n-acetylneuraminate synthetase","A0A1S4EUX5,Q0C783"
"AAEL000098","AAEL000098-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUX6,Q0C770"
"AAEL000098","AAEL000098-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000099","AAEL000099-RA","Aedes aegypti LVP_AGWG","CLIPB33","Clip-Domain Serine Protease  family B.","A0A1S4EUY4,Q0C7A5"
"AAEL000101","AAEL000101-RA","Aedes aegypti LVP_AGWG","N/A","AMP dependent coa ligase","A0A1S4EUY3,Q17Q45"
"AAEL000102","AAEL000102-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUY1,Q17Q55,Q17Q56"
"AAEL000106","AAEL000106-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUY5,Q1HRD8"
"AAEL000107","AAEL000107-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUY7,Q17Q23"
"AAEL000108","AAEL000108-RA","Aedes aegypti LVP_AGWG","N/A","leucine aminopeptidase","Q17Q37"
"AAEL000109","AAEL000109-RA","Aedes aegypti LVP_AGWG","N/A","Enolase-phosphatase E1 (EC 3.1.3.77)(2,3-diketo-5-methylthio-1-phosphopentane phosphatase)","Q17Q32"
"AAEL000111","AAEL000111-RA","Aedes aegypti LVP_AGWG","N/A","nitrilase, putative","Q17Q54"
"AAEL000113","AAEL000113-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16VZ7,Q17Q58"
"AAEL000115","AAEL000115-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17Q40,Q17Q41,Q1DGF2"
"AAEL000116","AAEL000116-RB","Aedes aegypti LVP_AGWG","N/A","Anaphase-promoting complex subunit 4 [Source:UniProtKB/TrEMBL;Acc:Q17Q34]","A0A1S4EUZ8,Q17Q34"
"AAEL000117","AAEL000117-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17Q74,Q17Q75"
"AAEL000117","AAEL000117-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17Q75"
"AAEL000118","AAEL000118-RA","Aedes aegypti LVP_AGWG","N/A","Cleavage and polyadenylation specificity factor subunit 2 [Source:UniProtKB/TrEMBL;Acc:A0A1S4EUZ6]","A0A0P6IU15,A0A1S4EUZ6,Q17Q35"
"AAEL000119","AAEL000119-RA","Aedes aegypti LVP_AGWG","N/A","AMP dependent coa ligase","Q17Q43"
"AAEL000122","AAEL000122-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17Q19"
"AAEL000122","AAEL000122-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16U58"
"AAEL000123","AAEL000123-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EV00,Q17Q59,Q17Q61"
"AAEL000124","AAEL000124-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17Q67"
"AAEL000126","AAEL000126-RA","Aedes aegypti LVP_AGWG","N/A","molybdopterin cofactor synthesis protein a","Q17Q71"
"AAEL000126","AAEL000126-RB","Aedes aegypti LVP_AGWG","N/A","molybdopterin cofactor synthesis protein a","Q17Q71"
"AAEL000126","AAEL000126-RC","Aedes aegypti LVP_AGWG","N/A","molybdopterin cofactor synthesis protein a","N/A"
"AAEL000127","AAEL000127-RA","Aedes aegypti LVP_AGWG","N/A","AMP dependent coa ligase","A0A1S4EV05,Q17Q46"
"AAEL000127","AAEL000127-RB","Aedes aegypti LVP_AGWG","N/A","AMP dependent coa ligase","A0A1S4EV05"
"AAEL000128","AAEL000128-RB","Aedes aegypti LVP_AGWG","N/A","P130","A0A1S4EV04,Q17Q73"
"AAEL000128","AAEL000128-RC","Aedes aegypti LVP_AGWG","N/A","P130","N/A"
"AAEL000134","AAEL000134-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17Q22"
"AAEL000137","AAEL000137-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EV30,Q17Q62"
"AAEL000137","AAEL000137-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000137","AAEL000137-RD","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000137","AAEL000137-RE","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000137","AAEL000137-RF","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000138","AAEL000138-RA","Aedes aegypti LVP_AGWG","N/A","NADH dehydrogenase, putative","Q16KC4,Q17Q29"
"AAEL000139","AAEL000139-RA","Aedes aegypti LVP_AGWG","OBP5","odorant binding protein OBP5","Q17Q68"
"AAEL000140","AAEL000140-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17Q20"
"AAEL000140","AAEL000140-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000143","AAEL000143-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUY9,A0A1S4EV34,Q17Q52,Q17Q53"
"AAEL000146","AAEL000146-RA","Aedes aegypti LVP_AGWG","N/A","nitrilase, putative","A0A1S4EV17,Q17Q50,Q17Q51"
"AAEL000147","AAEL000147-RA","Aedes aegypti LVP_AGWG","N/A","single-stranded DNA binding protein, putative","Q17Q33"
"AAEL000148","AAEL000148-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EV40,Q16EI8,Q17Q21"
"AAEL000149","AAEL000149-RA","Aedes aegypti LVP_AGWG","N/A","Histone deacetylase complex subunit SAP30 homolog [Source:UniProtKB/Swiss-Prot;Acc:Q17Q39]","Q17Q39"
"AAEL000151","AAEL000151-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16U53"
"AAEL000152","AAEL000152-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17Q72"
"AAEL000154","AAEL000154-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EV45,Q17Q36,Q17Q38"
"AAEL000157","AAEL000157-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A0P6IU46,A0A1S4EV27,Q17Q24,Q17Q25"
"AAEL000159","AAEL000159-RA","Aedes aegypti LVP_AGWG","N/A","nipsnap","A0A1S4EV42,Q17Q08"
"AAEL000162","AAEL000162-RA","Aedes aegypti LVP_AGWG","Gr34","gustatory receptor (Gr34)","A0A1S4EV35,Q17Q04"
"AAEL000162","AAEL000162-RB","Aedes aegypti LVP_AGWG","Gr34","gustatory receptor (Gr34)","N/A"
"AAEL000163","AAEL000163-RA","Aedes aegypti LVP_AGWG","N/A","mitochondrial inner membrane protein translocase, 22kD-subunit, putative","Q17Q11"
"AAEL000164","AAEL000164-RB","Aedes aegypti LVP_AGWG","N/A","d-amino acid oxidase","A0A1S4EV47,Q17Q16"
"AAEL000164","AAEL000164-RC","Aedes aegypti LVP_AGWG","N/A","d-amino acid oxidase","N/A"
"AAEL000165","AAEL000165-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17PX4"
"AAEL000165","AAEL000165-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17PX3"
"AAEL000166","AAEL000166-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17Q15"
"AAEL000166","AAEL000166-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000166","AAEL000166-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000166","AAEL000166-RD","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000166","AAEL000166-RE","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000166","AAEL000166-RF","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000166","AAEL000166-RG","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000166","AAEL000166-RH","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000166","AAEL000166-RI","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000166","AAEL000166-RJ","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000166","AAEL000166-RK","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000170","AAEL000170-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17Q01,Q17Q02"
"AAEL000172","AAEL000172-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000172","AAEL000172-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A0P6JRN4"
"AAEL000172","AAEL000172-RD","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EV43"
"AAEL000172","AAEL000172-RE","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17PX1"
"AAEL000173","AAEL000173-RA","Aedes aegypti LVP_AGWG","N/A","chromatin assembly factor-I p150 subunit, putative","Q17PZ9"
"AAEL000174","AAEL000174-RA","Aedes aegypti LVP_AGWG","N/A","retinal protein","A0A1S4EV41,Q17PY4"
"AAEL000175","AAEL000175-RB","Aedes aegypti LVP_AGWG","eIF3-S8","Eukaryotic translation initiation factor 3 subunit C [Source:UniProtKB/Swiss-Prot;Acc:Q17Q06]","A0A1S4EV56,Q17Q06"
"AAEL000176","AAEL000176-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17Q05"
"AAEL000178","AAEL000178-RA","Aedes aegypti LVP_AGWG","N/A","ubiquinone/menaquinone biosynthesis methyltransferase","Q17PW7"
"AAEL000179","AAEL000179-RA","Aedes aegypti LVP_AGWG","N/A","ubiquitin-conjugating enzyme E2 l","Q17PZ8"
"AAEL000180","AAEL000180-RA","Aedes aegypti LVP_AGWG","mRpL17","mitochondrial ribosomal protein, L17","A0A1S4EV46,Q17PZ3"
"AAEL000181","AAEL000181-RB","Aedes aegypti LVP_AGWG","N/A","polybromo-1","N/A"
"AAEL000181","AAEL000181-RC","Aedes aegypti LVP_AGWG","N/A","polybromo-1","N/A"
"AAEL000181","AAEL000181-RD","Aedes aegypti LVP_AGWG","N/A","polybromo-1","N/A"
"AAEL000181","AAEL000181-RE","Aedes aegypti LVP_AGWG","N/A","polybromo-1","N/A"
"AAEL000181","AAEL000181-RF","Aedes aegypti LVP_AGWG","N/A","polybromo-1","N/A"
"AAEL000181","AAEL000181-RG","Aedes aegypti LVP_AGWG","N/A","polybromo-1","N/A"
"AAEL000181","AAEL000181-RH","Aedes aegypti LVP_AGWG","N/A","polybromo-1","N/A"
"AAEL000181","AAEL000181-RI","Aedes aegypti LVP_AGWG","N/A","polybromo-1","N/A"
"AAEL000181","AAEL000181-RJ","Aedes aegypti LVP_AGWG","N/A","polybromo-1","Q17Q18"
"AAEL000181","AAEL000181-RK","Aedes aegypti LVP_AGWG","N/A","polybromo-1","N/A"
"AAEL000182","AAEL000182-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17PZ2,Q1HRI1"
"AAEL000184","AAEL000184-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17PW6"
"AAEL000185","AAEL000185-RA","Aedes aegypti LVP_AGWG","N/A","eukaryotic translation initiation factor","Q17PW1"
"AAEL000185","AAEL000185-RB","Aedes aegypti LVP_AGWG","N/A","eukaryotic translation initiation factor","Q17PW1"
"AAEL000185","AAEL000185-RC","Aedes aegypti LVP_AGWG","N/A","eukaryotic translation initiation factor","Q17PW1"
"AAEL000185","AAEL000185-RD","Aedes aegypti LVP_AGWG","N/A","eukaryotic translation initiation factor","Q17PW1"
"AAEL000186","AAEL000186-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17PV6"
"AAEL000187","AAEL000187-RB","Aedes aegypti LVP_AGWG","N/A","lim-kinase1","Q17PY5"
"AAEL000187","AAEL000187-RC","Aedes aegypti LVP_AGWG","N/A","lim-kinase1","A0A1S4EV79"
"AAEL000188","AAEL000188-RA","Aedes aegypti LVP_AGWG","N/A","elongase, putative","Q17Q14"
"AAEL000191","AAEL000191-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17PW3"
"AAEL000193","AAEL000193-RA","Aedes aegypti LVP_AGWG","N/A","Histone-lysine N-methyltransferase [Source:UniProtKB/TrEMBL;Acc:Q17PZ6]","Q17PZ6"
"AAEL000193","AAEL000193-RB","Aedes aegypti LVP_AGWG","N/A","Histone-lysine N-methyltransferase [Source:UniProtKB/TrEMBL;Acc:Q17PZ6]","Q17PZ6"
"AAEL000193","AAEL000193-RC","Aedes aegypti LVP_AGWG","N/A","Histone-lysine N-methyltransferase [Source:UniProtKB/TrEMBL;Acc:Q17PZ6]","Q17PZ6"
"AAEL000193","AAEL000193-RD","Aedes aegypti LVP_AGWG","N/A","Histone-lysine N-methyltransferase [Source:UniProtKB/TrEMBL;Acc:Q17PZ6]","Q17PZ6"
"AAEL000193","AAEL000193-RE","Aedes aegypti LVP_AGWG","N/A","Histone-lysine N-methyltransferase [Source:UniProtKB/TrEMBL;Acc:Q17PZ6]","Q17PZ6"
"AAEL000194","AAEL000194-RA","Aedes aegypti LVP_AGWG","N/A","phosphatidylinositol 4-kinase","A0A1S4EV62,Q17PY3"
"AAEL000194","AAEL000194-RB","Aedes aegypti LVP_AGWG","N/A","phosphatidylinositol 4-kinase","A0A1S4EV63"
"AAEL000194","AAEL000194-RC","Aedes aegypti LVP_AGWG","N/A","phosphatidylinositol 4-kinase","N/A"
"AAEL000194","AAEL000194-RD","Aedes aegypti LVP_AGWG","N/A","phosphatidylinositol 4-kinase","N/A"
"AAEL000194","AAEL000194-RE","Aedes aegypti LVP_AGWG","N/A","phosphatidylinositol 4-kinase","N/A"
"AAEL000194","AAEL000194-RF","Aedes aegypti LVP_AGWG","N/A","phosphatidylinositol 4-kinase","N/A"
"AAEL000195","AAEL000195-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EV61,Q17Q03"
"AAEL000196","AAEL000196-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17PW2"
"AAEL000199","AAEL000199-RA","Aedes aegypti LVP_AGWG","N/A","arginyl-tRNA synthetase","A0A1S4EV92,Q17PZ4"
"AAEL000200","AAEL000200-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q17PX2,X4YJV2"
"AAEL000201","AAEL000201-RB","Aedes aegypti LVP_AGWG","N/A","DNA replication helicase dna2","A0A1S4EV68,Q17Q00"
"AAEL000201","AAEL000201-RC","Aedes aegypti LVP_AGWG","N/A","DNA replication helicase dna2","N/A"
"AAEL000201","AAEL000201-RD","Aedes aegypti LVP_AGWG","N/A","DNA replication helicase dna2","N/A"
"AAEL000201","AAEL000201-RE","Aedes aegypti LVP_AGWG","N/A","DNA replication helicase dna2","N/A"
"AAEL000203","AAEL000203-RB","Aedes aegypti LVP_AGWG","N/A","trypsin","A0A1S4EV66,Q17PX9"
"AAEL000204","AAEL000204-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000204","AAEL000204-RD","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000204","AAEL000204-RE","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000204","AAEL000204-RF","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000204","AAEL000204-RG","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000204","AAEL000204-RH","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
