"uniprot_id","signature_description","interpro_description"
"A0A182GA07","C2H2-type zinc finger","Zinc finger C2H2-type"
"UPI0007D62EC4","Pre-mRNA cleavage complex 2 protein Pcf11, alpha-helical domain","Pre-mRNA cleavage complex 2 protein Pcf11, helical domain"
"A0A182GCC4","Aldo/keto reductase family","NADP-dependent oxidoreductase domain"
"UPI0007D5C116","Homeobox protein","Homeobox protein"
"UPI0007D3D9CE","Aminotransferase class-III","Aminotransferase class-III"
"UPI0007D2F1FB","Zinc-finger associated domain (zf-AD)","Zinc finger, AD-type"
"A0A182GLJ0","Ligand-binding domain of nuclear hormone receptor","Nuclear hormone receptor, ligand-binding domain"
"UPI0007D4B0AE","Diacylglycerol kinase catalytic domain","Diacylglycerol kinase, catalytic domain"
"A0A182GCG5","Protein kinase domain","Protein kinase domain"
"UPI0007D2AB41","Elongation factor G C-terminus","Elongation factor EFG, domain V-like"
"A0A182H3K3","RNA recognition motif","RNA recognition motif domain"
"A0A182H656","FLYWCH zinc finger domain","Zinc finger, FLYWCH-type"
"A0A182GVN2","ELM2 domain","ELM2 domain"
"UPI0007D42863","Protein kinase domain","Protein kinase domain"
"UPI0007D35244","Intermediate filament protein","Intermediate filament, rod domain"
"UPI0007D15438","Ubiquitin-Binding Zinc Finger","DNA polymerase eta, ubiquitin-binding zinc finger"
"UPI0007D5D4A6","Reverse transcriptase (RNA-dependent DNA polymerase)","Reverse transcriptase domain"
"A0A023ETF7","Golgi casein kinase, C-terminal, Fam20","FAM20, C-terminal"
"A0A182H3L7","Phosphatidylethanolamine-binding protein","Phosphatidylethanolamine-binding protein"
"A0A182H9P7","Glutaminyl-tRNA synthetase, non-specific RNA binding region part 1","Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal"
"UPI0007D4C072","Protein-tyrosine phosphatase","Tyrosine-specific protein phosphatase, PTPase domain"
"A0A182HFD9","Golgi casein kinase, C-terminal, Fam20","FAM20, C-terminal"
"A0A182GY18","Double-stranded RNA binding motif","Double-stranded RNA-binding domain"
"A0A182GUI2","Uracil phosphoribosyltransferase","Phosphoribosyltransferase domain"
"A0A182GZ11","BTB/POZ domain","BTB/POZ domain"
"A0A182GFQ8","Glycosyl hydrolase family 47","Glycoside hydrolase family 47"
"A0A182GSS4","Sec23/Sec24 beta-sandwich domain","Sec23/Sec24, beta-sandwich"
"A0A182GNU5","Phospholipase A2","Phospholipase A2-like, central domain"
"UPI0007D56371","TFIIS helical bundle-like domain","Transcription factor IIS, N-terminal"
"UPI0007D4D204","Myosin-like coiled-coil protein","Taxilin family"
"UPI0007D1999C","Cytidine and deoxycytidylate deaminase zinc-binding region","Cytidine and deoxycytidylate deaminase domain"
"UPI0007D6A773","RNA recognition motif","RNA recognition motif domain"
"UPI0007D59EF6","Zinc finger, C3HC4 type (RING finger)","Zinc finger, C3HC4 RING-type"
"A0A182GCC0","Aldo/keto reductase family","NADP-dependent oxidoreductase domain"
"UPI0007D6C1CC","Integrase core domain","Integrase, catalytic core"
"UPI0007D441B2","Ubiquitin carboxyl-terminal hydrolase","Peptidase C19, ubiquitin carboxyl-terminal hydrolase"
"UPI0007D1E9E9","PTB domain (IRS-1 type)","IRS-type PTB domain"
"A0A182GER9","GC-rich sequence DNA-binding factor-like protein","GCF, C-terminal"
"UPI0007D2CA88","BAH domain","Bromo adjacent homology (BAH) domain"
"A0A182G158","Pao retrotransposon peptidase","Retrotransposon, Pao"
"UPI0007D1403D","Mitotic checkpoint protein","Spindle assembly checkpoint component Mad1"
"UPI0007D48228","Nucleosome assembly protein (NAP)","Nucleosome assembly protein (NAP)"
"UPI0007D30AB1","Myosin-like coiled-coil protein","Taxilin family"
"A0A182G2A3","Fibronectin type III domain","Fibronectin type III"
"UPI0007D21D1E","Zinc-finger of C2H2 type","Zinc finger C2H2-type"
"A0A182GUJ6","LEM3 (ligand-effect modulator 3) family / CDC50 family","CDC50/LEM3 family"
"A0A182GHU9","WWE domain","WWE domain"
"A0A182HE33","Ro60 vWA domain","RNA-binding protein RO60, vWA domain"
"A0A182GLV4","Anaphase-promoting complex, cyclosome, subunit 3",NA
"A0A182HDQ7","GDP-fucose protein O-fucosyltransferase","GDP-fucose protein O-fucosyltransferase"
"UPI0007D300FE","Ligand-binding domain of nuclear hormone receptor","Nuclear hormone receptor, ligand-binding domain"
"A0A182GV54","SOX transcription factor","Transcription factor SOX"
"A0A182H146","NUDIX domain","NUDIX hydrolase domain"
"UPI0007D37107","Adenomatous polyposis coli (APC) repeat","Adenomatous polyposis coli (APC) repeat"
"A0A182H108","Malectin domain","Malectin domain"
"A0A182H3K8","Integrase zinc binding domain","Integrase zinc-binding domain"
"A0A182H556","RA like domain",NA
"A0A182GIH4","TMEM192 family","TMEM192 family"
"A0A182G4I0","Endonuclease-reverse transcriptase","Endonuclease/exonuclease/phosphatase"
"A0A182GQ91","Transmembrane proteins 230/134","Transmembrane protein 230/134"
"UPI0007D13099","Forkhead N-terminal region","Fork-head N-terminal"
"UPI0007D67F3D","Reverse transcriptase (RNA-dependent DNA polymerase)","Reverse transcriptase domain"
"A0A182GE25","Ubiquitin carboxyl-terminal hydrolase","Peptidase C19, ubiquitin carboxyl-terminal hydrolase"
"UPI0007D2D2BF","Protein kinase domain","Protein kinase domain"
"UPI0007D5AC22","RNB domain","Ribonuclease II/R"
"UPI0007D3644D","RecQ zinc-binding","ATP-dependent DNA helicase RecQ, zinc-binding domain"
"A0A182GE35","P-type ATPase, cytoplasmic domain N",NA
"A0A182GDP6","Glycogen synthase","Glycogen synthase"
"A0A182GLB9","KHDC4/BBP-like, KH-domain type I","KHDC4/BBP-like, KH-domain type I"
"A0A182GDW5","Adenylosuccinate synthetase","Adenylosuccinate synthetase"
"A0A182G131","COMPASS (Complex proteins associated with Set1p) component shg1","BOD1/SHG1 domain"
"UPI0007D32D50","BTB And C-terminal Kelch","BTB/Kelch-associated"
"A0A182GZU3","Ariadne domain","Ariadne domain"
"UPI0007D24179","Leucine Rich Repeat Domain of unknown function (DUF7885)","F-box/LRR-repeat protein 15-like, leucin rich repeat domain"
"A0A182HA21","Triose-phosphate Transporter family","Sugar phosphate transporter domain"
"UPI0007D10EAD","Prolyl oligopeptidase, N-terminal beta-propeller domain","Peptidase S9A, N-terminal domain"
"UPI0007D408EA","WD domain, G-beta repeat","WD40 repeat"
"A0A182G1E7","Exonuclease","Ribonuclease H-like domain"
"A0A182GNU8","Yip1 domain","Yip1 domain"
"UPI0007D4BE1C","short chain dehydrogenase","Short-chain dehydrogenase/reductase SDR"
"A0A182H3G2","Sir2 family","Sirtuin family"
"A0A023EPY3","Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain","Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain"
"A0A182HA79","ZSWIM4-8, C-terminal","ZSWIM4-8, C-terminal"
"A0A182H2J8","Domain of unknown function (DUF4819)","Protein capicua homolog-like domain"
"A0A182GB50","Integrase zinc binding domain","Integrase zinc-binding domain"
"UPI0007D3BDB9","E3 ubiquitin-protein ligase MARCHF6-like, C-terminal domain","E3 ubiquitin-protein ligase MARCHF6-like, C-terminal domain"
"A0A182GN25","[2Fe-2S] binding domain","[2Fe-2S]-binding"
"A0A182H812","KLHDC2/KLHL20/DRC7 Kelch-repeats domain",NA
"A0A182GIS9","Mitochondrial carrier protein","Mitochondrial carrier protein, transmembrane region"
"UPI0007D16EC0","Ankyrin repeats (many copies)","Ankyrin repeat"
"UPI0007D3F6D1","Cleft lip and palate transmembrane protein 1 (CLPTM1)","Cleft lip and palate transmembrane 1"
"UPI0007D208AA","Helicase conserved C-terminal domain","Helicase, C-terminal domain-like"
"UPI0007D13FCC","Patatin-like phospholipase","Patatin-like phospholipase domain"
"A0A182GL31","SecA DEAD-like domain","SecA DEAD-like, N-terminal"
"A0A182HB25","RNase H","Ribonuclease H domain"
"A0A182GUX7","S1 RNA binding domain","S1 domain"
"A0A182H537","Zinc-finger associated domain (zf-AD)","Zinc finger, AD-type"
"A0A182GEY8","Cid1 family poly A polymerase","PAP/25A-associated"
"A0A182G2Q1","Nucleotide hydrolase","Cleavage/polyadenylation specificity factor subunit 5"
"A0A182G4U8","Zn-finger in ubiquitin-hydrolases and other protein","Zinc finger, UBP-type"
"UPI0007D22D6F","Sel1 repeat","Sel1-like repeat"
"UPI0007D6C770","mRNA capping enzyme, catalytic domain","mRNA capping enzyme, adenylation domain"
"A0A023EE18","C19orf12-like protein","Protein C19orf12"
"A0A023EIB6","Ras family","Small GTPase"
"A0A182G6D5","Reverse transcriptase (RNA-dependent DNA polymerase)","Reverse transcriptase, RNA-dependent DNA polymerase"
"A0A182GD72","Ankyrin repeat","Ankyrin repeat"
"A0A182H4G7","Hsp70 protein","Heat shock protein 70 family"
"A0A182GK33","Asparaginase","Peptidase T2, asparaginase 2"
"UPI0007D6942F","Protein phosphatase 1 regulatory subunit 21, C-terminal","Protein phosphatase 1 regulatory subunit 21, C-terminal"
"A0A182GE93","Protein kinase SIK3 UBA domain","Protein kinase SIK1/2/3, UBA domain"
"UPI0007D6C80B","ATPase family associated with various cellular activities (AAA)","ATPase, AAA-type, core"
"A0A182G737","IPO5-like, TPR repeats","IPO4/5-like, TPR repeats domain"
"A0A182G2Y4","ABC transporter","ABC transporter-like, ATP-binding domain"
"UPI0007D3B793","Acyl-coenzyme A oxidase N-terminal","Acyl-coenzyme A oxidase, N-terminal"
"A0A182GMR2","Autophagy protein 16 (ATG16)","Autophagy-related protein 16 domain"
"UPI0007D122E6","Zinc finger, ZZ type","Zinc finger, ZZ-type"
"A0A182G4J4","AMP-binding enzyme C-terminal domain","AMP-binding enzyme, C-terminal domain"
"A0A182H8W0","alpha/beta hydrolase fold","Alpha/beta hydrolase fold-1"
"UPI0007D4951C","Dynamin family","Dynamin, N-terminal"
"UPI0007D10E2A","SAM domain (Sterile alpha motif)","Sterile alpha motif domain"
"A0A023EIL7","Acetyltransferase (GNAT) family","GNAT domain"
"UPI0007D23BD4","Guanylate-binding protein, N-terminal domain","Guanylate-binding protein, N-terminal"
"A0A182HB39","Integrase core domain","Integrase, catalytic core"
"UPI0007D249CB","RNA recognition motif","RNA recognition motif domain"
"UPI0007D69E24","Transcription elongation factor SPT5, fifth KOW domain","Spt5, KOW domain repeat 5"
"A0A182H742","DnaJ domain","DnaJ domain"
"UPI0007D2CC26","Glycosyl-hydrolase family 116, catalytic region","Glycosyl-hydrolase family 116, catalytic region"
"A0A182GV08","Domain of unknown function (DUF4149)","TMEM205-like"
"A0A182G6P1","Peptidase family M3","Peptidase M3A/M3B catalytic domain"
"UPI0007D497EA","Zinc-finger associated domain (zf-AD)","Zinc finger, AD-type"
"A0A182H0K9","RNA pseudouridylate synthase","Pseudouridine synthase, RsuA/RluA-like"
"UPI0007D6B814","Acyl-CoA dehydrogenase, C-terminal domain","Acyl-CoA dehydrogenase/oxidase, C-terminal"
"A0A182HDC0","Reverse transcriptase (RNA-dependent DNA polymerase)","Reverse transcriptase domain"
"A0A182H7L6","DNA polymerase family B","DNA-directed DNA polymerase, family B, multifunctional domain"
"A0A182GTQ3","G-protein pathway suppressor 2-interacting domain","N-CoR, GPS2-interacting domain"
"A0A182GBS7","Cleft lip and palate transmembrane protein 1 (CLPTM1)","Cleft lip and palate transmembrane 1"
"A0A182HEI5","Reverse transcriptase (RNA-dependent DNA polymerase)","Reverse transcriptase domain"
"A0A182G5U1","Ankyrin repeats (3 copies)","Ankyrin repeat"
"UPI0007D0F480","Endonuclease-reverse transcriptase","Endonuclease/exonuclease/phosphatase"
"A0A182G3H4","Reverse transcriptase (RNA-dependent DNA polymerase)","Reverse transcriptase, RNA-dependent DNA polymerase"
"A0A182GM03","Integrase core domain","Integrase, catalytic core"
"A0A182G4X0","Fis1 N-terminal tetratricopeptide repeat","Fis1, N-terminal tetratricopeptide repeat"
"A0A182GDI3","Domain of unknown function (DUF1899)","Domain of unknown function DUF1899"
"UPI0007D3E97E","Tetratricopeptide repeat","Tetratricopeptide repeat"
"A0A023EQV8","DnaJ domain","DnaJ domain"
"UPI0007D0DFDA","Metal transporter CNNM2-like, C-terminal CNBH domain",NA
"A0A182G9V6","Rpp14/Pop5 family","RNase P subunit Pop5/Rpp14/Rnp2-like"
"UPI0007D33538","Transketolase, pyrimidine binding domain","Transketolase-like, pyrimidine-binding domain"
"A0A182G573","AMP-binding enzyme","AMP-dependent synthetase/ligase domain"
"UPI0007D5D089","UDP-glucoronosyl and UDP-glucosyl transferase","UDP-glucuronosyl/UDP-glucosyltransferase"
"A0A182GGV5","Integrase core domain","Integrase, catalytic core"
"A0A023EFH1","MICOS complex subunit MIC13, QIL1","MICOS complex subunit Mic13"
"A0A182HB57","Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",NA
"A0A182GFC5","Clathrin-binding box of Aftiphilin, vesicle trafficking","Aftiphilin, clathrin-binding box"
"UPI0007D47AEB","Mediator of RNA pol II transcription subunit 19","Mediator complex, subunit Med19, metazoa"
"A0A182HAW0","Integrase core domain","Integrase, catalytic core"
"A0A182GTR5","Regulator of G protein signaling domain","RGS domain"
"A0A182H6T8","C-terminal topoisomerase domain","Topoisomerase I C-terminal domain"
"UPI0007D1A9BA","Reverse transcriptase (RNA-dependent DNA polymerase)","Reverse transcriptase domain"
"UPI0007D10A1C","RecQ zinc-binding","ATP-dependent DNA helicase RecQ, zinc-binding domain"
"A0A182GAX4","CCDC22 protein N-terminal domain","CCDC22, N-terminal domain"
"A0A182GPS6","RNase H","Ribonuclease H domain"
"UPI0001D4B7EE","GTP-eEF1A C-terminal domain-like","GTP-eEF1A, C-terminal domain"
"UPI0007D59D7A","GDP-mannose 4,6 dehydratase","NAD(P)-binding domain"
"UPI0007D6BB0E","N-terminal region of glycosyl transferase group 7","Galactosyltransferase, N-terminal"
"UPI0007D5AAD5","RasGEF domain","Ras guanine-nucleotide exchange factors catalytic domain"
"A0A182GKJ0","Regulator of G protein signaling domain","RGS domain"
"A0A182GTM7","Adaptin N terminal region","Clathrin/coatomer adaptor, adaptin-like, N-terminal"
"A0A023EFS1","Lipocalin / cytosolic fatty-acid binding protein family","Lipocalin/cytosolic fatty-acid binding domain"
"A0A182GFX2","FHA domain","Forkhead-associated (FHA) domain"
"UPI0007D3EECF","Optic atrophy 3 protein (OPA3)","Optic atrophy 3-like"
"A0A182GMD7","CPSF6-like, RSLD domain, N-terminal region","CPSF6/7, RSLD domain, N-terminal region"
"UPI0007D3D8E5","HECT-domain (ubiquitin-transferase)","HECT domain"
"A0A182HCT5","PH domain-containing proteins, TBCA domain","Pleckstrin homology domain-containing family A member 4-7, TBCA domain"
"A0A182GBK3","RNA polymerase II transcription elongation factor","Transcription elongation factor Eaf, N-terminal"
"UPI0007D1A97F","3-oxo-5-alpha-steroid 4-dehydrogenase","3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal"
"UPI0007D5A36B","SPRY domain","SPRY domain"
"A0A182GDL1","Reverse transcriptase (RNA-dependent DNA polymerase)","Reverse transcriptase, RNA-dependent DNA polymerase"
"A0A182GR14","bZIP transcription factor","Basic-leucine zipper domain"
"A0A182H3T1","RNase H-like domain found in reverse transcriptase","Reverse transcriptase, RNase H-like domain"
"A0A023EJQ3","GINS complex protein helical bundle domain","GINS subunit, domain A"
"A0A182GMK4","Zinc finger, C2H2 type","Zinc finger C2H2-type"
"A0A182HEW6","UBE2O, SH3-B domain","UBE2O-like, SH3-B domain"
"A0A182GMV3","Histone deacetylase complex subunit SAP130 C-terminus","Histone deacetylase complex subunit SAP130, C-terminal domain"
"A0A182G5F4","Ankyrin repeats (3 copies)","Ankyrin repeat"
"A0A182GVG6","Putative GTPase activating protein for Arf","Arf GTPase activating protein"
"UPI0007D476DE","Zinc knuckle","Zinc finger, CCHC-type"
"UPI0007D32786","Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD","Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain"
"A0A182HCF0","UBA-like domain","Rege-1, UBA-like domain"
"A0A023EJK9","Ras family","Small GTPase"
"UPI0007D2CAF7","Reverse transcriptase (RNA-dependent DNA polymerase)","Reverse transcriptase domain"
"A0A182GPU8","NOTCH protein","Notch, NOD domain"
"A0A182G0T6","CRAL/TRIO domain","CRAL-TRIO lipid binding domain"
"UPI0007D38AF8","Ubiquitin carboxyl-terminal hydrolase","Peptidase C19, ubiquitin carboxyl-terminal hydrolase"
"A0A182H1S6","JAB1/Mov34/MPN/PAD-1 ubiquitin protease","JAB1/MPN/MOV34 metalloenzyme domain"
"UPI0007D55C98","Protein of unknown function (DUF933)","YchF, C-terminal domain"
"A0A182GYQ8","Malic enzyme, NAD binding domain","Malic enzyme, NAD-binding"
"A0A182GK16","RSE1/DDB1/CPSF1 second beta-propeller","RSE1/DDB1/CPSF1, second beta-propeller"
"UPI0007D6AC6B","Serine-threonine protein phosphatase N-terminal domain","Serine-threonine protein phosphatase, N-terminal"
"UPI0007D19DE6","Reverse transcriptase (RNA-dependent DNA polymerase)","Reverse transcriptase, RNA-dependent DNA polymerase"
"A0A182HE06","Filamin/ABP280 repeat","Filamin/ABP280 repeat-like"
"A0A023ECJ9","Hypoxia induced protein conserved region","Hypoxia induced protein, domain"
"UPI0007D241A9","Reverse transcriptase (RNA-dependent DNA polymerase)","Reverse transcriptase domain"
"UPI0007D124AA","Mitochondrial carrier protein","Mitochondrial carrier protein, transmembrane region"
"A0A182GKK8","Condensin II complex subunit CAP-H2 or CNDH2, C-terminal wHTH domain","Condensin-2 complex subunit H2, C-terminal"
"UPI0007D46261","DEAD/DEAH box helicase","DEAD/DEAH-box helicase domain"
"A0A182H4D2","B-box zinc finger","B-box-type zinc finger"
"UPI0007D5C53E","Histidyl-tRNA synthetase","Class II Histidinyl-tRNA synthetase (HisRS)-like catalytic core domain"
"A0A182GM48","Mediator complex subunit 29","Mediator complex, subunit Med29, metazoa"
"A0A182HE94","MIF4G domain","MIF4G-like, type 3"
"A0A182G7F0","SbcC/RAD50-like, Walker B motif",NA
"A0A182G6F8","Protein kinase C terminal domain","Protein kinase, C-terminal"
"UPI0007D64A26","Putative GTPase activating protein for Arf","Arf GTPase activating protein"
"A0A182G3U2","BTB/POZ domain","BTB/POZ domain"
"A0A182GM34","WD domain, G-beta repeat","WD40 repeat"
"UPI0007D1310E","Adaptin N terminal region","Clathrin/coatomer adaptor, adaptin-like, N-terminal"
"UPI0007D5B080","Carboxypeptidase regulatory-like domain",NA
"UPI0007D1DF42","RNA recognition motif","RNA recognition motif domain"
"A0A182HC20","WD domain, G-beta repeat","WD40 repeat"
"A0A182HC86","Helix-loop-helix DNA-binding domain","Myc-type, basic helix-loop-helix (bHLH) domain"
"A0A023ER33","PCI domain","Proteasome component (PCI) domain"
"A0A182GT83","Reverse transcriptase (RNA-dependent DNA polymerase)","Reverse transcriptase domain"
"UPI0007D173C2","Mon2/Sec7/BIG1-like, dimerisation and cyclophilin-binding domain","Mon2/Sec7/BIG1-like, dimerisation and cyclophilin-binding domain"
"A0A182H0V3","Rotatin, an armadillo repeat protein, centriole functioning","Rotatin, N-terminal"
"UPI0007D313BC","Retrotransposon gag protein","Retrotransposon gag domain"
"A0A182GDB5","Sad1 / UNC-like C-terminal","SUN domain"
"A0A182HAT0","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family","Ribosomal protein eL8/eL30/eS12/Gadd45"
"UPI0007D3F72B","F/Y rich C-terminus","FY-rich, C-terminal"
"A0A182G0L9","NAD dependent epimerase/dehydratase family","NAD-dependent epimerase/dehydratase"
"A0A182GMS9","Fatty acid desaturase","Fatty acid desaturase domain"
"UPI0007D4D981","BRCA1 C Terminus (BRCT) domain","BRCT domain"
"UPI0007D1BAB2","Ubiquitin family","Ubiquitin-like domain"
"A0A182H1A1","Reverse transcriptase (RNA-dependent DNA polymerase)","Reverse transcriptase, RNA-dependent DNA polymerase"
"UPI0007D20E77","Retrotransposon gag protein","Retrotransposon gag domain"
"UPI0007D47B73","Zinc-finger associated domain (zf-AD)","Zinc finger, AD-type"
"UPI0007D4C7DD","AAA domain","DNA2/NAM7 helicase-like, C-terminal"
"A0A182GD47","Zinc-finger associated domain (zf-AD)","Zinc finger, AD-type"
"A0A182HA07","Integrase core domain","Integrase, catalytic core"
"UPI0007D10D52","Malic enzyme, NAD binding domain","Malic enzyme, NAD-binding"
"UPI0007D5D458","5' nucleotidase family","HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase"
"UPI0007D495A4","C2H2-type zinc finger","Zinc finger C2H2-type"
"A0A182G7S1","Protein of unknown function (DUF3752)","Domain of unknown function DUF3752"
"A0A182GR75","Second BRCT domain on Nijmegen syndrome breakage protein","Nibrin, second BRCT domain"
"A0A182GXI4","Plug domain of Sec61p","Translocon Sec61/SecY, plug domain"
"A0A182G4U6","BTB And C-terminal Kelch","BTB/Kelch-associated"
"A0A182GS49","IBR domain, a half RING-finger domain","IBR domain"
"A0A023EKS2","Zinc finger C-x8-C-x5-C-x3-H type (and similar)","Zinc finger, CCCH-type"
"A0A023EJP8","ER lumen protein retaining receptor","ER lumen protein retaining receptor"
"UPI0007D20DCC","Calpain family cysteine protease","Peptidase C2, calpain, catalytic domain"
"A0A182HDJ1","Endonuclease-reverse transcriptase","Endonuclease/exonuclease/phosphatase"
"UPI0007D4461E","CDP-alcohol phosphatidyltransferase","CDP-alcohol phosphatidyltransferase"
"A0A182H338","Replication protein A OB domain","Replication protein A, OB domain"
"A0A182GFC6","RNA recognition motif","RNA recognition motif domain"
"UPI0007D63965","C2H2-type zinc finger","Zinc finger C2H2-type"
"UPI0007D291F6","alpha/beta hydrolase fold","Alpha/beta hydrolase fold-1"
"UPI0007D62D78","Glycerol-3-phosphate acyltransferase C-terminal region","GPAT/DHAPAT, C-terminal domain"
"A0A182GPM1","E3 ubiquitin-protein ligase TRIP12-like, TPR repeats","E3 ubiquitin-protein ligase TRIP12-like, TPR repeats"
"UPI0007D2C9A4","alpha/beta hydrolase fold","Alpha/beta hydrolase fold-1"
"UPI0007D56410","Zinc-binding dehydrogenase","Alcohol dehydrogenase-like, C-terminal"
"A0A182GER1","Core histone H2A/H2B/H3/H4 domain","Core Histone H2A/H2B/H3 domain"
"A0A182GJD7","Mon2/Sec7/BIG1-like, HUS domain","Mon2/Sec7/BIG1-like, HUS domain"
"A0A182G7Q9","Zinc finger, C2H2 type","Zinc finger C2H2-type"
"A0A182H345","Zinc finger, C2H2 type","Zinc finger C2H2-type"
