"protein_accession","uniprot_id","md5","seq_length","analysis","signature_accession","signature_description","start_location","stop_location","score","status","date","interpro_accession","interpro_description"
"tr|Q17FH2|Q17FH2_AEDAE","Q17FH2","edd7f562c90bb69f8cf5a0b5254a50bf","541","Pfam","PF10179","Neuron-derived neurotrophic factor, first Fn(III) domain","110","222","3.2e-24","TRUE","17-10-2025","IPR055271","Neuron-derived neurotrophic factor, first Fn(III) domain"
"tr|Q17ID1|Q17ID1_AEDAE","Q17ID1","14f0d017427efdb876d7916ecc21ad1e","1290","Pfam","PF03735","ENT domain","16","82","3e-19","TRUE","17-10-2025","IPR005491","ENT domain"
"tr|Q16PQ3|Q16PQ3_AEDAE","Q16PQ3","2243d882aaa84846b94e93fad41d0734","147","Pfam","PF01248","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family","36","120","2.3e-12","TRUE","17-10-2025","IPR004038","Ribosomal protein eL8/eL30/eS12/Gadd45"
"tr|Q17E15|Q17E15_AEDAE","Q17E15","567f7f4af1d7e2cbc1998c98d9256c36","285","Pfam","PF00076","RNA recognition motif","202","272","3.2e-14","TRUE","17-10-2025","IPR000504","RNA recognition motif domain"
"tr|Q17AN8|Q17AN8_AEDAE","Q17AN8","3c8c0dce87333b1d6b60cfaf735c2b44","127","Pfam","PF00046","Homeodomain","26","82","8.7e-19","TRUE","17-10-2025","IPR001356","Homeodomain"
"tr|Q177Z0|Q177Z0_AEDAE","Q177Z0","f429bba88d578f857faf1e3d7307f31d","512","Pfam","PF10033","Autophagy-related protein 13","98","199","0.0014","TRUE","17-10-2025","IPR018731","Autophagy-related protein 13, N-terminal"
"tr|Q16LV3|Q16LV3_AEDAE","Q16LV3","97202f65523e967ffdeec86776140c83","181","Pfam","PF13499","EF-hand domain pair","104","165","1.7e-12","TRUE","17-10-2025","IPR002048","EF-hand domain"
"tr|Q16NV1|Q16NV1_AEDAE","Q16NV1","fcb9c05fa841469f95f874c754c2d64c","472","Pfam","PF00067","Cytochrome P450","19","467","1.6e-60","TRUE","17-10-2025","IPR001128","Cytochrome P450"
"tr|Q16W25|Q16W25_AEDAE","Q16W25","84a673bb0333dab408b2d90504388c20","371","Pfam","PF00069","Protein kinase domain","4","297","3.2e-70","TRUE","17-10-2025","IPR000719","Protein kinase domain"
"tr|Q17C42|Q17C42_AEDAE","Q17C42","d24dbb6884e65791948e088c3a82f3d2","255","Pfam","PF00169","PH domain","34","143","1.3e-09","TRUE","17-10-2025","IPR001849","Pleckstrin homology domain"
"tr|J9HTV7|J9HTV7_AEDAE","J9HTV7","c465aa2a8eea2e4844c38da7aa015222","157","Pfam","PF00098","Zinc knuckle","4","20","0.0064","TRUE","17-10-2025","IPR001878","Zinc finger, CCHC-type"
"tr|Q16HG5|Q16HG5_AEDAE","Q16HG5","10dd6b7646cbb8887be417d25cab5bed","351","Pfam","PF00076","RNA recognition motif","268","338","4.6e-14","TRUE","17-10-2025","IPR000504","RNA recognition motif domain"
"tr|Q16YV5|Q16YV5_AEDAE","Q16YV5","05eb4c73cc36697389a8e6b1b93a9ba2","1736","Pfam","PF00028","Cadherin domain","715","800","5.1e-16","TRUE","17-10-2025","IPR002126","Cadherin-like"
"tr|Q17C29|Q17C29_AEDAE","Q17C29","b125284d257a6a22074e8f86dcc8373c","268","Pfam","PF07742","BTG family","1","117","1.1e-35","TRUE","17-10-2025","IPR002087","Anti-proliferative protein"
"tr|Q16XQ1|Q16XQ1_AEDAE","Q16XQ1","1156ef0e269f5e2fe3a32f30a52455cc","438","Pfam","PF07690","Major Facilitator Superfamily","80","327","2e-33","TRUE","17-10-2025","IPR011701","Major facilitator superfamily"
"tr|Q17EP7|Q17EP7_AEDAE","Q17EP7","1941c72ae782d6c64c8367d9713c9e7d","978","Pfam","PF00069","Protein kinase domain","1","219","3.2e-26","TRUE","17-10-2025","IPR000719","Protein kinase domain"
"tr|Q174S1|Q174S1_AEDAE","Q174S1","c79c13f346951bacf6403107808c19a5","1707","Pfam","PF08123","Histone methylation protein DOT1","117","319","2.1e-74","TRUE","17-10-2025","IPR025789","Histone-lysine N-methyltransferase DOT1 domain"
"tr|Q16TH4|Q16TH4_AEDAE","Q16TH4","03953d1861d45b260051f61663eb0901","523","Pfam","PF00010","Helix-loop-helix DNA-binding domain","413","465","4.2e-08","TRUE","17-10-2025","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain"
"tr|Q17B94|Q17B94_AEDAE","Q17B94","75cc7a873a382a2abee902c6a29c7baa","1185","Pfam","PF12796","Ankyrin repeats (3 copies)","26","108","1.5e-05","TRUE","17-10-2025","IPR002110","Ankyrin repeat"
"tr|Q16WA7|Q16WA7_AEDAE","Q16WA7","40bcc17726530a530fd9420564ae6b08","291","Pfam","PF00804","Syntaxin","13","165","1.2e-37","TRUE","17-10-2025","IPR006011","Syntaxin, N-terminal domain"
"tr|Q17FK6|Q17FK6_AEDAE","Q17FK6","7e4bebf4c9a7b9492e03388e244c19b5","358","Pfam","PF06911","Senescence domain","103","298","2.2e-41","TRUE","17-10-2025","IPR009686","Senescence/spartin-associated, C-terminal"
"tr|Q173I2|Q173I2_AEDAE","Q173I2","7b257bd259e4428fb6dc125e93f813ef","607","Pfam","PF00651","BTB/POZ domain","16","119","1.4e-19","TRUE","17-10-2025","IPR000210","BTB/POZ domain"
"tr|Q17G33|Q17G33_AEDAE","Q17G33","293fc1deac681cef8885feee39cdc129","1389","Pfam","PF01167","Tub family","1289","1383","2e-23","TRUE","17-10-2025","IPR000007","Tubby, C-terminal"
"tr|Q16JH7|Q16JH7_AEDAE","Q16JH7","571f65692ffe9f607733060e892bb50d","306","Pfam","PF00069","Protein kinase domain","7","286","3e-71","TRUE","17-10-2025","IPR000719","Protein kinase domain"
"tr|Q17CH0|Q17CH0_AEDAE","Q17CH0","bd205c845d0bb5a655cf5084d7e24d3e","480","Pfam","PF00781","Diacylglycerol kinase catalytic domain","37","178","1.2e-19","TRUE","17-10-2025","IPR001206","Diacylglycerol kinase, catalytic domain"
