"protein_accession","uniprot_id","md5","seq_length","analysis","signature_accession","signature_description","start_location","stop_location","score","status","date","interpro_accession","interpro_description"
"tr|A0A182G2Y4|A0A182G2Y4_AEDAL","A0A182G2Y4","2e97a5ea852bc07f92f5bae68a3b4385","439","Pfam","PF00005","ABC transporter","336","378","0.00022","TRUE","17-10-2025","IPR003439","ABC transporter-like, ATP-binding domain"
"UPI0007D5354F","UPI0007D5354F","80662bcd270eb60114b7354af9b23869","189","Pfam","PF14598","PAS domain","1","96","2.4e-14","TRUE","17-10-2025",NA,NA
"tr|A0A182G5Y8|A0A182G5Y8_AEDAL","A0A182G5Y8","a91e7fe65d3656456d4b702db6572047","392","Pfam","PF00149","Calcineurin-like phosphoesterase","131","325","1.8e-34","TRUE","17-10-2025","IPR004843","Calcineurin-like, phosphoesterase domain"
"tr|A0A182HDC1|A0A182HDC1_AEDAL","A0A182HDC1","f0eb6f321ed49ac5ada9eead952d75d8","721","Pfam","PF04926","Poly(A) polymerase predicted RNA binding domain","378","447","8.5e-19","TRUE","17-10-2025","IPR007010","Poly(A) polymerase, RNA-binding domain"
"UPI0007D63967","UPI0007D63967","c41f0c85c7ffbbd1b84d11478a9caf56","387","Pfam","PF00650","CRAL/TRIO domain","143","290","8.9e-28","TRUE","17-10-2025","IPR001251","CRAL-TRIO lipid binding domain"
"tr|A0A182H8W0|A0A182H8W0_AEDAL","A0A182H8W0","d028b1bf1fea588bc467ab8a9a314ba1","336","Pfam","PF00561","alpha/beta hydrolase fold","64","172","7.3e-17","TRUE","17-10-2025","IPR000073","Alpha/beta hydrolase fold-1"
"tr|A0A182G5Z9|A0A182G5Z9_AEDAL","A0A182G5Z9","0a86585ad538535084a9ce09b3fcbef1","479","Pfam","PF14604","Variant SH3 domain","428","476","5.7e-10","TRUE","17-10-2025","IPR001452","SH3 domain"
"tr|A0A023EQE1|A0A023EQE1_AEDAL","A0A023EQE1","73e1f3880a5010dc681ddb29b8051b31","307","Pfam","PF00149","Calcineurin-like phosphoesterase","48","241","1.2e-46","TRUE","17-10-2025","IPR004843","Calcineurin-like, phosphoesterase domain"
"UPI0007D69E24","UPI0007D69E24","c20c43762777fae07d7ccdb0c5fddfe4","1091","Pfam","PF23290","Transcription elongation factor SPT5, fifth KOW domain","756","801","2.5e-19","TRUE","17-10-2025","IPR041978","Spt5, KOW domain repeat 5"
"UPI0007D247C5","UPI0007D247C5","754d49d0bc4f631bd9e98f0d728f33e2","198","Pfam","PF18701","Family of unknown function (DUF5641)","56","147","2.4e-21","TRUE","17-10-2025","IPR040676","Domain of unknown function DUF5641"
"tr|A0A182G4S8|A0A182G4S8_AEDAL","A0A182G4S8","05fcf6041f28e15622fbe41584e8f342","761","Pfam","PF20651","Exocyst complex component EXOC6/Sec15, N-terminal","35","204","3.5e-49","TRUE","17-10-2025","IPR048359","Exocyst complex component EXOC6/Sec15, N-terminal domain"
"tr|A0A182GV08|A0A182GV08_AEDAL","A0A182GV08","29859394abbdff0709c06b17ca589c28","334","Pfam","PF13664","Domain of unknown function (DUF4149)","156","267","5.4e-22","TRUE","17-10-2025","IPR025423","TMEM205-like"
"UPI0007D497EA","UPI0007D497EA","4f0d8cab140fdf35cdaa28ee24475071","585","Pfam","PF07776","Zinc-finger associated domain (zf-AD)","154","230","3.7e-08","TRUE","17-10-2025","IPR012934","Zinc finger, AD-type"
"tr|A0A182GTQ3|A0A182GTQ3_AEDAL","A0A182GTQ3","8495efb6fad24fc86a8e505e9fb5de64","1883","Pfam","PF15784","G-protein pathway suppressor 2-interacting domain","180","260","2.5e-16","TRUE","17-10-2025","IPR031557","N-CoR, GPS2-interacting domain"
"tr|A0A182H4Q1|A0A182H4Q1_AEDAL","A0A182H4Q1","07d523c67812f8746e62139898a6f969","376","Pfam","PF00079","Serpin (serine protease inhibitor)","302","374","1.6e-13","TRUE","17-10-2025","IPR023796","Serpin domain"
"tr|A0A182H581|A0A182H581_AEDAL","A0A182H581","a321cb923f2d7ba3b81633084642e4aa","497","Pfam","PF00079","Serpin (serine protease inhibitor)","108","495","1.5e-86","TRUE","17-10-2025","IPR023796","Serpin domain"
"tr|A0A182HEI5|A0A182HEI5_AEDAL","A0A182HEI5","01df7f2e24258e37e351bab0b7638793","261","Pfam","PF00078","Reverse transcriptase (RNA-dependent DNA polymerase)","188","256","0.0012","TRUE","17-10-2025","IPR000477","Reverse transcriptase domain"
"UPI0007D1D052","UPI0007D1D052","728f72aacee553d862170b7d9186c06e","423","Pfam","PF00079","Serpin (serine protease inhibitor)","50","422","6.4e-88","TRUE","17-10-2025","IPR023796","Serpin domain"
"tr|A0A023EMA3|A0A023EMA3_AEDAL","A0A023EMA3","64d5fe3395c22035c65ebb7605021978","249","Pfam","PF00226","DnaJ domain","50","110","1.4e-12","TRUE","17-10-2025","IPR001623","DnaJ domain"
"tr|A0A182GDI3|A0A182GDI3_AEDAL","A0A182GDI3","21ee8aeb3f019b74cbaa4962a764e379","568","Pfam","PF08953","Domain of unknown function (DUF1899)","4","69","8.2e-31","TRUE","17-10-2025","IPR015048","Domain of unknown function DUF1899"
"tr|A0A182GM05|A0A182GM05_AEDAL","A0A182GM05","e68d67ec30da40578c367a1739666e86","135","Pfam","PF00010","Helix-loop-helix DNA-binding domain","8","46","2.4e-05","TRUE","17-10-2025","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain"
"tr|A0A182GH02|A0A182GH02_AEDAL","A0A182GH02","d7edde2d14344367460775bac6a22c47","703","Pfam","PF00443","Ubiquitin carboxyl-terminal hydrolase","380","662","1.5e-25","TRUE","17-10-2025","IPR001394","Peptidase C19, ubiquitin carboxyl-terminal hydrolase"
"UPI0007D620FD","UPI0007D620FD","c013c69dc3aa6eb27cbab558a66b6951","545","Pfam","PF00400","WD domain, G-beta repeat","365","390","1.1","TRUE","17-10-2025","IPR001680","WD40 repeat"
"UPI0007D0DFDA","UPI0007D0DFDA","2f3b793ead48fe3ea36627b9bc1866a1","877","Pfam","PF25562","Metal transporter CNNM2-like, C-terminal CNBH domain","603","770","4.1e-52","TRUE","17-10-2025",NA,NA
"UPI0007D0E200","UPI0007D0E200","93d56e3d136c1eaddf0e99de36a002fb","1043","Pfam","PF00133","tRNA synthetases class I (I, L, M and V)","98","721","0","TRUE","17-10-2025","IPR002300","Aminoacyl-tRNA synthetase, class Ia"
"UPI0007D5D089","UPI0007D5D089","a488387a6dca88895dde4faa1cb7907d","520","Pfam","PF00201","UDP-glucoronosyl and UDP-glucosyl transferase","31","516","1.5e-70","TRUE","17-10-2025","IPR002213","UDP-glucuronosyl/UDP-glucosyltransferase"
"UPI0007D62EC4","UPI0007D62EC4","94999512f52394d2d937d3d2c888bf8c","1933","Pfam","PF20845","Pre-mRNA cleavage complex 2 protein Pcf11, alpha-helical domain","177","210","0.0044","TRUE","17-10-2025","IPR048830","Pre-mRNA cleavage complex 2 protein Pcf11, helical domain"
"tr|A0A182HB57|A0A182HB57_AEDAL","A0A182HB57","2fbf7c6b152bf331495ef2c2fc0bbb75","716","Pfam","PF13589","Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase","34","149","1.6e-05","TRUE","17-10-2025",NA,NA
"UPI0007D47AEB","UPI0007D47AEB","4a207a25608ec784fa79f9838dcff578","170","Pfam","PF10278","Mediator of RNA pol II transcription subunit 19","1","159","1.3e-69","TRUE","17-10-2025","IPR019403","Mediator complex, subunit Med19, metazoa"
"UPI0007D5C116","UPI0007D5C116","ea15c56f3b3a97ae72cf76676269682b","112","Pfam","PF12407","Homeobox protein","6","28","6.3e-11","TRUE","17-10-2025","IPR022132","Homeobox protein"
"UPI0007D10A1C","UPI0007D10A1C","a3cb4c8b9f0ad583ce91a9e59b4cca52","750","Pfam","PF16124","RecQ zinc-binding","445","487","0.00023","TRUE","17-10-2025","IPR032284","ATP-dependent DNA helicase RecQ, zinc-binding domain"
"UPI0007D5FD3E","UPI0007D5FD3E","956797a06b2a79d6d3b61700bf9cc20b","339","Pfam","PF00078","Reverse transcriptase (RNA-dependent DNA polymerase)","8","136","6e-11","TRUE","17-10-2025","IPR000477","Reverse transcriptase domain"
"tr|A0A182GLJ0|A0A182GLJ0_AEDAL","A0A182GLJ0","2123b52d083a6eede69eaf65ca46af20","778","Pfam","PF00104","Ligand-binding domain of nuclear hormone receptor","587","756","2e-22","TRUE","17-10-2025","IPR000536","Nuclear hormone receptor, ligand-binding domain"
"tr|A0A182G9G7|A0A182G9G7_AEDAL","A0A182G9G7","d16399fa3cf0c1f647a44263d128d7e7","521","Pfam","PF00433","Protein kinase C terminal domain","467","507","6.1e-08","TRUE","17-10-2025","IPR017892","Protein kinase, C-terminal"
"UPI0007D5AAD5","UPI0007D5AAD5","e65b15c977284196eb94e87475932ce7","292","Pfam","PF00617","RasGEF domain","130","289","1.4e-46","TRUE","17-10-2025","IPR001895","Ras guanine-nucleotide exchange factors catalytic domain"
"tr|A0A182GTM7|A0A182GTM7_AEDAL","A0A182GTM7","824f663b49543308ebbaf919e43c1321","1572","Pfam","PF01602","Adaptin N terminal region","555","1105","0","TRUE","17-10-2025","IPR002553","Clathrin/coatomer adaptor, adaptin-like, N-terminal"
"tr|A0A023ETF7|A0A023ETF7_AEDAL","A0A023ETF7","acd20f76a774333a860be297076d2b19","519","Pfam","PF06702","Golgi casein kinase, C-terminal, Fam20","290","505","4e-102","TRUE","17-10-2025","IPR009581","FAM20, C-terminal"
"tr|A0A023EFS1|A0A023EFS1_AEDAL","A0A023EFS1","3c0fc226496c01f13c9425dad31bbcb1","132","Pfam","PF00061","Lipocalin / cytosolic fatty-acid binding protein family","8","130","9.5e-21","TRUE","17-10-2025","IPR000566","Lipocalin/cytosolic fatty-acid binding domain"
"tr|A0A182GY18|A0A182GY18_AEDAL","A0A182GY18","9e4b7288b62d1b73f1cb39d7fb36ba11","286","Pfam","PF00035","Double-stranded RNA binding motif","214","280","2.7e-07","TRUE","17-10-2025","IPR014720","Double-stranded RNA-binding domain"
"tr|A0A182HFD9|A0A182HFD9_AEDAL","A0A182HFD9","fd3bf86a746963a91c925492ce90e817","519","Pfam","PF06702","Golgi casein kinase, C-terminal, Fam20","290","505","4e-102","TRUE","17-10-2025","IPR009581","FAM20, C-terminal"
"tr|A0A182GMD7|A0A182GMD7_AEDAL","A0A182GMD7","476a1f6ba3313280eaead564764c5308","615","Pfam","PF25524","CPSF6-like, RSLD domain, N-terminal region","436","530","6.4e-35","TRUE","17-10-2025","IPR057951","CPSF6/7, RSLD domain, N-terminal region"
"tr|A0A182HCT5|A0A182HCT5_AEDAL","A0A182HCT5","1ce22b3da202cfff64d989333ac3fd4f","819","Pfam","PF25541","PH domain-containing proteins, TBCA domain","645","790","3e-27","TRUE","17-10-2025","IPR057971","Pleckstrin homology domain-containing family A member 4-7, TBCA domain"
"tr|A0A182GSS4|A0A182GSS4_AEDAL","A0A182GSS4","de91d33c741f17df23308c8f8ff4ef34","771","Pfam","PF08033","Sec23/Sec24 beta-sandwich domain","407","510","6.6e-23","TRUE","17-10-2025","IPR012990","Sec23/Sec24, beta-sandwich"
"UPI0007D5A36B","UPI0007D5A36B","6d9e37c9e14f4c22482e35c3ea072242","529","Pfam","PF00622","SPRY domain","322","391","0.0017","TRUE","17-10-2025","IPR003877","SPRY domain"
"tr|A0A182H3V6|A0A182H3V6_AEDAL","A0A182H3V6","b5ef69747a7ffa4b23f678f9b15c1b2f","1020","Pfam","PF05380","Pao retrotransposon peptidase","726","889","1.7e-43","TRUE","17-10-2025","IPR008042","Retrotransposon, Pao"
"tr|A0A182GR14|A0A182GR14_AEDAL","A0A182GR14","c45018f83de52aaa3d958503c02d4125","334","Pfam","PF00170","bZIP transcription factor","80","136","0.0064","TRUE","17-10-2025","IPR004827","Basic-leucine zipper domain"
"tr|A0A023EJQ3|A0A023EJQ3_AEDAL","A0A023EJQ3","d0965c6b560e9ff3ed4a7e6885270079","212","Pfam","PF05916","GINS complex protein helical bundle domain","78","173","2.3e-08","TRUE","17-10-2025","IPR021151","GINS subunit, domain A"
"UPI0007D6A773","UPI0007D6A773","c5573a0e17d16179f190b9e7306435ba","273","Pfam","PF00076","RNA recognition motif","130","185","1.2e-07","TRUE","17-10-2025","IPR000504","RNA recognition motif domain"
"UPI0007D2CAF7","UPI0007D2CAF7","9d453b239002483a1d560ee24779e53b","128","Pfam","PF00078","Reverse transcriptase (RNA-dependent DNA polymerase)","13","126","3.6e-08","TRUE","17-10-2025","IPR000477","Reverse transcriptase domain"
"tr|A0A182G0T6|A0A182G0T6_AEDAL","A0A182G0T6","315b9ebc1a86f08be2679c721ca327cf","308","Pfam","PF00650","CRAL/TRIO domain","108","249","7.3e-22","TRUE","17-10-2025","IPR001251","CRAL-TRIO lipid binding domain"
"UPI0007D2CA88","UPI0007D2CA88","ebb35ed30fd437605d40032fc264694c","1175","Pfam","PF01426","BAH domain","1028","1123","7.4e-11","TRUE","17-10-2025","IPR001025","Bromo adjacent homology (BAH) domain"
"UPI0007D6AC6B","UPI0007D6AC6B","c6f94af0a8d16a6c8522f4a843253132","303","Pfam","PF16891","Serine-threonine protein phosphatase N-terminal domain","1","27","1.1e-07","TRUE","17-10-2025","IPR031675","Serine-threonine protein phosphatase, N-terminal"
"tr|A0A182GK16|A0A182GK16_AEDAL","A0A182GK16","28f55a9949d7b4e8af0bc95fdb9f5a6f","1425","Pfam","PF23726","RSE1/DDB1/CPSF1 second beta-propeller","518","983","3e-55","TRUE","17-10-2025","IPR058543","RSE1/DDB1/CPSF1, second beta-propeller"
"tr|A0A182HE06|A0A182HE06_AEDAL","A0A182HE06","eb1d3f418fb0a9888419f7a2f863b835","922","Pfam","PF00630","Filamin/ABP280 repeat","321","407","2.6e-18","TRUE","17-10-2025","IPR017868","Filamin/ABP280 repeat-like"
"tr|A0A023ECJ9|A0A023ECJ9_AEDAL","A0A023ECJ9","00bc561c5feb7928e1edcdb4d91f1fbd","96","Pfam","PF04588","Hypoxia induced protein conserved region","27","79","2.1e-13","TRUE","17-10-2025","IPR007667","Hypoxia induced protein, domain"
"UPI0007D241A9","UPI0007D241A9","2023434e2e7ae1bb7cfc5ab8b5c8fb5a","380","Pfam","PF00078","Reverse transcriptase (RNA-dependent DNA polymerase)","13","166","2.4e-16","TRUE","17-10-2025","IPR000477","Reverse transcriptase domain"
"tr|A0A182H4D2|A0A182H4D2_AEDAL","A0A182H4D2","9301b03bad822ce55cd60bee55cbfe87","905","Pfam","PF00643","B-box zinc finger","241","277","0.0065","TRUE","17-10-2025","IPR000315","B-box-type zinc finger"
"tr|A0A182G2A3|A0A182G2A3_AEDAL","A0A182G2A3","faca134a4a4c3d6be36b028f8ccd4d72","446","Pfam","PF00041","Fibronectin type III domain","324","401","0.002","TRUE","17-10-2025","IPR003961","Fibronectin type III"
"tr|A0A182GHU9|A0A182GHU9_AEDAL","A0A182GHU9","e4e86ad0105dc891cf9c95812f50c1fe","2610","Pfam","PF02825","WWE domain","981","1045","7.7e-18","TRUE","17-10-2025","IPR004170","WWE domain"
"UPI0007D64A26","UPI0007D64A26","c6e8a7746686e4cd3d4af3ae4a611ba9","1165","Pfam","PF01412","Putative GTPase activating protein for Arf","414","527","1.3e-29","TRUE","17-10-2025","IPR001164","Arf GTPase activating protein"
"tr|A0A182GLV4|A0A182GLV4_AEDAL","A0A182GLV4","7ed66a5e79fc42e753c80b8302075482","958","Pfam","PF12895","Anaphase-promoting complex, cyclosome, subunit 3","16","92","5e-19","TRUE","17-10-2025",NA,NA
"UPI0007D1310E","UPI0007D1310E","d5f9888522653a70aa16ea2dfa567315","878","Pfam","PF01602","Adaptin N terminal region","24","541","0","TRUE","17-10-2025","IPR002553","Clathrin/coatomer adaptor, adaptin-like, N-terminal"
"UPI0007D300FE","UPI0007D300FE","058d67e6257b54d7465b2ba39d365e0a","254","Pfam","PF00104","Ligand-binding domain of nuclear hormone receptor","63","232","1.6e-23","TRUE","17-10-2025","IPR000536","Nuclear hormone receptor, ligand-binding domain"
"tr|A0A182GV54|A0A182GV54_AEDAL","A0A182GV54","709867aad4ebcdb7541557442fee1bac","314","Pfam","PF12336","SOX transcription factor","66","162","2.1e-10","TRUE","17-10-2025","IPR022097","Transcription factor SOX"
"tr|A0A182H146|A0A182H146_AEDAL","A0A182H146","44772c69c9c6739077f1d471b4076f46","336","Pfam","PF00293","NUDIX domain","57","163","2.2e-16","TRUE","17-10-2025","IPR000086","NUDIX hydrolase domain"
"UPI0007D4AF9B","UPI0007D4AF9B","85e5086f5e281fc3bb6e28d7cf46c6bc","313","Pfam","PF00098","Zinc knuckle","42","54","0.49","TRUE","17-10-2025","IPR001878","Zinc finger, CCHC-type"
"tr|A0A182HC86|A0A182HC86_AEDAL","A0A182HC86","3d9a0cc7ce954058fd61aca6ee1d38ab","658","Pfam","PF00010","Helix-loop-helix DNA-binding domain","571","615","1.5e-06","TRUE","17-10-2025","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain"
"UPI0007D173C2","UPI0007D173C2","3760f38f8240cc55c35c07c7c017d896","1588","Pfam","PF16213","Mon2/Sec7/BIG1-like, dimerisation and cyclophilin-binding domain","6","74","1.1e-12","TRUE","17-10-2025","IPR032629","Mon2/Sec7/BIG1-like, dimerisation and cyclophilin-binding domain"
"UPI0007D5DDA0","UPI0007D5DDA0","b5e1173357f1b6974eb24bb0a4a69f40","1164","Pfam","PF13882","Bravo-like intracellular region","1067","1149","6.8e-18","TRUE","17-10-2025","IPR026966","Neurofascin/L1/NrCAM, C-terminal domain"
"tr|A0A182H556|A0A182H556_AEDAL","A0A182H556","b6e7e9c5968c4ef217f6b680000b8cc6","2112","Pfam","PF21989","RA like domain","1191","1285","2.2e-31","TRUE","17-10-2025",NA,NA
"tr|A0A182GMS9|A0A182GMS9_AEDAL","A0A182GMS9","92ac1dcb734cd2db3778a89d29f825bb","321","Pfam","PF00487","Fatty acid desaturase","68","286","7.9e-25","TRUE","17-10-2025","IPR005804","Fatty acid desaturase domain"
"tr|A0A182G4I0|A0A182G4I0_AEDAL","A0A182G4I0","34d7c3ff8d1e837ef8d7c00933ca3813","1190","Pfam","PF14529","Endonuclease-reverse transcriptase","101","219","3.6e-15","TRUE","17-10-2025","IPR005135","Endonuclease/exonuclease/phosphatase"
"UPI0007D4C7DD","UPI0007D4C7DD","89f820852559f396703ab721e301e66c","1188","Pfam","PF13087","AAA domain","744","949","1.4e-43","TRUE","17-10-2025","IPR041679","DNA2/NAM7 helicase-like, C-terminal"
"UPI0007D13099","UPI0007D13099","711fe3f12c43a073742f8e27e799bdab","437","Pfam","PF08430","Forkhead N-terminal region","4","148","9.3e-18","TRUE","17-10-2025","IPR013638","Fork-head N-terminal"
"tr|A0A182GQ91|A0A182GQ91_AEDAL","A0A182GQ91","56bf7a2a42c011a9f558dcb5f45f6c76","184","Pfam","PF05915","Transmembrane proteins 230/134","75","183","1.6e-37","TRUE","17-10-2025","IPR008590","Transmembrane protein 230/134"
"UPI0007D2D2BF","UPI0007D2D2BF","5cde97cc277543b795426b7a2cfac0e8","455","Pfam","PF00069","Protein kinase domain","275","449","5.2e-17","TRUE","17-10-2025","IPR000719","Protein kinase domain"
"UPI0007D5D458","UPI0007D5D458","8e72c85b611df189862181fcf8d16daa","513","Pfam","PF05761","5' nucleotidase family","85","423","6.5e-48","TRUE","17-10-2025","IPR008380","HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase"
"tr|A0A182GDP6|A0A182GDP6_AEDAL","A0A182GDP6","9739d8e3012fd59c3bbe39df57e5bb70","695","Pfam","PF05693","Glycogen synthase","33","677","0","TRUE","17-10-2025","IPR008631","Glycogen synthase"
"tr|A0A182GLB9|A0A182GLB9_AEDAL","A0A182GLB9","133381bc91b9066e674acf5d3d7e4713","342","Pfam","PF22675","KHDC4/BBP-like, KH-domain type I","93","180","2.6e-14","TRUE","17-10-2025","IPR055256","KHDC4/BBP-like, KH-domain type I"
"tr|A0A182GIH3|A0A182GIH3_AEDAL","A0A182GIH3","c55b7483732e26059dba55a21c7a029b","419","Pfam","PF03006","Haemolysin-III related","171","392","3.6e-76","TRUE","17-10-2025","IPR004254","AdipoR/Haemolysin-III-related"
"tr|A0A182GXI4|A0A182GXI4_AEDAL","A0A182GXI4","40ced0868fc0c2a2db278bb21f16e4c0","102","Pfam","PF10559","Plug domain of Sec61p","2","27","3.5e-06","TRUE","17-10-2025","IPR019561","Translocon Sec61/SecY, plug domain"
"tr|A0A182GL59|A0A182GL59_AEDAL","A0A182GL59","e7926e1402b14b6f5c4d6d56e1139232","328","Pfam","PF18701","Family of unknown function (DUF5641)","221","313","1.1e-28","TRUE","17-10-2025","IPR040676","Domain of unknown function DUF5641"
"tr|A0A182G4U6|A0A182G4U6_AEDAL","A0A182G4U6","0512df5da4afc2deb02137d4144b2f08","805","Pfam","PF07707","BTB And C-terminal Kelch","169","245","0.047","TRUE","17-10-2025","IPR011705","BTB/Kelch-associated"
"tr|A0A182GS49|A0A182GS49_AEDAL","A0A182GS49","6dd3264e0aa8f74e6fe928badf764548","473","Pfam","PF01485","IBR domain, a half RING-finger domain","200","260","3.1e-10","TRUE","17-10-2025","IPR002867","IBR domain"
"UPI0007D6AF2B","UPI0007D6AF2B","c7da8e9808eedcd789a1bf3c03ef2736","495","Pfam","PF03199","Eukaryotic glutathione synthase","222","322","5.6e-28","TRUE","17-10-2025","IPR004887","Glutathione synthase, substrate-binding domain"
"tr|A0A182HDJ1|A0A182HDJ1_AEDAL","A0A182HDJ1","12b5fc2270fce9c5b44ade7ec7cc1a97","1071","Pfam","PF14529","Endonuclease-reverse transcriptase","102","219","6.2e-12","TRUE","17-10-2025","IPR005135","Endonuclease/exonuclease/phosphatase"
"tr|A0A182H338|A0A182H338_AEDAL","A0A182H338","2352ffb60716430fd8912ed20db1496c","373","Pfam","PF16900","Replication protein A OB domain","59","157","1.9e-28","TRUE","17-10-2025","IPR031657","Replication protein A, OB domain"
"UPI0007D32D50","UPI0007D32D50","1ffe505a84b5a37ad5aca57d64634dac","130","Pfam","PF07707","BTB And C-terminal Kelch","3","65","1.9e-16","TRUE","17-10-2025","IPR011705","BTB/Kelch-associated"
"UPI0007D63965","UPI0007D63965","965f474dd6856a8d9b5f0d073dca4226","1477","Pfam","PF13912","C2H2-type zinc finger","455","473","48","TRUE","17-10-2025","IPR013087","Zinc finger C2H2-type"
