"uniprot_id","species","mirna","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels_network","annotation_stringdb","protein_name_uniprot","cc_function_uniprot","go_p_uniprot","go_f_uniprot","description_eggnog","preferred_name_eggnog","pfams_eggnog","interpro_description_ips","signature_description_ips","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"A0A023EFS1","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG010314","Putative fatty acid-binding protein fabp; Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family.","Fatty acid-binding protein, muscle","Binds fatty acids in a 1:1 molar ratio",NA,"lipid binding","Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family","FABP5","Lipocalin","Lipocalin/cytosolic fatty-acid binding domain","Lipocalin / cytosolic fatty-acid binding protein family","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EIB6","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG003697","Putative gtp-binding protein.",NA,NA,"protein transport","GTP binding; GTPase activity","ADP-ribosylation factor family","RAB1A","Ras","Small GTPase","Ras family","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EJQ3","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG003410","Putative secreted protein.","DNA replication complex GINS protein PSF3","Required for correct functioning of the GINS complex, a complex that plays an essential role in the initiation of DNA replication, and progression of DNA replication forks. GINS complex is a core component of CDC45-MCM-GINS (CMG) helicase, the molecular machine that unwinds template DNA during replication, and around which the replisome is built","mitotic DNA replication initiation",NA,"GINS complex protein","GINS3","Sld5","GINS subunit, domain A","GINS complex protein helical bundle domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EK43","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG011742","Ferritin; Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation. Belongs to the ferritin family.","Ferritin","Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation","intracellular iron ion homeostasis; iron ion transport","ferric iron binding; ferrous iron binding; ferroxidase activity","Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation","Fer2LCH","Ferritin",NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EMA3","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG026959","Putative heat shock protein.",NA,NA,NA,NA,"DnaJ molecular chaperone homology domain","DNAJC8","DnaJ","DnaJ domain","DnaJ domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EPY3","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG025494","Glyceraldehyde-3-phosphate dehydrogenase.","Glyceraldehyde-3-phosphate dehydrogenase",NA,"glucose metabolic process; glycolytic process","glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity; NAD binding; NADP binding","Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain","GAPDH","Gp_dh_C,Gp_dh_N","Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain","Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EQE1","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG020920","Serine/threonine-protein phosphatase.","Serine/threonine-protein phosphatase",NA,NA,"protein serine/threonine phosphatase activity","Serine threonine-protein phosphatase","PPP4C","Metallophos","Calcineurin-like, phosphoesterase domain","Calcineurin-like phosphoesterase","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023ETF7","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG028645","Fam20C domain-containing protein.","FAM20 C-terminal domain-containing protein",NA,NA,"ATP binding; metal ion binding; protein serine/threonine kinase activity","Golgi casein kinase, C-terminal, Fam20","FAM20A","Fam20C","FAM20, C-terminal","Golgi casein kinase, C-terminal, Fam20","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G0N5","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG000101","GAR domain-containing protein.",NA,NA,"actin crosslink formation; microtubule bundle formation; protein localization to microtubule plus-end; regulation of microtubule polymerization or depolymerization","actin filament binding; cytoskeletal anchor activity; microtubule binding","It is involved in the biological process described with cell cycle arrest","GAS2L1","CH,GAS2","GAR domain","Growth-Arrest-Specific Protein 2 Domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G0T6","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG000220","CRAL-TRIO domain-containing protein.",NA,NA,NA,"phosphatidylinositol bisphosphate binding","Domain in homologues of a S. cerevisiae phosphatidylinositol transfer protein (Sec14p)",NA,"CRAL_TRIO","CRAL-TRIO lipid binding domain","CRAL/TRIO domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G151","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG000437","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G2A3","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG001269","Uncharacterized protein.",NA,NA,"anatomical structure morphogenesis; cell differentiation",NA,"Fibronectin type 3 domain","NCAM2","I-set,Ig_3,fn3","Fibronectin type III","Fibronectin type III domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G2Q1","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG001576","Cleavage and polyadenylation specificity factor subunit 5; Component of the cleavage factor Im (CFIm) complex that functions as an activator of the pre-mRNA 3'-end cleavage and polyadenylation processing required for the maturation of pre-mRNA into functional mRNAs. CFIm contributes to the recruitment of multiprotein complexes on specific sequences on the pre-mRNA 3'-end, so called cleavage and polyadenylation signals (pA signals). Most pre-mRNAs contain multiple pA signals, resulting in alternative cleavage and polyadenylation (APA) producing mRNAs with variable 3'-end formation. The  [...]","Cleavage and polyadenylation specificity factor subunit 5","Component of the cleavage factor Im (CFIm) complex that functions as an activator of the pre-mRNA 3'-end cleavage and polyadenylation processing required for the maturation of pre-mRNA into functional mRNAs. CFIm contributes to the recruitment of multiprotein complexes on specific sequences on the pre-mRNA 3'-end, so called cleavage and polyadenylation signals (pA signals). Most pre-mRNAs contain multiple pA signals, resulting in alternative cleavage and polyadenylation (APA) producing mRNAs with variable 3'-end formation. The CFIm complex acts as a key regulator of cleavage and polyadenylation site choice during APA through its binding to 5'-UGUA-3' elements localized in the 3'-untranslated region (UTR) for a huge number of pre-mRNAs","mRNA 3'-end processing","mRNA binding","Pre-mrna cleavage factor im, 25kD subunit","NUDT21","NUDIX_2","Cleavage/polyadenylation specificity factor subunit 5","Nucleotide hydrolase","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G2Y4","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG001707","Uncharacterized protein.",NA,NA,"fatty acid beta-oxidation; long-chain fatty acid import into peroxisome; peroxisome organization; very long-chain fatty acid catabolic process","ABC-type transporter activity; ATP binding; ATP hydrolysis activity; long-chain fatty acid transmembrane transporter activity","ABC transporter transmembrane region 2","ABCD2","ABC_membrane_2,ABC_tran","ABC transporter-like, ATP-binding domain","ABC transporter","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G3H6","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG002131","Transcription elongation factor SPT5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G3N7","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG002233","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G4S8","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG002937","Exocyst complex component; Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane.","Exocyst complex component","Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane","Golgi to plasma membrane transport; intracellular protein transport; vesicle tethering involved in exocytosis",NA,"Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane","EXOC6","Sec15","Exocyst complex component EXOC6/Sec15, N-terminal domain","Exocyst complex component EXOC6/Sec15, N-terminal","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G598","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG003245","Uncharacterized protein.",NA,NA,NA,NA,"transcription factor with a role in the retinal determination (RD) network. Contributes to differentiation of antenna-specific characteristics (By similarity)","dan","CENP-B_N",NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G5Z9","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG003706","SH3 domain-containing protein.",NA,NA,NA,NA,"Fes/CIP4, and EFC/F-BAR homology domain","NOSTRIN","FCH,SH3_1,SH3_9","SH3 domain","Variant SH3 domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G6N6","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG004132","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G786","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG004462","RING-CH-type domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G7F5","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG004603","SEC7 domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GD72","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG007886","Protein cactus (TOLL pathway signalling).",NA,NA,"cellular response to tumor necrosis factor","NF-kappaB binding","Protein cactus (TOLL pathway signalling)","NFKBIA","Ank,Ank_2,Ank_3,Ank_4,Ank_5","Ankyrin repeat","Ankyrin repeat","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GDI3","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG008046","Coronin; Belongs to the WD repeat coronin family.","Coronin",NA,"actin filament organization","actin filament binding","Belongs to the WD repeat coronin family","CORO1C","DUF1899,Trimer_CC,WD40,WD40_4","Domain of unknown function DUF1899","Domain of unknown function (DUF1899)","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GDP6","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG008130","Glycogen [starch] synthase; Transfers the glycosyl residue from UDP-Glc to the non- reducing end of alpha-1,4-glucan.","Glycogen [starch] synthase","Transfers the glycosyl residue from UDP-Glc to the non-reducing end of alpha-1,4-glucan","glycogen biosynthetic process","alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity","Transfers the glycosyl residue from UDP-Glc to the non- reducing end of alpha-1,4-glucan","GYS2","Glycogen_syn","Glycogen synthase","Glycogen synthase","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GE26","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG008319","Serine/threonine-protein phosphatase; Belongs to the PPP phosphatase family.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GE86","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG008406","RRM domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GEC6","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG008456","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GEG3","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG008498","ATP-dependent DNA helicase; Belongs to the helicase family. RecQ subfamily.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GEP3","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG008617","Acyl-coenzyme A oxidase; Belongs to the acyl-CoA oxidase family.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GER1","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG008646","Histone H2B; Belongs to the histone H2B family.","Histone H2B","Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling",NA,"DNA binding; protein heterodimerization activity; structural constituent of chromatin","Histone H2B",NA,"Histone","Core Histone H2A/H2B/H3 domain","Core histone H2A/H2B/H3/H4 domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GG23","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG009300","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GH02","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG009737","USP domain-containing protein.","ubiquitinyl hydrolase 1",NA,"protein deubiquitination","cysteine-type deubiquitinase activity","Belongs to the peptidase C19 family","USP32","DUSP,EF-hand_5,UCH,Ubiquitin_3","Peptidase C19, ubiquitin carboxyl-terminal hydrolase","Ubiquitin carboxyl-terminal hydrolase","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GHU9","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG010187","Uncharacterized protein.","E3 ubiquitin-protein ligase",NA,"DNA repair; proteasome-mediated ubiquitin-dependent protein catabolic process; protein polyubiquitination; regulation of signal transduction","ubiquitin protein ligase activity; zinc ion binding","WWE domain",NA,"HECT,WWE","WWE domain","WWE domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GIN2","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG010567","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GJ49","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG010799","Uncharacterized protein.",NA,NA,NA,NA,"Reverse transcriptase (RNA-dependent DNA polymerase)",NA,"RVT_2,Retrotran_gag_2,gag_pre-integrs,rve",NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
