"uniprot_id","species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels_network","annotation_stringdb","protein_name_uniprot","cc_function_uniprot","go_p_uniprot","go_f_uniprot","description_eggnog","preferred_name_eggnog","pfams_eggnog","interpro_description_ips","signature_description_ips","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Q17FE9","Aedes aegypti","CL:19626","RNA binding protein fox-1 homolog 1-like, and Regulation of striated muscle cell differentiation",5,5,1.97,1.21,4.38e-05,"AAEL003414","AAEL003414-PA.",NA,NA,NA,NA,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",NA,"RRM_1",NA,NA,"Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"J9HTV7","Aedes aegypti","CL:19618","Mixed, incl. Scramblase, and Regulation of alternative mRNA splicing, via spliceosome",7,30,1.34,1.07,7.38e-05,"AAEL801114","AAEL017419-PA.","CCHC-type domain-containing protein",NA,NA,"nucleic acid binding; zinc ion binding","Zinc knuckle","CNBP","zf-CCHC,zf-CCHC_4","Zinc finger, CCHC-type","Zinc knuckle","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"J9HZV2","Aedes aegypti","CL:19618","Mixed, incl. Scramblase, and Regulation of alternative mRNA splicing, via spliceosome",7,30,1.34,1.07,7.38e-05,"J9HZV2_AEDAE","AAEL017168-PA.",NA,NA,"nervous system development; regulation of alternative mRNA splicing, via spliceosome","mRNA binding","nucleotide binding","RBFOX2","Fox-1_C,RRM_1","RNA recognition motif domain","RNA recognition motif","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16HG5","Aedes aegypti","CL:19618","Mixed, incl. Scramblase, and Regulation of alternative mRNA splicing, via spliceosome",7,30,1.34,1.07,7.38e-05,"AAEL014033","AAEL014033-PA.",NA,NA,NA,"RNA binding","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","CELF3","RRM_1","RNA recognition motif domain","RNA recognition motif","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q175T7","Aedes aegypti","CL:19618","Mixed, incl. Scramblase, and Regulation of alternative mRNA splicing, via spliceosome",7,30,1.34,1.07,7.38e-05,"AAEL006555","AAEL006555-PA.",NA,NA,"nervous system development; regulation of alternative mRNA splicing, via spliceosome","mRNA binding","nucleotide binding","RBFOX2","Fox-1_C,RRM_1",NA,NA,"Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17E15","Aedes aegypti","CL:19618","Mixed, incl. Scramblase, and Regulation of alternative mRNA splicing, via spliceosome",7,30,1.34,1.07,7.38e-05,"AAEL003979","Deadenylation factor EDEN-BP, putative.",NA,NA,NA,"mRNA binding","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","CELF3","RRM_1","RNA recognition motif domain","RNA recognition motif","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17FE8","Aedes aegypti","CL:19618","Mixed, incl. Scramblase, and Regulation of alternative mRNA splicing, via spliceosome",7,30,1.34,1.07,7.38e-05,"AAEL003407","AAEL003407-PA.",NA,NA,NA,"mRNA 3'-UTR binding","RNA recognition motif",NA,"RRM_1","RNA recognition motif domain","RNA recognition motif","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17FE9","Aedes aegypti","CL:19618","Mixed, incl. Scramblase, and Regulation of alternative mRNA splicing, via spliceosome",7,30,1.34,1.07,7.38e-05,"AAEL003414","AAEL003414-PA.",NA,NA,NA,NA,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",NA,"RRM_1",NA,NA,"Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"J9HTN1","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"GPRGHP4","GPCR Growth Hormone Releasing Hormone Family; Belongs to the G-protein coupled receptor 1 family.",NA,NA,NA,"neuromedin U receptor activity","Belongs to the G-protein coupled receptor 1 family","NMUR1","7tm_1","G protein-coupled receptor, rhodopsin-like","7 transmembrane receptor (rhodopsin family)","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"J9HTV7","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL801114","AAEL017419-PA.","CCHC-type domain-containing protein",NA,NA,"nucleic acid binding; zinc ion binding","Zinc knuckle","CNBP","zf-CCHC,zf-CCHC_4","Zinc finger, CCHC-type","Zinc knuckle","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"J9HZD6","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"J9HZD6_AEDAE","Phosphoinositide phospholipase C.","Phosphoinositide phospholipase C",NA,"G protein-coupled receptor signaling pathway; lipid catabolic process; phosphatidylinositol metabolic process; phosphatidylinositol-mediated signaling; release of sequestered calcium ion into cytosol","phosphatidylinositol-4,5-bisphosphate phospholipase C activity","phosphatidylinositol phospholipase C activity. It is involved in the biological process described with intracellular signal transduction","PLCB2","C2,DUF1154,EF-hand_like,PI-PLC-X,PI-PLC-Y,PLC-beta_C","Phosphoinositide phospholipase C beta 1-4-like, EF-hand domain","Phosphoinositide phospholipase C beta1-4-like EF-hand domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"J9HZV2","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"J9HZV2_AEDAE","AAEL017168-PA.",NA,NA,"nervous system development; regulation of alternative mRNA splicing, via spliceosome","mRNA binding","nucleotide binding","RBFOX2","Fox-1_C,RRM_1","RNA recognition motif domain","RNA recognition motif","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0IEC2","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL011420","AAEL011420-PA.",NA,NA,"mRNA processing; RNA splicing","RNA binding","RNA recognition motif","ESRP2","RRM_1",NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0IFQ3","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL004167","AAEL004167-PA.","Branchpoint-bridging protein","Necessary for the ATP-dependent first step of spliceosome assembly. Binds to the intron branch point sequence (BPS) 5'-UACUAAC-3' of the pre-mRNA. May act as transcription repressor","mRNA splicing, via spliceosome; regulation of mRNA splicing, via spliceosome","mRNA binding; pre-mRNA branch point binding; zinc ion binding","Splicing factor 1 helix-hairpin domain","SF1","KH_1,SF1-HH,zf-CCHC","Zinc finger, CCHC-type","Zinc knuckle","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0IGB5","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL003046","AAEL003046-PA.",NA,NA,"sphingolipid metabolic process",NA,"Saposin/surfactant protein-B A-type DOMAIN","PSAP","SapA,SapB_1,SapB_2","Saposin A-type domain","Saposin A-type domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16F45","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL014902","Cation efflux protein/ zinc transporter.",NA,NA,"detoxification of zinc ion; intracellular zinc ion homeostasis","zinc ion transmembrane transporter activity","Cation efflux protein zinc transporter","SLC30A1","Cation_efflux","Cation efflux protein, transmembrane domain","Cation efflux transmembrane domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16G66","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL014507","AAEL014507-PA.","Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase","Specifically deglycosylates the denatured form of N-linked glycoproteins in the cytoplasm and assists their proteasome-mediated degradation. Cleaves the beta-aspartyl-glucosamine (GlcNAc) of the glycan and the amide side chain of Asn, converting Asn to Asp. Prefers proteins containing high-mannose over those bearing complex type oligosaccharides. Can recognize misfolded proteins in the endoplasmic reticulum that are exported to the cytosol to be destroyed and deglycosylate them, while it has no activity toward native proteins. Deglycosylation is a prerequisite for subsequent proteasome-mediated degradation of some, but not all, misfolded glycoproteins","glycoprotein catabolic process","metal ion binding; peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity","domain present in PNGases and other hypothetical proteins","NGLY1","PAW,PUB,Rad4,Thioredoxin,Transglut_core","PUB domain","PUB domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16HG5","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL014033","AAEL014033-PA.",NA,NA,NA,"RNA binding","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","CELF3","RRM_1","RNA recognition motif domain","RNA recognition motif","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16HZ7","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL013847","Diacylglycerol kinase, zeta, iota.",NA,NA,"phospholipase C-activating G protein-coupled receptor signaling pathway","ATP binding; ATP-dependent diacylglycerol kinase activity","Diacylglycerol kinase","DGKI","Ank_2,Ank_4,C1_1,DAGK_acc,DAGK_cat","Diacylglycerol kinase, accessory domain","Diacylglycerol kinase accessory domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16HZ8","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL013849","Diacylglycerol kinase, zeta, iota.",NA,NA,"phospholipase C-activating G protein-coupled receptor signaling pathway","ATP binding; ATP-dependent diacylglycerol kinase activity","Diacylglycerol kinase","DGKI","Ank_2,Ank_4,C1_1,DAGK_acc,DAGK_cat","Diacylglycerol kinase iota-like domain","Diacylglycerol kinase iota-like domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16JH7","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL012339","AAEL012339-PA; Belongs to the protein kinase superfamily.","cyclin-dependent kinase",NA,"G1/S transition of mitotic cell cycle; regulation of G2/M transition of mitotic cell cycle; regulation of gene expression; signal transduction","ATP binding; cyclin binding; cyclin-dependent protein serine/threonine kinase activity","Belongs to the protein kinase superfamily","CDK2","Pkinase","Protein kinase domain","Protein kinase domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16JQ3","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL013250","AAEL013250-PA.",NA,NA,"regulation of autophagosome maturation","GTPase activator activity","Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.","TBC1D25","RabGAP-TBC","Rab-GAP-TBC domain","Rab-GTPase-TBC domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16JV4","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL013203","AAEL013203-PA; Belongs to the peptidase C19 family.","Ubiquitin carboxyl-terminal hydrolase 47",NA,"protein deubiquitination; proteolysis","cysteine-type deubiquitinase activity","Belongs to the peptidase C19 family","USP47","UCH,Ubiquitin_2",NA,"Ubiquitin carboxyl-terminal hydrolase 47, ubiquitin-like domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16JZ7","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"GPRFZ1","GPCR Frizzled/Smoothened Family; Belongs to the G-protein coupled receptor Fz/Smo family.",NA,NA,"canonical Wnt signaling pathway; non-canonical Wnt signaling pathway","Wnt receptor activity; Wnt-protein binding","Belongs to the G-protein coupled receptor Fz Smo family","FZD7","Frizzled,Fz","Frizzled domain","Fz domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16K82","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL013086","AAEL013086-PA.",NA,NA,NA,"DNA-binding transcription activator activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; zinc ion binding","Zinc-finger associated domain (zf-AD)","ZKSCAN7","KRAB,SCAN,zf-AD,zf-C2H2,zf-C2H2_4,zf-C2H2_6,zf-met","Zinc finger C2H2-type","C2H2-type zinc finger","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16LF8","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL012657","AAEL012657-PA.",NA,NA,"exocytosis; intracellular protein transport; neurotransmitter transport; vesicle docking; vesicle fusion","SNAP receptor activity; SNARE binding","Syntaxin","STX1A","SNARE,Syntaxin","Syntaxin, N-terminal domain","Syntaxin","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16LV3","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL012513","Calcium-binding protein E63-1.",NA,NA,NA,"calcium ion binding","EF-hand domain",NA,"EF-hand_1,EF-hand_5,EF-hand_6,EF-hand_7","EF-hand domain","EF-hand domain pair","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16M89","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL012381","AAEL012381-PA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16MZ3","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL012138","AAEL012138-PB.","Delta(24)-sterol reductase","Catalyzes the reduction of the delta-24 double bond of sterol intermediates during cholesterol biosynthesis. In addition to its cholesterol-synthesizing activity, can protect cells from oxidative stress by reducing caspase 3 activity during apoptosis induced by oxidative stress. Also protects against amyloid-beta peptide-induced apoptosis","steroid metabolic process","Delta24(24-1) sterol reductase activity; Delta24-sterol reductase activity; FAD binding","FAD binding domain","DHCR24","FAD_binding_4","FAD linked oxidase, N-terminal","FAD binding domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16N45","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL012092","AAEL012092-PA.",NA,NA,NA,NA,"Leucine rich repeat C-terminal domain",NA,"LRR_6,LRR_8",NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16NT2","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL011867","AAEL011867-PA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16NV1","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"CYP315A1","AAEL011850-PA.",NA,NA,"C21-steroid hormone biosynthetic process; cellular response to peptide hormone stimulus; cholesterol metabolic process; cortisol metabolic process; glucocorticoid biosynthetic process","heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","Cytochrome P450","CYP315A1","p450","Cytochrome P450","Cytochrome P450","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16PA7","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL011709","Diacylglycerol kinase.","Diacylglycerol kinase",NA,"phospholipase C-activating G protein-coupled receptor signaling pathway","ATP binding; ATP-dependent diacylglycerol kinase activity; metal ion binding","Diacylglycerol kinase","DGKE","C1_1,DAGK_acc,DAGK_cat","Diacylglycerol kinase, catalytic domain","Diacylglycerol kinase catalytic domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16PQ3","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL011576","AAEL011576-PA.",NA,NA,NA,"mRNA 3'-UTR binding; ribonucleoprotein complex binding; selenocysteine insertion sequence binding","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family","SECISBP2L","Ribosomal_L7Ae","Ribosomal protein eL8/eL30/eS12/Gadd45","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16PY9","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL011480","AAEL011480-PA.",NA,NA,"regulation of DNA-templated transcription; transcription elongation by RNA polymerase II","RNA polymerase II complex binding","Tetratricopeptide repeat","CTR9","TPR_16,TPR_19,TPR_2,TPR_8",NA,"Tetratricopeptide repeat","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16Q37","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL011432","AAEL011432-PA.",NA,NA,"motor neuron axon guidance; negative regulation of cell adhesion; positive regulation of axonogenesis; regulation of cell migration; regulation of cell shape; sensory neuron axon guidance","semaphorin receptor activity","receptor activity. It is involved in the biological process described with","plexB","PSI,Plexin_cytopl,Sema,TIG","Plexin, TIG domain 2","TIG domain found in plexin","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16QS4","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL011191","AAEL011191-PA.",NA,NA,"regulation of glycogen biosynthetic process","glycogen binding; protein phosphatase 1 binding","Protein phosphatase 1 binding protein","PPP1R3B","CBM_21","CBM21 (carbohydrate binding type-21) domain","Carbohydrate/starch-binding module (family 21)","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16RM3","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL010902","Cation efflux protein/ zinc transporter.",NA,NA,"detoxification of zinc ion; intracellular zinc ion homeostasis","zinc ion transmembrane transporter activity","Cation efflux protein zinc transporter","SLC30A1","Cation_efflux","Cation efflux protein, transmembrane domain","Cation efflux transmembrane domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16TH4","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL010226","AAEL010226-PA.",NA,NA,NA,"DNA-binding transcription factor activity, RNA polymerase II-specific; protein dimerization activity; RNA polymerase II cis-regulatory region sequence-specific DNA binding","helix loop helix domain","TCF4","HLH","Myc-type, basic helix-loop-helix (bHLH) domain","Helix-loop-helix DNA-binding domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16TJ0","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL010222","AAEL010222-PA.","GATA-type domain-containing protein",NA,"cell fate commitment; negative regulation of transcription by RNA polymerase II; positive regulation of transcription by RNA polymerase II","DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; zinc ion binding","zinc finger binding to DNA consensus sequence [AT]GATA[AG]","GATA4","GATA,GATA-N","Zinc finger, GATA-type","GATA zinc finger","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16TV2","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL010124","Phosphoinositide phospholipase C.","Phosphoinositide phospholipase C",NA,"G protein-coupled receptor signaling pathway; lipid catabolic process; phosphatidylinositol metabolic process; phosphatidylinositol-mediated signaling; release of sequestered calcium ion into cytosol","phosphatidylinositol-4,5-bisphosphate phospholipase C activity","phosphatidylinositol phospholipase C activity. It is involved in the biological process described with intracellular signal transduction","PLCB2","C2,DUF1154,EF-hand_like,PI-PLC-X,PI-PLC-Y,PLC-beta_C","Phospholipase C, phosphatidylinositol-specific, Y domain","Phosphatidylinositol-specific phospholipase C, Y domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16U75","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL010015","AAEL010015-PA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16U83","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"GPRFZ7","AAEL009983-PA; Belongs to the G-protein coupled receptor Fz/Smo family.",NA,NA,"canonical Wnt signaling pathway; non-canonical Wnt signaling pathway","Wnt receptor activity; Wnt-protein binding","Belongs to the G-protein coupled receptor Fz Smo family","FZD7","Frizzled,Fz","Frizzled/Smoothened, 7TM","Frizzled/Smoothened family membrane region","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16VE7","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL009588","Expressed protein (HR3).","Probable nuclear hormone receptor HR3","Putative receptor whose ligand is not yet known",NA,"nuclear receptor activity; RNA polymerase II cis-regulatory region sequence-specific DNA binding; zinc ion binding","Ligand binding domain of hormone receptors","RORB","Hormone_recep,zf-C4","Zinc finger, nuclear hormone receptor-type","Double treble clef zinc finger, C4 type","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
